factor_id,market,family,availability_tier,v9_default_pool,formula_v8,formula_v9,v9_formula_changed,v9_keyword_migration,v9_pandas_runtime,v9_pandas_finite_ratio,v9_pandas_tail_finite_ratio,v9_pandas_tail_unique,v9_all_nodes_polars_static,v9_sql_compile_pass,v9_three_backend_static_path,v9_nonproduction_contract_operators,v9_pit_not_true_operators
pv_v4_a_0001,A,return_primitives,core,core,"rank(ts_sum(coalesce(ret, safe_div_null(close, pre_close) - 1.0), 3))","rank(ts_sum(coalesce(ret, safe_div_null(close, pre_close) - 1.0), 3))",False,,pass,1.0,1.0,20,True,True,True,,
pv_v4_a_0002,A,return_primitives,core,core,"rank(ts_sharpe(coalesce(ret, safe_div_null(close, pre_close) - 1.0), 10))","rank(ts_sharpe(coalesce(ret, safe_div_null(close, pre_close) - 1.0), 10))",False,,pass,0.9975609756097561,1.0,20,True,True,True,,
pv_v4_a_0003,A,return_primitives,core,core,"-rank(ts_std(coalesce(ret, safe_div_null(close, pre_close) - 1.0), 60))","-rank(ts_std(coalesce(ret, safe_div_null(close, pre_close) - 1.0), 60))",False,,pass,0.998780487804878,1.0,20,True,True,True,,
pv_v4_a_0004,A,return_primitives,core,core,"-rank(ts_var(coalesce(ret, safe_div_null(close, pre_close) - 1.0), 126))","-rank(ts_var(coalesce(ret, safe_div_null(close, pre_close) - 1.0), 126))",False,,pass,0.998780487804878,1.0,20,True,True,True,,
pv_v4_a_0005,A,return_primitives,core,core,"-rank(ts_std(coalesce(ret, safe_div_null(close, pre_close) - 1.0), 504))","-rank(ts_std(coalesce(ret, safe_div_null(close, pre_close) - 1.0), 504))",False,,pass,0.998780487804878,1.0,20,True,True,True,,
pv_v4_a_0006,A,return_primitives,core,core,"rank(ts_sum(coalesce(ret, safe_div_null(close, pre_close) - 1.0), 5))","rank(ts_sum(coalesce(ret, safe_div_null(close, pre_close) - 1.0), 5))",False,,pass,1.0,1.0,20,True,True,True,,
pv_v4_a_0007,A,return_primitives,core,core,"rank(ts_sum(coalesce(ret, safe_div_null(close, pre_close) - 1.0), 8))","rank(ts_sum(coalesce(ret, safe_div_null(close, pre_close) - 1.0), 8))",False,,pass,1.0,1.0,20,True,True,True,,
pv_v4_a_0008,A,return_primitives,core,core,"-rank(ts_var(coalesce(ret, safe_div_null(close, pre_close) - 1.0), 34))","-rank(ts_var(coalesce(ret, safe_div_null(close, pre_close) - 1.0), 34))",False,,pass,0.998780487804878,1.0,20,True,True,True,,
pv_v4_a_0009,A,return_primitives,core,core,"rank(ts_sharpe(coalesce(ret, safe_div_null(close, pre_close) - 1.0), 120))","rank(ts_sharpe(coalesce(ret, safe_div_null(close, pre_close) - 1.0), 120))",False,,pass,0.9524390243902439,1.0,20,True,True,True,,
pv_v4_a_0010,A,return_primitives,core,core,"zscore(ts_sum(coalesce(ret, safe_div_null(close, pre_close) - 1.0), 504))","zscore(ts_sum(coalesce(ret, safe_div_null(close, pre_close) - 1.0), 504))",False,,pass,1.0,1.0,400,True,True,True,,
pv_v4_a_0011,A,return_primitives,core,core,"-rank(ts_var(coalesce(ret, safe_div_null(close, pre_close) - 1.0), 5))","-rank(ts_var(coalesce(ret, safe_div_null(close, pre_close) - 1.0), 5))",False,,pass,0.998780487804878,1.0,20,True,True,True,,
pv_v4_a_0012,A,return_primitives,core,core,"-rank(ts_var(coalesce(ret, safe_div_null(close, pre_close) - 1.0), 21))","-rank(ts_var(coalesce(ret, safe_div_null(close, pre_close) - 1.0), 21))",False,,pass,0.998780487804878,1.0,20,True,True,True,,
