factor_id,version,market,layer,status,family,indicator,mechanism,horizon,horizon_bucket,complexity,exactness,formula_canonical,explanation,fields,operators,warning,formula_original,formula_latest,migration_changes,formula_changed,operators_latest,fields_latest,uses_extended_operators,uses_research_operators,unknown_operators,wrong_market_fields,latest_readiness,latest_tier,duplicate_of,pandas_smoke_status,pandas_48bar_notna,pandas_48bar_all_nan,pandas_820bar_recheck,validation_note,availability_tier,source_library,v8_audit_status,v8_runtime_status,v8_tail_finite_ratio,v8_tail_unique,direction_hint,removal_reasons,exhaustive_runtime_audit
pv_v4_a_0227,V4,A,daily,engine_ready,nonlinear_basic,,,nonlinear,nonlinear,basic,exact_composite,"rank(tanh(10.0 * safe_div_null(close - vwap, vwap)))",VWAP偏离的饱和压缩排名,"close,vwap","rank,safe_div_null,tanh",Return must be normalized by DataAccess to decimal ret; Factor is used only for event/change signals.,"rank(tanh(10.0 * safe_div_null(close - vwap, vwap)))","rank(tanh(10.0 * safe_div_null(close - vwap, vwap)))",,False,"rank,safe_div_null,tanh","close,vwap",,,,,production_candidate,strict_daily_core,,pass,240,False,not_required,latest DSL parse passed,core,web_v4_v5_v6,,,,,,rank_equivalent_duplicate_of:pv_v4_a_0206,"{""factor_id"": ""pv_v4_a_0227"", ""status"": ""pass"", ""finite_total"": 16400, ""inf_total"": 0, ""warning_count"": 0, ""warning_types"": [], ""tail_count"": 1200, ""tail_finite"": 1200, ""tail_finite_ratio"": 1.0, ""tail_unique"": 20, ""tail_std"": 0.303488489333442, ""tail_abs_max"": 1.0, ""tail_abs_median"": 0.5, ""median_cs_unique"": 20.0, ""min_cs_unique"": 20}"
pv_v4_a_0228,V4,A,daily,engine_ready,nonlinear_basic,,,nonlinear,nonlinear,basic,exact_composite,"rank(signed_sqrt(ts_log_return(amount + 1.0, 1)))",成交额变化的保符号平方根压缩,amount,"rank,signed_sqrt,ts_log_return",Return must be normalized by DataAccess to decimal ret; Factor is used only for event/change signals.,"rank(signed_sqrt(ts_log_return(amount + 1.0, 1)))","rank(signed_sqrt(ts_log_return(amount + 1.0, 1)))",,False,"rank,signed_sqrt,ts_log_return",amount,,,,,production_candidate,strict_daily_core,,pass,235,False,not_required,latest DSL parse passed,core,web_v4_v5_v6,,,,,,rank_equivalent_duplicate_of:pv_v4_a_0221,"{""factor_id"": ""pv_v4_a_0228"", ""status"": ""pass"", ""finite_total"": 16380, ""inf_total"": 0, ""warning_count"": 0, ""warning_types"": [], ""tail_count"": 1200, ""tail_finite"": 1200, ""tail_finite_ratio"": 1.0, ""tail_unique"": 20, ""tail_std"": 0.303488489333442, ""tail_abs_max"": 1.0, ""tail_abs_median"": 0.5, ""median_cs_unique"": 20.0, ""min_cs_unique"": 20}"
pv_v4_a_0229,V4,A,daily,engine_ready,nonlinear_basic,,,nonlinear,nonlinear,basic,exact_composite,"rank(signed_sqrt(ts_log_return(volume + 1.0, 1)))",成交量变化的保符号平方根压缩,volume,"rank,signed_sqrt,ts_log_return",Return must be normalized by DataAccess to decimal ret; Factor is used only for event/change signals.,"rank(signed_sqrt(ts_log_return(volume + 1.0, 1)))","rank(signed_sqrt(ts_log_return(volume + 1.0, 1)))",,False,"rank,signed_sqrt,ts_log_return",volume,,,,,production_candidate,strict_daily_core,,pass,235,False,not_required,latest DSL parse passed,core,web_v4_v5_v6,,,,,,rank_equivalent_duplicate_of:pv_v4_a_0219,"{""factor_id"": ""pv_v4_a_0229"", ""status"": ""pass"", ""finite_total"": 16380, ""inf_total"": 0, ""warning_count"": 0, ""warning_types"": [], ""tail_count"": 1200, ""tail_finite"": 1200, ""tail_finite_ratio"": 1.0, ""tail_unique"": 20, ""tail_std"": 0.303488489333442, ""tail_abs_max"": 1.0, ""tail_abs_median"": 0.5, ""median_cs_unique"": 20.0, ""min_cs_unique"": 20}"
pv_v4_a_0230,V4,A,daily,engine_ready,nonlinear_basic,,,nonlinear,nonlinear,basic,exact_composite,"rank(signed_log(safe_div_null(open - pre_close, pre_close)))",跳空的保符号对数压缩,"open,pre_close","rank,safe_div_null,signed_log",Return must be normalized by DataAccess to decimal ret; Factor is used only for event/change signals.,"rank(signed_log(safe_div_null(open - pre_close, pre_close)))","rank(signed_log(safe_div_null(open - pre_close, pre_close)))",,False,"rank,safe_div_null,signed_log","open,pre_close",,,,,production_candidate,strict_daily_core,,pass,240,False,not_required,latest DSL parse passed,core,web_v4_v5_v6,,,,,,rank_equivalent_duplicate_of:pv_v4_a_0212,"{""factor_id"": ""pv_v4_a_0230"", ""status"": ""pass"", ""finite_total"": 16400, ""inf_total"": 0, ""warning_count"": 0, ""warning_types"": [], ""tail_count"": 1200, ""tail_finite"": 1200, ""tail_finite_ratio"": 1.0, ""tail_unique"": 20, ""tail_std"": 0.30348848933344197, ""tail_abs_max"": 1.0, ""tail_abs_median"": 0.5, ""median_cs_unique"": 20.0, ""min_cs_unique"": 20}"
pv_v4_a_0231,V4,A,daily,engine_ready,nonlinear_basic,,,nonlinear,nonlinear,basic,exact_composite,"rank(signed_log(ts_log_return(amount + 1.0, 1)))",成交额变化的保符号对数压缩,amount,"rank,signed_log,ts_log_return",Return must be normalized by DataAccess to decimal ret; Factor is used only for event/change signals.,"rank(signed_log(ts_log_return(amount + 1.0, 1)))","rank(signed_log(ts_log_return(amount + 1.0, 1)))",,False,"rank,signed_log,ts_log_return",amount,,,,,production_candidate,strict_daily_core,,pass,235,False,not_required,latest DSL parse passed,core,web_v4_v5_v6,,,,,,rank_equivalent_duplicate_of:pv_v4_a_0221,"{""factor_id"": ""pv_v4_a_0231"", ""status"": ""pass"", ""finite_total"": 16380, ""inf_total"": 0, ""warning_count"": 0, ""warning_types"": [], ""tail_count"": 1200, ""tail_finite"": 1200, ""tail_finite_ratio"": 1.0, ""tail_unique"": 20, ""tail_std"": 0.30348848933344197, ""tail_abs_max"": 1.0, ""tail_abs_median"": 0.5, ""median_cs_unique"": 20.0, ""min_cs_unique"": 20}"
pv_v4_a_0233,V4,A,daily,engine_ready,nonlinear_basic,,,nonlinear,nonlinear,basic,exact_composite,"rank(tanh(10.0 * safe_div_null(open - pre_close, pre_close)))",跳空的饱和压缩排名,"open,pre_close","rank,safe_div_null,tanh",Return must be normalized by DataAccess to decimal ret; Factor is used only for event/change signals.,"rank(tanh(10.0 * safe_div_null(open - pre_close, pre_close)))","rank(tanh(10.0 * safe_div_null(open - pre_close, pre_close)))",,False,"rank,safe_div_null,tanh","open,pre_close",,,,,production_candidate,strict_daily_core,,pass,240,False,not_required,latest DSL parse passed,core,web_v4_v5_v6,,,,,,rank_equivalent_duplicate_of:pv_v4_a_0212,"{""factor_id"": ""pv_v4_a_0233"", ""status"": ""pass"", ""finite_total"": 16400, ""inf_total"": 0, ""warning_count"": 0, ""warning_types"": [], ""tail_count"": 1200, ""tail_finite"": 1200, ""tail_finite_ratio"": 1.0, ""tail_unique"": 20, ""tail_std"": 0.30348848933344197, ""tail_abs_max"": 1.0, ""tail_abs_median"": 0.5, ""median_cs_unique"": 20.0, ""min_cs_unique"": 20}"
pv_v4_a_0234,V4,A,daily,engine_ready,nonlinear_basic,,,nonlinear,nonlinear,basic,exact_composite,"rank(signed_sqrt(safe_div_null(close - vwap, vwap)))",VWAP偏离的保符号平方根压缩,"close,vwap","rank,safe_div_null,signed_sqrt",Return must be normalized by DataAccess to decimal ret; Factor is used only for event/change signals.,"rank(signed_sqrt(safe_div_null(close - vwap, vwap)))","rank(signed_sqrt(safe_div_null(close - vwap, vwap)))",,False,"rank,safe_div_null,signed_sqrt","close,vwap",,,,,production_candidate,strict_daily_core,,pass,240,False,not_required,latest DSL parse passed,core,web_v4_v5_v6,,,,,,rank_equivalent_duplicate_of:pv_v4_a_0206,"{""factor_id"": ""pv_v4_a_0234"", ""status"": ""pass"", ""finite_total"": 16400, ""inf_total"": 0, ""warning_count"": 0, ""warning_types"": [], ""tail_count"": 1200, ""tail_finite"": 1200, ""tail_finite_ratio"": 1.0, ""tail_unique"": 20, ""tail_std"": 0.303488489333442, ""tail_abs_max"": 1.0, ""tail_abs_median"": 0.5, ""median_cs_unique"": 20.0, ""min_cs_unique"": 20}"
pv_v4_a_0235,V4,A,daily,engine_ready,nonlinear_basic,,,nonlinear,nonlinear,basic,exact_composite,"rank(tanh(10.0 * ts_log_return(volume + 1.0, 1)))",成交量变化的饱和压缩排名,volume,"rank,tanh,ts_log_return",Return must be normalized by DataAccess to decimal ret; Factor is used only for event/change signals.,"rank(tanh(10.0 * ts_log_return(volume + 1.0, 1)))","rank(tanh(10.0 * ts_log_return(volume + 1.0, 1)))",,False,"rank,tanh,ts_log_return",volume,,,,,production_candidate,strict_daily_core,,pass,235,False,not_required,latest DSL parse passed,core,web_v4_v5_v6,,,,,,rank_equivalent_duplicate_of:pv_v4_a_0219,"{""factor_id"": ""pv_v4_a_0235"", ""status"": ""pass"", ""finite_total"": 16380, ""inf_total"": 0, ""warning_count"": 0, ""warning_types"": [], ""tail_count"": 1200, ""tail_finite"": 1200, ""tail_finite_ratio"": 1.0, ""tail_unique"": 20, ""tail_std"": 0.303488489333442, ""tail_abs_max"": 1.0, ""tail_abs_median"": 0.5, ""median_cs_unique"": 20.0, ""min_cs_unique"": 20}"
pv_v4_a_0236,V4,A,daily,engine_ready,nonlinear_basic,,,nonlinear,nonlinear,basic,exact_composite,"rank(signed_log(safe_div_null(close - open, open)))",日内实体的保符号对数压缩,"close,open","rank,safe_div_null,signed_log",Return must be normalized by DataAccess to decimal ret; Factor is used only for event/change signals.,"rank(signed_log(safe_div_null(close - open, open)))","rank(signed_log(safe_div_null(close - open, open)))",,False,"rank,safe_div_null,signed_log","close,open",,,,,production_candidate,strict_daily_core,,pass,240,False,not_required,latest DSL parse passed,core,web_v4_v5_v6,,,,,,rank_equivalent_duplicate_of:pv_v4_a_0232,"{""factor_id"": ""pv_v4_a_0236"", ""status"": ""pass"", ""finite_total"": 16400, ""inf_total"": 0, ""warning_count"": 0, ""warning_types"": [], ""tail_count"": 1200, ""tail_finite"": 1200, ""tail_finite_ratio"": 1.0, ""tail_unique"": 20, ""tail_std"": 0.30348848933344197, ""tail_abs_max"": 1.0, ""tail_abs_median"": 0.5, ""median_cs_unique"": 20.0, ""min_cs_unique"": 20}"
pv_v4_a_0237,V4,A,daily,engine_ready,nonlinear_basic,,,nonlinear,nonlinear,basic,exact_composite,"rank(tanh(10.0 * safe_div_null(close - open, open)))",日内实体的饱和压缩排名,"close,open","rank,safe_div_null,tanh",Return must be normalized by DataAccess to decimal ret; Factor is used only for event/change signals.,"rank(tanh(10.0 * safe_div_null(close - open, open)))","rank(tanh(10.0 * safe_div_null(close - open, open)))",,False,"rank,safe_div_null,tanh","close,open",,,,,production_candidate,strict_daily_core,,pass,240,False,not_required,latest DSL parse passed,core,web_v4_v5_v6,,,,,,rank_equivalent_duplicate_of:pv_v4_a_0232,"{""factor_id"": ""pv_v4_a_0237"", ""status"": ""pass"", ""finite_total"": 16400, ""inf_total"": 0, ""warning_count"": 0, ""warning_types"": [], ""tail_count"": 1200, ""tail_finite"": 1200, ""tail_finite_ratio"": 1.0, ""tail_unique"": 20, ""tail_std"": 0.30348848933344197, ""tail_abs_max"": 1.0, ""tail_abs_median"": 0.5, ""median_cs_unique"": 20.0, ""min_cs_unique"": 20}"
