operator,factor_usage,status,pit_safe,pandas_numpy,polars,sql,backends,param_names
ADX,58,experimental,False,True,True,False,"pandas_numpy,polars","high,low,close,window"
ATR_WILDER,271,experimental,True,True,True,True,"pandas_numpy,polars,sql","high,low,close,window"
RSI_WILDER,58,experimental,True,True,True,True,"pandas_numpy,polars,sql","x,window"
abs,562,production,True,True,True,True,"pandas_numpy,polars,sql",x
add,1315,production,True,True,True,True,"pandas_numpy,polars,sql","x,y"
and_,36,production,True,True,True,True,"pandas_numpy,polars,sql","x,y"
clip,90,production,True,True,True,True,"pandas_numpy,polars,sql","x,lo,hi"
coalesce,2258,production,True,True,True,True,"pandas_numpy,polars,sql","x,y"
cs_count,6,production,True,True,True,True,"pandas_numpy,polars,sql",x
cs_demean,27,production,True,True,True,True,"pandas_numpy,polars,sql",x
cs_mad,8,production,True,True,True,True,"pandas_numpy,polars,sql",x
cs_mad_zscore,501,production,True,True,True,True,"pandas_numpy,polars,sql",x
cs_mean,6,production,True,True,True,True,"pandas_numpy,polars,sql",x
cs_multi_resid,18,experimental,True,True,False,True,"pandas_numpy,sql","y,x1,x2,...,add_intercept,min_obs"
cs_pct_rank,18,production,True,True,True,True,"pandas_numpy,polars,sql",x
cs_rank_gaussian,10,experimental,False,True,False,False,pandas_numpy,"x,method"
cs_resid,2,production,True,True,False,True,"pandas_numpy,sql","y,x"
cs_std,6,production,True,True,True,True,"pandas_numpy,polars,sql",x
cs_sum,6,production,True,True,True,True,"pandas_numpy,polars,sql",x
cs_weighted_demean,20,experimental,False,True,False,False,pandas_numpy,"x,weight"
cs_wls_resid,10,experimental,True,True,False,True,"pandas_numpy,sql","y,x,weight,add_intercept,min_obs"
divide,338,production,True,True,True,True,"pandas_numpy,polars,sql","x,y"
exp,14,production,True,True,True,True,"pandas_numpy,polars,sql",x
fillna_const,2,production,True,True,True,True,"pandas_numpy,polars,sql","x,value"
ge,271,production,True,True,True,True,"pandas_numpy,polars,sql","x,y"
group_count,2,production,True,True,True,True,"pandas_numpy,polars,sql","x,group"
group_max,2,production,True,True,True,True,"pandas_numpy,polars,sql","x,group"
group_mean,2,production,True,True,True,True,"pandas_numpy,polars,sql","x,group"
group_min,2,production,True,True,True,True,"pandas_numpy,polars,sql","x,group"
group_neutralize,2,production,True,True,True,True,"pandas_numpy,polars,sql","x,group"
group_normalize,2,production,True,True,True,True,"pandas_numpy,polars,sql","x,group"
group_rank,2,production,True,True,True,True,"pandas_numpy,polars,sql","x,group"
group_std,2,production,True,True,True,True,"pandas_numpy,polars,sql","x,group"
group_sum,2,production,True,True,True,True,"pandas_numpy,polars,sql","x,group"
group_winsorize,2,production,True,True,True,True,"pandas_numpy,polars,sql","x,group,a"
group_zscore,2,production,True,True,True,True,"pandas_numpy,polars,sql","x,group"
gt,369,production,True,True,True,True,"pandas_numpy,polars,sql","x,y"
inverse,4,production,True,True,True,True,"pandas_numpy,polars,sql",x
is_finite,2,production,True,True,True,True,"pandas_numpy,polars,sql",x
le,258,production,True,True,True,True,"pandas_numpy,polars,sql","x,y"
log,372,production,True,True,True,True,"pandas_numpy,polars,sql",x
log_abs,8,production,True,True,True,True,"pandas_numpy,polars,sql",x
lt,296,production,True,True,True,True,"pandas_numpy,polars,sql","x,y"
maximum,108,production,True,True,True,True,"pandas_numpy,polars,sql","x,y"
minimum,87,production,True,True,True,True,"pandas_numpy,polars,sql","x,y"
multiply,1555,production,True,True,True,True,"pandas_numpy,polars,sql","x,y"
ne,8,production,True,True,True,True,"pandas_numpy,polars,sql","x,y"
neg,334,production,True,True,True,True,"pandas_numpy,polars,sql",x
normalize,6,production,True,True,True,True,"pandas_numpy,polars,sql",x
period_average,2,production,True,True,True,True,"pandas_numpy,polars,sql","x,period_id,periods,require_consecutive"
period_cagr,2,production,True,True,True,True,"pandas_numpy,polars,sql","x,period_id,periods,periods_per_year,sign_policy,require_consecutive"
period_change,2,production,True,True,True,True,"pandas_numpy,polars,sql","x,period_id,periods,mode,require_consecutive"
power,166,production,True,True,True,True,"pandas_numpy,polars,sql","x,y"
quarter_from_cumulative,2,production,True,True,True,True,"pandas_numpy,polars,sql","x,fiscal_quarter"
rank,4197,production,True,True,True,True,"pandas_numpy,polars,sql",x
safe_div_null,4289,production,True,True,True,True,"pandas_numpy,polars,sql","x,y,epsilon"
scale,4,production,True,True,True,True,"pandas_numpy,polars,sql","x,to"
sign,130,production,True,True,True,True,"pandas_numpy,polars,sql",x
signed_log,28,production,True,True,True,True,"pandas_numpy,polars,sql",x
signed_sqrt,34,production,True,True,True,True,"pandas_numpy,polars,sql",x
sqrt,64,production,True,True,True,True,"pandas_numpy,polars,sql",x
subtract,4562,production,True,True,True,True,"pandas_numpy,polars,sql","x,y"
tanh,80,production,True,True,True,True,"pandas_numpy,polars,sql",x
true_range,35,production,True,True,True,False,"pandas_numpy,polars","high,low,close"
ts_argmax,75,production,True,True,False,True,"pandas_numpy,sql","x,d"
ts_argmin,66,production,True,True,False,True,"pandas_numpy,sql","x,d"
ts_autocorr,161,production,True,True,True,True,"pandas_numpy,polars,sql","x,window,lag"
ts_beta,81,production,True,True,True,True,"pandas_numpy,polars,sql","y,x,window"
ts_bottomk_mean,9,experimental,True,True,False,False,pandas_numpy,"x,window,k,min_periods"
ts_bottomk_std,9,experimental,True,True,False,False,pandas_numpy,"x,window,k,min_periods"
ts_corr,390,production,True,True,True,True,"pandas_numpy,polars,sql","x,y,window"
ts_count_if,20,experimental,True,True,True,True,"pandas_numpy,polars,sql","condition,window,min_periods"
ts_cov,87,production,True,True,True,True,"pandas_numpy,polars,sql","x,y,window"
ts_days_since,9,experimental,True,True,True,True,"pandas_numpy,polars,sql","condition,max_lookback"
ts_decay_linear,115,production,True,True,False,True,"pandas_numpy,sql","x,window"
ts_delay,447,production,True,True,True,True,"pandas_numpy,polars,sql","x,n"
ts_delta,242,production,True,True,True,True,"pandas_numpy,polars,sql","x,n"
ts_ema,604,production,True,True,True,True,"pandas_numpy,polars,sql","x,span"
ts_kurt,73,production,True,True,False,False,pandas_numpy,"x,window"
ts_log_return,350,production,True,True,True,True,"pandas_numpy,polars,sql","x,d"
ts_mad,91,production,True,True,False,True,"pandas_numpy,sql","x,window"
ts_max,405,production,True,True,True,True,"pandas_numpy,polars,sql","x,window"
ts_max_drawdown,9,experimental,True,True,False,True,"pandas_numpy,sql","x,window,min_periods"
ts_mean,1377,production,True,True,True,True,"pandas_numpy,polars,sql","x,window"
ts_median,30,production,True,True,True,True,"pandas_numpy,polars,sql","x,window"
ts_min,378,production,True,True,True,True,"pandas_numpy,polars,sql","x,window"
ts_partial_corr,9,experimental,True,True,False,True,"pandas_numpy,sql","x,y,z,window,min_periods"
ts_pct,680,production,True,True,True,True,"pandas_numpy,polars,sql","x,d"
ts_product,48,production,True,True,False,True,"pandas_numpy,sql","x,window"
ts_quantile,128,production,True,True,True,True,"pandas_numpy,polars,sql","x,d,q"
ts_rank,46,production,True,True,True,True,"pandas_numpy,polars,sql","x,window"
ts_regression_r2,19,experimental,True,True,False,False,pandas_numpy,"y,x,window,min_periods,add_intercept"
ts_regression_resid,19,experimental,True,True,False,False,pandas_numpy,"y,x,window,min_periods,add_intercept"
ts_regression_slope,114,production,True,True,False,True,"pandas_numpy,sql","y,x,window,min_periods,add_intercept"
ts_sharpe,70,production,True,True,True,True,"pandas_numpy,polars,sql","x,window,ann_factor"
ts_skew,81,production,True,True,True,True,"pandas_numpy,polars,sql","x,window"
ts_std,412,production,True,True,True,True,"pandas_numpy,polars,sql","x,window"
ts_sum,577,production,True,True,True,True,"pandas_numpy,polars,sql","x,window"
ts_sum_if,9,experimental,True,True,True,True,"pandas_numpy,polars,sql","x,condition,window,min_periods"
ts_tail_mean,28,experimental,True,True,False,False,pandas_numpy,"x,window,q,side,min_periods"
ts_time_slope,74,production,True,True,False,True,"pandas_numpy,sql","x,d"
ts_topk_mean,9,experimental,True,True,False,False,pandas_numpy,"x,window,k,min_periods"
ts_topk_std,9,experimental,True,True,False,False,pandas_numpy,"x,window,k,min_periods"
ts_topk_sum,48,production,True,True,False,False,pandas_numpy,"x,d,k"
ts_trend_tstat,29,experimental,True,True,False,True,"pandas_numpy,sql","x,window,min_periods"
ts_true_streak,40,experimental,True,True,False,True,"pandas_numpy,sql",condition
ts_var,27,production,True,True,True,True,"pandas_numpy,polars,sql","x,window"
ts_zscore,469,production,True,True,True,True,"pandas_numpy,polars,sql","x,window"
ttm_from_cumulative,2,production,True,True,True,True,"pandas_numpy,polars,sql","x,fiscal_quarter"
ttm_from_quarterly,2,production,True,True,True,True,"pandas_numpy,polars,sql","x,fiscal_quarter"
where,649,production,True,True,True,True,"pandas_numpy,polars,sql","condition,v1,v2"
winsorize,28,production,True,True,True,True,"pandas_numpy,polars,sql","x,lower,upper"
yoy_by_period,2,production,True,True,True,True,"pandas_numpy,polars,sql","x,fiscal_quarter"
zscore,681,production,True,True,True,True,"pandas_numpy,polars,sql",x
