datetime,asset,combo,n_factors,combo_rank,n_universe,sw_l1,style,date,side
2026-08-17,603021.SH,0.7699681708052275,153,8.0,5208,轻工制造,消费,2026-08-17,enter_on_0817
2026-08-17,601018.SH,0.7642729453923963,153,10.0,5208,交通运输,其他,2026-08-17,enter_on_0817
2026-08-17,002608.SZ,0.7606781642359011,153,14.0,5208,公用事业,其他,2026-08-17,enter_on_0817
2026-08-17,601668.SH,0.7606155196402299,153,15.0,5208,建筑装饰,其他,2026-08-17,enter_on_0817
2026-08-17,603815.SH,0.7592769362859239,153,20.0,5208,建筑装饰,其他,2026-08-17,enter_on_0817
2026-08-17,000401.SZ,0.7585528988833877,153,22.0,5208,建筑材料,其他,2026-08-17,enter_on_0817
2026-08-17,603053.SH,0.7578069310124924,153,23.0,5208,公用事业,其他,2026-08-17,enter_on_0817
2026-08-17,600221.SH,0.7545000413543668,153,26.0,5208,交通运输,其他,2026-08-17,enter_on_0817
2026-08-17,688708.SH,0.7533435554855394,153,28.0,5208,国防军工,其他,2026-08-17,enter_on_0817
2026-08-17,002638.SZ,0.7523822935791762,153,29.0,5208,家用电器,消费,2026-08-17,enter_on_0817
2026-08-17,601800.SH,0.7514439837644512,153,32.0,5208,建筑装饰,其他,2026-08-17,enter_on_0817
2026-08-17,603693.SH,0.7508175374715687,153,33.0,5208,公用事业,其他,2026-08-17,enter_on_0817
2026-08-17,601669.SH,0.7503721791353731,153,35.0,5208,建筑装饰,其他,2026-08-17,enter_on_0817
2026-08-17,300682.SZ,0.7503378360983776,153,36.0,5208,计算机,科技,2026-08-17,enter_on_0817
2026-08-17,600035.SH,0.750185068491344,153,37.0,5208,交通运输,其他,2026-08-17,enter_on_0817
2026-08-17,001391.SZ,0.7495625172492861,153,40.0,5208,交通运输,其他,2026-08-17,enter_on_0817
2026-08-17,600021.SH,0.7479305501408834,153,41.0,5208,公用事业,其他,2026-08-17,enter_on_0817
2026-08-17,600023.SH,0.7477841055470703,153,42.0,5208,公用事业,其他,2026-08-17,enter_on_0817
2026-08-17,688100.SH,0.7461529424991465,153,43.0,5208,通信,科技,2026-08-17,enter_on_0817
2026-08-17,001896.SZ,0.7440564367328392,153,46.0,5208,公用事业,其他,2026-08-17,enter_on_0817
2026-08-17,600996.SH,0.7439090318650424,153,48.0,5208,传媒,科技,2026-08-17,enter_on_0817
2026-08-17,000488.SZ,0.7423931003085296,153,49.0,5208,轻工制造,消费,2026-08-17,enter_on_0817
2026-08-17,000543.SZ,0.7414517584994993,153,52.0,5208,公用事业,其他,2026-08-17,enter_on_0817
2026-08-17,600903.SH,0.7414318894205533,153,53.0,5208,公用事业,其他,2026-08-17,enter_on_0817
2026-08-17,001965.SZ,0.7409649812696836,153,54.0,5208,交通运输,其他,2026-08-17,enter_on_0817
2026-08-17,600720.SH,0.7404377397099329,153,58.0,5208,建筑装饰,其他,2026-08-17,enter_on_0817
2026-08-17,688538.SH,0.739886596688529,153,59.0,5208,电子,科技,2026-08-17,enter_on_0817
2026-08-17,600185.SH,0.7397438689367968,153,60.0,5208,商贸零售,消费,2026-08-17,enter_on_0817
2026-08-17,601111.SH,0.7392062957692658,153,61.0,5208,交通运输,其他,2026-08-17,enter_on_0817
2026-08-17,603568.SH,0.7390539077476388,153,62.0,5208,环保,其他,2026-08-17,enter_on_0817
2026-08-17,600576.SH,0.73860077179709,153,64.0,5208,社会服务,消费,2026-08-17,enter_on_0817
2026-08-17,600735.SH,0.7384511326532655,153,65.0,5208,纺织服饰,消费,2026-08-17,enter_on_0817
2026-08-17,601818.SH,0.7382272558724502,153,66.0,5208,银行,其他,2026-08-17,enter_on_0817
2026-08-17,300999.SZ,0.7381376306606267,153,67.0,5208,农林牧渔,消费,2026-08-17,enter_on_0817
2026-08-17,600025.SH,0.7378008566483027,153,69.0,5208,公用事业,其他,2026-08-17,enter_on_0817
2026-08-17,600027.SH,0.7374495680598813,153,70.0,5208,公用事业,其他,2026-08-17,enter_on_0817
2026-08-17,001213.SZ,0.7368824895945231,153,71.0,5208,交通运输,其他,2026-08-17,enter_on_0817
2026-08-17,600982.SH,0.7364810854599982,153,73.0,5208,公用事业,其他,2026-08-17,enter_on_0817
2026-08-17,600080.SH,0.735973249140637,153,76.0,5208,医药生物,其他,2026-08-17,enter_on_0817
2026-08-17,600084.SH,0.735611570809633,153,77.0,5208,食品饮料,消费,2026-08-17,enter_on_0817
