datetime,asset,combo,n_factors,combo_rank,n_universe,sw_l1,style,date,ret_0818
2026-08-14,000404.SZ,0.7808619660211612,153,1.0,5208,家用电器,消费,2026-08-14,-0.0014025245441794398
2026-08-14,601068.SH,0.7794097943002787,153,2.0,5208,建筑装饰,其他,2026-08-14,0.004464285714285587
2026-08-14,688219.SH,0.7740977144722752,153,3.0,5208,化工,其他,2026-08-14,-0.004681647940074751
2026-08-14,600930.SH,0.7661290616327802,153,4.0,5208,公用事业,其他,2026-08-14,-0.007389162561576179
2026-08-14,603008.SH,0.7656071914314978,153,5.0,5208,轻工制造,消费,2026-08-14,0.008883248730964466
2026-08-14,300737.SZ,0.7648975522286544,153,6.0,5208,建筑材料,其他,2026-08-14,-0.015779092702169595
2026-08-14,603992.SH,0.7594486086977669,153,7.0,5208,轻工制造,消费,2026-08-14,-0.02929427430093212
2026-08-14,300140.SZ,0.7550163607136282,153,8.0,5208,环保,其他,2026-08-14,0.007476635514018781
2026-08-14,600469.SH,0.7536882041001998,153,9.0,5208,汽车,其他,2026-08-14,-0.00941619585687381
2026-08-14,002053.SZ,0.7528638446223621,153,10.0,5208,公用事业,其他,2026-08-14,0.050429184549356076
2026-08-14,300047.SZ,0.7525318507013097,153,11.0,5208,计算机,科技,2026-08-14,-0.018575851393188847
2026-08-14,301632.SZ,0.7491006771196187,153,12.0,5208,社会服务,消费,2026-08-14,0.014388489208633004
2026-08-14,000016.SZ,0.7486481845278388,153,13.0,5208,家用电器,消费,2026-08-14,-0.004166666666666541
2026-08-14,002183.SZ,0.7469741551945832,153,14.0,5208,商贸零售,消费,2026-08-14,-0.023809523809523836
2026-08-14,300839.SZ,0.7452712091242057,153,15.0,5208,石油石化,其他,2026-08-14,0.005545286506469571
2026-08-14,600053.SH,0.7450510887873775,153,16.0,5208,非银金融,其他,2026-08-14,-0.009762900976290179
2026-08-14,003006.SZ,0.7434255839124105,153,17.0,5208,美容护理,消费,2026-08-14,0.005947955390334547
2026-08-14,000591.SZ,0.7433759463695179,153,18.0,5208,公用事业,其他,2026-08-14,-0.01830663615560646
2026-08-14,600115.SH,0.7422264040140713,153,19.0,5208,交通运输,其他,2026-08-14,-0.008498583569405027
2026-08-14,300069.SZ,0.7410433218801008,153,20.0,5208,电气设备,其他,2026-08-14,-0.003106662064204291
2026-08-14,301372.SZ,0.7407337073149984,153,21.0,5208,环保,其他,2026-08-14,0.029551630434782483
2026-08-14,603508.SH,0.7399254369763723,153,22.0,5208,计算机,科技,2026-08-14,-0.004158964879852123
2026-08-14,601901.SH,0.7398560666964273,153,23.0,5208,非银金融,其他,2026-08-14,-0.007256894049346818
2026-08-14,002868.SZ,0.7397690308034668,153,24.0,5208,农林牧渔,消费,2026-08-14,0.021570319240724833
2026-08-14,603100.SH,0.7396355685975031,153,25.0,5208,机械设备,其他,2026-08-14,0.0
2026-08-14,605166.SH,0.7395106229561007,153,26.0,5208,化工,其他,2026-08-14,-0.0117647058823529
2026-08-14,300470.SZ,0.7385773544377132,153,27.0,5208,机械设备,其他,2026-08-14,0.0038637161924832686
2026-08-14,000791.SZ,0.7372141860903301,153,28.0,5208,公用事业,其他,2026-08-14,-0.022546419098143256
2026-08-14,300553.SZ,0.7364278246565672,153,29.0,5208,机械设备,其他,2026-08-14,-0.031825795644891075
2026-08-14,000727.SZ,0.7362215834143355,153,30.0,5208,电子,科技,2026-08-14,0.004444444444444251
2026-08-14,688156.SH,0.7357694267042749,153,31.0,5208,农林牧渔,消费,2026-08-14,0.01123046875
2026-08-14,688707.SH,0.7349416018327437,153,32.0,5208,电气设备,其他,2026-08-14,-0.020541549953314697
2026-08-14,603416.SH,0.7338362877649022,153,33.0,5208,机械设备,其他,2026-08-14,-0.00725513905683195
2026-08-14,600163.SH,0.7330405862372807,153,34.0,5208,公用事业,其他,2026-08-14,-0.011741682974559797
2026-08-14,300867.SZ,0.732874342060619,153,35.0,5208,环保,其他,2026-08-14,0.059038344491783246
2026-08-14,603477.SH,0.732155061920357,153,36.0,5208,农林牧渔,消费,2026-08-14,0.006775067750677488
2026-08-14,600688.SH,0.7321519703055311,153,37.0,5208,石油石化,其他,2026-08-14,0.007117437722419906
2026-08-14,688089.SH,0.7319239887441954,153,38.0,5208,化工,其他,2026-08-14,-0.015544041450777257
2026-08-14,003019.SZ,0.7315427879076959,153,39.0,5208,电子,科技,2026-08-14,0.006794564348521215
2026-08-14,688033.SH,0.7312589327018603,153,40.0,5208,机械设备,其他,2026-08-14,0.0016420361247946325
2026-08-14,603822.SH,0.7301012947866187,153,41.0,5208,化工,其他,2026-08-14,0.02555066079295165
2026-08-14,003035.SZ,0.7300348254067722,153,42.0,5208,公用事业,其他,2026-08-14,-0.016513761467889854
2026-08-14,601868.SH,0.7293281275640291,153,43.0,5208,建筑装饰,其他,2026-08-14,-0.007843137254901933
2026-08-14,601022.SH,0.7284950538919273,153,44.0,5208,交通运输,其他,2026-08-14,0.015815085158150666
2026-08-14,601828.SH,0.7282532862051369,153,45.0,5208,商贸零售,消费,2026-08-14,-0.004566210045662045
2026-08-14,001237.SZ,0.7281021591014515,152,46.0,5208,机械设备,其他,2026-08-14,-0.01352569882777277
2026-08-14,001289.SZ,0.7278473670029084,153,47.0,5208,公用事业,其他,2026-08-14,-0.0031887755102040227
2026-08-14,603665.SH,0.7275898147893851,153,48.0,5208,纺织服饰,消费,2026-08-14,-0.01777575205104831
2026-08-14,603279.SH,0.7274160979765895,153,49.0,5208,机械设备,其他,2026-08-14,0.005573248407643394
2026-08-14,600866.SH,0.7268524384613023,153,50.0,5208,化工,其他,2026-08-14,0.01830663615560635
2026-08-14,603080.SH,0.7267510176447008,153,51.0,5208,公用事业,其他,2026-08-14,0.01953727506426728
2026-08-14,688006.SH,0.7266958978918066,153,52.0,5208,电气设备,其他,2026-08-14,0.09894921190893169
2026-08-14,688680.SH,0.7262670069118523,153,53.0,5208,电气设备,其他,2026-08-14,-0.009604519774011222
2026-08-14,603293.SH,0.7253074290896383,153,54.0,5208,汽车,其他,2026-08-14,-0.013955984970477564
2026-08-14,002772.SZ,0.7251212849079113,153,55.0,5208,农林牧渔,消费,2026-08-14,0.07428040854224705
2026-08-14,603098.SH,0.7242959765760045,153,56.0,5208,建筑装饰,其他,2026-08-14,0.004812319538017196
2026-08-14,601881.SH,0.7239658609889126,153,57.0,5208,非银金融,其他,2026-08-14,-0.015522875816993409
2026-08-14,600470.SH,0.7234213179801253,153,58.0,5208,化工,其他,2026-08-14,0.023214285714285854
2026-08-14,300831.SZ,0.7231861367694005,153,59.0,5208,电子,科技,2026-08-14,-0.02226588081204972
2026-08-14,603072.SH,0.7227776602894148,153,60.0,5208,有色金属,其他,2026-08-14,-0.007631257631257604
2026-08-14,002307.SZ,0.7224246699144703,153,61.0,5208,建筑装饰,其他,2026-08-14,-0.01661129568106301
2026-08-14,300928.SZ,0.7220951677624345,153,62.0,5208,汽车,其他,2026-08-14,-0.0019327406262079627
2026-08-14,600075.SH,0.7216873307173622,153,63.0,5208,化工,其他,2026-08-14,0.024608501118568382
2026-08-14,000927.SZ,0.7216459626638697,153,64.0,5208,机械设备,其他,2026-08-14,-0.004115226337448652
2026-08-14,002136.SZ,0.7216211342926453,153,65.0,5208,化工,其他,2026-08-14,-0.018638573743922193
2026-08-14,603299.SH,0.720937959160207,153,66.0,5208,化工,其他,2026-08-14,0.009879253567508295
2026-08-14,603468.SH,0.7208848983874585,143,67.0,5208,汽车,其他,2026-08-14,0.0011596443757246888
2026-08-14,603697.SH,0.7206540993286955,153,68.0,5208,食品饮料,消费,2026-08-14,0.025933609958506132
2026-08-14,601618.SH,0.7201702523898209,153,69.0,5208,建筑装饰,其他,2026-08-14,-0.007751937984496138
2026-08-14,000966.SZ,0.7200963119127289,153,70.0,5208,公用事业,其他,2026-08-14,-0.012195121951219523
2026-08-14,600285.SH,0.7199953859221321,153,71.0,5208,医药生物,其他,2026-08-14,0.012314007183170883
2026-08-14,603075.SH,0.7199559327244157,153,72.0,5208,家用电器,消费,2026-08-14,0.01882845188284521
2026-08-14,688343.SH,0.7199392687402643,153,73.0,5208,计算机,科技,2026-08-14,-0.023882032376983497
2026-08-14,603915.SH,0.71960966591333,153,74.0,5208,机械设备,其他,2026-08-14,0.010924981791696986
2026-08-14,603272.SH,0.7186310775262986,153,75.0,5208,轻工制造,消费,2026-08-14,-0.05581395348837204
2026-08-14,688277.SH,0.7183923597333902,153,76.0,5208,医药生物,其他,2026-08-14,0.03586626139817639
2026-08-14,600187.SH,0.717793461352305,153,77.0,5208,环保,其他,2026-08-14,-0.007407407407407418
2026-08-14,688041.SH,0.7177269514835055,153,78.0,5208,电子,科技,2026-08-14,-0.030193905817174627
2026-08-14,600029.SH,0.7176933508905277,153,79.0,5208,交通运输,其他,2026-08-14,-0.003976143141153132
2026-08-14,603135.SH,0.7174725687838652,153,80.0,5208,机械设备,其他,2026-08-14,-0.005257623554153379
2026-08-14,300910.SZ,0.7174597095400976,153,81.0,5208,化工,其他,2026-08-14,-0.004791743457427167
2026-08-14,688116.SH,0.7165791996525378,153,82.0,5208,电气设备,其他,2026-08-14,-0.016119402985074638
2026-08-14,600269.SH,0.7160300393104422,153,83.0,5208,交通运输,其他,2026-08-14,-0.00527704485488123
2026-08-14,601117.SH,0.7156688296912145,153,84.0,5208,建筑装饰,其他,2026-08-14,0.009421265141319024
2026-08-14,301325.SZ,0.7153826854243274,153,85.0,5208,电气设备,其他,2026-08-14,-0.003815580286168574
2026-08-14,688069.SH,0.7152721880550569,153,86.0,5208,环保,其他,2026-08-14,-0.006603773584905714
2026-08-14,000825.SZ,0.7149818422229086,153,87.0,5208,钢铁,其他,2026-08-14,-0.023121387283236983
2026-08-14,600416.SH,0.7149710119768242,153,88.0,5208,电气设备,其他,2026-08-14,-0.022246941045606317
