datetime,asset,combo,n_factors,combo_rank,n_universe,sw_l1,style,date
2026-08-11,603299.SH,0.7991157679155247,197,1.0,5206,化工,其他,2026-08-11
2026-08-11,603992.SH,0.7867707072154265,197,2.0,5206,轻工制造,消费,2026-08-11
2026-08-11,600269.SH,0.7849984690542164,197,3.0,5206,交通运输,其他,2026-08-11
2026-08-11,600930.SH,0.7725904587474685,197,4.0,5206,公用事业,其他,2026-08-11
2026-08-11,600029.SH,0.7676848745671243,197,5.0,5206,交通运输,其他,2026-08-11
2026-08-11,000825.SZ,0.7663240809322617,197,6.0,5206,钢铁,其他,2026-08-11
2026-08-11,688033.SH,0.7614881417394979,197,7.0,5206,机械设备,其他,2026-08-11
2026-08-11,601111.SH,0.7591850241321618,197,8.0,5206,交通运输,其他,2026-08-11
2026-08-11,600035.SH,0.7578467444632915,197,9.0,5206,交通运输,其他,2026-08-11
2026-08-11,600115.SH,0.75741641634764,197,10.0,5206,交通运输,其他,2026-08-11
2026-08-11,688121.SH,0.7567823047320461,197,11.0,5206,机械设备,其他,2026-08-11
2026-08-11,603855.SH,0.7562273747508539,197,12.0,5206,机械设备,其他,2026-08-11
2026-08-11,603194.SH,0.7559075467663866,197,13.0,5206,机械设备,其他,2026-08-11
2026-08-11,600568.SH,0.7538280327130263,197,14.0,5206,医药生物,其他,2026-08-11
2026-08-11,300301.SZ,0.7531434198300072,197,15.0,5206,电子,科技,2026-08-11
2026-08-11,601688.SH,0.7529982224435039,197,16.0,5206,非银金融,其他,2026-08-11
2026-08-11,300247.SZ,0.7526524558092955,197,17.0,5206,家用电器,消费,2026-08-11
2026-08-11,000541.SZ,0.7526504177533645,197,18.0,5206,家用电器,消费,2026-08-11
2026-08-11,601881.SH,0.7525417528646327,197,19.0,5206,非银金融,其他,2026-08-11
2026-08-11,688708.SH,0.7524605770851631,197,20.0,5206,国防军工,其他,2026-08-11
2026-08-11,000488.SZ,0.750973743479062,197,21.0,5206,轻工制造,消费,2026-08-11
2026-08-11,600221.SH,0.75042700259015,197,22.0,5206,交通运输,其他,2026-08-11
2026-08-11,600053.SH,0.7503217072593353,197,23.0,5206,非银金融,其他,2026-08-11
2026-08-11,002145.SZ,0.7500105267842144,197,24.0,5206,化工,其他,2026-08-11
2026-08-11,600866.SH,0.7479536578888212,197,25.0,5206,化工,其他,2026-08-11
2026-08-11,600688.SH,0.7478784383725325,197,26.0,5206,石油石化,其他,2026-08-11
2026-08-11,601377.SH,0.747773492563218,197,27.0,5206,非银金融,其他,2026-08-11
2026-08-11,603969.SH,0.7476673916476756,197,28.0,5206,机械设备,其他,2026-08-11
2026-08-11,600284.SH,0.7471471313625704,197,29.0,5206,建筑装饰,其他,2026-08-11
2026-08-11,601866.SH,0.7461864374996777,197,30.0,5206,交通运输,其他,2026-08-11
2026-08-11,600282.SH,0.7458918045796104,197,31.0,5206,钢铁,其他,2026-08-11
2026-08-11,000521.SZ,0.7449578418352039,197,32.0,5206,家用电器,消费,2026-08-11
2026-08-11,002066.SZ,0.7444794502398673,197,33.0,5206,建筑材料,其他,2026-08-11
2026-08-11,000727.SZ,0.7443199955709714,197,34.0,5206,电子,科技,2026-08-11
2026-08-11,603279.SH,0.7438742521957729,197,35.0,5206,机械设备,其他,2026-08-11
2026-08-11,601669.SH,0.7436855665367925,197,36.0,5206,建筑装饰,其他,2026-08-11
2026-08-11,600416.SH,0.7432944227272231,197,37.0,5206,电气设备,其他,2026-08-11
2026-08-11,601022.SH,0.7429656812669635,197,38.0,5206,交通运输,其他,2026-08-11
2026-08-11,603021.SH,0.7427174365940938,197,39.0,5206,轻工制造,消费,2026-08-11
2026-08-11,601818.SH,0.7426521904327403,197,40.0,5206,银行,其他,2026-08-11
2026-08-11,001289.SZ,0.7423916869401604,197,41.0,5206,公用事业,其他,2026-08-11
2026-08-11,603301.SH,0.7422750599085767,197,42.0,5206,医药生物,其他,2026-08-11
2026-08-11,601128.SH,0.741519653744255,197,43.0,5206,银行,其他,2026-08-11
2026-08-11,000766.SZ,0.7407054054897726,197,44.0,5206,医药生物,其他,2026-08-11
2026-08-11,600307.SH,0.7398186083681895,197,45.0,5206,钢铁,其他,2026-08-11
2026-08-11,688128.SH,0.7396661493930947,197,46.0,5206,机械设备,其他,2026-08-11
2026-08-11,000928.SZ,0.7396512265841498,197,47.0,5206,建筑装饰,其他,2026-08-11
2026-08-11,688538.SH,0.7395598011879568,197,48.0,5206,电子,科技,2026-08-11
2026-08-11,601618.SH,0.7394892834789294,197,49.0,5206,建筑装饰,其他,2026-08-11
2026-08-11,600006.SH,0.7393195219312292,197,50.0,5206,汽车,其他,2026-08-11
2026-08-11,603173.SH,0.7390835270662609,197,51.0,5206,机械设备,其他,2026-08-11
2026-08-11,603213.SH,0.7389685898586008,197,52.0,5206,化工,其他,2026-08-11
2026-08-11,601868.SH,0.7387396694677794,197,53.0,5206,建筑装饰,其他,2026-08-11
2026-08-11,000686.SZ,0.7382763504017026,197,54.0,5206,非银金融,其他,2026-08-11
2026-08-11,002034.SZ,0.7381121010768044,197,55.0,5206,环保,其他,2026-08-11
2026-08-11,688439.SH,0.7381026830636891,197,56.0,5206,国防军工,其他,2026-08-11
2026-08-11,600548.SH,0.7380204454314846,197,57.0,5206,交通运输,其他,2026-08-11
2026-08-11,002101.SZ,0.7375773687578886,197,58.0,5206,汽车,其他,2026-08-11
2026-08-11,600339.SH,0.7367786953637137,197,59.0,5206,石油石化,其他,2026-08-11
2026-08-11,688459.SH,0.7365844354542487,197,60.0,5206,机械设备,其他,2026-08-11
2026-08-11,600955.SH,0.7359969687670774,197,61.0,5206,化工,其他,2026-08-11
2026-08-11,601336.SH,0.7359710747508137,197,62.0,5206,非银金融,其他,2026-08-11
2026-08-11,601399.SH,0.7353219829416923,197,63.0,5206,机械设备,其他,2026-08-11
2026-08-11,000761.SZ,0.7352339393057613,197,64.0,5206,钢铁,其他,2026-08-11
2026-08-11,600020.SH,0.7350589914840446,197,65.0,5206,交通运输,其他,2026-08-11
2026-08-11,000157.SZ,0.7347332710408846,197,66.0,5206,机械设备,其他,2026-08-11
2026-08-11,688334.SH,0.7345578834547168,197,67.0,5206,社会服务,消费,2026-08-11
2026-08-11,000012.SZ,0.7342620548427233,197,68.0,5206,建筑材料,其他,2026-08-11
2026-08-11,002221.SZ,0.7338908978382799,197,69.0,5206,石油石化,其他,2026-08-11
2026-08-11,002736.SZ,0.7335654884822173,197,70.0,5206,非银金融,其他,2026-08-11
2026-08-11,601860.SH,0.7334317856359933,197,71.0,5206,银行,其他,2026-08-11
2026-08-11,603323.SH,0.7333653634187725,197,72.0,5206,银行,其他,2026-08-11
2026-08-11,601018.SH,0.7333573807333361,197,73.0,5206,交通运输,其他,2026-08-11
2026-08-11,688055.SH,0.7332574022663926,197,74.0,5206,电子,科技,2026-08-11
2026-08-11,600956.SH,0.7330293592481312,197,75.0,5206,公用事业,其他,2026-08-11
2026-08-11,605305.SH,0.7329171054120209,197,76.0,5206,机械设备,其他,2026-08-11
2026-08-11,601928.SH,0.7326349228811159,197,77.0,5206,传媒,科技,2026-08-11
2026-08-11,600167.SH,0.7323267566441856,197,78.0,5206,公用事业,其他,2026-08-11
2026-08-11,601901.SH,0.7322521243776146,197,79.0,5206,非银金融,其他,2026-08-11
2026-08-11,601019.SH,0.7317638041924811,197,80.0,5206,传媒,科技,2026-08-11
2026-08-11,600720.SH,0.7317026298334224,197,81.0,5206,建筑装饰,其他,2026-08-11
2026-08-11,601788.SH,0.7309567717158958,197,82.0,5206,非银金融,其他,2026-08-11
2026-08-11,600581.SH,0.7307937046600197,197,83.0,5206,钢铁,其他,2026-08-11
2026-08-11,002084.SZ,0.7307869104701278,197,84.0,5206,轻工制造,消费,2026-08-11
2026-08-11,600965.SH,0.7306373974015192,197,85.0,5206,农林牧渔,消费,2026-08-11
2026-08-11,600320.SH,0.7305582924500841,197,86.0,5206,机械设备,其他,2026-08-11
2026-08-11,603416.SH,0.7299082030487689,197,87.0,5206,机械设备,其他,2026-08-11
2026-08-11,000800.SZ,0.7298364057680805,197,88.0,5206,汽车,其他,2026-08-11
2026-08-11,001391.SZ,0.7298028438755783,197,89.0,5206,交通运输,其他,2026-08-11
2026-08-11,000166.SZ,0.7296756628443806,197,90.0,5206,非银金融,其他,2026-08-11
2026-08-11,601518.SH,0.7286176745482278,197,91.0,5206,交通运输,其他,2026-08-11
2026-08-11,001213.SZ,0.7285090338000297,197,92.0,5206,交通运输,其他,2026-08-11
2026-08-11,603075.SH,0.7283589345959413,197,93.0,5206,家用电器,消费,2026-08-11
2026-08-11,601800.SH,0.7277186663860272,197,94.0,5206,建筑装饰,其他,2026-08-11
2026-08-11,600808.SH,0.7275052539367879,197,95.0,5206,钢铁,其他,2026-08-11
2026-08-11,600480.SH,0.7273807614548249,197,96.0,5206,汽车,其他,2026-08-11
2026-08-11,000828.SZ,0.7272582633288133,197,97.0,5206,交通运输,其他,2026-08-11
2026-08-11,300831.SZ,0.7272357345812605,197,98.0,5206,电子,科技,2026-08-11
2026-08-11,601326.SH,0.7270881433540123,197,99.0,5206,交通运输,其他,2026-08-11
2026-08-11,002183.SZ,0.7267982834408646,197,100.0,5206,商贸零售,消费,2026-08-11
2026-08-12,603299.SH,0.8039542779158162,197,1.0,5208,化工,其他,2026-08-12
2026-08-12,600269.SH,0.7904948005005804,197,2.0,5208,交通运输,其他,2026-08-12
2026-08-12,603992.SH,0.7901891997506291,197,3.0,5208,轻工制造,消费,2026-08-12
2026-08-12,600930.SH,0.7782332766110438,197,4.0,5208,公用事业,其他,2026-08-12
2026-08-12,603665.SH,0.7743179603903713,197,5.0,5208,纺织服饰,消费,2026-08-12
2026-08-12,688033.SH,0.7720561428506845,197,6.0,5208,机械设备,其他,2026-08-12
2026-08-12,603969.SH,0.7713051193136318,197,7.0,5208,机械设备,其他,2026-08-12
2026-08-12,600568.SH,0.7683540784906019,197,8.0,5208,医药生物,其他,2026-08-12
2026-08-12,688708.SH,0.7676966026154648,197,9.0,5208,国防军工,其他,2026-08-12
2026-08-12,601669.SH,0.763371530838254,197,10.0,5208,建筑装饰,其他,2026-08-12
2026-08-12,001289.SZ,0.763283857715314,197,11.0,5208,公用事业,其他,2026-08-12
2026-08-12,603072.SH,0.763116623093387,197,12.0,5208,有色金属,其他,2026-08-12
2026-08-12,600029.SH,0.7627312771368071,197,13.0,5208,交通运输,其他,2026-08-12
2026-08-12,600339.SH,0.7598050517359731,197,14.0,5208,石油石化,其他,2026-08-12
2026-08-12,603021.SH,0.7597691423424232,197,15.0,5208,轻工制造,消费,2026-08-12
2026-08-12,600115.SH,0.7574995358298225,197,16.0,5208,交通运输,其他,2026-08-12
2026-08-12,603194.SH,0.7564812974699966,197,17.0,5208,机械设备,其他,2026-08-12
2026-08-12,688591.SH,0.7559828874455101,197,18.0,5208,电子,科技,2026-08-12
2026-08-12,688538.SH,0.7555370290543652,197,19.0,5208,电子,科技,2026-08-12
2026-08-12,601018.SH,0.7537071322875524,197,20.0,5208,交通运输,其他,2026-08-12
2026-08-12,600416.SH,0.7522860677867249,197,21.0,5208,电气设备,其他,2026-08-12
2026-08-12,601868.SH,0.752104382059229,197,22.0,5208,建筑装饰,其他,2026-08-12
2026-08-12,688121.SH,0.7508887443024754,197,23.0,5208,机械设备,其他,2026-08-12
2026-08-12,002066.SZ,0.7498299544953907,197,24.0,5208,建筑材料,其他,2026-08-12
2026-08-12,600027.SH,0.7494349550404317,197,25.0,5208,公用事业,其他,2026-08-12
2026-08-12,300529.SZ,0.7493360741274999,197,26.0,5208,医药生物,其他,2026-08-12
2026-08-12,601377.SH,0.7492910234055007,197,27.0,5208,非银金融,其他,2026-08-12
2026-08-12,601022.SH,0.749152442392304,197,28.0,5208,交通运输,其他,2026-08-12
2026-08-12,000928.SZ,0.7488144014764991,197,29.0,5208,建筑装饰,其他,2026-08-12
2026-08-12,600906.SH,0.7487982882339371,197,30.0,5208,非银金融,其他,2026-08-12
2026-08-12,301632.SZ,0.7476701913776801,197,31.0,5208,社会服务,消费,2026-08-12
2026-08-12,603271.SH,0.7474906422934767,197,32.0,5208,有色金属,其他,2026-08-12
2026-08-12,600835.SH,0.7474315644797294,197,33.0,5208,机械设备,其他,2026-08-12
2026-08-12,601881.SH,0.7472990697473484,197,34.0,5208,非银金融,其他,2026-08-12
2026-08-12,601326.SH,0.7467191669675511,197,35.0,5208,交通运输,其他,2026-08-12
2026-08-12,000825.SZ,0.7466758941251508,197,36.0,5208,钢铁,其他,2026-08-12
2026-08-12,002145.SZ,0.7466210374617812,197,37.0,5208,化工,其他,2026-08-12
2026-08-12,601111.SH,0.7464748284855357,197,38.0,5208,交通运输,其他,2026-08-12
2026-08-12,603053.SH,0.7463600920747793,197,39.0,5208,公用事业,其他,2026-08-12
