factor_name,display_name,rank_ic_close_改VWAP前,rank_ic_vwap_改VWAP后,rank_ic_vwap_行业中性,rank_ic_vwap_市值中性,rank_ic_vwap_行业市值双中性,变化_close到vwap,变化_vwap到行业中性,变化_vwap到市值中性,变化_vwap到双中性,rank_icir_close_改VWAP前,rank_icir_vwap_改VWAP后,rank_icir_vwap_行业中性,rank_icir_vwap_市值中性,rank_icir_vwap_行业市值双中性,变化_rankicir_close到vwap,变化_rankicir_vwap到行业中性,变化_rankicir_vwap到市值中性,变化_rankicir_vwap到双中性,rank_ic_2026_中性化前,rank_ic_2026_行业中性,rank_ic_2026_市值中性,rank_ic_2026_行业市值双中性,变化_2026_原始到行业中性,变化_2026_原始到市值中性,变化_2026_原始到双中性,rank_icir_2026_中性化前,rank_icir_2026_行业中性,rank_icir_2026_市值中性,rank_icir_2026_行业市值双中性,变化_rankicir_2026_原始到行业中性,变化_rankicir_2026_原始到市值中性,变化_rankicir_2026_原始到双中性,rank_ic_2026_交易日数,备注
factor_vwap_adjusted_range_tanh_smooth,factor_vwap_adjusted_range_tanh_smooth,0.072307,0.057495,0.050613,0.058129,0.051121,-0.014812,-0.006882,0.000634,-0.006374,0.512896,0.438256,0.624892,0.476766,0.688265,-0.074640,0.186636,0.038510,0.250009,0.023591,0.022418,0.021996,0.021766,-0.001173,-0.001594,-0.001824,0.164513,0.272912,0.160313,0.279522,0.108399,-0.004199,0.115009,114,
factor_vwap_adjusted_range_tanh_mutated_v2,factor_vwap_adjusted_range_tanh_mutated_v2,0.071248,0.056696,0.049596,0.057316,0.050182,-0.014552,-0.007100,0.000620,-0.006514,0.515347,0.439989,0.616720,0.482878,0.684696,-0.075358,0.176731,0.042889,0.244707,0.024745,0.022759,0.022880,0.021480,-0.001985,-0.001865,-0.003265,0.179372,0.291615,0.171950,0.286374,0.112243,-0.007422,0.107002,114,
factor_persistence_ewma,factor_persistence_ewma,0.055720,0.054157,0.049681,0.054655,0.049988,-0.001562,-0.004476,0.000497,-0.004169,0.335181,0.343948,0.480645,0.375195,0.550741,0.008767,0.136697,0.031247,0.206793,0.019119,0.025158,0.018880,0.025006,0.006039,-0.000238,0.005887,0.112776,0.257086,0.115524,0.269890,0.144310,0.002748,0.157114,114,
factor_mut_hc004_volpctrank_s12_clip2_5_volwin6,factor_mut_hc004_volpctrank_s12_clip2_5_volwin6,0.056045,0.054049,0.047039,0.053495,0.046701,-0.001995,-0.007010,-0.000555,-0.007349,0.419779,0.435184,0.527484,0.484031,0.628609,0.015405,0.092299,0.048847,0.193425,0.016339,0.016597,0.022060,0.022808,0.000258,0.005721,0.006468,0.129163,0.205297,0.208326,0.322529,0.076134,0.079163,0.193366,114,
factor_vol_price_log_range_gate_clipped_10day_mut_003,extra20:factor_vol_price_log_range_gate_clipped_10day_mut_003,,0.052149,0.047172,0.051263,0.046387,,-0.004977,-0.000886,-0.005762,,0.418675,0.509710,0.459601,0.601547,,0.091035,0.040925,0.182872,0.018496,0.017439,0.022202,0.021659,-0.001057,0.003706,0.003163,0.145939,0.202992,0.203065,0.303480,0.057054,0.057126,0.157541,114,无close基线
factor_persistence,factor_persistence,0.053142,0.051942,0.047377,0.052303,0.047579,-0.001200,-0.004565,0.000361,-0.004363,0.325811,0.337712,0.472234,0.366977,0.538763,0.011900,0.134522,0.029266,0.201051,0.017784,0.022591,0.017560,0.022422,0.004808,-0.000224,0.004638,0.107629,0.236084,0.110219,0.247336,0.128455,0.002590,0.139707,114,
week2_vol_quantile_stress,week2:vol_quantile_stress,0.054023,0.051802,0.035276,0.041684,0.031410,-0.002222,-0.016526,-0.010118,-0.020391,0.417737,0.425688,0.425395,0.371449,0.431187,0.007950,-0.000293,-0.054239,0.005500,0.009478,0.014341,0.010661,0.016032,0.004863,0.001183,0.006553,0.075290,0.171638,0.110376,0.188861,0.096347,0.035086,0.113570,114,
factor_vol_price_log_range_gate_clipped_boost_5day_mut_001,weekly:factor_vol_price_log_range_gate_clipped_boost_5day_mut_001,,0.051662,0.047173,0.051065,0.046690,,-0.004489,-0.000597,-0.004972,,0.409792,0.500210,0.451761,0.592363,,0.090418,0.041968,0.182570,0.018076,0.017096,0.021876,0.021398,-0.000980,0.003800,0.003322,0.140137,0.191812,0.195291,0.287331,0.051675,0.055154,0.147194,114,无close基线
factor_lag_vol_ratio_smoothed_v2,factor_lag_vol_ratio_smoothed_v2,0.053358,0.050908,0.037595,0.048459,0.035821,-0.002450,-0.013313,-0.002448,-0.015087,0.455528,0.468750,0.494892,0.478849,0.491094,0.013223,0.026141,0.010098,0.022343,0.017142,0.009826,0.023856,0.016183,-0.007316,0.006714,-0.000959,0.134592,0.140267,0.234958,0.286914,0.005675,0.100367,0.152322,114,
factor_lag_vol_robust_volratio,factor_lag_vol_robust_volratio,0.053728,0.050651,0.037254,0.048160,0.035700,-0.003077,-0.013397,-0.002491,-0.014950,0.473893,0.482404,0.485303,0.470932,0.470811,0.008511,0.002898,-0.011472,-0.011594,0.016674,0.008565,0.028692,0.018959,-0.008109,0.012018,0.002285,0.138785,0.127705,0.275636,0.276139,-0.011080,0.136850,0.137353,114,
week2_intraday_vol_surge,week2:intraday_vol_surge,0.052808,0.050184,0.045466,0.049856,0.045134,-0.002625,-0.004718,-0.000328,-0.005050,0.406827,0.414941,0.535079,0.448790,0.612842,0.008114,0.120138,0.033849,0.197901,0.017594,0.018109,0.019286,0.019668,0.000515,0.001692,0.002074,0.137042,0.213552,0.172954,0.275862,0.076510,0.035912,0.138820,114,
factor_squared_range_volume_rank_smoothed_no_cuberoot,factor_squared_range_volume_rank_smoothed_no_cuberoot,0.055410,0.050130,0.033538,0.032575,0.025584,-0.005280,-0.016592,-0.017555,-0.024546,0.313489,0.297440,0.444184,0.217799,0.347740,-0.016049,0.146745,-0.079641,0.050300,0.007648,0.011159,0.004180,0.012105,0.003511,-0.003468,0.004457,0.040973,0.158451,0.032183,0.171628,0.117478,-0.008790,0.130655,114,
factor_vol_surge_regime_gated,weekly:factor_vol_surge_regime_gated,,0.049933,0.045615,0.049470,0.045235,,-0.004317,-0.000463,-0.004698,,0.450928,0.570892,0.495092,0.677492,,0.119963,0.044163,0.226564,0.017053,0.017814,0.018613,0.019009,0.000762,0.001560,0.001956,0.148977,0.235995,0.187830,0.301914,0.087018,0.038853,0.152937,114,无close基线
factor_crossover_herding_stress_span12_volrank_clip3,extra20:factor_crossover_herding_stress_span12_volrank_clip3,,0.049596,0.042873,0.049176,0.042676,,-0.006724,-0.000420,-0.006920,,0.406515,0.483200,0.453623,0.574791,,0.076685,0.047109,0.168276,0.013327,0.014044,0.017673,0.019068,0.000716,0.004345,0.005741,0.107689,0.173890,0.170508,0.266256,0.066201,0.062819,0.158567,114,无close基线
factor_mut_hc004_volpctrank_w8,weekly:factor_mut_hc004_volpctrank_w8,,0.049596,0.042873,0.049176,0.042676,,-0.006724,-0.000420,-0.006920,,0.406515,0.483200,0.453623,0.574791,,0.076685,0.047109,0.168276,0.013327,0.014044,0.017673,0.019068,0.000716,0.004345,0.005741,0.107689,0.173890,0.170508,0.266256,0.066201,0.062819,0.158567,114,无close基线
factor_tanh_thrust_dynamic_smooth,factor_tanh_thrust_dynamic_smooth,0.050140,0.049525,0.042447,0.050656,0.043372,-0.000615,-0.007078,0.001131,-0.006153,0.400193,0.427380,0.555414,0.477434,0.640714,0.027187,0.128035,0.050055,0.213334,0.021054,0.015732,0.024816,0.018484,-0.005322,0.003762,-0.002570,0.164253,0.218983,0.214270,0.296694,0.054730,0.050018,0.132441,114,
factor_intraday_volume_tanh,extra20:factor_intraday_volume_tanh,,0.049423,0.044107,0.050034,0.044720,,-0.005317,0.000611,-0.004704,,0.420601,0.536570,0.464710,0.624693,,0.115969,0.044109,0.204092,0.019650,0.018416,0.023157,0.021595,-0.001234,0.003507,0.001945,0.157536,0.229400,0.212411,0.316090,0.071864,0.054875,0.158555,114,无close基线
alphasage_b0e9545fa66ab30a,alphasage_b0e9545fa66ab30a,0.046639,0.049356,0.041927,0.048453,0.041423,0.002716,-0.007428,-0.000903,-0.007932,0.318343,0.359640,0.533059,0.377013,0.561273,0.041296,0.173419,0.017373,0.201633,0.019414,0.024350,0.021745,0.027369,0.004936,0.002330,0.007955,0.129652,0.318213,0.163161,0.371173,0.188561,0.033509,0.241522,114,
factor_volume_pressure_ewm_smooth,extra20:factor_volume_pressure_ewm_smooth,,0.048662,0.044872,0.048995,0.045220,,-0.003790,0.000333,-0.003441,,0.392763,0.498327,0.433473,0.587112,,0.105564,0.040710,0.194349,0.018008,0.017718,0.019358,0.018697,-0.000290,0.001350,0.000689,0.143781,0.209185,0.174862,0.257791,0.065405,0.031081,0.114010,114,无close基线
week2_herd_stress_cross,week2:herd_stress_cross,0.050422,0.048635,0.032594,0.038891,0.028508,-0.001787,-0.016041,-0.009744,-0.020128,0.355005,0.366260,0.401044,0.313464,0.373838,0.011254,0.034784,-0.052795,0.007578,0.012643,0.011311,0.012013,0.013196,-0.001332,-0.000631,0.000552,0.093680,0.140414,0.118701,0.166503,0.046733,0.025021,0.072822,114,
week2_vol_weight_range_clip10,week2:vol_weight_range_clip10,0.050926,0.048283,0.040673,0.046067,0.039171,-0.002643,-0.007611,-0.002216,-0.009112,0.408173,0.417360,0.486792,0.423818,0.505359,0.009187,0.069432,0.006457,0.087999,0.018865,0.010917,0.025663,0.018205,-0.007948,0.006798,-0.000660,0.158432,0.141006,0.223592,0.209031,-0.017427,0.065160,0.050599,114,
