pick_rank,factor_name,candidate_id,campaign_id,train_ic,train_rank_ic,train_icir,train_rank_icir,fitness_label,formula
1,cogalpha_20260630074841_f29a08ef,cogalpha_20260630074841_f29a08ef,cogalpha_ashare_pv_202606301800,0.02699029075933178,0.051539260282751735,0.23393983202254362,,,"EWM( pct_change(close) * rank_pct8(volume) * ((high-low)/close), span=12 ) clip ±3"
2,cogalpha_20260630075856_c4558a55,cogalpha_20260630075856_c4558a55,cogalpha_ashare_pv_202606301800,0.023812086155244536,0.050089561406746606,0.2036668887625011,,,"EMA12( pct_change * log1p(volume/SMA5(volume)) * (1 + clip(zscore10(range), 0, 2)) )"
3,cogalpha_20260630073345_a6787278,cogalpha_20260630073345_a6787278,cogalpha_ashare_pv_202606301800,0.023280713195782635,0.04893937421110919,0.2313204882103819,,,"EWM( (close - close.shift(1))/close.shift(1) * (volume / SMA(volume,5)) * ((high-low)/close) , span=5 )"
4,cogalpha_20260630025411_56a5dd19,cogalpha_20260630025411_56a5dd19,cogalpha_ashare_pv_202606301800,0.03615952701424591,0.04889932595202404,0.3431552934141565,,,"tanh(ema( (close/shift(close,1)-1) * (volume/sma(volume,20)), 10 ) * ((close-low)/(high-low)))"
5,cogalpha_20260630092749_cc36ec98,cogalpha_20260630092749_cc36ec98,cogalpha_ashare_pv_202606301800,0.02491385577041812,0.04738135975535768,0.20208885921994807,,,"ewm(halflife=7, min_periods=7).mean((close/open-1) * clipped(volume/rolling_median(volume,10), 0.3, 2.0))"
6,cogalpha_20260630090734_2c371ded,cogalpha_20260630090734_2c371ded,cogalpha_ashare_pv_202606301800,0.022928893605877257,0.04689301523755262,0.21982282339541837,,,"smoothed(price_change * (volume / SMA(volume,20)) * (1 + zscore(range,10).clip(-2,2)), 10)"
7,cogalpha_20260630093800_9903647e,cogalpha_20260630093800_9903647e,cogalpha_ashare_pv_202606301800,0.02453794132184657,0.046703501718472464,0.2090045770461111,,,"0.95 * ewm(halflife=7, min_periods=7).mean((close/open-1) * clipped(volume/rolling_median(volume,10), 0.3, 3.0)) + 0.05 * rolling(10, min_periods=10).mean((close/open-1) * clipped(volume/rolling_median(volume,10), 0.3, 3.0))"
8,cogalpha_20260630084303_9d606e59,cogalpha_20260630084303_9d606e59,cogalpha_ashare_pv_202606301800,0.02950667608088379,0.04664023968354366,0.297092094851234,,,"smooth_range = ewm((high-low)/close, span=10); vol_ratio = volume / rolling_mean(volume,25); fast=ewm(vol_ratio,10); slow=ewm(vol_ratio,30); weight = sigmoid(5*(vol_ratio-0.85)); smooth_vol = weight*fast + (1-weight)*slow; direction=(close-open)/close; smooth_direction=ewm(direction, span=3); factor = smooth_range * smooth_vol * smooth_direction"
9,cogalpha_20260630080916_c4bd4f91,cogalpha_20260630080916_c4bd4f91,cogalpha_ashare_pv_202606301800,0.022824139396709707,0.04656076622703803,0.21507972193976613,,,"EMA10( pct_change * (volume/SMA20(volume)) * (1 + clip(zscore10(range), 0, 2)) )"
10,cogalpha_20260630083323_69492d5e,cogalpha_20260630083323_69492d5e,cogalpha_ashare_pv_202606301800,0.029358982929246498,0.046316243321374774,0.2957551625174669,,,"range_pct = (high-low)/close; smooth_range = ewm(range_pct, span=10); vol_ratio = volume / rolling_mean(volume,25); smooth_vol = ewm(vol_ratio, span=15); direction = (close-open)/close; smooth_direction = ewm(direction, span=3); factor = smooth_range * smooth_vol * smooth_direction"
11,cogalpha_20260630085240_b9415e04,cogalpha_20260630085240_b9415e04,cogalpha_ashare_pv_202606301800,0.029358982929246498,0.046316243321374774,0.2957551625174669,,,"smooth_range = ewm((high-low)/close, span=10); vol_ratio = volume / rolling_mean(volume,25); smooth_vol = ewm(vol_ratio, span=15); direction=(close-open)/close; smooth_direction=ewm(direction, span=3); factor = smooth_range * smooth_vol * smooth_direction"
12,cogalpha_20260702070916_4a2b9199,cogalpha_20260702070916_4a2b9199,cogalpha_ashare_pv_202606300915_w04,0.029442967957120196,0.04630511635190036,0.27894057716359033,,,"-EMA_5(intraday_return) * clip( std_20(close_ret) / std_60(close_ret), 0.5, 2.0 )"
13,cogalpha_20260630091249_346a8977,cogalpha_20260630091249_346a8977,cogalpha_ashare_pv_202606301800,0.022416324312946025,0.04620342103296348,0.21872426614676108,,,"smoothed(price_change * (volume / SMA(volume,20)) * (1 + zscore(range,10).clip(-2,2)), 8)"
14,cogalpha_20260630021752_f66cda18,cogalpha_20260630021752_f66cda18,cogalpha_ashare_pv_202606301800,0.024779604903388062,0.04596992335121053,0.20545081768486106,,,"EWM( (close/open - 1) * ( volume / rolling_max(volume,20) ), 20 )"
15,cogalpha_20260630095214_ad397993,cogalpha_20260630095214_ad397993,cogalpha_ashare_pv_202606301800,0.025533529696861137,0.04578849287978434,0.2504525954118104,,,"tanh(EWMA( (close/open-1) * (volume/SMA(volume,20)), span=20, adjust=False ))"
16,cogalpha_20260630090227_5baad9b2,cogalpha_20260630090227_5baad9b2,cogalpha_ashare_pv_202606301800,0.02254843864847131,0.04559752491737367,0.22193603439441176,,,"smoothed(price_change * (volume / SMA(volume,20)) * (1 + zscore(range,20)), 10)"
17,cogalpha_20260630100633_a472187d,cogalpha_20260630100633_a472187d,cogalpha_ashare_pv_202606301800,0.0260522495348493,0.0453432798062553,0.2592304838028626,,,"tanh(EWMA( (close/open-1) * (volume/SMA(volume,20)), span=10, adjust=false ))"
18,cogalpha_20260702043307_1c1f15bf,cogalpha_20260702043307_1c1f15bf,cogalpha_ashare_pv_202606300915_w04,0.02518657007869205,0.04494544743494019,0.2225785364472099,,,"- ewm(intraday_ret, span=5)"
19,cogalpha_20260630092237_0ad794d1,cogalpha_20260630092237_0ad794d1,cogalpha_ashare_pv_202606301800,0.02217332437322263,0.04470478204670646,0.23753439436899473,,,"smoothed(ret * (volume / rolling_median(volume, 20)))"
20,cogalpha_20260630024020_a436b80f,cogalpha_20260630024020_a436b80f,cogalpha_ashare_pv_202606301800,0.022960607078495992,0.04463275806296013,0.20307507539062275,,,"ema( (close / shift(close,1) - 1) * (volume / sma(volume,20)), 10 )"
