canonical,math_definition,reference_impl,semantic_hash,axis_semantics,sample_validity,missing_topology,current_row_requirement,tie_policy,ddof,quantile_interpolation,zero_denominator,zero_std,domain_policy,partial_window_policy,minimum_effective_sample,history_kind,history_formula,anchor_policy,parameter_binding_complete,hidden_kwargs,local_casts,sample_mask_policy,semantic_policy_disagreements,source_provenance,reference_smoke_pass,numba_native_pass,polars_native_pass,duckdb_native_pass,fallback_pass,native_used,fallback_used,prefix_invariance,chunk_invariance,column_permutation,metamorphic_properties,metamorphic_passed,math_defect,semantic_drift,fix_action,blockers
ADX,Wilder ADX，方向运动独立判断,pandas/numpy,fa18f9fdd7eb3784b44c476ec173b7520e16e703f53eec70d51da5516d071785,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
ATR_WILDER,共享真实波幅内核的 Wilder ATR,pandas/numpy,fa18f9fdd7eb3784b44c476ec173b7520e16e703f53eec70d51da5516d071785,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
CMF,Chaikin Money Flow.,pandas/numpy,51032387cd1f5eb5303b4993913d670a945bde9e4be4d13c9b29c48386624936,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
CMO,Chande momentum oscillator.,pandas/numpy,fa5b453763da712a8713993657e00295a0adc102aa0f0b9a54493bd6071753d1,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
ChaikinOscillator,Chaikin oscillator over the bounded rolling ADL flow (NOT cumulative ADL).,pandas/numpy,18c7a8e1185c8fb9448ebe52e4526127c611b7e9ba80e7f2f32a462f62a08ade,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
DEMA,Double exponential moving average.,pandas/numpy,938d1f58f173e8095aee3b803a4a20b14b4bc44fcdf3bd0c68611a2c0f13b1d4,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
DMI_minus,Wilder negative directional indicator.,pandas/numpy,516e76a5104cc2349d1bd4e9c173e65ca67ff8c79daecf6a5124dafdda189ce2,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
DMI_plus,Wilder positive directional indicator.,pandas/numpy,516e76a5104cc2349d1bd4e9c173e65ca67ff8c79daecf6a5124dafdda189ce2,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
DX,Directional movement index before ADX smoothing.,pandas/numpy,516e76a5104cc2349d1bd4e9c173e65ca67ff8c79daecf6a5124dafdda189ce2,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
EaseOfMovement,Ease-of-Movement with explicit smoothing and volume scale.,pandas/numpy,1055291721895ada028f9565ef1a559cf9483619f24ec0a431df3150a6dd087c,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
ForceIndex,EMA-smoothed price-change times volume.,pandas/numpy,e8edf181571ea1711146ef918f708f66183e1f8ccfbc924056303c65adecca60,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
KAMA,Kaufman adaptive moving average; recursive/stateful.,pandas/numpy,9c969885f2233ac6639f616676d85057e5231cc460be3bec97f7ab642b8d55b0,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
KeltnerLower,Keltner lower envelope.,pandas/numpy,9cf55a314f63e244ebf1254d3d1717a3bc741603df34084fd9dd1f3cacc33a31,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
KeltnerMid,Keltner EMA midline.,pandas/numpy,07df9fb3e1e3a2767b0977537648006b534621d7e7cbe7b854ba208ffd6cb03b,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
KeltnerPosition,Close position inside Keltner channel.,pandas/numpy,9cf55a314f63e244ebf1254d3d1717a3bc741603df34084fd9dd1f3cacc33a31,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
KeltnerUpper,Keltner upper envelope.,pandas/numpy,9cf55a314f63e244ebf1254d3d1717a3bc741603df34084fd9dd1f3cacc33a31,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
MACD_hist,MACD 柱；复用已有基础算子,pandas/numpy,3602fc43670789f1d705936d325de6d633d201bc0049cf7b0c213cd38ad6a293,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
MACD_line,快慢 EMA 之差；复用 ts_ema 与 subtract（signal 为兼容 no-op）,pandas/numpy,3602fc43670789f1d705936d325de6d633d201bc0049cf7b0c213cd38ad6a293,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
MACD_signal,MACD 信号线；复用 ts_ema,pandas/numpy,3602fc43670789f1d705936d325de6d633d201bc0049cf7b0c213cd38ad6a293,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
MFI,Money Flow Index.,pandas/numpy,51032387cd1f5eb5303b4993913d670a945bde9e4be4d13c9b29c48386624936,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
NATR,Normalized Wilder ATR as percent of close.,pandas/numpy,516e76a5104cc2349d1bd4e9c173e65ca67ff8c79daecf6a5124dafdda189ce2,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
PPO,Percentage price oscillator.,pandas/numpy,1fc4a223f2d5c1d2994323a83457c6080fc6398ee547113025145d12b3140f6e,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
PPO_hist,PPO histogram.,pandas/numpy,dac0b31f9730862cfff00dd9baeee4b63034cad29d6335b960dbc7a40ad434ee,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
PPO_signal,PPO signal line.,pandas/numpy,dac0b31f9730862cfff00dd9baeee4b63034cad29d6335b960dbc7a40ad434ee,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
PSAR,Parabolic SAR; recursive/stateful.,pandas/numpy,e0b3dd4fa1721a8be3d1654ac2fb65c48b4eb983baafa980b015e9a0d3242cd8,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
PVO,Percentage volume oscillator.,pandas/numpy,9d0cc1d171d109bdfee1b93640c3291a5fce06eb6655e5a0540be22c154ea299,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
PVO_hist,PVO histogram.,pandas/numpy,284f4d68430dd98b74d5642e1aa1e50233eac0c5705b7ce928dc1c99481012ce,panel,observed_roll,propagate,True,,1,linear,protected,zero,,min_periods,,,,trailing_end,True,,,,,inspect,,,,,,True,,,,,,,,,,
