canonical,family,default_feasibility_status
event_fano_factor,event_interval,PASS
event_interval_memory,event_interval,PASS
event_local_variation,event_interval,PASS
session_event_recovery_score,intraday,PASS (minute-session operator; daily probe input out-of-contract)
ts_activity_clock_age,activity_clock,PASS
ts_activity_clock_lagged_value,activity_clock,PASS
ts_chatterjee_xi,dependence,PASS
ts_cross_extremogram,tail,NO_DEFAULT_REQUIRED
ts_dmd_energy_concentration,dmd,NO_DEFAULT_REQUIRED
ts_effective_transfer_entropy,information,PASS
ts_expected_shortfall,tail,NO_DEFAULT_REQUIRED
ts_extremogram,tail,NO_DEFAULT_REQUIRED
ts_glr_mean_shift_score,glr,PASS
ts_glr_variance_shift_score,glr,PASS
ts_hankel_dmd,dmd,NO_DEFAULT_REQUIRED
ts_hankel_effective_rank,spectral,NO_DEFAULT_REQUIRED
ts_hill_tail_index,tail,PASS
ts_irreversibility_score,state_geometry,NO_DEFAULT_REQUIRED
ts_markov_chain_entropy_rate,markov,NO_DEFAULT_REQUIRED
ts_markov_stationary_concentration,markov,NO_DEFAULT_REQUIRED
ts_multifractal_spectrum_width,spectral,NO_DEFAULT_REQUIRED
ts_multiscale_permutation_entropy_slope,state_geometry,PASS
ts_quantile_crossing_spectral_concentration,quantile,PASS
ts_quantilogram,quantile,PASS
ts_roll_effective_spread,tail,NO_DEFAULT_REQUIRED
ts_transfer_entropy,information,PASS
