canonical,lane
calendar_day_diff,DIAGNOSTIC_RESEARCH
cs_autoencoder_reconstruction_error,DIAGNOSTIC_RESEARCH
cs_hartigan_dip,DIAGNOSTIC_RESEARCH
cs_huber_resid,DIAGNOSTIC_RESEARCH
cs_knn_distance,DIAGNOSTIC_RESEARCH
cs_knn_graph_dirichlet_energy,DIAGNOSTIC_RESEARCH
cs_knn_local_gradient_norm,DIAGNOSTIC_RESEARCH
cs_knn_local_linear_residual,DIAGNOSTIC_RESEARCH
cs_knn_local_moran,DIAGNOSTIC_RESEARCH
cs_knn_neighbor_retention,DIAGNOSTIC_RESEARCH
cs_knn_peer_mean_ex_self,DIAGNOSTIC_RESEARCH
cs_knn_tangent_residual,DIAGNOSTIC_RESEARCH
cs_multi_resid,DIAGNOSTIC_RESEARCH
cs_multi_ridge_resid,DIAGNOSTIC_RESEARCH
cs_neutralize,DIAGNOSTIC_RESEARCH
cs_physical_panel_coverage,DIAGNOSTIC_RESEARCH
cs_quantile,DIAGNOSTIC_RESEARCH
cs_quantile_resid,DIAGNOSTIC_RESEARCH
cs_regression,DIAGNOSTIC_RESEARCH
cs_ridge_resid,DIAGNOSTIC_RESEARCH
cs_universe_coverage,DIAGNOSTIC_RESEARCH
cs_wls_resid,DIAGNOSTIC_RESEARCH
directional_change_extent,DIAGNOSTIC_RESEARCH
directional_change_state,DIAGNOSTIC_RESEARCH
dollar_volume,DIAGNOSTIC_RESEARCH
dollar_volume_zscore,DIAGNOSTIC_RESEARCH
fin_period_restated,DIAGNOSTIC_RESEARCH
fin_restated_flag,DIAGNOSTIC_RESEARCH
fiscal_ar_resid_std,DIAGNOSTIC_RESEARCH
fiscal_asymmetric_elasticity,DIAGNOSTIC_RESEARCH
fiscal_regression_resid_std,DIAGNOSTIC_RESEARCH
group_ex_self_quantile,DIAGNOSTIC_RESEARCH
group_quantile_spread,DIAGNOSTIC_RESEARCH
group_wasserstein_barycenter_distance,DIAGNOSTIC_RESEARCH
industry_rolling_pca_loading,FAST_NATIVE_ALPHA
intra_bar_range_deviation,DIAGNOSTIC_RESEARCH
intra_bar_range_persistence,DIAGNOSTIC_RESEARCH
intra_extreme_bar_return,DIAGNOSTIC_RESEARCH
intra_market_model_r2,DIAGNOSTIC_RESEARCH
intra_market_model_r2_ex_self,DIAGNOSTIC_RESEARCH
intraday_profile_pca_residual,FAST_NATIVE_ALPHA
intraday_quantile_curve_pca_residual,FAST_NATIVE_ALPHA
intraday_quantile_curve_pca_score,FAST_NATIVE_ALPHA
panel_mixture_of_experts_score,MODEL_FEATURE_SCORE
panel_regime_conditioned_forecast,MODEL_FEATURE_SCORE
panel_rolling_elastic_net_forecast,MODEL_FEATURE_SCORE
panel_rolling_pca_explained_ratio,FAST_NATIVE_ALPHA
panel_rolling_pca_loading,FAST_NATIVE_ALPHA
panel_rolling_pca_resid,FAST_NATIVE_ALPHA
panel_rolling_pca_resid_momentum,FAST_NATIVE_ALPHA
panel_rolling_pca_resid_vol,FAST_NATIVE_ALPHA
panel_rolling_pcr_forecast,MODEL_FEATURE_SCORE
