     20 cleaned op 'event_response_reversal_strength' kwargs must be literals, got 'response'
     20 cleaned op 'event_response_peak_lag' kwargs must be literals, got 'response'
     20 cleaned op 'event_response_dispersion' kwargs must be literals, got 'response'
     20 cleaned op 'event_response_decay_rate' kwargs must be literals, got 'response'
     20 cleaned op 'event_historical_response_sign_balance' kwargs must be literals, got 'response'
     20 cleaned op 'event_historical_response_mean' kwargs must be literals, got 'response'
     18 cleaned op 'ts_quantilogram' kwargs must be literals, got 'x'
     15 cleaned op 'trade_when' kwargs must be literals, got 'fallback'
     14 cleaned op 'fiscal_standardized_surprise' kwargs must be literals, got 'x'
     14 cleaned op 'fiscal_sign_consistency' kwargs must be literals, got 'x'
     14 cleaned op 'fiscal_reversal_ratio' kwargs must be literals, got 'x'
     14 cleaned op 'fiscal_direction_consistency' kwargs must be literals, got 'x'
     14 cleaned op 'fiscal_autocorr' kwargs must be literals, got 'x'
     14 cleaned op 'fiscal_ar_resid_std' kwargs must be literals, got 'x'
     12 cleaned op 'ts_state_residual_life' kwargs must be literals, got 'state'
     12 cleaned op 'ts_state_exit_hazard' kwargs must be literals, got 'state'
     12 cleaned op 'ts_state_age_percentile' kwargs must be literals, got 'state'
     12 cleaned op 'ts_rank_if' kwargs must be literals, got 'x'
     12 cleaned op 'state_latch' kwargs must be literals, got 'set_condition'
     12 cleaned op 'state_ewm_if' kwargs must be literals, got 'x'
     11 cleaned op 'ts_markov_transition_surprisal' kwargs must be literals, got 'x'
     11 cleaned op 'ts_markov_stationary_surprisal' kwargs must be literals, got 'x'
     11 cleaned op 'ts_markov_state_entropy' kwargs must be literals, got 'x'
     11 cleaned op 'ts_markov_spectral_gap' kwargs must be literals, got 'x'
     11 cleaned op 'ts_markov_persistence' kwargs must be literals, got 'x'
     11 cleaned op 'ts_markov_mean_first_passage_time' kwargs must be literals, got 'x'
     11 cleaned op 'ts_markov_entropy_production' kwargs must be literals, got 'x'
     11 cleaned op 'ts_markov_committor' kwargs must be literals, got 'x'
     11 cleaned op 'ts_kramers_moyal_local_stability' kwargs must be literals, got 'x'
     11 cleaned op 'ts_km_quasipotential_depth' kwargs must be literals, got 'x'
     11 cleaned op 'ts_km_equilibrium_distance' kwargs must be literals, got 'x'
     11 cleaned op 'ts_km_diffusion_gradient' kwargs must be literals, got 'x'
     11 cleaned op 'ts_active_information_storage' kwargs must be literals, got 'x'
     10 cleaned op 'ts_cross_quantilogram' kwargs must be literals, got 'target'
     10 cleaned op 'ts_cross_extremogram' kwargs must be literals, got 'target'
     10 cleaned op 'event_hawkes_branching_ratio_proxy' kwargs must be literals, got 'event'
      9 cleaned op 'ts_weighted_expected_shortfall' kwargs must be literals, got 'x'
      9 cleaned op 'ts_weighted_drawdown_area' kwargs must be literals, got 'x'
      9 cleaned op 'ts_weighted_downside_deviation' kwargs must be literals, got 'x'
      9 cleaned op 'ts_quantile_crossing_spectral_concentration' kwargs must be literals, got 'x'
      9 cleaned op 'ts_extremogram' kwargs must be literals, got 'x'
      9 cleaned op 'ts_extremal_dependence_decay' kwargs must be literals, got 'x'
      8 cleaned op 'ts_transfer_entropy_peak_strength' kwargs must be literals, got 'x'
      8 cleaned op 'ts_transfer_entropy_peak_lag' kwargs must be literals, got 'x'
      8 cleaned op 'ts_hsic' kwargs must be literals, got 'x'
      8 cleaned op 'ts_expectile' kwargs must be literals, got 'x'
      8 cleaned op 'ts_distance_correlation_partial_proxy' kwargs must be literals, got 'x'
      8 cleaned op 'ts_cross_spectral_phase' kwargs must be literals, got 'x'
      8 cleaned op 'ts_cross_spectral_coherence' kwargs must be literals, got 'x'
      8 cleaned op 'ts_conditional_mutual_information' kwargs must be literals, got 'x'
      8 cleaned op 'ts_chatterjee_xi' kwargs must be literals, got 'x'
      7 cleaned op 'ts_cusum_pressure' kwargs must be literals, got 'x'
      6 cleaned op 'ts_pettitt_change_score' kwargs must be literals, got 'x'
      6 cleaned op 'ts_multiscale_trend_dispersion' kwargs must be literals, got 'x'
      6 cleaned op 'ts_multiscale_trend_curvature' kwargs must be literals, got 'x'
      6 cleaned op 'ts_multiscale_trend_consensus' kwargs must be literals, got 'x'
      6 cleaned op 'ts_glr_variance_shift_score' kwargs must be literals, got 'x'
      6 cleaned op 'ts_glr_mean_shift_score' kwargs must be literals, got 'x'
      6 cleaned op 'ts_expectile_beta' kwargs must be literals, got 'y'
      5 cleaned op 'ts_stratified_mean_spread' kwargs must be literals, got 'target'
      5 cleaned op 'ts_ssa_reconstruction_residual' kwargs must be literals, got 'x'
      5 cleaned op 'ts_spectral_quality_factor' kwargs must be literals, got 'x'
      5 cleaned op 'ts_spectral_peak_concentration' kwargs must be literals, got 'x'
      5 cleaned op 'ts_spectral_flatness' kwargs must be literals, got 'x'
      5 cleaned op 'ts_spectral_entropy' kwargs must be literals, got 'x'
      5 cleaned op 'ts_spectral_centroid' kwargs must be literals, got 'x'
      5 cleaned op 'ts_recurrence_trapping_time' kwargs must be literals, got 'x'
      5 cleaned op 'ts_recurrence_rate' kwargs must be literals, got 'x'
      5 cleaned op 'ts_recurrence_laminarity' kwargs must be literals, got 'x'
      5 cleaned op 'ts_recurrence_divergence' kwargs must be literals, got 'x'
      5 cleaned op 'ts_recurrence_diagonal_entropy' kwargs must be literals, got 'x'
      5 cleaned op 'ts_recurrence_determinism' kwargs must be literals, got 'x'
      5 cleaned op 'ts_persistence_entropy_h1' kwargs must be literals, got 'x'
      5 cleaned op 'ts_persistence_entropy_h0' kwargs must be literals, got 'x'
      5 cleaned op 'ts_multifractal_spectrum_width' kwargs must be literals, got 'x'
      5 cleaned op 'ts_multifractal_curvature' kwargs must be literals, got 'x'
      5 cleaned op 'ts_matrix_profile_novelty' kwargs must be literals, got 'x'
      5 cleaned op 'ts_matrix_profile_motif_age' kwargs must be literals, got 'x'
      5 cleaned op 'ts_lempel_ziv_complexity' kwargs must be literals, got 'x'
      5 cleaned op 'ts_lag_of_peak_corr' kwargs must be literals, got 'x'
      5 cleaned op 'ts_l_skewness' kwargs must be literals, got 'x'
      5 cleaned op 'ts_l_kurtosis' kwargs must be literals, got 'x'
      5 cleaned op 'ts_hvg_forward_backward_asymmetry' kwargs must be literals, got 'x'
      5 cleaned op 'ts_hvg_degree_entropy' kwargs must be literals, got 'x'
      5 cleaned op 'ts_hartigan_dip' kwargs must be literals, got 'x'
      5 cleaned op 'ts_hankel_singular_gap' kwargs must be literals, got 'x'
      5 cleaned op 'ts_hankel_effective_rank' kwargs must be literals, got 'x'
      5 cleaned op 'ts_generalized_hurst_spread_q1_q4' kwargs must be literals, got 'x'
      5 cleaned op 'ts_generalized_hurst_exponent' kwargs must be literals, got 'x'
      5 cleaned op 'ts_forbidden_ordinal_pattern_ratio' kwargs must be literals, got 'x'
      5 cleaned op 'ts_dominant_cycle_period' kwargs must be literals, got 'x'
      5 cleaned op 'ts_delay_intrinsic_dimension' kwargs must be literals, got 'x'
      5 cleaned op 'ts_autocorrelation_time' kwargs must be literals, got 'x'
      5 cleaned op 'fiscal_asymmetric_elasticity' kwargs must be literals, got 'cost'
      4 cleaned op 'ts_cpt_value' kwargs must be literals, got 'returns'
      3 cleaned op 'ts_vector_turning_coherence' kwargs must be literals, got 'x'
      3 cleaned op 'ts_vector_self_intersection_rate' kwargs must be literals, got 'x'
      3 cleaned op 'ts_vector_path_efficiency' kwargs must be literals, got 'x'
      3 cleaned op 'ts_vector_path_curvature' kwargs must be literals, got 'x'
      3 cleaned op 'ts_max_drawdown_activity_cost' kwargs must be literals, got 'x'
      3 cleaned op 'ts_extrema_divergence_strength' kwargs must be literals, got 'x'
      3 cleaned op 'ts_extrema_confirmation_rate' kwargs must be literals, got 'x'
      3 cleaned op 'ts_activity_clock_lagged_value' kwargs must be literals, got 'x'
      3 cleaned op 'ts_activity_clock_age' kwargs must be literals, got 'activity'
      3 cleaned op 'fiscal_perpetual_inventory' kwargs must be literals, got 'flow'
      1 cleaned op 'ts_turnover_reference_price' kwargs must be literals, got 'price'
      1 cleaned op 'ts_turnover_profit_share' kwargs must be literals, got 'price'
      1 cleaned op 'ts_turnover_old_mass' kwargs must be literals, got 'price'
      1 cleaned op 'ts_turnover_near_cost_mass' kwargs must be literals, got 'price'
      1 cleaned op 'ts_turnover_holding_age' kwargs must be literals, got 'price'
      1 cleaned op 'ts_turnover_cost_skew' kwargs must be literals, got 'price'
      1 cleaned op 'ts_turnover_cost_quantile_distance' kwargs must be literals, got 'price'
      1 cleaned op 'ts_turnover_cost_mode_distance' kwargs must be literals, got 'price'
      1 cleaned op 'ts_turnover_cost_entropy_vol_scaled' kwargs must be literals, got 'price'
      1 cleaned op 'ts_turnover_cost_entropy' kwargs must be literals, got 'price'
      1 cleaned op 'ts_turnover_cost_dispersion' kwargs must be literals, got 'price'
      1 cleaned op 'ts_turnover_age_dispersion' kwargs must be literals, got 'price'
      1 cleaned op 'ts_structural_level_strength' kwargs must be literals, got 'price'
      1 cleaned op 'ts_structural_level_density' kwargs must be literals, got 'price'
      1 cleaned op 'ts_recovery_fraction' kwargs must be literals, got 'x'
      1 cleaned op 'ts_nearest_structural_level_distance' kwargs must be literals, got 'price'
      1 cleaned op 'ts_current_drawdown_area' kwargs must be literals, got 'x'
      1 cleaned op 'directional_change_state' kwargs must be literals, got 'x'
      1 cleaned op 'directional_change_extent' kwargs must be literals, got 'x'
