model_family,parameter,param_role,searchable_by_miner
pcr,train_lookback,economic_horizon,True
pcr,n_components,model_complexity,True
pcr,label_horizon,economic_horizon,True
pls,n_components,model_complexity,True
elastic_net,alpha,regularization,False
elastic_net,l1_ratio,regularization,False
regime,n_regimes,model_complexity,True
regime,market_state,economic_horizon,True
moe,n_experts,model_complexity,True
kalman,q,regularization,False
kalman,r,regularization,False
garch,window,economic_horizon,True
ar,order,model_complexity,True
ar,window,economic_horizon,True
dmd,rank,estimator_resolution,False
dmd,dim,estimator_resolution,False
dmd,delay,estimator_resolution,False
rqa,dim,estimator_resolution,False
rqa,delay,estimator_resolution,False
rqa,eps,estimator_resolution,False
te,bins,estimator_resolution,False
knn,k,estimator_resolution,True
ssa,components,estimator_resolution,False
