canonical_name,num_implementations,backends,files,stateful
"ACF",1,"pandas","common/statistics.py",False
"ADX",2,"pandas|polars","technical/polars_signal.py|technical/signal.py",False
"ADXR",2,"pandas|polars","technical/polars_signal.py|technical/signal.py",False
"ALMA",1,"pandas","technical/new_indicators.py",False
"AROON",2,"pandas|polars","technical/polars_signal.py|technical/signal.py",False
"AROON_down",2,"pandas|polars","technical/polars_signal.py|technical/signal.py",False
"AROON_up",2,"pandas|polars","technical/polars_signal.py|technical/signal.py",False
"ATR",2,"pandas|polars","technical/polars_signal.py|technical/signal.py",False
"ATR_WILDER",2,"pandas|polars","technical/polars_signal.py|technical/signal.py",False
"Beta",2,"pandas|polars","common/polars_statistics.py|common/statistics.py",False
"BollingerBands",2,"pandas|polars","technical/polars_signal.py|technical/signal.py",False
"BollingerLower",2,"pandas|polars","technical/polars_signal.py|technical/signal.py",False
"BollingerUpper",2,"pandas|polars","technical/polars_signal.py|technical/signal.py",False
"CCI",2,"pandas|polars","technical/polars_signal.py|technical/signal.py",False
"CoppockCurve",1,"pandas","technical/new_indicators.py",False
"Corr",2,"pandas|polars","common/polars_statistics.py|common/statistics.py",False
"Cov",2,"pandas|polars","common/polars_statistics.py|common/statistics.py",False
"Covariance",2,"pandas|polars","common/polars_statistics.py|common/statistics.py",False
"DPO",2,"pandas|polars","technical/polars_signal.py|technical/signal.py",False
"ElderRay",1,"pandas","technical/new_indicators.py",False
"FisherTransform",1,"pandas","technical/new_indicators.py",False
"HMA",1,"pandas","technical/new_indicators.py",False
"Intercept",1,"pandas","common/statistics.py",False
"KAMA",2,"pandas|polars","technical/polars_signal.py|technical/signal.py",False
"Kurt",2,"pandas|polars","common/polars_statistics.py|common/statistics.py",False
"MACD",2,"pandas|polars","technical/polars_signal.py|technical/signal.py",False
"MACD_hist",2,"pandas|polars","technical/polars_signal.py|technical/signal.py",False
"MACD_line",2,"pandas|polars","technical/polars_signal.py|technical/signal.py",False
"MACD_signal",2,"pandas|polars","technical/polars_signal.py|technical/signal.py",False
"MOM",2,"pandas|polars","technical/polars_signal.py|technical/signal.py",False
"Mad",1,"pandas","common/statistics.py",False
"Median",2,"pandas|polars","common/polars_statistics.py|common/statistics.py",False
"Mode",2,"pandas|polars","common/polars_statistics.py|common/statistics.py",False
"OBV",2,"pandas|polars","technical/polars_signal.py|technical/signal.py",False
"Percentile",1,"pandas","common/statistics.py",False
"QQE",1,"pandas","technical/new_indicators.py",False
"R2",1,"pandas","common/statistics.py",False
"ROC",2,"pandas|polars","technical/polars_signal.py|technical/signal.py",False
"RSI",2,"pandas|polars","technical/polars_signal.py|technical/signal.py",False
"RSI_WILDER",2,"pandas|polars","technical/polars_signal.py|technical/signal.py",False
"RSX",1,"pandas","technical/new_indicators.py",False
"Residual",1,"pandas","common/statistics.py",False
"SMA",1,"pandas|polars","common/time_series.py",False
"Skew",2,"pandas|polars","common/polars_statistics.py|common/statistics.py",False
"Slope",1,"pandas","common/statistics.py",False
"StochasticD",2,"pandas|polars","technical/polars_signal.py|technical/signal.py",False
"StochasticK",2,"pandas|polars","technical/polars_signal.py|technical/signal.py",False
"Sum",1,"pandas","common/statistics.py",False
"TRIX",2,"pandas|polars","technical/polars_signal.py|technical/signal.py",False
"Var",2,"pandas|polars","common/polars_statistics.py|common/statistics.py",False
"WMA",2,"pandas|polars","common/time_series.py|technical/polars_signal.py",False
"WilliamsR",2,"pandas|polars","technical/polars_signal.py|technical/signal.py",False
"_AnomalyOp",1,"pandas","ts_model/sequence_anomaly.py",False
"_ArOp",1,"pandas","ts_model/ar_meanrev.py",False
"_ComplexityOp",1,"pandas","ts_model/complexity.py",False
"_ExpectileOp",1,"pandas","ts_model/dynamic_regression.py",False
"_FundamentalPolars",1,"polars","fundamental/polars_quality_v2.py",False
"_IndexListingPolars",1,"polars","index_listing/polars_ops_v2.py",False
"_MultiOp",1,"pandas","ts_model/dynamic_regression.py",False
"_PeerPolars",1,"polars","cross_section/polars_peer.py",False
"_PersistenceEntropy",1,"pandas","topology_ext.py",False
