canonical_name,operator_name,implementation_class,source_file,stateful,has_pandas,has_polars,has_duckdb
ACF,ACF,ACF,common/statistics.py,False,True,False,False
ADX,ADX,ADXPolars,technical/polars_signal.py,False,False,True,False
ADX,ADX,ADX,technical/signal.py,False,True,False,False
ADXR,ADXR,ADXRPolars,technical/polars_signal.py,False,False,True,False
ADXR,ADXR,ADXR,technical/signal.py,False,True,False,False
ALMA,ALMA,ALMA,technical/new_indicators.py,False,True,False,False
AROON,AROON,AroonPolars,technical/polars_signal.py,False,False,True,False
AROON,AROON,Aroon,technical/signal.py,False,True,False,False
AROON_down,AROON_down,AroonDownPolars,technical/polars_signal.py,False,False,True,False
AROON_down,AROON_down,AroonDown,technical/signal.py,False,True,False,False
AROON_up,AROON_up,AroonUpPolars,technical/polars_signal.py,False,False,True,False
AROON_up,AROON_up,AroonUp,technical/signal.py,False,True,False,False
ATR,ATR,ATRPolars,technical/polars_signal.py,False,False,True,False
ATR,ATR,ATR,technical/signal.py,False,True,False,False
ATR_WILDER,ATR_WILDER,ATRWilderPolars,technical/polars_signal.py,False,False,True,False
ATR_WILDER,ATR_WILDER,ATRWilder,technical/signal.py,False,True,False,False
Beta,Beta,BetaPolars,common/polars_statistics.py,False,False,True,False
Beta,Beta,Beta,common/statistics.py,False,True,False,False
BollingerBands,BollingerBands,BollingerBandsPolars,technical/polars_signal.py,False,False,True,False
BollingerBands,BollingerBands,BollingerBands,technical/signal.py,False,True,False,False
BollingerLower,BollingerLower,BollingerLowerPolars,technical/polars_signal.py,False,False,True,False
BollingerLower,BollingerLower,BollingerLower,technical/signal.py,False,True,False,False
BollingerUpper,BollingerUpper,BollingerUpperPolars,technical/polars_signal.py,False,False,True,False
BollingerUpper,BollingerUpper,BollingerUpper,technical/signal.py,False,True,False,False
CCI,CCI,CCIPolars,technical/polars_signal.py,False,False,True,False
CCI,CCI,CCI,technical/signal.py,False,True,False,False
CoppockCurve,CoppockCurve,CoppockCurve,technical/new_indicators.py,False,True,False,False
Corr,Corr,CorrPolars,common/polars_statistics.py,False,False,True,False
Corr,Corr,Corr,common/statistics.py,False,True,False,False
Cov,Cov,CovPolars,common/polars_statistics.py,False,False,True,False
Cov,Cov,Cov,common/statistics.py,False,True,False,False
Covariance,Covariance,CovariancePolars,common/polars_statistics.py,False,False,True,False
Covariance,Covariance,Covariance,common/statistics.py,False,True,False,False
DPO,DPO,DPOPolars,technical/polars_signal.py,False,False,True,False
DPO,DPO,DPO,technical/signal.py,False,True,False,False
ElderRay,ElderRay,ElderRay,technical/new_indicators.py,False,True,False,False
FisherTransform,FisherTransform,FisherTransform,technical/new_indicators.py,False,True,False,False
HMA,HMA,HMA,technical/new_indicators.py,False,True,False,False
Intercept,Intercept,Intercept,common/statistics.py,False,True,False,False
KAMA,KAMA,KAMAPolars,technical/polars_signal.py,False,False,True,False
KAMA,KAMA,KAMA,technical/signal.py,False,True,False,False
Kurt,Kurt,KurtPolars,common/polars_statistics.py,False,False,True,False
Kurt,Kurt,Kurt,common/statistics.py,False,True,False,False
MACD,MACD,MACDPolars,technical/polars_signal.py,False,False,True,False
MACD,MACD,MACD,technical/signal.py,False,True,False,False
MACD_hist,MACD_hist,MACDHistPolars,technical/polars_signal.py,False,False,True,False
MACD_hist,MACD_hist,MACDHist,technical/signal.py,False,True,False,False
MACD_line,MACD_line,MACDLinePolars,technical/polars_signal.py,False,False,True,False
MACD_line,MACD_line,MACDLine,technical/signal.py,False,True,False,False
MACD_signal,MACD_signal,MACDSignalPolars,technical/polars_signal.py,False,False,True,False
MACD_signal,MACD_signal,MACDSignal,technical/signal.py,False,True,False,False
MOM,MOM,MOMPolars,technical/polars_signal.py,False,False,True,False
MOM,MOM,MOM,technical/signal.py,False,True,False,False
Mad,Mad,Mad,common/statistics.py,False,True,False,False
Median,Median,MedianPolars,common/polars_statistics.py,False,False,True,False
Median,Median,Median,common/statistics.py,False,True,False,False
Mode,Mode,ModePolars,common/polars_statistics.py,False,False,True,False
Mode,Mode,Mode,common/statistics.py,False,True,False,False
OBV,OBV,OBVPolars,technical/polars_signal.py,False,False,True,False
OBV,OBV,OBV,technical/signal.py,False,True,False,False
Percentile,Percentile,Percentile,common/statistics.py,False,True,False,False
QQE,QQE,QQE,technical/new_indicators.py,False,True,False,False
R2,R2,R2,common/statistics.py,False,True,False,False
ROC,ROC,ROCPolars,technical/polars_signal.py,False,False,True,False
ROC,ROC,ROC,technical/signal.py,False,True,False,False
RSI,RSI,RSIPolars,technical/polars_signal.py,False,False,True,False
RSI,RSI,RSI,technical/signal.py,False,True,False,False
RSI_WILDER,RSI_WILDER,RSIWilderPolars,technical/polars_signal.py,False,False,True,False
RSI_WILDER,RSI_WILDER,RSIWilder,technical/signal.py,False,True,False,False
RSX,RSX,RSX,technical/new_indicators.py,False,True,False,False
Residual,Residual,Residual,common/statistics.py,False,True,False,False
SMA,SMA,SMA,common/time_series.py,False,True,True,False
Skew,Skew,SkewPolars,common/polars_statistics.py,False,False,True,False
Skew,Skew,Skew,common/statistics.py,False,True,False,False
Slope,Slope,Slope,common/statistics.py,False,True,False,False
StochasticD,StochasticD,StochasticDPolars,technical/polars_signal.py,False,False,True,False
StochasticD,StochasticD,StochasticD,technical/signal.py,False,True,False,False
StochasticK,StochasticK,StochasticKPolars,technical/polars_signal.py,False,False,True,False
StochasticK,StochasticK,StochasticK,technical/signal.py,False,True,False,False
Sum,Sum,Sum,common/statistics.py,False,True,False,False
TRIX,TRIX,TRIXPolars,technical/polars_signal.py,False,False,True,False
TRIX,TRIX,TRIX,technical/signal.py,False,True,False,False
Var,Var,VarPolars,common/polars_statistics.py,False,False,True,False
Var,Var,Var,common/statistics.py,False,True,False,False
WMA,WMA,WMA,common/time_series.py,False,True,True,False
WMA,WMA,WMAPolars,technical/polars_signal.py,False,False,True,False
WilliamsR,WilliamsR,WilliamsRPolars,technical/polars_signal.py,False,False,True,False
WilliamsR,WilliamsR,WilliamsR,technical/signal.py,False,True,False,False
_AnomalyOp,_AnomalyOp,_AnomalyOp,ts_model/sequence_anomaly.py,False,True,False,False
_ArOp,_ArOp,_ArOp,ts_model/ar_meanrev.py,False,True,False,False
_ComplexityOp,_ComplexityOp,_ComplexityOp,ts_model/complexity.py,False,True,False,False
_ExpectileOp,_ExpectileOp,_ExpectileOp,ts_model/dynamic_regression.py,False,True,False,False
_FundamentalPolars,_FundamentalPolars,_FundamentalPolars,fundamental/polars_quality_v2.py,False,False,True,False
_IndexListingPolars,_IndexListingPolars,_IndexListingPolars,index_listing/polars_ops_v2.py,False,False,True,False
_MultiOp,_MultiOp,_MultiOp,ts_model/dynamic_regression.py,False,True,False,False
_PeerPolars,_PeerPolars,_PeerPolars,cross_section/polars_peer.py,False,False,True,False
_PersistenceEntropy,_PersistenceEntropy,_PersistenceEntropy,topology_ext.py,False,True,False,False
_ProfileCloseOp,_ProfileCloseOp,_ProfileCloseOp,intraday/time_structure.py,False,True,False,False
_ProfileOp,_ProfileOp,_ProfileOp,intraday/time_structure.py,False,True,False,False
_ShareholderPolars,_ShareholderPolars,_ShareholderPolars,shareholder/polars_churn_network.py,False,False,True,False
_SigOp,_SigOp,_SigOp,ts_model/path_signature.py,False,True,False,False
_StateOp,_StateOp,_StateOp,ts_model/state_space.py,True,True,False,False
_TailOp,_TailOp,_TailOp,intraday/higher_moments.py,False,True,False,False
_TsPolars,_TsPolars,_TsPolars,ts_model/polars_regression.py,False,False,True,False
_ValuationPolars,_ValuationPolars,_ValuationPolars,valuation/polars_ops_v2.py,False,False,True,False
_VolOp,_VolOp,_VolOp,ts_model/volatility.py,False,True,False,False
_WaveOp,_WaveOp,_WaveOp,ts_model/wavelet_spectral.py,False,True,False,False
abs,abs,Abs,common/elementwise.py,False,True,False,True
abs,abs,AbsPolars,common/polars_ops.py,False,False,True,False
acos,acos,Acos,common/elementwise.py,False,True,False,True
acos,acos,AcosPolars,common/polars_math_extended.py,False,True,True,True
acos_bounded,acos_bounded,AcosBounded,common/elementwise.py,False,True,False,True
add,add,AddOp,common/elementwise.py,False,True,False,True
add,add,AddPolars,common/polars_ops.py,False,False,True,False
aggr_top_n,aggr_top_n,AggrTopNPolars,common/polars_batch_mirror.py,False,False,True,False
aggr_top_n,aggr_top_n,AggrTopN,common/time_series.py,False,True,True,False
and_,and_,AndOp,common/elementwise.py,False,True,False,True
arg,arg,Arg,common/elementwise.py,False,True,False,True
