canonical,surface,available_at,same_session_usable,inferred_available_at,inferred_same_session_usable,input_panels,status
ADX,daily,,,session_close,False,"['high', 'low', 'close']",NEEDS_DECL
ALMA,extended,,,,,['x'],OK
ATR_WILDER,daily,,,session_close,False,"['high', 'low', 'close']",NEEDS_DECL
CMF,daily,,,,,[],OK
CMO,daily,,,,,[],OK
ChaikinOscillator,daily,,,,,[],OK
CoppockCurve,extended,,,session_close,False,['close'],NEEDS_DECL
DEMA,daily,,,,,[],OK
DMI_minus,daily,,,,,[],OK
DMI_plus,daily,,,,,[],OK
DX,daily,,,,,[],OK
EaseOfMovement,daily,,,,,[],OK
ElderRay,extended,,,session_close,False,"['high', 'low', 'close']",NEEDS_DECL
FisherTransform,extended,,,session_close,False,"['high', 'low']",NEEDS_DECL
ForceIndex,daily,,,,,[],OK
HMA,extended,,,,,['x'],OK
KAMA,daily,,,,,[],OK
KeltnerLower,daily,,,,,[],OK
KeltnerMid,daily,,,,,[],OK
KeltnerPosition,daily,,,,,[],OK
KeltnerUpper,daily,,,,,[],OK
MACD_hist,daily,,,,,['x'],OK
MACD_line,daily,,,,,['x'],OK
MACD_signal,daily,,,,,['x'],OK
MFI,daily,,,,,[],OK
NATR,daily,,,,,[],OK
PPO,daily,,,,,[],OK
PPO_hist,daily,,,,,[],OK
PPO_signal,daily,,,,,[],OK
PSAR,daily,,,,,[],OK
PVO,daily,,,,,[],OK
PVO_hist,daily,,,,,[],OK
PVO_signal,daily,,,,,[],OK
QQE,extended,,,,,['x'],OK
RSI_WILDER,daily,,,,,['x'],OK
RSX,extended,,,,,['x'],OK
Supertrend,daily,,,,,[],OK
SupertrendDirection,daily,,,,,[],OK
TEMA,daily,,,,,[],OK
TSI,daily,,,,,[],OK
TSI_signal,daily,,,,,[],OK
UltimateOscillator,daily,,,,,[],OK
VortexMinus,daily,,,,,[],OK
VortexPlus,daily,,,,,[],OK
WMA,extended,,,,,['x'],OK
a_share_cap_ratio,daily,,,,,[],OK
abnormal_turnover,daily,,,,,[],OK
abnormal_volume,daily,,,,,[],OK
abs,daily,,,,,['x'],OK
abs_return_volume_corr,daily,,,,,[],OK
accounting_comparability_score,extended,,,,,[],OK
acos,daily,,,,,['x'],OK
acos_bounded,extended,,,,,['x'],OK
add,daily,,,,,[],OK
adv,daily,,,,,[],OK
altman_z_score,daily,,,,,[],OK
amihud_illiquidity,daily,,,,,[],OK
and_,daily,,,,,[],OK
aq1_accrual_ratio_dispersion,extended,,,,,"['working_capital', 'earnings']",OK
aq1_accrual_stability,extended,,,,,"['working_capital', 'earnings']",OK
aq1_cash_conversion_strength,extended,,,,,"['operating_cash_flow', 'earnings']",OK
aq1_cash_flow_volatility,extended,,,,,['operating_cash_flow'],OK
aq1_working_capital_accrual,extended,,,,,"['working_capital', 'earnings']",OK
ashare_days_since_limit_down,daily,,,,,['limit_down_event'],OK
ashare_days_since_limit_up,daily,,,,,['limit_up_event'],OK
ashare_failed_limit_count,daily,,,session_close,False,"['high', 'low', 'close', 'high_limit', 'low_limit']",NEEDS_DECL
ashare_limit_asymmetry,daily,,,,,"['up_event', 'down_event']",OK
ashare_limit_distance,daily,,,session_close,False,"['close', 'upper_limit']",NEEDS_DECL
ashare_limit_down_streak,daily,,,session_close,False,"['close', 'low_limit', 'valid_trade']",NEEDS_DECL
ashare_limit_down_touch,daily,,,session_close,False,"['low', 'lower_limit']",NEEDS_DECL
ashare_limit_down_volume_ratio,daily,,,session_close,False,"['volume', 'limit_down_event']",NEEDS_DECL
ashare_limit_event_density,daily,,,,,"['event', 'known_status']",OK
ashare_limit_failed,daily,,,session_close,False,"['high', 'close', 'upper_limit']",NEEDS_DECL
ashare_limit_one_price,daily,,,session_close,False,"['high', 'low', 'close', 'upper_limit', 'lower_limit']",NEEDS_DECL
ashare_limit_open_down_streak,daily,,,,,"['low_limit', 'valid_trade']",OK
ashare_limit_open_failed,daily,,,session_close,False,"['low', 'upper_limit']",NEEDS_DECL
ashare_limit_open_up_streak,daily,,,,,"['high_limit', 'valid_trade']",OK
ashare_limit_touch_count,daily,,,session_close,False,"['high', 'low', 'high_limit', 'low_limit']",NEEDS_DECL
ashare_limit_up_streak,daily,,,session_close,False,"['close', 'high_limit', 'valid_trade']",NEEDS_DECL
