name,risk_class,removed_since,had_executable
Lead,future_reference,R30,False
bfill,noncausal_fill,R30,False
causal_bfill,noncausal_fill,R30,False
fillna_interpolate,noncausal_fill,R30,False
interpolate,noncausal_fill,R30,False
lead,future_reference,R30,False
next,future_reference,R30,False
norm,removed_duplicate,R30,False
norm_l1,removed_duplicate,R30,False
norm_linf,removed_duplicate,R30,False
rand_exp,random,R30,False
rand_lognormal,random,R30,False
rand_normal,random,R30,False
rand_poisson,random,R30,False
rand_uniform,random,R30,False
sample,random,R30,False
shuffle,random,R30,False
