canonical,param,role,role_source
CMO,window,horizon,authored
DEMA,window,horizon,authored
DMI_minus,window,horizon,authored
DMI_plus,window,horizon,authored
DX,window,horizon,authored
EaseOfMovement,volume_scale,NONE,authored
KAMA,er_window,horizon,authored
KAMA,fast_window,horizon,authored
KAMA,slow_window,horizon,authored
KeltnerLower,ema_window,horizon,authored
KeltnerLower,atr_window,horizon,authored
KeltnerLower,multiplier,state_threshold,authored
KeltnerMid,ema_window,horizon,authored
KeltnerPosition,ema_window,horizon,authored
KeltnerPosition,atr_window,horizon,authored
KeltnerPosition,multiplier,state_threshold,authored
KeltnerUpper,ema_window,horizon,authored
KeltnerUpper,atr_window,horizon,authored
KeltnerUpper,multiplier,state_threshold,authored
MACD_line,signal,policy,authored
NATR,window,horizon,authored
PPO,fast_window,horizon,authored
PPO,slow_window,horizon,authored
PPO_hist,fast_window,horizon,authored
PPO_hist,slow_window,horizon,authored
PPO_hist,signal_window,horizon,authored
PPO_signal,fast_window,horizon,authored
PPO_signal,slow_window,horizon,authored
PPO_signal,signal_window,horizon,authored
PSAR,acceleration,state_threshold,authored
PSAR,maximum,state_threshold,authored
PVO,fast_window,horizon,authored
PVO,slow_window,horizon,authored
PVO_hist,fast_window,horizon,authored
PVO_hist,slow_window,horizon,authored
PVO_hist,signal_window,horizon,authored
PVO_signal,fast_window,horizon,authored
PVO_signal,slow_window,horizon,authored
PVO_signal,signal_window,horizon,authored
Supertrend,atr_window,horizon,authored
Supertrend,multiplier,state_threshold,authored
SupertrendDirection,atr_window,horizon,authored
SupertrendDirection,multiplier,state_threshold,authored
TEMA,window,horizon,authored
TSI,long_window,horizon,authored
TSI,short_window,horizon,authored
TSI_signal,long_window,horizon,authored
TSI_signal,short_window,horizon,authored
TSI_signal,signal_window,horizon,authored
UltimateOscillator,short_window,horizon,authored
UltimateOscillator,medium_window,horizon,authored
UltimateOscillator,long_window,horizon,authored
UltimateOscillator,short_weight,NONE,authored
UltimateOscillator,medium_weight,NONE,authored
UltimateOscillator,long_weight,NONE,authored
VortexMinus,window,horizon,authored
VortexPlus,window,horizon,authored
baseline_scaled_wasserstein_distance,session_tz,NONE,authored
candle_body_percentile,window,horizon,authored
candle_body_zscore,window,horizon,authored
candle_gap_atr,atr_window,horizon,authored
candle_lower_shadow_zscore,window,horizon,authored
candle_range_percentile,window,horizon,authored
candle_range_zscore,window,horizon,authored
candle_upper_shadow_zscore,window,horizon,authored
candlestick_pattern,body_window,horizon,authored
candlestick_pattern,shadow_window,horizon,authored
candlestick_pattern,penetration,state_threshold,rule
clip,lo,economic,authored
clip,hi,economic,authored
cs_autoencoder_reconstruction_error,window,horizon,rule
cs_hartigan_dip,min_cross,support_policy,rule
cs_impute_mean,min_finite,support_policy,rule
cs_impute_median,min_finite,support_policy,rule
cs_isotonic_residual_lagged_direction,lookback,estimator_resolution,authored
cs_knn_local_gradient_norm,k,estimator_resolution,authored
cs_knn_local_gradient_norm,ridge,estimator_resolution,authored
cs_knn_local_linear_residual,k,estimator_resolution,authored
cs_knn_local_linear_residual,ridge,estimator_resolution,authored
cs_knn_tangent_residual,k,estimator_resolution,authored
