canonical,family,duckdb_emitter,duckdb_parity,duckdb_prod_safe,value_ok,mask_ok,dtype_ok,index_ok,clickhouse_parity,recommended_target
add,core,yes,pass,yes,True,True,True,True,not-certified,duckdb_sql
subtract,core,yes,pass,yes,True,True,True,True,not-certified,duckdb_sql
multiply,core,yes,pass,yes,True,True,True,True,not-certified,duckdb_sql
divide,core,yes,pass,yes,True,True,True,True,not-certified,duckdb_sql
abs,core,yes,pass,yes,True,True,True,True,not-certified,duckdb_sql
log,core,yes,pass,yes,True,True,True,True,not-certified,duckdb_sql
exp,core,yes,pass,yes,True,True,True,True,not-certified,duckdb_sql
sqrt,core,yes,pass,yes,True,True,True,True,not-certified,duckdb_sql
sign,core,yes,pass-value-mask,yes,True,True,False,True,not-certified,duckdb_sql
clip,core,yes,no-ref,no,,,,,not-certified,pandas_numpy
power,core,yes,no-ref,no,,,,,not-certified,pandas_numpy
gt,core,yes,pass,yes,True,True,True,True,not-certified,duckdb_sql
lt,core,yes,pass,yes,True,True,True,True,not-certified,duckdb_sql
ge,core,yes,pass,yes,True,True,True,True,not-certified,duckdb_sql
le,core,yes,pass,yes,True,True,True,True,not-certified,duckdb_sql
eq,core,yes,pass,yes,True,True,True,True,not-certified,duckdb_sql
ne,core,yes,pass,yes,True,True,True,True,not-certified,duckdb_sql
and_,core,yes,pass,yes,True,True,True,True,not-certified,duckdb_sql
or_,core,yes,pass,yes,True,True,True,True,not-certified,duckdb_sql
not_,core,yes,pass,yes,True,True,True,True,not-certified,duckdb_sql
where,core,yes,pass,yes,True,True,True,True,not-certified,duckdb_sql
coalesce,core,yes,pass,yes,True,True,True,True,not-certified,duckdb_sql
is_nan,core,yes,pass,yes,True,True,True,True,not-certified,duckdb_sql
is_finite,core,yes,pass,yes,True,True,True,True,not-certified,duckdb_sql
fillna,core,no,n/a,no,,,,,not-certified,pandas_numpy
ts_delay,core,yes,no-ref,no,,,,,not-certified,pandas_numpy
ts_delta,core,yes,no-ref,no,,,,,not-certified,pandas_numpy
ts_pct,core,yes,no-ref,no,,,,,not-certified,pandas_numpy
log_returns,core,yes,no-ref,no,,,,,not-certified,pandas_numpy
ts_mean,core,yes,pass,yes,True,True,True,True,not-certified,duckdb_sql
ts_sum,core,yes,pass,yes,True,True,True,True,not-certified,duckdb_sql
ts_std,core,yes,pass,yes,True,True,True,True,not-certified,duckdb_sql
ts_min,core,yes,pass,yes,True,True,True,True,not-certified,duckdb_sql
ts_max,core,yes,pass,yes,True,True,True,True,not-certified,duckdb_sql
ts_count,core,no,n/a,no,,,,,not-certified,pandas_numpy
ts_ema,core,yes,no-sql,no,,,,,not-certified,pandas_numpy
ts_rank,core,yes,pass,yes,True,True,True,True,not-certified,duckdb_sql
ts_median,core,yes,pass,yes,True,True,True,True,not-certified,duckdb_sql
cs_sum,core,yes,pass,yes,True,True,True,True,not-certified,duckdb_sql
cs_mean,core,yes,pass,yes,True,True,True,True,not-certified,duckdb_sql
cs_std,core,yes,pass,yes,True,True,True,True,not-certified,duckdb_sql
cs_count,core,yes,pass-value-mask,yes,True,True,False,True,not-certified,duckdb_sql
cs_rank,core,yes,pass,yes,True,True,True,True,not-certified,duckdb_sql
cs_zscore,core,yes,pass,yes,True,True,True,True,not-certified,duckdb_sql
cs_demean,core,yes,pass,yes,True,True,True,True,not-certified,duckdb_sql
rank,core,yes,pass,yes,True,True,True,True,not-certified,duckdb_sql
group_mean,core,yes,pass,yes,True,True,True,True,not-certified,duckdb_sql
group_std,core,yes,pass,yes,True,True,True,True,not-certified,duckdb_sql
