canonical,family,pandas_impl,pandas_prod,polars_impl,polars_parity,duckdb_emitter,duckdb_parity,duckdb_prod,clickhouse_parity,recommended_target
add,core,yes,yes,n/a,n/a,yes,pass,yes,not-certified,duckdb_sql
subtract,core,yes,yes,n/a,n/a,yes,pass,yes,not-certified,duckdb_sql
multiply,core,yes,yes,n/a,n/a,yes,pass,yes,not-certified,duckdb_sql
divide,core,yes,yes,n/a,n/a,yes,pass,yes,not-certified,duckdb_sql
abs,core,yes,yes,n/a,n/a,yes,pass,yes,not-certified,duckdb_sql
log,core,yes,yes,n/a,n/a,yes,pass,yes,not-certified,duckdb_sql
exp,core,yes,yes,n/a,n/a,yes,pass,yes,not-certified,duckdb_sql
sqrt,core,yes,yes,n/a,n/a,yes,pass,yes,not-certified,duckdb_sql
sign,core,yes,yes,n/a,n/a,yes,pass-value-mask,yes,not-certified,duckdb_sql
clip,core,yes,yes,n/a,n/a,yes,no-ref,no,not-certified,pandas_numpy
power,core,yes,yes,n/a,n/a,yes,no-ref,no,not-certified,pandas_numpy
gt,core,yes,yes,n/a,n/a,yes,pass,yes,not-certified,duckdb_sql
lt,core,yes,yes,n/a,n/a,yes,pass,yes,not-certified,duckdb_sql
ge,core,yes,yes,n/a,n/a,yes,pass,yes,not-certified,duckdb_sql
le,core,yes,yes,n/a,n/a,yes,pass,yes,not-certified,duckdb_sql
eq,core,yes,yes,n/a,n/a,yes,pass,yes,not-certified,duckdb_sql
ne,core,yes,yes,n/a,n/a,yes,pass,yes,not-certified,duckdb_sql
and_,core,yes,yes,n/a,n/a,yes,pass,yes,not-certified,duckdb_sql
or_,core,yes,yes,n/a,n/a,yes,pass,yes,not-certified,duckdb_sql
not_,core,yes,yes,n/a,n/a,yes,pass,yes,not-certified,duckdb_sql
where,core,yes,yes,n/a,n/a,yes,pass,yes,not-certified,duckdb_sql
coalesce,core,yes,yes,n/a,n/a,yes,pass,yes,not-certified,duckdb_sql
is_nan,core,yes,yes,n/a,n/a,yes,pass,yes,not-certified,duckdb_sql
is_finite,core,yes,yes,n/a,n/a,yes,pass,yes,not-certified,duckdb_sql
fillna,core,yes,yes,n/a,n/a,no,n/a,no,not-certified,pandas_numpy
ts_delay,core,yes,yes,n/a,n/a,yes,no-ref,no,not-certified,pandas_numpy
ts_delta,core,yes,yes,n/a,n/a,yes,no-ref,no,not-certified,pandas_numpy
ts_pct,core,yes,yes,n/a,n/a,yes,no-ref,no,not-certified,pandas_numpy
log_returns,core,yes,yes,n/a,n/a,yes,no-ref,no,not-certified,pandas_numpy
ts_mean,core,yes,yes,n/a,n/a,yes,pass,yes,not-certified,duckdb_sql
ts_sum,core,yes,yes,n/a,n/a,yes,pass,yes,not-certified,duckdb_sql
ts_std,core,yes,yes,n/a,n/a,yes,pass,yes,not-certified,duckdb_sql
ts_min,core,yes,yes,n/a,n/a,yes,pass,yes,not-certified,duckdb_sql
ts_max,core,yes,yes,n/a,n/a,yes,pass,yes,not-certified,duckdb_sql
ts_count,core,yes,yes,n/a,n/a,no,n/a,no,not-certified,pandas_numpy
ts_ema,core,yes,yes,n/a,n/a,yes,no-sql,no,not-certified,pandas_numpy
ts_rank,core,yes,yes,n/a,n/a,yes,pass,yes,not-certified,duckdb_sql
ts_median,core,yes,yes,n/a,n/a,yes,pass,yes,not-certified,duckdb_sql
cs_sum,core,yes,yes,n/a,n/a,yes,pass,yes,not-certified,duckdb_sql
cs_mean,core,yes,yes,n/a,n/a,yes,pass,yes,not-certified,duckdb_sql
cs_std,core,yes,yes,n/a,n/a,yes,pass,yes,not-certified,duckdb_sql
cs_count,core,yes,yes,n/a,n/a,yes,pass-value-mask,yes,not-certified,duckdb_sql
cs_rank,core,yes,yes,n/a,n/a,yes,pass,yes,not-certified,duckdb_sql
cs_zscore,core,yes,yes,n/a,n/a,yes,pass,yes,not-certified,duckdb_sql
cs_demean,core,yes,yes,n/a,n/a,yes,pass,yes,not-certified,duckdb_sql
rank,core,yes,yes,n/a,n/a,yes,pass,yes,not-certified,duckdb_sql
group_mean,core,yes,yes,n/a,n/a,yes,pass,yes,not-certified,duckdb_sql
group_std,core,yes,yes,n/a,n/a,yes,pass,yes,not-certified,duckdb_sql
