canonical,model_kind,fit_cutoff_offset,forecast_horizon,label_horizon,explicit,feature_origin_offset,label_origin_offset,label_maturity_offset,score_feature_offset
calendar_day_diff,generic,0,0,,False,,,,
cs_autoencoder_reconstruction_error,generic,0,0,,False,,,,
cs_hartigan_dip,generic,0,0,,False,,,,
cs_huber_resid,regression,0,0,,False,,,,
cs_knn_distance,kernel,0,0,,False,,,,
cs_knn_graph_dirichlet_energy,kernel,0,0,,False,,,,
cs_knn_local_gradient_norm,kernel,0,0,,False,,,,
cs_knn_local_linear_residual,knn,1,0,,True,,,,
cs_knn_local_moran,kernel,0,0,,False,,,,
cs_knn_neighbor_retention,kernel,0,0,,False,,,,
cs_knn_peer_mean_ex_self,kernel,0,0,,False,,,,
cs_knn_tangent_residual,kernel,0,0,,False,,,,
cs_multi_resid,generic,0,0,,False,,,,
cs_multi_ridge_resid,regression,0,0,,False,,,,
cs_neutralize,generic,0,0,,False,,,,
cs_physical_panel_coverage,generic,0,0,,False,,,,
cs_quantile,regression,0,0,,False,,,,
cs_quantile_resid,regression,0,0,,False,,,,
cs_regression,regression,0,0,,False,,,,
cs_ridge_resid,regression,0,0,,False,,,,
cs_universe_coverage,generic,0,0,,False,,,,
cs_wls_resid,generic,0,0,,False,,,,
directional_change_extent,generic,0,0,,False,,,,
directional_change_state,state,0,0,,False,,,,
dollar_volume,generic,0,0,,False,,,,
dollar_volume_zscore,generic,0,0,,False,,,,
fin_period_restated,state,0,0,,False,,,,
fin_restated_flag,state,0,0,,False,,,,
fiscal_ar_resid_std,ar,0,0,,False,,,,
fiscal_asymmetric_elasticity,regression,0,0,,False,,,,
fiscal_regression_resid_std,regression,0,0,,False,,,,
group_ex_self_quantile,regression,0,0,,False,,,,
group_quantile_spread,regression,0,0,,False,,,,
group_wasserstein_barycenter_distance,generic,0,0,,False,,,,
industry_rolling_pca_loading,pca,1,0,,True,,,,
intra_bar_range_deviation,generic,0,0,,False,,,,
intra_bar_range_persistence,generic,0,0,,False,,,,
intra_extreme_bar_return,generic,0,0,,False,,,,
intra_market_model_r2,generic,0,0,,False,,,,
intra_market_model_r2_ex_self,generic,0,0,,False,,,,
intraday_profile_pca_residual,pca,1,0,,True,,,,
intraday_quantile_curve_pca_residual,pca,1,0,,True,,,,
intraday_quantile_curve_pca_score,pca,1,0,,True,,,,
panel_mixture_of_experts_score,mixture,1,1,1,True,,,,
panel_regime_conditioned_forecast,regime,1,1,1,True,1,1,1,0
panel_rolling_elastic_net_forecast,enet,1,1,1,True,1,1,1,0
panel_rolling_pca_explained_ratio,pca,1,0,,True,,,,
panel_rolling_pca_loading,pca,1,0,,True,,,,
panel_rolling_pca_resid,pca,1,0,,True,,,,
panel_rolling_pca_resid_momentum,pca,1,0,,True,,,,
panel_rolling_pca_resid_vol,pca,1,0,,True,,,,
panel_rolling_pcr_forecast,pcr,1,1,1,True,1,1,1,0
panel_rolling_pls_forecast,pls,1,1,1,True,1,1,1,0
pattern_bear_flag,generic,0,0,,False,,,,
pattern_bear_pennant,generic,0,0,,False,,,,
signed_dollar_volume,generic,0,0,,False,,,,
state_deadband,state,0,0,,False,,,,
state_episode_efficiency,state,0,0,,False,,,,
state_episode_excursion_balance,state,0,0,,False,,,,
state_episode_mae,state,0,0,,False,,,,
state_episode_mfe,state,0,0,,False,,,,
state_episode_retrace_ratio,state,0,0,,False,,,,
state_ewm_if,state,0,0,,False,,,,
state_hold,state,0,0,,False,,,,
state_latch,state,0,0,,False,,,,
state_since_count,state,0,0,,False,,,,
state_since_last,state,0,0,,False,,,,
state_since_mean,state,0,0,,False,,,,
state_since_sum,state,0,0,,False,,,,
state_since_trend_tstat,state,0,0,,False,,,,
state_slew_limit,state,0,0,,False,,,,
tradable_state,state,0,0,,False,,,,
ts_active_information_storage,generic,0,0,,False,,,,
ts_ar_coeff_stability,ar,1,0,,True,,,,
ts_ar_coefficient,ar,1,0,,True,,,,
ts_ar_fitted_value,ar,0,0,,True,,,,
ts_ar_forecast,ar,0,0,,True,,,,
ts_ar_in_sample_resid,ar,0,0,,True,,,,
ts_ar_innovation,ar,0,0,,True,,,,
ts_ar_innovation_z,ar,1,0,,False,,,,
ts_ar_prior_coeff,ar,1,0,,True,,,,
ts_ar_prior_forecast,ar,1,1,,True,,,,
ts_ar_prior_innovation,ar,1,1,,True,,,,
ts_ar_prior_innovation_z,ar,1,1,,True,,,,
ts_bicoherence_top_decile_excess,generic,0,0,,False,,,,
ts_bicoherence_top_decile_mean,generic,0,0,,False,,,,
ts_change_point_probability,generic,0,0,,False,,,,
ts_conditional_transfer_entropy,entropy,0,0,,False,,,,
ts_cross_spectral_coherence,spectral,0,0,,False,,,,
ts_cross_spectral_phase,spectral,0,0,,False,,,,
ts_cumulative_deviation_score,generic,0,0,,False,,,,
ts_cusum_pressure,generic,0,0,,False,,,,
ts_cusum_vol_break_score,generic,0,0,,False,,,,
ts_detrended_level_spectral_entropy,entropy,0,0,,False,,,,
ts_dfa_hurst,generic,0,0,,False,,,,
ts_dmd_dominant_frequency,dmd,0,0,,True,,,,
ts_dmd_dominant_growth_rate,dmd,0,0,,True,,,,
ts_dmd_level_dominant_frequency,dmd,0,0,,True,,,,
ts_dmd_level_dominant_growth_rate,dmd,0,0,,True,,,,
ts_dmd_level_mode_concentration,dmd,0,0,,True,,,,
ts_dmd_mode_concentration,dmd,0,0,,True,,,,
ts_dmd_return_dominant_frequency,dmd,0,0,,True,,,,
ts_dmd_return_dominant_growth_rate,dmd,0,0,,True,,,,
ts_dmd_return_mode_concentration,dmd,0,0,,True,,,,
ts_dominant_cycle_period,generic,0,0,,False,,,,
ts_effective_transfer_entropy,entropy,0,0,,False,,,,
ts_expectile,regression,0,0,,False,,,,
ts_expectile_beta,regression,0,0,,False,,,,
ts_expectile_beta_spread,regression,0,0,,False,,,,
ts_expectile_regression_coeff,regression,0,0,,False,,,,
ts_expectile_regression_coeff_prior,regression,1,0,,False,,,,
ts_expectile_regression_forecast_error,regression,1,1,1,False,,,,
ts_expectile_regression_resid,regression,0,0,,False,,,,
ts_feature_pca_reconstruction_error,pca,0,0,,False,,,,
ts_first_passage_bias,dmd,0,0,,False,,,,
ts_first_passage_conditional_time,dmd,0,0,,False,,,,
ts_first_passage_hit_probability,dmd,0,0,,False,,,,
ts_garch_next_vol_forecast,garch,1,1,,True,,,,
ts_garch_persistence,garch,1,0,,True,,,,
ts_garch_standardized_shock,garch,1,0,,True,,,,
ts_garch_vol_surprise,garch,1,0,,True,,,,
ts_gjr_garch_vol_forecast,garch,1,1,,True,,,,
ts_gjr_leverage,garch,0,0,,False,,,,
ts_hankel_effective_rank,hankel,0,0,,True,,,,
ts_hankel_singular_gap,hankel,0,0,,True,,,,
ts_har_from_return_forecast_error_z,har,1,0,,True,1,2,1,1
ts_har_from_return_next_vol,har,1,1,,True,0,1,1,0
ts_har_rv_forecast,har,1,1,,True,0,1,1,0
ts_har_rv_forecast_error_z,har,1,0,,True,1,2,1,1
ts_har_rv_innovation_z,har,1,0,,True,1,2,1,1
ts_har_rv_next_var_forecast,har,1,1,,True,0,1,1,0
ts_har_rv_next_vol_forecast,har,1,1,,True,0,1,1,0
ts_hsic,kernel,0,0,,False,,,,
ts_huber_regression_coeff,regression,0,0,,False,,,,
ts_huber_regression_coeff_prior,regression,1,0,,False,,,,
ts_huber_regression_forecast_error,regression,1,1,1,False,,,,
ts_huber_regression_forecast_error_z,regression,1,1,1,False,,,,
ts_huber_regression_in_sample_resid,regression,0,0,,False,,,,
ts_huber_regression_predictive_resid,regression,1,0,,False,,,,
ts_huber_regression_resid_z,regression,0,0,,False,,,,
ts_hvg_assortativity,entropy,0,0,,False,,,,
ts_hvg_clustering_coefficient,entropy,0,0,,False,,,,
ts_hvg_degree_entropy,entropy,0,0,,False,,,,
ts_hvg_forward_backward_asymmetry,entropy,0,0,,False,,,,
ts_hvg_motif_entropy,rqa,0,0,,False,,,,
ts_hysteresis_age,generic,0,0,,False,,,,
ts_hysteresis_state,state,0,0,,False,,,,
ts_kalman_beta,kalman,0,0,,True,,,,
ts_kalman_beta_change,kalman,0,0,,True,,,,
ts_kalman_beta_uncertainty,kalman,0,0,,True,,,,
ts_kalman_innovation_z,kalman,0,0,,True,,,,
ts_kalman_level,kalman,0,0,,True,,,,
ts_kalman_trend,kalman,0,0,,True,,,,
ts_kernel_granger_score,kernel,0,0,,False,,,,
ts_km_diffusion_gradient,generic,0,0,,False,,,,
