factor_name,source,pool,domain,ic,rank_ic,source_formula,lqtp_formula,fe_formula,lqtp_notes,fe_notes
factor_breakout_hold_persistence_20d,dev,qualified,,0.02240299933649042,0.024717608018297397,hold_persistence * (close-prior_high)/ATR * (0.5+0.5*efficiency) * volume_momentum,hold_persistence * (close-prior_high)/ATR * (0.5+0.5*efficiency) * volume_momentum,hold_persistence * (close-prior_high)/ATR * (0.5+0.5*efficiency) * volume_momentum,,
factor_volume_impulse_breakout_drift_5d,dev,qualified,,0.03054565854844509,0.036962902933056374,"mean_5d( max(close/prior_high-1,0) * max(vol/vol_ma-1,0) ) / mean_5d( max(vol/vol_ma-1,0) )","ts_mean(5, max(close/prior_high-1,0) * max(vol/vol_ma-1,0)) / ts_mean(5, max(vol/vol_ma-1,0))","ts_mean(5, flex_max(close/prior_high-1, 0) * flex_max(vol/vol_ma-1, 0)) / ts_mean(5, flex_max(vol/vol_ma-1, 0))",,
factor_retest_confirmation_shrink_volume_narrow_20_5,dev,qualified,,0.019348108025367232,0.0198413531540052,"S = I[prior 5d breakout] * I[close > B] * max(0, 1 - |low - B| / B) * (1 / (1 + V / MA20(V))) * (1 / (1 + (H-L)/close)), B = rolling(20).max(high).shift(1)","S = I[prior 5d breakout] * I[close > B] * max(0, 1 - |low - B| / B) * (1 / (1 + V / ts_mean(20, V))) * (1 / (1 + (H-L)/close)), B = <rolling>(20).max(high).delay(1)","S = I[prior 5d breakout] * I[close > B] * flex_max(0, 1 - |low - B| / B) * (1 / (1 + V / ts_mean(20, V))) * (1 / (1 + (H-L)/close)), B = <rolling>(20).flex_max(high).ts_delay(1)","Textual non-executable: I[...]-notation (indicator function, use Python code)","Textual non-executable: I[...]-notation (indicator function, use Python code)"
factor_boundary_settlement_premium_5d_20d_high,dev,qualified,,0.02174224670206125,0.034097662301539426,mean_5( I(close > res20) * (close - res20) / (high - low) ),"ts_mean(5, I(close > res20) * (close - res20) / (high - low))","ts_mean(5, I(close > res20) * (close - res20) / (high - low))",Unconverted: ['I'],Unconverted: ['I']
factor_retest_settlement_premium_20_5,dev,qualified,,0.0216965477576549,0.026466305644745062,"S = mean_5( I[prior 5d breakout] * max(0, 1 - |low-B|/B) * (1/(1+V/MA20(V))) * (1/(1+(H-L)/close)) * I[close>B] * (close-B)/(H-L) ), B = rolling20(max(high)).shift(1)","S = ts_mean(5, I[prior 5d breakout] * max(0, 1 - |low-B|/B) * (1/(1+V/MA20(V))) * (1/(1+(H-L)/close)) * I[close>B] * (close-B)/(H-L)), B = rolling20(max(high)).delay(1)","S = ts_mean(5, I[prior 5d breakout] * flex_max(0, 1 - |low-B|/B) * (1/(1+V/MA20(V))) * (1/(1+(H-L)/close)) * I[close>B] * (close-B)/(H-L)), B = rolling20(flex_max(high)).ts_delay(1)","Textual non-executable: I[...]-notation (indicator function, use Python code); Unconverted: ['MA20', 'rolling20']","Textual non-executable: I[...]-notation (indicator function, use Python code); Unconverted: ['MA20', 'rolling20']"
factor_breakout_hold_confirmation_20d_refined,dev,qualified,,0.01865926458311176,0.01841705737973533,"signal_t = I(close_{t-2} > R) * I(close_{t-1} >= R) * I(close_t >= R) * ((close_t / R) - 1) * close_loc_{t-2} * I(vol_{t-2} > median20_{t-2}), where R = max(high_{t-22..t-3})","signal_t = I(close_{t-2} > R) * I(close_{t-1} >= R) * I(close_t >= R) * ((close_t / R) - 1) * close_loc_{t-2} * I(vol_{t-2} > median20_{t-2}), where R = max(high_{t-22..t-3})","signal_t = I(close_{t-2} > R) * I(close_{t-1} >= R) * I(close_t >= R) * ((close_t / R) - 1) * close_loc_{t-2} * I(vol_{t-2} > median20_{t-2}), where R = flex_max(high_{t-22..t-3})",Unconverted: ['I'],Unconverted: ['I']
factor_hold_persistence_5d_20d_high,dev,qualified,,0.019838739932372767,0.031253925017017445,"persistence = sum_{i=0..4} I(close_{t-i} > prior_high_{t-i}); factor = persistence * (1 + 2*max(close/prior_high - 1, 0))","persistence = sum_{i=0..4} I(close_{t-i} > prior_high_{t-i}); factor = persistence * (1 + 2*max(close/prior_high - 1, 0))","persistence = sum_{i=0..4} I(close_{t-i} > prior_high_{t-i}); factor = persistence * (1 + 2*flex_max(close/prior_high - 1, 0))",Unconverted: ['I'],Unconverted: ['I']
factor_failed_retest_reversion_20_5,dev,qualified,,0.017621709062987927,0.028540796191357364,"S = -B * sum_{i=0..4} F_{t-i}, where B = max_{j=1..5} I[C_{t-j} > H20_{t-j-1}], F = I[L <= H20_shift & C < H20_shift] * ((H20_shift - C)/ATR20) * (1 - CL) * min(V/MA20(V),3), CL = (C-L)/(H-L)","S = -B * sum_{i=0..4} F_{t-i}, where B = max_{j=1..5} I[C_{t-j} > H20_{t-j-1}], F = I[L <= H20_shift & C < H20_shift] * ((H20_shift - C)/ATR20) * (1 - CL) * min(V/MA20(V),3), CL = (C-L)/(H-L)","S = -B * sum_{i=0..4} F_{t-i}, where B = max_{j=1..5} I[C_{t-j} > H20_{t-j-1}], F = I[L <= H20_shift & C < H20_shift] * ((H20_shift - C)/ATR20) * (1 - CL) * flex_min(V/MA20(V), 3), CL = (C-L)/(H-L)","Textual non-executable: I[...]-notation (indicator function, use Python code); C (close shorthand in text, not executable); Unconverted: ['MA20']","Textual non-executable: I[...]-notation (indicator function, use Python code); C (close shorthand in text, not executable); Unconverted: ['MA20']"
factor_defended_close_high_retest_participation_20_5,dev,qualified,,0.018605926545646922,0.027481931334925172,"S = mean_5( I[recent breakout] * I[low<=B & close>B] * ((close-B)/((B-low)+(close-B))) * close_loc * (1/(1+V/MA20(V))) * (1/(1+(H-L)/close)) ), B=rolling(20).max(close).shift(1)","S = ts_mean(5, I[recent breakout] * I[low<=B & close>B] * ((close-B)/((B-low)+(close-B))) * close_loc * (1/(1+V/MA20(V))) * (1/(1+(H-L)/close))), B=<rolling>(20).max(close).delay(1)","S = ts_mean(5, I[recent breakout] * I[low<=B & close>B] * ((close-B)/((B-low)+(close-B))) * close_loc * (1/(1+V/MA20(V))) * (1/(1+(H-L)/close))), B=<rolling>(20).flex_max(close).ts_delay(1)","Textual non-executable: I[...]-notation (indicator function, use Python code); Unconverted: ['MA20']","Textual non-executable: I[...]-notation (indicator function, use Python code); Unconverted: ['MA20']"
factor_confirmed_breakout_adaptive_delay_drift,dev,qualified,,0.019275874114814337,0.03622192118003778,"stretch = max(close / prior_high5 - 1, 0)
impulse_lag = max(vol_lag / vol_ma20_lag - 1, 0)
daily_drift = stretch * impulse_lag
short_drift = sum(daily_drift, 5)
long_drift = sum(daily_drift, 15)
auth_t = max_{i=0..9}( max(close_{t-i}/prior_high20_{t-i} - 1, 0) * max(vol_{t-i}/vol_ma20_{t-i} - 1, 0) )
w_t = auth_t / (1 + auth_t)
drift_t = short_drift_t + w_t * (long_drift_t - short_drift_t)
signal = drift * (1 + max(1 - vol_ma5/vol_ma60, 0) * max(1 - range10/range60, 0))","stretch = max(close / prior_high5 - 1, 0)
impulse_lag = max(vol_lag / vol_ma20_lag - 1, 0)
daily_drift = stretch * impulse_lag
short_drift = ts_sum(5, daily_drift)
long_drift = ts_sum(15, daily_drift)
auth_t = max_{i=0..9}( max(close_{t-i}/prior_high20_{t-i} - 1, 0) * max(vol_{t-i}/vol_ma20_{t-i} - 1, 0) )
w_t = auth_t / (1 + auth_t)
drift_t = short_drift_t + w_t * (long_drift_t - short_drift_t)
signal = drift * (1 + max(1 - vol_ma5/vol_ma60, 0) * max(1 - range10/range60, 0))","stretch = flex_max(close / prior_high5 - 1, 0)
impulse_lag = flex_max(vol_lag / vol_ma20_lag - 1, 0)
daily_drift = stretch * impulse_lag
short_drift = ts_sum(5, daily_drift)
long_drift = ts_sum(15, daily_drift)
auth_t = max_{i=0..9}( flex_max(close_{t-i}/prior_high20_{t-i} - 1, 0) * flex_max(vol_{t-i}/vol_ma20_{t-i} - 1, 0) )
w_t = auth_t / (1 + auth_t)
drift_t = short_drift_t + w_t * (long_drift_t - short_drift_t)
signal = drift * (1 + flex_max(1 - vol_ma5/vol_ma60, 0) * flex_max(1 - range10/range60, 0))",,
