candidate,source_round,current_exact,current_alias,semantic_equivalent,composable,replacement,current_surface,pandas_backend,polars_backend,duckdb_backend,field_legal,pit_legal,stateful,checkpointable,parameter_evidence,disposition,reason
fiscal_acceleration,R41,YES,,,,,,NO,NO,NO,YES,YES,,,,EXISTING_EXACT,Exact canonical match in registry
fiscal_delta,R41,,,,,,,,,,YES,YES,,,,TRUE_GAP_IMPLEMENT,No existing implementation found; Fundamental/fiscal operator
fiscal_lag,R41,,,period_lag,,,,,,,YES,YES,,,,EXISTING_EQUIVALENT,Semantically equivalent to period_lag
fiscal_pct_change,R41,YES,,,,,,NO,NO,NO,YES,YES,,,,EXISTING_EXACT,Exact canonical match in registry
intra_market_profile_corr_ex_self,R41,,,,,,,,,,YES,YES,,,,TRUE_GAP_IMPLEMENT,No existing implementation found; Intraday operator
report_asof,R41,,,,,,,,,,YES,YES,,,,ARCHITECTURE_SUPERSEDED,PIT join handled by DataAccess layer
same_calendar_month_return,R41,,,,,,,,,,YES,YES,,,,TRUE_GAP_IMPLEMENT,No existing implementation found
same_clock_lag,R41,,,,,,,,,,YES,YES,,,,TRUE_GAP_IMPLEMENT,No existing implementation found
cn_sma,R41,,,,,,,,,,YES,YES,,,,TRUE_GAP_IMPLEMENT,No existing implementation found
cs_isolation_forest_score,R41,YES,,,,,,NO,NO,NO,YES,YES,,,,EXISTING_EXACT,Exact canonical match in registry
event_window_return_asof,R41,,,,,,,,,,YES,YES,,,,ARCHITECTURE_SUPERSEDED,PIT join handled by DataAccess layer
financial_snapshot_lag,R41,,,period_lag,,,,,,,YES,YES,,,,EXISTING_EQUIVALENT,Semantically equivalent to period_lag
fiscal_capital_stock,R41,,,,,,,,,,YES,YES,,,,TRUE_GAP_IMPLEMENT,No existing implementation found; Fundamental/fiscal operator
fiscal_rolling_regression,R41,,,,,,,,,,YES,YES,,,,TRUE_GAP_IMPLEMENT,No existing implementation found; Fundamental/fiscal operator
fiscal_rolling_std,R41,YES,,,,,,NO,NO,NO,YES,YES,,,,EXISTING_EXACT,Exact canonical match in registry
intraday_value_at_extreme_state,R41,,,,,,,,,,YES,YES,,,,TRUE_GAP_IMPLEMENT,No existing implementation found
panel_peer_graph_aggregate,R41,YES,,,,,,NO,NO,NO,YES,YES,,,,EXISTING_EXACT,Exact canonical match in registry
price_delay_score,R41,,,ts_price_delay,,,,,,,YES,YES,,,,EXISTING_EQUIVALENT,Semantically equivalent to ts_price_delay
winsorized_ratio,R41,,,,,,,,,,YES,YES,,,,TRUE_GAP_IMPLEMENT,No existing implementation found
HMA,R41,YES,,,,,,NO,NO,NO,YES,YES,,,,EXISTING_EXACT,Exact canonical match in registry
KAMA,R41,YES,,,,,,NO,NO,NO,YES,YES,,,,EXISTING_EXACT,Exact canonical match in registry
QQE,R41,YES,,,,,,NO,NO,NO,YES,YES,,,,EXISTING_EXACT,Exact canonical match in registry
