canonical,aliases,authoring_tier,registered_status,lifecycle_status,production_certified,implementation_passed,semantic_passed,temporal_passed,source_pit_passed,edge_case_passed,backend_passed,pandas_available,pandas_certified,polars_available,polars_certified,duckdb_available,duckdb_certified,input_grain,output_grain,panel_params,input_semantic_types,output_unit,stateful,recursive,stateful_math,recursive_math,full_history_replay_required,checkpoint_supported,incremental_supported,execution_model,current_observation_role,window_semantics,window_semantics_declared,missing_policy,factor_role,role_source,admission_state,cost_tier,cost_contract_declared,cost_lane,compatibility_only,diagnostic_only,benchmark_only,hidden_from_default_mining,source_required,source_satisfied,source_missing,source_status,hard_blockers,routing_constraints,quality_warnings,blocker_codes,blocker_severities,release_blocking_blockers,required_actions,recommended_action,target_mining_lane,intrinsic_mining_eligible,contextual_mining_eligible,default_mining_eligible
ADX,ts_adx,daily,experimental,experimental,False,False,False,False,False,False,False,True,False,True,False,True,False,,,,,,True,True,True,True,False,True,True,checkpoint,current_inclusive,,False,propagate,alpha,verified_rule,pending,1,False,direct,False,False,False,False,daily_bar,,,unknown,B08|B09|B10|B11|B13|B14|B15|B33,,,B08|B09|B10|B11|B13|B14|B15|B33,"{'B08': 'HIGH', 'B09': 'HIGH', 'B10': 'HIGH', 'B11': 'HIGH', 'B13': 'HIGH', 'B14': 'HIGH', 'B15': 'HIGH', 'B33': 'HIGH'}","['B08', 'B09', 'B10', 'B11', 'B13', 'B14', 'B15', 'B33']",certify implementation evidence|certify semantic golden|certify temporal prefix causality|certify source PIT contract|certify edge-case behaviour|certify backend evidence|declare available source context (unknown capability is not availability)|declare an explicit cost contract (cost: tag or cost_model),certify implementation evidence; certify semantic golden; certify temporal prefix causality; certify source PIT contract; certify edge-case behaviour; certify backend evidence; declare available source context (unknown capability is not availability); declare an explicit cost contract (cost: tag or cost_model),direct_daily,False,,False
ALMA,,extended,experimental,experimental,False,False,False,False,False,False,False,True,False,True,False,False,False,,,,,,False,False,False,False,False,False,True,independent_with_warmup,current_inclusive,,False,propagate,alpha,verified_rule,pending,1,True,direct,False,False,False,False,daily_bar,,,unknown,B08|B09|B10|B11|B13|B14|B15,,,B08|B09|B10|B11|B13|B14|B15,"{'B08': 'HIGH', 'B09': 'HIGH', 'B10': 'HIGH', 'B11': 'HIGH', 'B13': 'HIGH', 'B14': 'HIGH', 'B15': 'HIGH'}","['B08', 'B09', 'B10', 'B11', 'B13', 'B14', 'B15']",certify implementation evidence|certify semantic golden|certify temporal prefix causality|certify source PIT contract|certify edge-case behaviour|certify backend evidence|declare available source context (unknown capability is not availability),certify implementation evidence; certify semantic golden; certify temporal prefix causality; certify source PIT contract; certify edge-case behaviour; certify backend evidence; declare available source context (unknown capability is not availability),direct_daily,False,,False
ATR_WILDER,ts_atr_wilder,daily,experimental,experimental,False,False,False,False,False,False,False,True,False,True,False,True,False,,,,,,True,True,True,True,False,True,True,checkpoint,current_inclusive,,False,propagate,recipe_internal,verified_rule,pending,1,False,direct,False,False,False,False,daily_bar,,,unknown,B02|B08|B09|B10|B11|B13|B14|B15|B33,,,B02|B08|B09|B10|B11|B13|B14|B15|B33,"{'B02': 'HIGH', 'B08': 'HIGH', 'B09': 'HIGH', 'B10': 'HIGH', 'B11': 'HIGH', 'B13': 'HIGH', 'B14': 'HIGH', 'B15': 'HIGH', 'B33': 'HIGH'}","['B02', 'B08', 'B09', 'B10', 'B11', 'B13', 'B14', 'B15', 'B33']",supporting layer: never mined as a factor|certify implementation evidence|certify semantic golden|certify temporal prefix causality|certify source PIT contract|certify edge-case behaviour|certify backend evidence|declare available source context (unknown capability is not availability)|declare an explicit cost contract (cost: tag or cost_model),supporting layer: never mined as a factor; certify implementation evidence; certify semantic golden; certify temporal prefix causality; certify source PIT contract; certify edge-case behaviour; certify backend evidence; declare available source context (unknown capability is not availability); declare an explicit cost contract (cost: tag or cost_model),recipe_only,False,,False
CMF,,daily,experimental,experimental,False,False,False,False,False,False,False,True,False,True,False,True,False,,,,,,False,False,False,False,False,False,True,independent_with_warmup,current_inclusive,,False,propagate,alpha,verified_rule,pending,1,False,direct,False,False,False,False,daily_bar,,,unknown,B08|B09|B10|B11|B13|B14|B15|B33,,,B08|B09|B10|B11|B13|B14|B15|B33,"{'B08': 'HIGH', 'B09': 'HIGH', 'B10': 'HIGH', 'B11': 'HIGH', 'B13': 'HIGH', 'B14': 'HIGH', 'B15': 'HIGH', 'B33': 'HIGH'}","['B08', 'B09', 'B10', 'B11', 'B13', 'B14', 'B15', 'B33']",certify implementation evidence|certify semantic golden|certify temporal prefix causality|certify source PIT contract|certify edge-case behaviour|certify backend evidence|declare available source context (unknown capability is not availability)|declare an explicit cost contract (cost: tag or cost_model),certify implementation evidence; certify semantic golden; certify temporal prefix causality; certify source PIT contract; certify edge-case behaviour; certify backend evidence; declare available source context (unknown capability is not availability); declare an explicit cost contract (cost: tag or cost_model),direct_daily,False,,False
CMO,,daily,experimental,experimental,False,False,False,False,False,False,False,True,False,True,False,True,False,,,,,,False,False,False,False,False,False,True,independent_with_warmup,current_inclusive,,False,propagate,alpha,verified_rule,pending,1,False,direct,False,False,False,False,daily_bar,,,unknown,B08|B09|B10|B11|B13|B14|B15|B33,,,B08|B09|B10|B11|B13|B14|B15|B33,"{'B08': 'HIGH', 'B09': 'HIGH', 'B10': 'HIGH', 'B11': 'HIGH', 'B13': 'HIGH', 'B14': 'HIGH', 'B15': 'HIGH', 'B33': 'HIGH'}","['B08', 'B09', 'B10', 'B11', 'B13', 'B14', 'B15', 'B33']",certify implementation evidence|certify semantic golden|certify temporal prefix causality|certify source PIT contract|certify edge-case behaviour|certify backend evidence|declare available source context (unknown capability is not availability)|declare an explicit cost contract (cost: tag or cost_model),certify implementation evidence; certify semantic golden; certify temporal prefix causality; certify source PIT contract; certify edge-case behaviour; certify backend evidence; declare available source context (unknown capability is not availability); declare an explicit cost contract (cost: tag or cost_model),direct_daily,False,,False
ChaikinOscillator,,daily,experimental,experimental,False,False,False,False,False,False,False,True,False,True,False,True,False,,,,,,True,False,True,True,True,False,False,full_history,current_inclusive,full_history,False,propagate,alpha_high_cost,verified_rule,pending,1,False,direct,False,False,False,False,daily_bar,,,unknown,B08|B09|B10|B11|B13|B14|B15|B33,,,B08|B09|B10|B11|B13|B14|B15|B33,"{'B08': 'HIGH', 'B09': 'HIGH', 'B10': 'HIGH', 'B11': 'HIGH', 'B13': 'HIGH', 'B14': 'HIGH', 'B15': 'HIGH', 'B33': 'HIGH'}","['B08', 'B09', 'B10', 'B11', 'B13', 'B14', 'B15', 'B33']",certify implementation evidence|certify semantic golden|certify temporal prefix causality|certify source PIT contract|certify edge-case behaviour|certify backend evidence|declare available source context (unknown capability is not availability)|declare an explicit cost contract (cost: tag or cost_model),certify implementation evidence; certify semantic golden; certify temporal prefix causality; certify source PIT contract; certify edge-case behaviour; certify backend evidence; declare available source context (unknown capability is not availability); declare an explicit cost contract (cost: tag or cost_model),direct_high_cost,False,,False
CoppockCurve,,extended,experimental,experimental,False,False,False,False,False,False,False,True,False,True,False,False,False,,,,,,False,False,False,False,False,False,True,independent_with_warmup,current_inclusive,,False,propagate,alpha,verified_rule,pending,1,True,direct,False,False,False,False,daily_bar,,,unknown,B08|B09|B10|B11|B13|B14|B15,,,B08|B09|B10|B11|B13|B14|B15,"{'B08': 'HIGH', 'B09': 'HIGH', 'B10': 'HIGH', 'B11': 'HIGH', 'B13': 'HIGH', 'B14': 'HIGH', 'B15': 'HIGH'}","['B08', 'B09', 'B10', 'B11', 'B13', 'B14', 'B15']",certify implementation evidence|certify semantic golden|certify temporal prefix causality|certify source PIT contract|certify edge-case behaviour|certify backend evidence|declare available source context (unknown capability is not availability),certify implementation evidence; certify semantic golden; certify temporal prefix causality; certify source PIT contract; certify edge-case behaviour; certify backend evidence; declare available source context (unknown capability is not availability),direct_daily,False,,False
DEMA,,daily,experimental,experimental,False,False,False,False,False,False,False,True,False,True,False,True,False,,,,,,True,False,True,True,True,False,False,full_history,current_inclusive,full_history,False,propagate,alpha_high_cost,verified_rule,pending,1,False,direct,False,False,False,False,daily_bar,,,unknown,B08|B09|B10|B11|B13|B14|B15|B33,,,B08|B09|B10|B11|B13|B14|B15|B33,"{'B08': 'HIGH', 'B09': 'HIGH', 'B10': 'HIGH', 'B11': 'HIGH', 'B13': 'HIGH', 'B14': 'HIGH', 'B15': 'HIGH', 'B33': 'HIGH'}","['B08', 'B09', 'B10', 'B11', 'B13', 'B14', 'B15', 'B33']",certify implementation evidence|certify semantic golden|certify temporal prefix causality|certify source PIT contract|certify edge-case behaviour|certify backend evidence|declare available source context (unknown capability is not availability)|declare an explicit cost contract (cost: tag or cost_model),certify implementation evidence; certify semantic golden; certify temporal prefix causality; certify source PIT contract; certify edge-case behaviour; certify backend evidence; declare available source context (unknown capability is not availability); declare an explicit cost contract (cost: tag or cost_model),direct_high_cost,False,,False
DMI_minus,,daily,experimental,experimental,False,False,False,False,False,False,False,True,False,True,False,True,False,,,,,,True,False,True,True,True,False,False,full_history,current_inclusive,full_history,False,propagate,alpha_high_cost,verified_rule,pending,1,False,direct,False,False,False,False,daily_bar,,,unknown,B08|B09|B10|B11|B13|B14|B15|B33,,,B08|B09|B10|B11|B13|B14|B15|B33,"{'B08': 'HIGH', 'B09': 'HIGH', 'B10': 'HIGH', 'B11': 'HIGH', 'B13': 'HIGH', 'B14': 'HIGH', 'B15': 'HIGH', 'B33': 'HIGH'}","['B08', 'B09', 'B10', 'B11', 'B13', 'B14', 'B15', 'B33']",certify implementation evidence|certify semantic golden|certify temporal prefix causality|certify source PIT contract|certify edge-case behaviour|certify backend evidence|declare available source context (unknown capability is not availability)|declare an explicit cost contract (cost: tag or cost_model),certify implementation evidence; certify semantic golden; certify temporal prefix causality; certify source PIT contract; certify edge-case behaviour; certify backend evidence; declare available source context (unknown capability is not availability); declare an explicit cost contract (cost: tag or cost_model),direct_high_cost,False,,False
DMI_plus,,daily,experimental,experimental,False,False,False,False,False,False,False,True,False,True,False,True,False,,,,,,True,False,True,True,True,False,False,full_history,current_inclusive,full_history,False,propagate,alpha_high_cost,verified_rule,pending,1,False,direct,False,False,False,False,daily_bar,,,unknown,B08|B09|B10|B11|B13|B14|B15|B33,,,B08|B09|B10|B11|B13|B14|B15|B33,"{'B08': 'HIGH', 'B09': 'HIGH', 'B10': 'HIGH', 'B11': 'HIGH', 'B13': 'HIGH', 'B14': 'HIGH', 'B15': 'HIGH', 'B33': 'HIGH'}","['B08', 'B09', 'B10', 'B11', 'B13', 'B14', 'B15', 'B33']",certify implementation evidence|certify semantic golden|certify temporal prefix causality|certify source PIT contract|certify edge-case behaviour|certify backend evidence|declare available source context (unknown capability is not availability)|declare an explicit cost contract (cost: tag or cost_model),certify implementation evidence; certify semantic golden; certify temporal prefix causality; certify source PIT contract; certify edge-case behaviour; certify backend evidence; declare available source context (unknown capability is not availability); declare an explicit cost contract (cost: tag or cost_model),direct_high_cost,False,,False
