canonical,aliases,implementation_module,implementation_class,family,surface,parameter_names,parameter_roles,parameter_domains,ashare_status,us_status,ashare_required_capabilities,us_required_capabilities,ashare_chosen_provider,us_chosen_provider,required_grain,price_basis,pandas,polars,duckdb,production_certified,reason_if_blocked
ADX,['ts_adx'],,,technical_signal,,"['high', 'low', 'close', 'window']","['', '', '', '']","['', '', '', '']",INPUT_DEPENDENT,INPUT_DEPENDENT,[],[],,,,,False,False,False,False,
ATR_WILDER,['ts_atr_wilder'],,,technical_signal,,"['high', 'low', 'close', 'window']","['', '', '', '']","['', '', '', '']",INPUT_DEPENDENT,INPUT_DEPENDENT,[],[],,,,,False,False,False,False,
CMF,[],,,price_volume_extension,,"['high', 'low', 'close', 'volume', 'window']","['', '', '', '', '']","['', '', '', '', '']",INPUT_DEPENDENT,INPUT_DEPENDENT,[],[],,,,,False,False,False,False,
CMO,[],,,technical_signal,,"['close', 'window']","['', '']","['', '']",INPUT_DEPENDENT,INPUT_DEPENDENT,[],[],,,,,False,False,False,False,
ChaikinOscillator,[],,,price_volume_extension,,"['high', 'low', 'close', 'volume', 'fast_window', 'slow_window', 'adl_window']","['', '', '', '', '', '', '']","['', '', '', '', '', '', '']",INPUT_DEPENDENT,INPUT_DEPENDENT,[],[],,,,,False,False,False,False,
DEMA,[],,,technical_signal,,"['x', 'window']","['', '']","['', '']",INPUT_DEPENDENT,INPUT_DEPENDENT,[],[],,,,,False,False,False,False,
DMI_minus,[],,,technical_signal,,"['high', 'low', 'close', 'window']","['', '', '', '']","['', '', '', '']",INPUT_DEPENDENT,INPUT_DEPENDENT,[],[],,,,,False,False,False,False,
DMI_plus,[],,,technical_signal,,"['high', 'low', 'close', 'window']","['', '', '', '']","['', '', '', '']",INPUT_DEPENDENT,INPUT_DEPENDENT,[],[],,,,,False,False,False,False,
DX,[],,,technical_signal,,"['high', 'low', 'close', 'window']","['', '', '', '']","['', '', '', '']",INPUT_DEPENDENT,INPUT_DEPENDENT,[],[],,,,,False,False,False,False,
EaseOfMovement,[],,,price_volume_extension,,"['high', 'low', 'volume', 'window', 'volume_scale']","['', '', '', '', '']","['', '', '', '', '']",INPUT_DEPENDENT,INPUT_DEPENDENT,[],[],,,,,False,False,False,False,
ForceIndex,[],,,price_volume_extension,,"['close', 'volume', 'window']","['', '', '']","['', '', '']",INPUT_DEPENDENT,INPUT_DEPENDENT,[],[],,,,,False,False,False,False,
KAMA,[],,,technical_signal,,"['close', 'er_window', 'fast_window', 'slow_window']","['', '', '', '']","['', '', '', '']",INPUT_DEPENDENT,INPUT_DEPENDENT,[],[],,,,,False,False,False,False,
KeltnerLower,[],,,technical_signal,,"['high', 'low', 'close', 'ema_window', 'atr_window', 'multiplier']","['', '', '', '', '', '']","['', '', '', '', '', '']",INPUT_DEPENDENT,INPUT_DEPENDENT,[],[],,,,,False,False,False,False,
KeltnerMid,[],,,technical_signal,,"['close', 'ema_window']","['', '']","['', '']",INPUT_DEPENDENT,INPUT_DEPENDENT,[],[],,,,,False,False,False,False,
KeltnerPosition,[],,,technical_signal,,"['high', 'low', 'close', 'ema_window', 'atr_window', 'multiplier']","['', '', '', '', '', '']","['', '', '', '', '', '']",INPUT_DEPENDENT,INPUT_DEPENDENT,[],[],,,,,False,False,False,False,
KeltnerUpper,[],,,technical_signal,,"['high', 'low', 'close', 'ema_window', 'atr_window', 'multiplier']","['', '', '', '', '', '']","['', '', '', '', '', '']",INPUT_DEPENDENT,INPUT_DEPENDENT,[],[],,,,,False,False,False,False,
MACD_hist,[],,,technical_signal,,"['x', 'fast', 'slow', 'signal']","['', '', '', '']","['', '', '', '']",INPUT_DEPENDENT,INPUT_DEPENDENT,[],[],,,,,False,False,False,False,
MACD_line,"['MACD', 'ts_macd']",,,technical_signal,,"['x', 'fast', 'slow', 'signal']","['', '', '', '']","['', '', '', '']",INPUT_DEPENDENT,INPUT_DEPENDENT,[],[],,,,,False,False,False,False,
MACD_signal,[],,,technical_signal,,"['x', 'fast', 'slow', 'signal']","['', '', '', '']","['', '', '', '']",INPUT_DEPENDENT,INPUT_DEPENDENT,[],[],,,,,False,False,False,False,
MFI,[],,,price_volume_extension,,"['high', 'low', 'close', 'volume', 'window']","['', '', '', '', '']","['', '', '', '', '']",INPUT_DEPENDENT,INPUT_DEPENDENT,[],[],,,,,False,False,False,False,
NATR,[],,,technical_signal,,"['high', 'low', 'close', 'window']","['', '', '', '']","['', '', '', '']",INPUT_DEPENDENT,INPUT_DEPENDENT,[],[],,,,,False,False,False,False,
PPO,[],,,technical_signal,,"['close', 'fast_window', 'slow_window']","['', '', '']","['', '', '']",INPUT_DEPENDENT,INPUT_DEPENDENT,[],[],,,,,False,False,False,False,
PPO_hist,[],,,technical_signal,,"['close', 'fast_window', 'slow_window', 'signal_window']","['', '', '', '']","['', '', '', '']",INPUT_DEPENDENT,INPUT_DEPENDENT,[],[],,,,,False,False,False,False,
PPO_signal,[],,,technical_signal,,"['close', 'fast_window', 'slow_window', 'signal_window']","['', '', '', '']","['', '', '', '']",INPUT_DEPENDENT,INPUT_DEPENDENT,[],[],,,,,False,False,False,False,
PSAR,[],,,technical_signal,,"['high', 'low', 'acceleration', 'maximum']","['', '', '', '']","['', '', '', '']",INPUT_DEPENDENT,INPUT_DEPENDENT,[],[],,,,,False,False,False,False,
PVO,[],,,technical_signal,,"['volume', 'fast_window', 'slow_window']","['', '', '']","['', '', '']",INPUT_DEPENDENT,INPUT_DEPENDENT,[],[],,,,,False,False,False,False,
PVO_hist,[],,,technical_signal,,"['volume', 'fast_window', 'slow_window', 'signal_window']","['', '', '', '']","['', '', '', '']",INPUT_DEPENDENT,INPUT_DEPENDENT,[],[],,,,,False,False,False,False,
PVO_signal,[],,,technical_signal,,"['volume', 'fast_window', 'slow_window', 'signal_window']","['', '', '', '']","['', '', '', '']",INPUT_DEPENDENT,INPUT_DEPENDENT,[],[],,,,,False,False,False,False,
RSI_WILDER,['ts_rsi_wilder'],,,technical_signal,,"['x', 'window']","['', '']","['', '']",INPUT_DEPENDENT,INPUT_DEPENDENT,[],[],,,,,False,False,False,False,
Supertrend,[],,,technical_signal,,"['high', 'low', 'close', 'atr_window', 'multiplier']","['', '', '', '', '']","['', '', '', '', '']",INPUT_DEPENDENT,INPUT_DEPENDENT,[],[],,,,,False,False,False,False,
SupertrendDirection,[],,,technical_signal,,"['high', 'low', 'close', 'atr_window', 'multiplier']","['', '', '', '', '']","['', '', '', '', '']",INPUT_DEPENDENT,INPUT_DEPENDENT,[],[],,,,,False,False,False,False,
TEMA,[],,,technical_signal,,"['x', 'window']","['', '']","['', '']",INPUT_DEPENDENT,INPUT_DEPENDENT,[],[],,,,,False,False,False,False,
TSI,[],,,technical_signal,,"['close', 'long_window', 'short_window']","['', '', '']","['', '', '']",INPUT_DEPENDENT,INPUT_DEPENDENT,[],[],,,,,False,False,False,False,
TSI_signal,[],,,technical_signal,,"['close', 'long_window', 'short_window', 'signal_window']","['', '', '', '']","['', '', '', '']",INPUT_DEPENDENT,INPUT_DEPENDENT,[],[],,,,,False,False,False,False,
UltimateOscillator,[],,,technical_signal,,"['high', 'low', 'close', 'short_window', 'medium_window', 'long_window', 'short_weight', 'medium_weight', 'long_weight']","['', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '']",INPUT_DEPENDENT,INPUT_DEPENDENT,[],[],,,,,False,False,False,False,
VortexMinus,[],,,technical_signal,,"['high', 'low', 'close', 'window']","['', '', '', '']","['', '', '', '']",INPUT_DEPENDENT,INPUT_DEPENDENT,[],[],,,,,False,False,False,False,
VortexPlus,[],,,technical_signal,,"['high', 'low', 'close', 'window']","['', '', '', '']","['', '', '', '']",INPUT_DEPENDENT,INPUT_DEPENDENT,[],[],,,,,False,False,False,False,
a_share_cap_ratio,[],,,valuation,,"['a_cap', 'capitalization']","['', '']","['', '']",INPUT_DEPENDENT,INPUT_DEPENDENT,[],[],,,,,False,False,False,False,
abnormal_turnover,[],,,price_volume_extension,,"['turnover', 'window']","['', '']","['', '']",CERTIFIED_NATIVE,PROVIDER_REQUIRED,['DAILY_TURNOVER'],['DAILY_TURNOVER'],,,,,False,False,False,False,us: PROVIDER_REQUIRED
abnormal_volume,[],,,price_volume_extension,,"['volume', 'window']","['', '']","['', '']",INPUT_DEPENDENT,INPUT_DEPENDENT,[],[],,,,,False,False,False,False,
abs,['ABS'],,,math,,['x'],[''],[''],INPUT_DEPENDENT,INPUT_DEPENDENT,[],[],,,,,False,False,False,False,
abs_return_volume_corr,[],,,price_volume_extension,,"['ret', 'volume', 'window']","['', '', '']","['', '', '']",INPUT_DEPENDENT,INPUT_DEPENDENT,[],[],,,,,False,False,False,False,
acos,[],,,math,,['x'],[''],[''],INPUT_DEPENDENT,INPUT_DEPENDENT,[],[],,,,,False,False,False,False,
acos_bounded,[],,,math,,['x'],[''],[''],INPUT_DEPENDENT,INPUT_DEPENDENT,[],[],,,,,False,False,False,False,
add,[],,,elementwise_math,,[],[],[],INPUT_DEPENDENT,INPUT_DEPENDENT,[],[],,,,,False,False,False,False,
