canonical,execution_kind,scope,statefulness,semantic_digests,native_fallback_route,cold_warm_cache,serial_parallel,full_incremental,materialized_reload,semantic_loss_detected,identity_drift_detected,fix_action,blockers
BollingerBands,composite,unknown,stateless,"{""ir"": ""9518c99cc6f4db801ebbca8966b6ce6a4a0c2ff2a6b11b56738efe309b8eba88"", ""logical"": ""9518c99cc6f4db801ebbca8966b6ce6a4a0c2ff2a6b11b56738efe309b8eba88"", ""lowered"": ""7e9776ded9d414ef833637d63e41b44235b08696ce7c51a6f68a7cb28eebcfe9"", ""optimized"": ""9518c99cc6f4db801ebbca8966b6ce6a4a0c2ff2a6b11b56738efe309b8eba88""}",native,cold,serial,full,n/a,False,False,none,
BollingerLower,composite,unknown,stateless,"{""ir"": ""9ec503a7e363d319a33d22f92a1a31bd310d0c66647483b7ff3361d94bf757f4"", ""logical"": ""9ec503a7e363d319a33d22f92a1a31bd310d0c66647483b7ff3361d94bf757f4"", ""lowered"": ""10203b5ced2b177bb32b4df77b63393ba721fa22b9fcbfdc30130e56304624d4"", ""optimized"": ""9ec503a7e363d319a33d22f92a1a31bd310d0c66647483b7ff3361d94bf757f4""}",native,cold,serial,full,n/a,False,False,none,
BollingerUpper,composite,unknown,stateless,"{""ir"": ""20d3db8795a627367a95f74a09ed497e775ed4380dbdb167d3d06fc651b62f9f"", ""logical"": ""20d3db8795a627367a95f74a09ed497e775ed4380dbdb167d3d06fc651b62f9f"", ""lowered"": ""4742126781f1cc39fa6d89c6a21be6dfbaff049be5ad3554546af75bd94acf84"", ""optimized"": ""20d3db8795a627367a95f74a09ed497e775ed4380dbdb167d3d06fc651b62f9f""}",native,cold,serial,full,n/a,False,False,none,
DPO,composite,unknown,stateless,"{""ir"": ""f30fef51581f9fd2154be92eed5bcd59012e185212d295efd0f73b85f13d83bf"", ""logical"": ""f30fef51581f9fd2154be92eed5bcd59012e185212d295efd0f73b85f13d83bf"", ""lowered"": ""8811aaaf26fee6ae49ed0864b741f95f4b13630242cd78d6c348560cb1136742"", ""optimized"": ""f30fef51581f9fd2154be92eed5bcd59012e185212d295efd0f73b85f13d83bf""}",native,cold,serial,full,n/a,False,False,none,
MACD_hist,stateful,unknown,recursive,"{""ir"": ""dbcdc220ec2597c739abfd3c08f8938c76a8b6543795ca7d99c9194ae5d8b13e"", ""logical"": ""dbcdc220ec2597c739abfd3c08f8938c76a8b6543795ca7d99c9194ae5d8b13e"", ""lowered"": ""35b5511081dce2ffa55c1158d3c18490b9758fcefd43a3fba1e94a1de9cf89bd"", ""optimized"": ""dbcdc220ec2597c739abfd3c08f8938c76a8b6543795ca7d99c9194ae5d8b13e""}",native,cold,serial,full,n/a,False,False,none,
MACD_line,stateful,unknown,recursive,"{""ir"": ""461c24074a0340ac5062dcd08ab009f06c0830e5b60433ac249df217ddaa931a"", ""logical"": ""461c24074a0340ac5062dcd08ab009f06c0830e5b60433ac249df217ddaa931a"", ""lowered"": ""590e3314e99ca3497a93171129c9b34dc315fe986b744c7faea825b60629b841"", ""optimized"": ""461c24074a0340ac5062dcd08ab009f06c0830e5b60433ac249df217ddaa931a""}",native,cold,serial,full,n/a,False,False,none,
MACD_signal,stateful,unknown,recursive,"{""ir"": ""bcf29b8cf2e76b53e2d7b0c1c4de1676088b3b1cbac6c74c253a62af7333240d"", ""logical"": ""bcf29b8cf2e76b53e2d7b0c1c4de1676088b3b1cbac6c74c253a62af7333240d"", ""lowered"": ""f06472259901b2d4476db2473a375804fd678283eb40e6ba38ad206ae03aa2f3"", ""optimized"": ""bcf29b8cf2e76b53e2d7b0c1c4de1676088b3b1cbac6c74c253a62af7333240d""}",native,cold,serial,full,n/a,False,False,none,
MOM,composite,unknown,stateless,"{""ir"": ""facee789801ed47602f0e8e902eb6b7b1f55d06eda88d9ed355ea99149f8e9ba"", ""logical"": ""facee789801ed47602f0e8e902eb6b7b1f55d06eda88d9ed355ea99149f8e9ba"", ""lowered"": ""f0200dc09a2ff5ed158e2da15a4a044c2537d5e19bb9dffe8e6ab0589e109a54"", ""optimized"": ""facee789801ed47602f0e8e902eb6b7b1f55d06eda88d9ed355ea99149f8e9ba""}",native,cold,serial,full,n/a,False,False,none,
OBV,composite,unknown,stateless,"{""ir"": ""eec6639c88984a27b5eaa39b4209a109e9280a9f4c9658167a2b718af9d76d68"", ""logical"": ""eec6639c88984a27b5eaa39b4209a109e9280a9f4c9658167a2b718af9d76d68"", ""lowered"": ""fb2dfd397c7dda87ea68973049a0b63f5af8b4d8b89f48edc28efd4171cfcfcc"", ""optimized"": ""eec6639c88984a27b5eaa39b4209a109e9280a9f4c9658167a2b718af9d76d68""}",native,cold,serial,full,n/a,False,False,none,
ROC,composite,unknown,stateless,"{""ir"": ""7002c2592092ba555f7bd2e653dafe261dd0ef8dbd4aaf4f5b3bfda083b1fca2"", ""logical"": ""7002c2592092ba555f7bd2e653dafe261dd0ef8dbd4aaf4f5b3bfda083b1fca2"", ""lowered"": ""81fdbd1f8af18b6d0903add1effb261e1f3c81b4a3275ff9ab1b2e2cd1365e93"", ""optimized"": ""7002c2592092ba555f7bd2e653dafe261dd0ef8dbd4aaf4f5b3bfda083b1fca2""}",native,cold,serial,full,n/a,False,False,none,
StochasticD,composite,unknown,stateless,"{""ir"": ""fa69a368ef2aea0c72231c91b7f4e2a9b92deeae1070fc95720f5c66b402394d"", ""logical"": ""fa69a368ef2aea0c72231c91b7f4e2a9b92deeae1070fc95720f5c66b402394d"", ""lowered"": ""fa69a368ef2aea0c72231c91b7f4e2a9b92deeae1070fc95720f5c66b402394d"", ""optimized"": ""fa69a368ef2aea0c72231c91b7f4e2a9b92deeae1070fc95720f5c66b402394d""}",native,cold,serial,full,n/a,False,False,none,
StochasticK,composite,unknown,stateless,"{""ir"": ""df6e55411a6a3efcf99699a8f75bf4aba6fc5e954563887abd4e096540a3673e"", ""logical"": ""df6e55411a6a3efcf99699a8f75bf4aba6fc5e954563887abd4e096540a3673e"", ""lowered"": ""df6e55411a6a3efcf99699a8f75bf4aba6fc5e954563887abd4e096540a3673e"", ""optimized"": ""df6e55411a6a3efcf99699a8f75bf4aba6fc5e954563887abd4e096540a3673e""}",native,cold,serial,full,n/a,False,False,none,
WilliamsR,composite,unknown,stateless,"{""ir"": ""0191e275ac0dc022e169523c6964730a8444247958e59655a0be14cacec3d355"", ""logical"": ""0191e275ac0dc022e169523c6964730a8444247958e59655a0be14cacec3d355"", ""lowered"": ""0191e275ac0dc022e169523c6964730a8444247958e59655a0be14cacec3d355"", ""optimized"": ""0191e275ac0dc022e169523c6964730a8444247958e59655a0be14cacec3d355""}",native,cold,serial,full,n/a,False,False,none,
a_share_cap_ratio,composite,unknown,stateless,"{""ir"": ""b910e227237cf73c706187797c2c42d8e4371e62a2399f43b2725fdb2a127e46"", ""logical"": ""b910e227237cf73c706187797c2c42d8e4371e62a2399f43b2725fdb2a127e46"", ""lowered"": ""03cfc8ae2bff5672174e6f7e401476a5ae36b7198883f703eee12555594b2544"", ""optimized"": ""b910e227237cf73c706187797c2c42d8e4371e62a2399f43b2725fdb2a127e46""}",native,cold,serial,full,n/a,False,False,none,
