canonical,markets,sources,context_admitted
ADX,ashare|us,daily_bar,True
ATR_WILDER,ashare|us,daily_bar,True
CMF,ashare|us,daily_bar,True
CMO,ashare|us,daily_bar,True
ChaikinOscillator,ashare|us,daily_bar,True
DEMA,ashare|us,daily_bar,True
DMI_minus,ashare|us,daily_bar,True
DMI_plus,ashare|us,daily_bar,True
DX,ashare|us,daily_bar,True
EaseOfMovement,ashare|us,daily_bar,True
ForceIndex,ashare|us,daily_bar,True
KAMA,ashare|us,daily_bar,True
KeltnerLower,ashare|us,daily_bar,True
KeltnerMid,ashare|us,daily_bar,True
KeltnerPosition,ashare|us,daily_bar,True
KeltnerUpper,ashare|us,daily_bar,True
MACD_hist,ashare|us,daily_bar,True
MACD_line,ashare|us,daily_bar,True
MACD_signal,ashare|us,daily_bar,True
MFI,ashare|us,daily_bar,True
NATR,ashare|us,daily_bar,True
PPO,ashare|us,daily_bar,True
PPO_hist,ashare|us,daily_bar,True
PPO_signal,ashare|us,daily_bar,True
PSAR,ashare|us,daily_bar,True
PVO,ashare|us,daily_bar,True
PVO_hist,ashare|us,daily_bar,True
PVO_signal,ashare|us,daily_bar,True
RSI_WILDER,ashare|us,daily_bar,True
Supertrend,ashare|us,daily_bar,True
SupertrendDirection,ashare|us,daily_bar,True
TEMA,ashare|us,daily_bar,True
TSI,ashare|us,daily_bar,True
TSI_signal,ashare|us,daily_bar,True
UltimateOscillator,ashare|us,daily_bar,True
VortexMinus,ashare|us,daily_bar,True
VortexPlus,ashare|us,daily_bar,True
a_share_cap_ratio,ashare|us,daily_bar,True
abnormal_turnover,ashare|us,daily_bar,True
abnormal_volume,ashare|us,daily_bar,True
abs,ashare|us,daily_bar,True
abs_return_volume_corr,ashare|us,daily_bar,True
acos_bounded,ashare|us,daily_bar,True
add,ashare|us,daily_bar,True
adv,ashare|us,daily_bar,True
altman_z_score,ashare|us,fundamental_pit,True
amihud_illiquidity,ashare|us,daily_bar,True
and_,ashare|us,daily_bar,True
ashare_days_since_limit_down,ashare,daily_bar,True
ashare_days_since_limit_up,ashare,daily_bar,True
ashare_failed_limit_count,ashare,daily_bar,True
ashare_limit_asymmetry,ashare,daily_bar,True
ashare_limit_distance,ashare,daily_bar,True
ashare_limit_down_streak,ashare,daily_bar,True
ashare_limit_down_touch,ashare,daily_bar,True
ashare_limit_down_volume_ratio,ashare,daily_bar,True
ashare_limit_event_density,ashare,daily_bar,True
ashare_limit_failed,ashare,daily_bar,True
ashare_limit_one_price,ashare,daily_bar,True
ashare_limit_open_down_streak,ashare,daily_bar,True
ashare_limit_open_failed,ashare,daily_bar,True
ashare_limit_open_up_streak,ashare,daily_bar,True
ashare_limit_touch_count,ashare,daily_bar,True
ashare_limit_up_streak,ashare,daily_bar,True
ashare_limit_up_touch,ashare,daily_bar,True
ashare_limit_up_volume_ratio,ashare,daily_bar,True
ashare_one_price_limit_streak,ashare,daily_bar,True
ashare_open_at_upper_limit,ashare,daily_bar,True
ashare_suspension_episode_length,ashare,daily_bar,True
asin_bounded,ashare|us,daily_bar,True
atan,ashare|us,daily_bar,True
atan2,ashare|us,daily_bar,True
average_turnover,ashare|us,daily_bar,True
baseline_scaled_wasserstein_distance,ashare|us,minute_bar,True
benchmark_excess_return,ashare|us,daily_bar,True
benchmark_relative_price,ashare|us,daily_bar,True
bollinger_pct_b,ashare|us,daily_bar,True
bollinger_width,ashare|us,daily_bar,True
book_to_price,ashare|us,daily_bar,True
bounded_nvi,ashare|us,daily_bar,True
bounded_pvi,ashare|us,daily_bar,True
calendar_day_diff,ashare|us,daily_bar,True
candle_abs_body,ashare|us,daily_bar,True
candle_body,ashare|us,daily_bar,True
candle_body_percentile,ashare|us,daily_bar,True
candle_body_position,ashare|us,daily_bar,True
candle_body_ratio,ashare|us,daily_bar,True
candle_body_zscore,ashare|us,daily_bar,True
candle_close_location,ashare|us,daily_bar,True
candle_close_strength,ashare|us,daily_bar,True
candle_direction,ashare|us,daily_bar,True
candle_gap,ashare|us,daily_bar,True
candle_gap_atr,ashare|us,daily_bar,True
candle_gap_pct,ashare|us,daily_bar,True
candle_inside_ratio,ashare|us,daily_bar,True
candle_lower_shadow,ashare|us,daily_bar,True
candle_lower_shadow_ratio,ashare|us,daily_bar,True
candle_lower_shadow_zscore,ashare|us,daily_bar,True
candle_overlap_ratio,ashare|us,daily_bar,True
candle_range,ashare|us,daily_bar,True
candle_range_atr,ashare|us,daily_bar,True
candle_range_percentile,ashare|us,daily_bar,True
candle_range_zscore,ashare|us,daily_bar,True
candle_rejection_lower,ashare|us,daily_bar,True
candle_rejection_upper,ashare|us,daily_bar,True
candle_upper_shadow,ashare|us,daily_bar,True
candle_upper_shadow_ratio,ashare|us,daily_bar,True
candle_upper_shadow_zscore,ashare|us,daily_bar,True
candlestick_pattern,ashare|us,daily_bar,True
capital_change_age,ashare|us,daily_bar,True
capital_change_magnitude,ashare|us,daily_bar,True
cash_flow_lifecycle_stage,ashare|us,fundamental_pit,True
cbrt,ashare|us,daily_bar,True
cdl_dark_cloud_cover,ashare|us,daily_bar,True
cdl_doji,ashare|us,daily_bar,True
cdl_dragonfly_doji,ashare|us,daily_bar,True
cdl_engulfing,ashare|us,daily_bar,True
cdl_evening_star,ashare|us,daily_bar,True
cdl_gravestone_doji,ashare|us,daily_bar,True
cdl_hammer,ashare|us,daily_bar,True
cdl_hanging_man,ashare|us,daily_bar,True
cdl_harami,ashare|us,daily_bar,True
cdl_harami_cross,ashare|us,daily_bar,True
cdl_inside_bar,ashare|us,daily_bar,True
cdl_inverted_hammer,ashare|us,daily_bar,True
cdl_marubozu,ashare|us,daily_bar,True
cdl_morning_star,ashare|us,daily_bar,True
cdl_outside_bar,ashare|us,daily_bar,True
cdl_piercing,ashare|us,daily_bar,True
cdl_shooting_star,ashare|us,daily_bar,True
cdl_spinning_top,ashare|us,daily_bar,True
cdl_three_black_crows,ashare|us,daily_bar,True
cdl_three_white_soldiers,ashare|us,daily_bar,True
cdl_tweezer_bottom,ashare|us,daily_bar,True
cdl_tweezer_top,ashare|us,daily_bar,True
ceil,ashare|us,daily_bar,True
choppiness_index,ashare|us,daily_bar,True
circulating_cap_ratio_change,ashare|us,daily_bar,True
clip,ashare|us,daily_bar,True
coalesce,ashare|us,daily_bar,True
composition_aitchison_distance,ashare|us,daily_bar,True
composition_clr_component,ashare|us,daily_bar,True
composition_entropy,ashare|us,daily_bar,True
composition_ilr_balance,ashare|us,daily_bar,True
composition_js_divergence,ashare|us,daily_bar,True
composition_normalized_entropy,ashare|us,daily_bar,True
corwin_schultz_spread,ashare|us,daily_bar,True
cos_phase,ashare|us,daily_bar,True
coskewness_to_market,ashare|us,daily_bar,True
cross_event,ashare|us,daily_bar,True
cs_actual_lof_score,ashare|us,daily_bar,True
cs_autoencoder_reconstruction_error,ashare|us,daily_bar,True
cs_bucket,ashare|us,daily_bar,True
cs_bucket_fixed,ashare|us,daily_bar,True
cs_bucket_historical,ashare|us,daily_bar,True
cs_count,ashare|us,daily_bar,True
cs_coverage_ratio,ashare|us,daily_bar,True
cs_demean,ashare|us,daily_bar,True
cs_fill_mean,ashare|us,daily_bar,True
cs_fill_median,ashare|us,daily_bar,True
cs_hartigan_dip,ashare|us,daily_bar,True
cs_huber_resid,ashare|us,daily_bar,True
cs_impute_mean,ashare|us,daily_bar,True
cs_impute_median,ashare|us,daily_bar,True
cs_isolation,ashare|us,daily_bar,True
cs_isotonic_residual,ashare|us,daily_bar,True
cs_isotonic_residual_lagged_direction,ashare|us,daily_bar,True
cs_knn_distance,ashare|us,daily_bar,True
cs_knn_graph_dirichlet_energy,ashare|us,daily_bar,True
cs_knn_local_gradient_norm,ashare|us,daily_bar,True
cs_knn_local_linear_residual,ashare|us,daily_bar,True
cs_knn_local_moran,ashare|us,daily_bar,True
cs_knn_neighbor_retention,ashare|us,daily_bar,True
cs_knn_peer_mean_ex_self,ashare|us,daily_bar,True
cs_knn_tangent_residual,ashare|us,daily_bar,True
cs_lad_resid,ashare|us,daily_bar,True
cs_local_curvature,ashare|us,daily_bar,True
cs_local_density,ashare|us,daily_bar,True
cs_local_density_score,ashare|us,daily_bar,True
cs_mad,ashare|us,daily_bar,True
cs_mad_zscore,ashare|us,daily_bar,True
cs_mahalanobis_distance,ashare|us,daily_bar,True
cs_mean,ashare|us,daily_bar,True
cs_multi_resid,ashare|us,daily_bar,True
cs_multi_ridge_resid,ashare|us,daily_bar,True
cs_neighbor_gap,ashare|us,daily_bar,True
cs_neutralize,ashare|us,daily_bar,True
cs_pct_rank,ashare|us,daily_bar,True
cs_physical_panel_coverage,ashare|us,daily_bar,True
cs_quantile,ashare|us,daily_bar,True
cs_quantile_resid,ashare|us,daily_bar,True
cs_rank_churn,ashare|us,daily_bar,True
cs_rank_combined_churn,ashare|us,daily_bar,True
cs_rank_composition_churn,ashare|us,daily_bar,True
cs_rank_copula_entropy,ashare|us,daily_bar,True
cs_rank_copula_mi,ashare|us,daily_bar,True
cs_rank_gaussian,ashare|us,daily_bar,True
cs_regression,ashare|us,daily_bar,True
cs_relative_density_ratio,ashare|us,daily_bar,True
cs_resid,ashare|us,daily_bar,True
cs_residual_percentile,ashare|us,daily_bar,True
cs_ridge_resid,ashare|us,daily_bar,True
cs_robust_mahalanobis_mad,ashare|us,daily_bar,True
cs_shrinkage_mahalanobis,ashare|us,daily_bar,True
cs_sliced_wasserstein_copula_shift,ashare|us,daily_bar,True
cs_spline_resid,ashare|us,daily_bar,True
cs_std,ashare|us,daily_bar,True
cs_sum,ashare|us,daily_bar,True
cs_tail_breadth,ashare|us,daily_bar,True
cs_tail_retention,ashare|us,daily_bar,True
cs_trimmed_ols_resid,ashare|us,daily_bar,True
cs_universe_coverage,ashare|us,daily_bar,True
cs_valid_count,ashare|us,daily_bar,True
cs_weighted_demean,ashare|us,daily_bar,True
cs_weighted_mean,ashare|us,daily_bar,True
cs_weighted_percentile_rank,ashare|us,daily_bar,True
cs_weighted_zscore,ashare|us,daily_bar,True
cs_wls_resid,ashare|us,daily_bar,True
date_diff_days,ashare|us,fundamental_pit,True
digital_count,ashare|us,daily_bar,True
directional_change_extent,ashare|us,daily_bar,True
directional_change_state,ashare|us,daily_bar,True
divide,ashare|us,daily_bar,True
dollar_volume,ashare|us,daily_bar,True
dollar_volume_zscore,ashare|us,daily_bar,True
donchian_lower,ashare|us,daily_bar,True
donchian_mid,ashare|us,daily_bar,True
donchian_position,ashare|us,daily_bar,True
donchian_upper,ashare|us,daily_bar,True
down_volume_ratio,ashare|us,daily_bar,True
earnings_yield,ashare|us,daily_bar,True
efficiency_ratio,ashare|us,daily_bar,True
eq,ashare|us,daily_bar,True
event_abnormal_return_past,ashare|us,event_pit,True
event_active_count,ashare|us,event_pit,True
event_allan_factor,ashare|us,event_pit,True
event_allan_log_mean,ashare|us,event_pit,True
event_allan_scaling_slope,ashare|us,event_pit,True
event_arithmetic_return_sum,ashare|us,event_pit,True
event_cluster_count,ashare|us,event_pit,True
event_cluster_mean_size,ashare|us,event_pit,True
event_cumulative_return_past,ashare|us,event_pit,True
event_decay_asof,ashare|us,event_pit,True
event_fano_excess,ashare|us,event_pit,True
event_fano_factor,ashare|us,event_pit,True
event_frequency,ashare|us,event_pit,True
event_hawkes_branching_ratio_proxy,ashare|us,event_pit,True
event_historical_response_mean,ashare|us,event_pit,True
event_historical_response_sign_balance,ashare|us,event_pit,True
event_interval_mark_coupling,ashare|us,event_pit,True
event_interval_memory,ashare|us,event_pit,True
event_level_survival_share,ashare|us,event_pit,True
event_local_variation,ashare|us,event_pit,True
event_log_return_sum,ashare|us,event_pit,True
event_mark_autocorr,ashare|us,event_pit,True
event_refractory,ashare|us,event_pit,True
event_response_decay_rate,ashare|us,event_pit,True
event_response_dispersion,ashare|us,event_pit,True
event_response_effective_events,ashare|us,event_pit,True
event_response_overlap_ratio,ashare|us,event_pit,True
event_response_peak_lag,ashare|us,event_pit,True
event_response_reversal_strength,ashare|us,event_pit,True
event_return_since_last,ashare|us,event_pit,True
exp,ashare|us,daily_bar,True
exp_neg,ashare|us,daily_bar,True
expanding_rank,ashare|us,daily_bar,True
ffill_limit,ashare|us,daily_bar,True
fillna_const,ashare|us,daily_bar,True
fin_accrual_ratio,ashare|us,fundamental_pit,True
fin_acquisition_cash_intensity,ashare|us,fundamental_pit,True
fin_actual_expectation_divergence,ashare|us,fundamental_pit,True
fin_announcement_lag,ashare|us,fundamental_pit,True
fin_applicability_mask,ashare|us,fundamental_pit,True
fin_average_balance,ashare|us,fundamental_pit,True
fin_beat_streak,ashare|us,fundamental_pit,True
fin_borrowing_intensity,ashare|us,fundamental_pit,True
fin_cagr,ashare|us,fundamental_pit,True
fin_capex_growth,ashare|us,fundamental_pit,True
fin_capex_intensity,ashare|us,fundamental_pit,True
fin_cash_burn_runway,ashare|us,fundamental_pit,True
fin_cash_conversion,ashare|us,fundamental_pit,True
fin_cash_earnings_gap,ashare|us,fundamental_pit,True
fin_cash_sales_divergence,ashare|us,fundamental_pit,True
fin_cashflow_persistence,ashare|us,fundamental_pit,True
fin_common_size,ashare|us,fundamental_pit,True
fin_component_score,ashare|us,fundamental_pit,True
fin_comprehensive_income_gap,ashare|us,fundamental_pit,True
fin_contract_asset_growth,ashare|us,fundamental_pit,True
fin_contract_asset_intensity,ashare|us,fundamental_pit,True
fin_contract_asset_liability_gap,ashare|us,fundamental_pit,True
fin_contract_liability_growth,ashare|us,fundamental_pit,True
fin_contract_liability_intensity,ashare|us,fundamental_pit,True
fin_core_earnings_ratio,ashare|us,fundamental_pit,True
fin_cv,ashare|us,fundamental_pit,True
fin_days_since_expectation_revision,ashare|us,fundamental_pit,True
fin_days_since_update,ashare|us,fundamental_pit,True
fin_debt_repayment_intensity,ashare|us,fundamental_pit,True
fin_debt_service_coverage_proxy,ashare|us,fundamental_pit,True
fin_deferred_tax_gap,ashare|us,fundamental_pit,True
fin_delta_noa,ashare|us,fundamental_pit,True
fin_diff,ashare|us,fundamental_pit,True
fin_discontinued_operation_ratio,ashare|us,fundamental_pit,True
fin_divergence,ashare|us,fundamental_pit,True
fin_earnings_cash_gap_volatility,ashare|us,fundamental_pit,True
fin_earnings_persistence,ashare|us,fundamental_pit,True
fin_earnings_smoothness,ashare|us,fundamental_pit,True
fin_equity_capital_growth,ashare|us,fundamental_pit,True
fin_expectation_dispersion,ashare|us,fundamental_pit,True
fin_expectation_revision,ashare|us,fundamental_pit,True
fin_expectation_revision_count,ashare|us,fundamental_pit,True
fin_expectation_revision_magnitude,ashare|us,fundamental_pit,True
fin_expectation_revision_pct,ashare|us,fundamental_pit,True
fin_expectation_revision_speed,ashare|us,fundamental_pit,True
fin_expense_sales_divergence,ashare|us,fundamental_pit,True
fin_fair_value_income_dependence,ashare|us,fundamental_pit,True
fin_financing_gap,ashare|us,fundamental_pit,True
fin_fundamental_strength_coverage,ashare|us,fundamental_pit,True
fin_fundamental_strength_score,ashare|us,fundamental_pit,True
fin_goodwill_intensity,ashare|us,fundamental_pit,True
fin_goodwill_risk_score,ashare|us,fundamental_pit,True
fin_growth,ashare|us,fundamental_pit,True
fin_growth_acceleration,ashare|us,fundamental_pit,True
fin_growth_change,ashare|us,fundamental_pit,True
fin_growth_persistence,ashare|us,fundamental_pit,True
fin_growth_stability,ashare|us,fundamental_pit,True
fin_growth_volatility,ashare|us,fundamental_pit,True
fin_impairment_intensity,ashare|us,fundamental_pit,True
fin_interest_coverage_proxy,ashare|us,fundamental_pit,True
fin_inventory_sales_divergence,ashare|us,fundamental_pit,True
fin_investment_income_dependence,ashare|us,fundamental_pit,True
fin_lag,ashare|us,fundamental_pit,True
fin_lease_asset_liability_gap,ashare|us,fundamental_pit,True
fin_lease_intensity,ashare|us,fundamental_pit,True
fin_log_change,ashare|us,fundamental_pit,True
fin_mad,ashare|us,fundamental_pit,True
fin_margin_persistence,ashare|us,fundamental_pit,True
fin_mean_abs_deviation,ashare|us,fundamental_pit,True
fin_median_abs_deviation,ashare|us,fundamental_pit,True
fin_minority_profit_share,ashare|us,fundamental_pit,True
fin_miss_streak,ashare|us,fundamental_pit,True
fin_monotonicity,ashare|us,fundamental_pit,True
fin_negative_streak,ashare|us,fundamental_pit,True
fin_net_borrowing_cashflow,ashare|us,fundamental_pit,True
fin_net_debt_issuance,ashare|us,fundamental_pit,True
fin_noncore_income_ratio,ashare|us,fundamental_pit,True
fin_oci_to_equity,ashare|us,fundamental_pit,True
fin_other_earnings_dependence,ashare|us,fundamental_pit,True
fin_pct_change,ashare|us,fundamental_pit,True
fin_percentile_history,ashare|us,fundamental_pit,True
fin_percentile_vs_prior_history,ashare|us,fundamental_pit,True
fin_period_restated,ashare|us,fundamental_pit,True
fin_period_revision_age,ashare|us,fundamental_pit,True
fin_period_revision_count,ashare|us,fundamental_pit,True
fin_positive_streak,ashare|us,fundamental_pit,True
fin_qoq,ashare|us,fundamental_pit,True
fin_quarter_from_cumulative,ashare|us,fundamental_pit,True
fin_range,ashare|us,fundamental_pit,True
fin_ratio,ashare|us,fundamental_pit,True
fin_rd_capitalization_ratio,ashare|us,fundamental_pit,True
fin_rd_total_intensity,ashare|us,fundamental_pit,True
fin_receivable_sales_divergence,ashare|us,fundamental_pit,True
fin_restated_flag,ashare|us,fundamental_pit,True
fin_revision_count,ashare|us,fundamental_pit,True
fin_revision_delta,ashare|us,fundamental_pit,True
fin_revision_direction,ashare|us,fundamental_pit,True
fin_revision_magnitude,ashare|us,fundamental_pit,True
fin_revision_pct,ashare|us,fundamental_pit,True
fin_roe_cash_gap,ashare|us,fundamental_pit,True
fin_seasonal_percentile,ashare|us,fundamental_pit,True
fin_seasonal_zscore,ashare|us,fundamental_pit,True
fin_sign_change_count,ashare|us,fundamental_pit,True
fin_stability,ashare|us,fundamental_pit,True
fin_staleness,ashare|us,fundamental_pit,True
fin_std,ashare|us,fundamental_pit,True
fin_surprise,ashare|us,fundamental_pit,True
fin_surprise_event_percentile,ashare|us,fundamental_pit,True
fin_surprise_event_zscore,ashare|us,fundamental_pit,True
fin_surprise_zscore,ashare|us,fundamental_pit,True
fin_trend_acceleration,ashare|us,fundamental_pit,True
fin_trend_r2,ashare|us,fundamental_pit,True
fin_trend_slope,ashare|us,fundamental_pit,True
fin_trend_tstat,ashare|us,fundamental_pit,True
fin_ttm_cumulative,ashare|us,fundamental_pit,True
fin_ttm_quarterly,ashare|us,fundamental_pit,True
fin_turnover,ashare|us,fundamental_pit,True
fin_working_capital_accruals,ashare|us,fundamental_pit,True
fin_working_capital_change,ashare|us,fundamental_pit,True
fin_yoy,ashare|us,fundamental_pit,True
fin_zscore_history,ashare|us,fundamental_pit,True
fin_zscore_vs_prior_history,ashare|us,fundamental_pit,True
fiscal_accrual_quality,ashare|us,fundamental_pit,True
fiscal_ar_resid_std,ashare|us,fundamental_pit,True
fiscal_asymmetric_elasticity,ashare|us,fundamental_pit,True
fiscal_autocorr,ashare|us,fundamental_pit,True
fiscal_change_direction_agreement,ashare|us,fundamental_pit,True
fiscal_direction_consistency,ashare|us,fundamental_pit,True
fiscal_pair_direction_agreement,ashare|us,fundamental_pit,True
fiscal_perpetual_inventory,ashare|us,fundamental_pit,True
fiscal_regression_resid_std,ashare|us,fundamental_pit,True
fiscal_reversal_ratio,ashare|us,fundamental_pit,True
fiscal_sign_agreement,ashare|us,fundamental_pit,True
fiscal_sign_consistency,ashare|us,fundamental_pit,True
fiscal_standardized_surprise,ashare|us,fundamental_pit,True
fiscal_true_streak,ashare|us,fundamental_pit,True
fix,ashare|us,daily_bar,True
flex_max,ashare|us,daily_bar,True
flex_min,ashare|us,daily_bar,True
float_share_ratio,ashare|us,daily_bar,True
floor,ashare|us,daily_bar,True
free_float_ratio,ashare|us,daily_bar,True
free_float_share_ratio,ashare|us,daily_bar,True
free_float_turnover,ashare|us,daily_bar,True
free_to_circulating_ratio,ashare|us,daily_bar,True
fundamental_staleness,ashare|us,fundamental_pit,True
garman_klass_vol,ashare|us,daily_bar,True
ge,ashare|us,daily_bar,True
group_corr_mst_length,ashare|us,daily_bar,True
group_count,ashare|us,daily_bar,True
group_current_members_tail_coexceedance,ashare|us,daily_bar,True
group_decay_linear,ashare|us,daily_bar,True
group_distribution_js_divergence,ashare|us,daily_bar,True
group_ex_self_mad,ashare|us,daily_bar,True
group_ex_self_mean,ashare|us,daily_bar,True
group_ex_self_quantile,ashare|us,daily_bar,True
group_ex_self_std,ashare|us,daily_bar,True
group_ex_self_weighted_mean,ashare|us,daily_bar,True
group_feature_coverage_ratio,ashare|us,daily_bar,True
group_feature_effective_rank,ashare|us,daily_bar,True
group_feature_mode_localization,ashare|us,daily_bar,True
group_feature_mode_share,ashare|us,daily_bar,True
group_feature_second_mode_localization,ashare|us,daily_bar,True
group_feature_spectral_gap,ashare|us,daily_bar,True
group_feature_valid_member_count,ashare|us,daily_bar,True
group_impute_median,ashare|us,daily_bar,True
group_kurtosis,ashare|us,daily_bar,True
group_leader_laggard_exposure,ashare|us,daily_bar,True
group_max,ashare|us,daily_bar,True
group_mean,ashare|us,daily_bar,True
group_min,ashare|us,daily_bar,True
group_multi_level_rank_consistency,ashare|us,daily_bar,True
group_neutralize,ashare|us,daily_bar,True
group_normalize,ashare|us,daily_bar,True
group_peer_beta_deviation,ashare|us,daily_bar,True
group_peer_deviation_index,ashare|us,daily_bar,True
group_peer_information_diffusion,ashare|us,daily_bar,True
group_percentile,ashare|us,daily_bar,True
group_quantile_spread,ashare|us,daily_bar,True
group_rank,ashare|us,daily_bar,True
group_rank_weighted_value,ashare|us,daily_bar,True
group_return_dispersion_exposure,ashare|us,daily_bar,True
group_signal_attraction_share,ashare|us,daily_bar,True
group_skewness,ashare|us,daily_bar,True
group_spd_feature_structure_shift,ashare|us,daily_bar,True
group_std,ashare|us,daily_bar,True
group_sum,ashare|us,daily_bar,True
group_tail_centrality,ashare|us,daily_bar,True
group_tail_lead_score,ashare|us,daily_bar,True
group_tail_ratio,ashare|us,daily_bar,True
group_topk_mean,ashare|us,daily_bar,True
group_ts_decay_linear,ashare|us,daily_bar,True
group_valid_count,ashare|us,daily_bar,True
group_wasserstein_barycenter_distance,ashare|us,daily_bar,True
group_weighted_mean,ashare|us,daily_bar,True
group_weighted_zscore,ashare|us,daily_bar,True
group_winsorize,ashare|us,daily_bar,True
group_zscore,ashare|us,daily_bar,True
gt,ashare|us,daily_bar,True
hierarchical_group_neutralize,ashare|us,daily_bar,True
high_low_spread_proxy,ashare|us,daily_bar,True
holder_class_entropy,ashare|us,shareholder_pit,True
holder_class_js_shift,ashare|us,shareholder_pit,True
