canonical,mining_visible,composition_usable,terminal_usable,ast_positions,data_inputs,scalar_parameters,smoke_recipe,reachable
ADX,True,True,True,"['intermediate', 'terminal']","['high', 'low', 'close']",['window'],"smoke:ADX::close=continuous_close,high=continuous_high,low=continuous_low",True
ALMA,True,True,True,"['intermediate', 'terminal']",['x'],"['window', 'offset', 'sigma']",smoke:ALMA::x=continuous_close,True
ATR_WILDER,True,True,False,['intermediate'],"['high', 'low', 'close']",['window'],"smoke:ATR_WILDER::close=continuous_close,high=continuous_high,low=continuous_low",True
CMF,True,True,True,"['intermediate', 'terminal']","['high', 'low', 'close', 'volume']",['window'],"smoke:CMF::close=continuous_close,high=continuous_high,low=continuous_low,volume=raw_volume_shares",True
CMO,True,True,True,"['intermediate', 'terminal']",['close'],['window'],smoke:CMO::close=continuous_close,True
ChaikinOscillator,True,True,True,"['intermediate', 'terminal']","['high', 'low', 'close', 'volume', 'fast_window', 'slow_window', 'adl_window']",[],"smoke:ChaikinOscillator::close=continuous_close,high=continuous_high,low=continuous_low,volume=raw_volume_shares",True
CoppockCurve,True,True,True,"['intermediate', 'terminal']",['close'],"['roc1', 'roc2', 'wma_window', 'roc_mode']",smoke:CoppockCurve::close=continuous_close,True
DEMA,True,True,False,['intermediate'],['x'],['window'],smoke:DEMA::x=continuous_close,True
DMI_minus,True,True,True,"['intermediate', 'terminal']","['high', 'low', 'close']",['window'],"smoke:DMI_minus::close=continuous_close,high=continuous_high,low=continuous_low",True
DMI_plus,True,True,True,"['intermediate', 'terminal']","['high', 'low', 'close']",['window'],"smoke:DMI_plus::close=continuous_close,high=continuous_high,low=continuous_low",True
DX,True,True,True,"['intermediate', 'terminal']","['high', 'low', 'close']",['window'],"smoke:DX::close=continuous_close,high=continuous_high,low=continuous_low",True
EaseOfMovement,True,True,True,"['intermediate', 'terminal']","['high', 'low', 'volume', 'volume_scale']",['window'],"smoke:EaseOfMovement::high=continuous_high,low=continuous_low,volume=raw_volume_shares",True
ElderRay,True,True,True,"['intermediate', 'terminal']",['close'],"['high', 'low', 'ema', 'output']",smoke:ElderRay::close=continuous_close,True
FisherTransform,True,True,True,"['intermediate', 'terminal']","['high', 'low', 'smooth', 'signal_smooth', 'output']",['window'],"smoke:FisherTransform::high=continuous_high,low=continuous_low",True
ForceIndex,True,True,True,"['intermediate', 'terminal']","['close', 'volume']",['window'],"smoke:ForceIndex::close=continuous_close,volume=raw_volume_shares",True
HMA,True,True,True,"['intermediate', 'terminal']",['x'],"['window', 'rounding']",smoke:HMA::x=continuous_close,True
KAMA,True,True,False,['intermediate'],['close'],"['er_window', 'fast_window', 'slow_window']",smoke:KAMA::close=continuous_close,True
KeltnerLower,True,True,False,['intermediate'],"['high', 'low', 'close']","['ema_window', 'atr_window', 'multiplier']","smoke:KeltnerLower::close=continuous_close,high=continuous_high,low=continuous_low",True
KeltnerMid,True,True,False,['intermediate'],['close'],['ema_window'],smoke:KeltnerMid::close=continuous_close,True
KeltnerPosition,True,True,True,"['intermediate', 'terminal']","['high', 'low', 'close']","['ema_window', 'atr_window', 'multiplier']","smoke:KeltnerPosition::close=continuous_close,high=continuous_high,low=continuous_low",True
KeltnerUpper,True,True,False,['intermediate'],"['high', 'low', 'close']","['ema_window', 'atr_window', 'multiplier']","smoke:KeltnerUpper::close=continuous_close,high=continuous_high,low=continuous_low",True
MACD_hist,True,True,True,"['intermediate', 'terminal']","['x', 'fast', 'slow', 'signal']",[],smoke:MACD_hist::x=continuous_close,True
MACD_line,True,True,True,"['intermediate', 'terminal']","['x', 'fast', 'slow']",['signal'],smoke:MACD_line::x=continuous_close,True
MACD_signal,True,True,True,"['intermediate', 'terminal']","['x', 'fast', 'slow', 'signal']",[],smoke:MACD_signal::x=continuous_close,True
MFI,True,True,True,"['intermediate', 'terminal']","['high', 'low', 'close', 'volume']",['window'],"smoke:MFI::close=continuous_close,high=continuous_high,low=continuous_low,volume=raw_volume_shares",True
NATR,True,True,True,"['intermediate', 'terminal']","['high', 'low', 'close']",['window'],"smoke:NATR::close=continuous_close,high=continuous_high,low=continuous_low",True
PPO,True,True,True,"['intermediate', 'terminal']",['close'],"['fast_window', 'slow_window']",smoke:PPO::close=continuous_close,True
PPO_hist,True,True,True,"['intermediate', 'terminal']",['close'],"['fast_window', 'slow_window', 'signal_window']",smoke:PPO_hist::close=continuous_close,True
PPO_signal,True,True,True,"['intermediate', 'terminal']",['close'],"['fast_window', 'slow_window', 'signal_window']",smoke:PPO_signal::close=continuous_close,True
PSAR,True,True,False,['intermediate'],"['high', 'low']","['acceleration', 'maximum']","smoke:PSAR::high=continuous_high,low=continuous_low",True
PVO,True,True,True,"['intermediate', 'terminal']",['volume'],"['fast_window', 'slow_window']",smoke:PVO::volume=raw_volume_shares,True
PVO_hist,True,True,True,"['intermediate', 'terminal']",['volume'],"['fast_window', 'slow_window', 'signal_window']",smoke:PVO_hist::volume=raw_volume_shares,True
PVO_signal,True,True,True,"['intermediate', 'terminal']",['volume'],"['fast_window', 'slow_window', 'signal_window']",smoke:PVO_signal::volume=raw_volume_shares,True
QQE,True,True,True,"['intermediate', 'terminal']",['x'],"['length', 'smooth', 'factor', 'output']",smoke:QQE::x=continuous_close,True
RSI_WILDER,True,True,True,"['intermediate', 'terminal']",['x'],['window'],smoke:RSI_WILDER::x=continuous_close,True
RSX,True,True,True,"['intermediate', 'terminal']",['x'],['length'],smoke:RSX::x=continuous_close,True
Supertrend,True,True,False,['intermediate'],"['high', 'low', 'close']","['atr_window', 'multiplier']","smoke:Supertrend::close=continuous_close,high=continuous_high,low=continuous_low",True
SupertrendDirection,True,True,True,"['intermediate', 'terminal']","['high', 'low', 'close']","['atr_window', 'multiplier']","smoke:SupertrendDirection::close=continuous_close,high=continuous_high,low=continuous_low",True
TEMA,True,True,False,['intermediate'],['x'],['window'],smoke:TEMA::x=continuous_close,True
TSI,True,True,True,"['intermediate', 'terminal']",['close'],"['long_window', 'short_window']",smoke:TSI::close=continuous_close,True
TSI_signal,True,True,True,"['intermediate', 'terminal']",['close'],"['long_window', 'short_window', 'signal_window']",smoke:TSI_signal::close=continuous_close,True
UltimateOscillator,True,True,True,"['intermediate', 'terminal']","['high', 'low', 'close', 'short_weight', 'medium_weight', 'long_weight']","['short_window', 'medium_window', 'long_window']","smoke:UltimateOscillator::close=continuous_close,high=continuous_high,low=continuous_low",True
VortexMinus,True,True,True,"['intermediate', 'terminal']","['high', 'low', 'close']",['window'],"smoke:VortexMinus::close=continuous_close,high=continuous_high,low=continuous_low",True
VortexPlus,True,True,True,"['intermediate', 'terminal']","['high', 'low', 'close']",['window'],"smoke:VortexPlus::close=continuous_close,high=continuous_high,low=continuous_low",True
a_share_cap_ratio,True,True,True,"['intermediate', 'terminal']","['a_cap', 'capitalization']",[],smoke:a_share_cap_ratio::a_cap=continuous_close,True
abnormal_turnover,True,True,True,"['intermediate', 'terminal']",['turnover'],['window'],smoke:abnormal_turnover::turnover=turnover,True
abnormal_volume,True,True,True,"['intermediate', 'terminal']",['volume'],['window'],smoke:abnormal_volume::volume=raw_volume_shares,True
