canonical,current_surface,current_direct_status,current_mining_role,production_certified,target_disposition,target_terminal,target_ast_positions,mining_lane,market_contexts,source_recipes,output_domain,default_recipe,search_prior,family_budget,cost_budget,replacement,delete_reason
ADX,daily,direct_alpha,alpha,False,direct_visible,True,"['intermediate', 'terminal']",alpha_direct,"['ashare', 'us']",['daily_bar'],continuous_signed,"{'high': 'continuous_high', 'low': 'continuous_low', 'close': 'continuous_close'}",1.0,16,9,,
ATR_WILDER,daily,direct_intermediate,alpha,False,direct_visible,False,['intermediate'],intermediate,"['ashare', 'us']",['daily_bar'],price_level,"{'high': 'continuous_high', 'low': 'continuous_low', 'close': 'continuous_close'}",0.8,8,9,,
CMF,daily,direct_alpha,alpha,False,direct_visible,True,"['intermediate', 'terminal']",alpha_direct,"['ashare', 'us']",['daily_bar'],continuous_signed,"{'high': 'continuous_high', 'low': 'continuous_low', 'close': 'continuous_close', 'volume': 'continuous_volume'}",1.0,16,9,,
CMO,daily,direct_alpha,alpha,False,direct_visible,True,"['intermediate', 'terminal']",alpha_direct,"['ashare', 'us']",['daily_bar'],continuous_signed,{'close': 'continuous_close'},1.0,16,9,,
ChaikinOscillator,daily,direct_alpha_high_cost,alpha_high_cost,False,direct_visible,True,"['intermediate', 'terminal']",alpha_high_cost,"['ashare', 'us']",['daily_bar'],continuous_signed,"{'high': 'continuous_high', 'low': 'continuous_low', 'close': 'continuous_close', 'volume': 'continuous_volume'}",0.2,6,6,,
DEMA,daily,direct_intermediate,alpha_high_cost,False,direct_visible,False,['intermediate'],intermediate,"['ashare', 'us']",['daily_bar'],price_level,{'x': 'continuous_close'},0.8,8,9,,
DMI_minus,daily,direct_alpha_high_cost,alpha_high_cost,False,direct_visible,True,"['intermediate', 'terminal']",alpha_high_cost,"['ashare', 'us']",['daily_bar'],continuous_signed,"{'high': 'continuous_high', 'low': 'continuous_low', 'close': 'continuous_close'}",0.2,6,6,,
DMI_plus,daily,direct_alpha_high_cost,alpha_high_cost,False,direct_visible,True,"['intermediate', 'terminal']",alpha_high_cost,"['ashare', 'us']",['daily_bar'],continuous_signed,"{'high': 'continuous_high', 'low': 'continuous_low', 'close': 'continuous_close'}",0.2,6,6,,
DX,daily,direct_alpha_high_cost,alpha_high_cost,False,direct_visible,True,"['intermediate', 'terminal']",alpha_high_cost,"['ashare', 'us']",['daily_bar'],continuous_signed,"{'high': 'continuous_high', 'low': 'continuous_low', 'close': 'continuous_close'}",0.2,6,6,,
EaseOfMovement,daily,direct_alpha,alpha,False,direct_visible,True,"['intermediate', 'terminal']",alpha_direct,"['ashare', 'us']",['daily_bar'],continuous_signed,"{'high': 'continuous_high', 'low': 'continuous_low', 'volume': 'continuous_volume'}",1.0,16,9,,
