canonical,module,final_status,q1_input_grain,q2_ashare_default,accepted_flow_semantics,flow_slot_a,flow_slot_b,timeframe_requirement,knowledge_clock,revision_clock,left_censor_policy,blockers
altman_z_score,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
cash_flow_lifecycle_stage,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
date_diff_days,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_accrual_ratio,,SUPPORTING_ONLY,UNKNOWN,see binding,flow_type:SinglePeriodFlow,,,,field knowledge column,n/a,n/a,
fin_acquisition_cash_intensity,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_actual_expectation_divergence,,CERTIFIED_CONTEXTUAL,UNKNOWN,see binding,not-declared,,,,PubDate/filing_date (DATE_ONLY_NEXT_SESSION),n/a,n/a,PIT11_EXPECTATION_POST_EVENT_LEAK
fin_average_balance,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_beat_streak,,CERTIFIED_CONTEXTUAL,UNKNOWN,see binding,not-declared,,,,PubDate/filing_date (DATE_ONLY_NEXT_SESSION),n/a,n/a,PIT11_EXPECTATION_POST_EVENT_LEAK
fin_borrowing_intensity,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_cagr,,SUPPORTING_ONLY,UNKNOWN,see binding,flow_type:SinglePeriodFlow,,,,field knowledge column,n/a,n/a,
fin_capex_growth,,SUPPORTING_ONLY,UNKNOWN,see binding,flow_type:SinglePeriodFlow,,,,field knowledge column,n/a,n/a,
fin_capex_intensity,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_cash_burn_runway,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_cash_conversion,,SUPPORTING_ONLY,UNKNOWN,see binding,flow_type:SinglePeriodFlow,,,,field knowledge column,n/a,n/a,
fin_cash_earnings_gap,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_cash_sales_divergence,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,flow_slot_a:Stock,flow_slot_b:SinglePeriodFlow,,field knowledge column,n/a,n/a,
fin_cashflow_persistence,,SUPPORTING_ONLY,UNKNOWN,see binding,flow_type:SinglePeriodFlow,,,,field knowledge column,n/a,n/a,
fin_common_size,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_component_score,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_comprehensive_income_gap,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_contract_asset_growth,,SUPPORTING_ONLY,UNKNOWN,see binding,flow_type:Stock,,,,field knowledge column,n/a,n/a,
fin_contract_asset_intensity,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_contract_asset_liability_gap,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_contract_liability_growth,,SUPPORTING_ONLY,UNKNOWN,see binding,flow_type:Stock,,,,field knowledge column,n/a,n/a,
fin_contract_liability_intensity,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_core_earnings_ratio,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_cv,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_days_since_expectation_revision,,CERTIFIED_CONTEXTUAL,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,left-censored first observation,PIT18_REVISION_EVENT_UNPROVEN
fin_days_since_update,,CERTIFIED_CONTEXTUAL,UNKNOWN,see binding,not-declared,,,,field knowledge column,requires:RevisionEventSource,left-censored first observation,PIT18_REVISION_EVENT_UNPROVEN
fin_debt_repayment_intensity,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_debt_service_coverage_proxy,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_deferred_tax_gap,,SUPPORTING_ONLY,UNKNOWN,see binding,not-declared,,,,field knowledge column,n/a,n/a,
fin_delta_noa,,SUPPORTING_ONLY,UNKNOWN,see binding,flow_type:Stock,,,,field knowledge column,n/a,n/a,
