dimension,FieldSpec,Provider,SourceRef,FieldPlan,Schema,IR,Plan,Cache,Mining,Materialization
market,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
dataset/provider,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
concept_id/field_id,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
unit,Y,Y,-,Y,Y,Y,Y,Y,Y,Y
semantic_kind,Y,-,-,Y,Y,Y,Y,-,Y,-
price_basis,Y,Y,-,Y,Y,Y,Y,Y,-,Y
flow_semantics,Y,-,-,Y,Y,Y,Y,Y,Y,Y
frequency/cardinality,Y,-,-,Y,Y,Y,Y,Y,Y,Y
universe_id,Y,-,-,Y,Y,Y,Y,Y,Y,Y
temporal_model,Y,Y,-,Y,Y,Y,Y,-,Y,Y
availability_precision,Y,-,-,Y,-,Y,Y,Y,Y,-
availability_expr,Y,-,-,Y,Y,Y,Y,Y,Y,Y
knowledge_time,Y,Y,-,Y,Y,Y,Y,-,Y,Y
effective_time,Y,-,-,Y,Y,Y,Y,-,Y,Y
period_id/timeframe,Y,-,Y,Y,Y,Y,Y,-,Y,Y
revision_policy,Y,Y,-,Y,Y,Y,Y,Y,Y,Y
source_vintage/snapshot,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
missing_semantic,Y,-,-,Y,Y,Y,Y,Y,Y,Y
coverage_scope/applicability,Y,-,-,Y,Y,Y,Y,-,Y,Y
