canonical,backends
cs_mad,pandas_numpy;polars;sql
cs_mad_zscore,pandas_numpy;polars;sql
cs_demean,pandas_numpy;polars;sql
rank,pandas_numpy;polars;sql
cs_quantile,pandas_numpy;polars;sql
cs_pct_rank,pandas_numpy;polars;sql
scale,pandas_numpy;polars;sql
zscore,pandas_numpy;polars;sql
cs_resid,pandas_numpy;polars;sql
cs_regression,pandas_numpy;polars;sql
group_neutralize,pandas_numpy;polars;sql
winsorize,pandas_numpy;polars;sql
ewm_corr,pandas_numpy;polars
ewm_cov,pandas_numpy;polars
expanding_rank,pandas_numpy;polars;sql
fillna_const,pandas_numpy;polars;sql
is_nan,pandas_numpy;polars;sql
is_null,pandas_numpy;polars;sql
is_not_null,pandas_numpy;polars;sql
is_infinite,pandas_numpy;polars;sql
nonfinite_to_num,pandas_numpy;polars
protected_div,pandas_numpy;polars;sql
safe_div_null,pandas_numpy;polars;sql
abs,pandas_numpy;polars;sql
acos,pandas_numpy;polars;sql
arg,pandas_numpy
asin,pandas_numpy;polars;sql
asin_bounded,pandas_numpy;polars;sql
acos_bounded,pandas_numpy;polars;sql
atan,pandas_numpy;polars;sql
atan2,pandas_numpy;polars;sql
cbrt,pandas_numpy;polars;sql
ceil,pandas_numpy;polars;sql
clip,pandas_numpy;polars;sql
constant,pandas_numpy;polars
cos,pandas_numpy;polars;sql
cosh,pandas_numpy;polars;sql
cot,pandas_numpy;polars;sql
csc,pandas_numpy;polars;sql
cube,pandas_numpy;polars;sql
exp,pandas_numpy;polars;sql
exp_neg,pandas_numpy;polars;sql
fix,pandas_numpy;polars;sql
floor,pandas_numpy;polars;sql
flex_max,pandas_numpy;polars;sql
flex_min,pandas_numpy;polars;sql
identity,pandas_numpy;polars;sql
lerp,pandas_numpy;polars;sql
log,pandas_numpy;polars;sql
log10,pandas_numpy;polars;sql
log2,pandas_numpy;polars;sql
log_abs,pandas_numpy;polars;sql
neg,pandas_numpy;polars;sql
normalize,pandas_numpy;polars;sql
power,pandas_numpy;polars;sql
round,pandas_numpy;polars;sql
sec,pandas_numpy;polars;sql
sign,pandas_numpy;polars;sql
sin,pandas_numpy;polars;sql
sin_phase,pandas_numpy;polars;sql
cos_phase,pandas_numpy;polars;sql
sinh,pandas_numpy;polars;sql
sqrt,pandas_numpy;polars;sql
sqrt_abs,pandas_numpy;polars;sql
square,pandas_numpy;polars;sql
tan,pandas_numpy;polars;sql
tanh,pandas_numpy;polars;sql
truncate,pandas_numpy;polars;sql
unitize,pandas_numpy;polars;sql
winsorize_mean,pandas_numpy;polars;sql
signed_sqrt,pandas_numpy;polars;sql
sigmoid,pandas_numpy;polars;sql
coalesce,pandas_numpy;polars;sql
add,pandas_numpy;polars;sql
subtract,pandas_numpy;polars;sql
multiply,pandas_numpy;polars;sql
divide,pandas_numpy;polars;sql
lt,pandas_numpy;polars;sql
le,pandas_numpy;polars;sql
eq,pandas_numpy;polars;sql
gt,pandas_numpy;polars;sql
ge,pandas_numpy;polars;sql
ne,pandas_numpy;polars;sql
and_,pandas_numpy;polars;sql
or_,pandas_numpy;polars;sql
not_,pandas_numpy;polars;sql
inverse,pandas_numpy;polars;sql
group_rank_weighted_value,pandas_numpy;polars
group_decay_linear,pandas_numpy;polars;sql
group_ts_decay_linear,pandas_numpy;polars
group_mean,pandas_numpy;polars;sql
group_sum,pandas_numpy;polars;sql
group_min,pandas_numpy;polars;sql
group_max,pandas_numpy;polars;sql
group_count,pandas_numpy;polars;sql
group_normalize,pandas_numpy;polars;sql
group_percentile,pandas_numpy;polars;sql
group_rank,pandas_numpy;polars;sql
group_std,pandas_numpy;polars;sql
group_winsorize,pandas_numpy;polars;sql
group_zscore,pandas_numpy;polars;sql
ts_ratio,pandas_numpy;polars;sql
size_neutralize,pandas_numpy;polars;sql
industry_size_neutralize,pandas_numpy;polars;sql
where,pandas_numpy;polars;sql
ts_pct,pandas_numpy;polars;sql
ts_argmax,pandas_numpy;polars;sql
ts_argmin,pandas_numpy;polars;sql
ts_quantile,pandas_numpy;polars;sql
rank_corr,pandas_numpy;polars;sql
ts_topk_sum,pandas_numpy;polars;sql
ts_mean_abs_deviation,pandas_numpy;polars
ts_median_abs_deviation,pandas_numpy;polars
WMA,pandas_numpy;polars;sql
ts_decay_linear,pandas_numpy;polars;sql
ts_ema,pandas_numpy;polars;sql
ts_beta,pandas_numpy;polars;sql
ts_mad,pandas_numpy;polars;sql
ts_median,pandas_numpy;polars;sql
ts_log_return,pandas_numpy;polars;sql
ts_sharpe,pandas_numpy;polars;sql
ts_autocorr,pandas_numpy;polars;sql
ts_var,pandas_numpy;polars;sql
ts_corr,pandas_numpy;polars;sql
ts_cov,pandas_numpy;polars;sql
ts_decay_exp_window,pandas_numpy;polars
ts_delay,pandas_numpy;polars;sql
ts_delta,pandas_numpy;polars;sql
ts_kurt,pandas_numpy;polars;sql
ts_max,pandas_numpy;polars;sql
ts_mean,pandas_numpy;polars;sql
ts_min,pandas_numpy;polars;sql
ts_product,pandas_numpy;polars;sql
ts_rank,pandas_numpy;polars;sql
ts_skew,pandas_numpy;polars;sql
ts_std,pandas_numpy;polars;sql
ts_sum,pandas_numpy;polars;sql
ts_sum_decay,pandas_numpy;polars
ts_zscore,pandas_numpy;polars;sql
price_spread_deviation,pandas_numpy;polars
ts_moment,pandas_numpy;polars;sql
ts_poly2_coeff,pandas_numpy;polars
ts_poly2_resid,pandas_numpy;polars
ts_poly2_prior_coeff,pandas_numpy;polars
ts_poly2_forecast_error,pandas_numpy;polars
ts_poly2_forecast_error_z,pandas_numpy;polars
digital_count,pandas_numpy;polars;sql
ts_max_buildup,pandas_numpy;polars
rolling_beta_to_market,pandas_numpy;polars
tail_beta,pandas_numpy;polars
residual_momentum_capm,pandas_numpy;polars
coskewness_to_market,pandas_numpy;polars;sql
idio_vol,pandas_numpy;polars
idio_skew,pandas_numpy;polars
ADX,pandas_numpy;polars
ATR_WILDER,pandas_numpy;polars
KAMA,pandas_numpy;polars
MACD_hist,pandas_numpy;polars
MACD_line,pandas_numpy;polars
MACD_signal,pandas_numpy;polars
RSI_WILDER,pandas_numpy;polars
hump_decay,pandas_numpy;polars
is_finite,pandas_numpy;polars;sql
saturate,pandas_numpy;polars;sql
signed_log,pandas_numpy;polars;sql
signed_power,pandas_numpy;polars;sql
trade_when,pandas_numpy;polars
ts_alpha_beta_filter,pandas_numpy;polars
ts_h_infinity_level_filter,pandas_numpy;polars
ts_adaptive_noise_kalman,pandas_numpy;polars
ts_student_t_kalman_filter,pandas_numpy;polars
ts_ssa_denoise_trailing,pandas_numpy;polars
ts_wavelet_shrinkage_trailing,pandas_numpy;polars
ts_total_variation_filter_trailing,pandas_numpy;polars
ts_l1_trend_filter_trailing,pandas_numpy;polars
ts_bessel_lowpass_causal,pandas_numpy;polars
ts_fir_lowpass_causal,pandas_numpy;polars
ts_spectral_lowpass_trailing,pandas_numpy;polars
ts_causal_savgol_endpoint,pandas_numpy;polars
period_lag,pandas_numpy;polars;sql
period_change,pandas_numpy;polars;sql
period_average,pandas_numpy;polars;sql
period_cagr,pandas_numpy;polars;sql
quarter_from_cumulative,pandas_numpy;polars;sql
ttm_from_quarterly,pandas_numpy;polars;sql
ttm_from_cumulative,pandas_numpy;polars;sql
yoy_by_period,pandas_numpy;polars;sql
row_sum_skipna,pandas_numpy;polars;sql
fiscal_perpetual_inventory,pandas_numpy;polars
fiscal_standardized_surprise,pandas_numpy;polars
fiscal_sign_consistency,pandas_numpy;polars
fiscal_change_direction_agreement,pandas_numpy;polars
fiscal_sign_agreement,pandas_numpy;polars
fiscal_autocorr,pandas_numpy;polars
fiscal_ar_resid_std,pandas_numpy;polars
fiscal_asymmetric_elasticity,pandas_numpy;polars
fiscal_reversal_ratio,pandas_numpy;polars
fiscal_regression_resid_std,pandas_numpy;polars
fiscal_accrual_quality,pandas_numpy;polars
fin_seasonal_zscore,pandas_numpy;polars
fin_seasonal_percentile,pandas_numpy;polars
fiscal_true_streak,pandas_numpy;polars
date_diff_days,pandas_numpy;polars
cash_flow_lifecycle_stage,pandas_numpy;polars
relation_jaccard,pandas_numpy;polars
fiscal_direction_consistency,pandas_numpy;polars
fiscal_pair_direction_agreement,pandas_numpy;polars
accounting_comparability_score,pandas_numpy;polars
fiscal_asymmetric_timeliness,pandas_numpy;polars
real_turnover_rate,pandas_numpy;polars
intraday_vwap_deviation,pandas_numpy;polars
overnight_return,pandas_numpy;polars;sql
open_close_return,pandas_numpy;polars;sql
open_to_vwap_return,pandas_numpy;polars;sql
vwap_to_close_return,pandas_numpy;polars;sql
ts_count_if,pandas_numpy;polars;sql
ts_sum_if,pandas_numpy;polars;sql
ts_mean_if,pandas_numpy;polars;sql
ts_std_if,pandas_numpy;polars;sql
ts_last_if,pandas_numpy;polars;sql
ts_days_since,pandas_numpy;polars;sql
ts_true_streak,pandas_numpy;polars;sql
cs_bucket,pandas_numpy;polars;sql
cs_multi_resid,pandas_numpy;polars;sql
cs_wls_resid,pandas_numpy;polars;sql
ts_regression_tstat,pandas_numpy;polars;sql
ts_trend_tstat,pandas_numpy;polars;sql
ts_max_drawdown,pandas_numpy;polars;sql
ts_partial_corr,pandas_numpy;polars;sql
ts_nth_value,pandas_numpy;polars;sql
ts_time_slope,pandas_numpy;polars
ts_sma_cn,pandas_numpy;polars
lqtp_historical_cvar,pandas_numpy;polars
minimum,pandas_numpy;polars;sql
maximum,pandas_numpy;polars;sql
book_to_price,pandas_numpy;polars;sql
earnings_yield,pandas_numpy;polars;sql
float_share_ratio,pandas_numpy;polars;sql
free_float_share_ratio,pandas_numpy;polars;sql
ts_positive_ratio,pandas_numpy;polars;sql
ts_negative_ratio,pandas_numpy;polars;sql
ts_zero_ratio,pandas_numpy;polars;sql
ts_quantile_range,pandas_numpy;polars
ts_robust_zscore_inclusive,pandas_numpy;polars
ts_robust_zscore_prior,pandas_numpy;polars
ts_trimmed_mean,pandas_numpy;polars;sql
ts_abs_concentration,pandas_numpy;polars;sql
ts_abs_entropy,pandas_numpy;polars;sql
ts_downside_deviation,pandas_numpy;polars;sql
ts_upside_deviation,pandas_numpy;polars
ts_current_drawdown_duration,pandas_numpy;polars
ts_time_under_water,pandas_numpy;polars
ts_best_lag_corr_raw,pandas_numpy;polars
ts_best_lag_corr_excess,pandas_numpy;polars
ts_price_delay,pandas_numpy;polars
ts_max_if,pandas_numpy;polars
ts_min_if,pandas_numpy;polars
ts_quantile_if,pandas_numpy;polars
ts_corr_if,pandas_numpy;polars
ts_beta_if,pandas_numpy;polars
ts_regression_resid_if,pandas_numpy;polars
ts_transition_count,pandas_numpy;polars
ts_time_since_change,pandas_numpy;polars
ts_event_spacing_mean,pandas_numpy;polars
ts_event_spacing_cv,pandas_numpy;polars
limit_up_close,pandas_numpy;polars;sql
limit_down_close,pandas_numpy;polars;sql
tradable_state,pandas_numpy;polars
holder_concentration,pandas_numpy;polars;sql
ashare_limit_distance,pandas_numpy;polars;sql
ashare_limit_up_touch,pandas_numpy;polars
ashare_limit_down_touch,pandas_numpy;polars
ashare_open_at_upper_limit,pandas_numpy;polars
ashare_limit_open_failed,pandas_numpy;polars
ashare_limit_one_price,pandas_numpy;polars
ashare_limit_failed,pandas_numpy;polars
benchmark_excess_return,pandas_numpy;polars;sql
benchmark_relative_price,pandas_numpy;polars;sql
fin_applicability_mask,pandas_numpy;polars
event_decay_asof,pandas_numpy;polars
group_ex_self_mean,pandas_numpy;polars;sql
group_ex_self_weighted_mean,pandas_numpy;polars
hierarchical_group_neutralize,pandas_numpy;polars
cs_trimmed_ols_resid,pandas_numpy;polars
cs_std,pandas_numpy;polars;sql
ts_ewm_corr,polars;sql
ts_ewm_cov,polars;sql
ts_regression_slope,pandas_numpy;polars;sql
ts_regression_intercept,pandas_numpy;polars
ts_regression_resid,pandas_numpy;polars
ts_regression_r2,pandas_numpy;polars
fin_component_score,pandas_numpy;polars
industry_fiscal_resid,pandas_numpy;polars
fiscal_acceleration,pandas_numpy;polars
fiscal_pct_change,pandas_numpy;polars
fiscal_rolling_std,pandas_numpy;polars
true_turnover_rate,pandas_numpy;polars
holder_company_ownership_hhi,pandas_numpy;polars
holder_concentration_change,pandas_numpy;polars
holder_count_change_rate,pandas_numpy;polars
intra_segment_return,pandas_numpy;polars
intra_segment_volume_share,pandas_numpy;polars
intra_segment_amount_share,pandas_numpy;polars
intra_segment_vwap_deviation,pandas_numpy;polars
intra_segment_realized_vol,pandas_numpy;polars
intra_realized_variance,pandas_numpy;polars
intra_realized_semivariance,pandas_numpy;polars
intra_bipower_variation,pandas_numpy;polars
intra_jump_ratio,pandas_numpy;polars
intra_path_efficiency,pandas_numpy;polars
intra_high_time,pandas_numpy;polars
intra_low_time,pandas_numpy;polars
intra_vwap_above_ratio,pandas_numpy;polars
intra_vwap_cross_count,pandas_numpy;polars
intra_concentration,pandas_numpy;polars
intra_entropy,pandas_numpy;polars
intra_signed_imbalance_proxy,pandas_numpy;polars
intra_return_activity_corr,pandas_numpy;polars
intra_amihud,pandas_numpy;polars
intra_kyle_lambda_proxy,pandas_numpy;polars
intra_extreme_bar_return,pandas_numpy;polars
intra_lunch_gap_return,pandas_numpy;polars
intra_limit_first_hit_time,pandas_numpy;polars
intra_limit_duration,pandas_numpy;polars
intra_limit_reopen_count,pandas_numpy;polars
cs_bucket_fixed,pandas_numpy;polars
cs_bucket_historical,pandas_numpy;polars
ts_tail_mean,pandas_numpy;polars
ts_topk_mean,pandas_numpy;polars;sql
ts_topk_std,pandas_numpy;polars;sql
ts_bottomk_mean,pandas_numpy;polars;sql
ts_bottomk_sum,pandas_numpy;polars;sql
ts_bottomk_std,pandas_numpy;polars;sql
ts_regression_in_sample_resid,pandas_numpy;polars
ts_regression_forecast_error,pandas_numpy;polars
ts_regression_forecast_error_z,pandas_numpy;polars
ts_regression_resid_mean,pandas_numpy;polars
cs_neutralize,pandas_numpy;polars;sql
true_range,pandas_numpy;polars;sql
ffill_limit,pandas_numpy;polars
cs_fill_mean,pandas_numpy;polars;sql
cs_fill_median,pandas_numpy;polars;sql
cs_rank_gaussian,pandas_numpy;polars
fundamental_staleness,pandas_numpy;polars
revision_delta,pandas_numpy;polars
period_stability,pandas_numpy;polars
cs_weighted_mean,pandas_numpy;polars;sql
cs_weighted_demean,pandas_numpy;polars;sql
cs_weighted_zscore,pandas_numpy;polars;sql
group_weighted_mean,pandas_numpy;polars;sql
group_weighted_zscore,pandas_numpy;polars
ts_valid_count,pandas_numpy;polars;sql
ts_coverage_ratio,pandas_numpy;polars;sql
ts_staleness,pandas_numpy;polars;sql
cs_valid_count,pandas_numpy;polars;sql
cs_coverage_ratio,pandas_numpy;polars;sql
group_valid_count,pandas_numpy;polars;sql
group_impute_median,pandas_numpy;polars
ts_ffill_limited,pandas_numpy;polars
log_positive_or_nan,pandas_numpy;polars
ts_argmax_age,pandas_numpy;polars;sql
ts_argmin_age,pandas_numpy;polars;sql
ts_argmax_index_from_oldest,pandas_numpy;polars;sql
ts_argmin_index_from_oldest,pandas_numpy;polars;sql
cs_impute_mean,pandas_numpy;polars;sql
cs_impute_median,pandas_numpy;polars;sql
ts_abs_entropy_normalized,pandas_numpy;polars
ts_abs_entropy_nats,pandas_numpy;polars
cs_huber_resid,pandas_numpy;polars
cs_lad_resid,pandas_numpy;polars
group_multi_resid,pandas_numpy;polars
cs_isolation_forest_score,pandas_numpy;polars
cs_factor_bucket_return,pandas_numpy;polars
cs_empirical_bayes_shrinkage,pandas_numpy;polars
cs_shrink_to_group_mean,pandas_numpy;polars
panel_peer_graph_aggregate,pandas_numpy;polars
relation_hhi,pandas_numpy;polars
holder_observed_topk_hhi,pandas_numpy;polars
relation_entropy,pandas_numpy;polars
relation_topk_sum,pandas_numpy;polars
relation_rank_weighted_sum,pandas_numpy;polars
relation_category_share,pandas_numpy;polars
relation_category_signed_contribution,pandas_numpy;polars
relation_peer_weighted_mean_ex_self,pandas_numpy;polars
relation_entry_count,pandas_numpy;polars
relation_exit_count,pandas_numpy;polars
relation_weighted_change,pandas_numpy;polars
index_member,pandas_numpy;polars
index_weight_change,pandas_numpy;polars
index_entry_exit_event,pandas_numpy;polars
index_membership_age,pandas_numpy;polars
event_cumulative_return_past,pandas_numpy;polars
event_abnormal_return_past,pandas_numpy;polars
event_return_since_last,pandas_numpy;polars
event_arithmetic_return_sum,pandas_numpy;polars
event_log_return_sum,pandas_numpy;polars
event_active_count,pandas_numpy;polars
calendar_day_diff,pandas_numpy;polars
fin_announcement_lag,pandas_numpy;polars
trading_day_diff,pandas_numpy;polars
relation_distinct_count,pandas_numpy;polars
relation_overlap_ratio,pandas_numpy;polars
index_weight,pandas_numpy;polars;sql
ts_huber_regression_in_sample_resid,pandas_numpy;polars
ts_huber_regression_predictive_resid,pandas_numpy;polars
ts_ridge_regression_in_sample_resid,pandas_numpy;polars
ts_ridge_regression_predictive_resid,pandas_numpy;polars
ts_quantile_regression_slope,pandas_numpy;polars
ts_ar_coefficient,pandas_numpy;polars
ts_variance_ratio_proxy,pandas_numpy;polars
ts_lo_mackinlay_vr,pandas_numpy;polars
ts_lo_mackinlay_z,pandas_numpy;polars
ts_cumulative_deviation_score,pandas_numpy;polars
ts_level_shift_score,pandas_numpy;polars
ts_vol_shift_score,pandas_numpy;polars
intra_realized_skewness,pandas_numpy;polars
intra_realized_kurtosis,pandas_numpy;polars
intra_realized_quarticity,pandas_numpy;polars
intra_tripower_quarticity,pandas_numpy;polars
intra_continuous_variance,pandas_numpy;polars
intra_jump_variation,pandas_numpy;polars
intra_positive_jump_variation,pandas_numpy;polars
intra_negative_jump_variation,pandas_numpy;polars
intra_signed_jump_ratio,pandas_numpy;polars
intra_jump_count,pandas_numpy;polars
intra_positive_tail_variation,pandas_numpy;polars
intra_negative_tail_variation,pandas_numpy;polars
intra_tail_event_count,pandas_numpy;polars
intra_signed_tail_variation_ratio,pandas_numpy;polars
intra_jump_concentration,pandas_numpy;polars
intra_jump_first_time,pandas_numpy;polars
intra_jump_last_time,pandas_numpy;polars
intra_jump_clustering,pandas_numpy;polars
intraday_rv_signature_slope,pandas_numpy;polars
intra_realized_beta,pandas_numpy;polars
intra_realized_correlation,pandas_numpy;polars
intra_down_down_semibeta,pandas_numpy;polars
intra_up_up_semibeta,pandas_numpy;polars
intra_down_up_semibeta,pandas_numpy;polars
intra_up_down_semibeta,pandas_numpy;polars
intra_beta_asymmetry,pandas_numpy;polars
intra_idiosyncratic_variance,pandas_numpy;polars
intra_idiosyncratic_skewness,pandas_numpy;polars
intra_idiosyncratic_kurtosis,pandas_numpy;polars
intra_market_model_r2,pandas_numpy;polars
intra_realized_beta_ex_self,pandas_numpy;polars
intra_realized_correlation_ex_self,pandas_numpy;polars
intra_idiosyncratic_variance_ex_self,pandas_numpy;polars
intra_idiosyncratic_skewness_ex_self,pandas_numpy;polars
intra_idiosyncratic_kurtosis_ex_self,pandas_numpy;polars
intra_market_model_r2_ex_self,pandas_numpy;polars
intra_interval_return,pandas_numpy;polars
intra_interval_volume_share,pandas_numpy;polars
intra_interval_amount_share,pandas_numpy;polars
intra_interval_realized_variance,pandas_numpy;polars
intra_interval_vwap_deviation,pandas_numpy;polars
intra_interval_illiquidity,pandas_numpy;polars
intra_same_slot_momentum,pandas_numpy;polars
intra_same_slot_reversal,pandas_numpy;polars
intra_signed_return_profile_cosine,pandas_numpy;polars
intra_abs_return_profile_cosine,pandas_numpy;polars
intra_return_profile_cosine,pandas_numpy;polars
intra_volume_profile_cosine,pandas_numpy;polars
intra_amount_profile_cosine,pandas_numpy;polars
intra_volume_profile_jsd,pandas_numpy;polars
intra_amount_profile_jsd,pandas_numpy;polars
