canonical,injectivity_passed,searchable
ADX,False,ADX
ALMA,True,ALMA
ATR_WILDER,False,ATR_WILDER
CMF,False,CMF
CMO,True,CMO
ChaikinOscillator,False,ChaikinOscillator
CoppockCurve,True,CoppockCurve
DEMA,True,DEMA
DMI_minus,True,DMI_minus
DMI_plus,True,DMI_plus
DX,True,DX
EaseOfMovement,True,EaseOfMovement
ElderRay,True,ElderRay
FisherTransform,True,FisherTransform
ForceIndex,False,ForceIndex
HMA,True,HMA
KAMA,True,KAMA
KeltnerLower,True,KeltnerLower
KeltnerMid,True,KeltnerMid
KeltnerPosition,True,KeltnerPosition
KeltnerUpper,True,KeltnerUpper
MACD_hist,False,MACD_hist
MACD_line,True,MACD_line
MACD_signal,False,MACD_signal
MFI,False,MFI
NATR,True,NATR
PPO,True,PPO
PPO_hist,True,PPO_hist
PPO_signal,True,PPO_signal
PSAR,True,PSAR
PVO,True,PVO
PVO_hist,True,PVO_hist
PVO_signal,True,PVO_signal
QQE,True,QQE
RSI_WILDER,False,RSI_WILDER
RSX,True,RSX
Supertrend,True,Supertrend
SupertrendDirection,True,SupertrendDirection
TEMA,True,TEMA
TSI,True,TSI
TSI_signal,True,TSI_signal
UltimateOscillator,True,UltimateOscillator
VortexMinus,True,VortexMinus
VortexPlus,True,VortexPlus
WMA,False,WMA
a_share_cap_ratio,False,a_share_cap_ratio
abnormal_turnover,False,abnormal_turnover
abnormal_volume,False,abnormal_volume
abs,False,abs
abs_return_volume_corr,False,abs_return_volume_corr
accounting_comparability_score,False,accounting_comparability_score
acos,False,acos
acos_bounded,False,acos_bounded
add,False,add
adv,False,adv
altman_z_score,False,altman_z_score
amihud_illiquidity,False,amihud_illiquidity
and_,False,and_
arg,False,arg
ashare_days_since_limit_down,False,ashare_days_since_limit_down
ashare_days_since_limit_up,False,ashare_days_since_limit_up
ashare_failed_limit_count,False,ashare_failed_limit_count
ashare_limit_asymmetry,False,ashare_limit_asymmetry
ashare_limit_distance,False,ashare_limit_distance
ashare_limit_down_streak,False,ashare_limit_down_streak
ashare_limit_down_touch,False,ashare_limit_down_touch
ashare_limit_down_volume_ratio,False,ashare_limit_down_volume_ratio
ashare_limit_event_density,False,ashare_limit_event_density
ashare_limit_failed,False,ashare_limit_failed
ashare_limit_one_price,False,ashare_limit_one_price
ashare_limit_open_down_streak,False,ashare_limit_open_down_streak
ashare_limit_open_failed,False,ashare_limit_open_failed
ashare_limit_open_up_streak,False,ashare_limit_open_up_streak
ashare_limit_touch_count,False,ashare_limit_touch_count
ashare_limit_up_streak,False,ashare_limit_up_streak
ashare_limit_up_touch,False,ashare_limit_up_touch
ashare_limit_up_volume_ratio,False,ashare_limit_up_volume_ratio
ashare_one_price_limit_streak,False,ashare_one_price_limit_streak
ashare_open_at_upper_limit,False,ashare_open_at_upper_limit
ashare_suspension_episode_length,False,ashare_suspension_episode_length
asin,False,asin
asin_bounded,False,asin_bounded
atan,False,atan
atan2,False,atan2
atr_acceleration,True,atr_acceleration
atr_pct,True,atr_pct
atr_percentile,True,atr_percentile
atr_short_long_ratio,True,atr_short_long_ratio
atr_zscore,True,atr_zscore
average_turnover,False,average_turnover
baseline_scaled_wasserstein_distance,True,baseline_scaled_wasserstein_distance
benchmark_excess_return,False,benchmark_excess_return
benchmark_relative_price,False,benchmark_relative_price
beta_divergence_pct,True,beta_divergence_pct
beta_residual_z,True,beta_residual_z
bollinger_pct_b,False,bollinger_pct_b
bollinger_width,False,bollinger_width
book_to_price,False,book_to_price
bounded_nvi,False,bounded_nvi
bounded_pvi,False,bounded_pvi
bvc_imbalance_ma,True,bvc_imbalance_ma
bvc_sign_pct,True,bvc_sign_pct
calendar_day_diff,False,calendar_day_diff
candle_abs_body,False,candle_abs_body
candle_body,False,candle_body
candle_body_percentile,True,candle_body_percentile
candle_body_position,False,candle_body_position
candle_body_ratio,False,candle_body_ratio
candle_body_strength,True,candle_body_strength
candle_body_zscore,True,candle_body_zscore
candle_close_location,False,candle_close_location
candle_close_strength,False,candle_close_strength
candle_direction,False,candle_direction
candle_gap,False,candle_gap
candle_gap_atr,True,candle_gap_atr
candle_gap_pct,False,candle_gap_pct
candle_inside_ratio,False,candle_inside_ratio
candle_lower_shadow,False,candle_lower_shadow
candle_lower_shadow_ratio,False,candle_lower_shadow_ratio
candle_lower_shadow_zscore,True,candle_lower_shadow_zscore
candle_overlap_ratio,False,candle_overlap_ratio
candle_pattern_count,True,candle_pattern_count
candle_range,False,candle_range
candle_range_atr,False,candle_range_atr
candle_range_pct,True,candle_range_pct
candle_range_percentile,True,candle_range_percentile
candle_range_zscore,True,candle_range_zscore
candle_rejection_lower,False,candle_rejection_lower
candle_rejection_upper,False,candle_rejection_upper
candle_upper_shadow,False,candle_upper_shadow
candle_upper_shadow_ratio,False,candle_upper_shadow_ratio
candle_upper_shadow_zscore,True,candle_upper_shadow_zscore
candle_wick_balance,True,candle_wick_balance
candlestick_pattern,True,candlestick_pattern
capital_change_age,False,capital_change_age
capital_change_magnitude,False,capital_change_magnitude
cash_flow_lifecycle_stage,False,cash_flow_lifecycle_stage
category_age,True,category_age
category_age_lower_bound,True,category_age_lower_bound
category_frequency,True,category_frequency
category_transition_rate,True,category_transition_rate
category_transition_surprise,True,category_transition_surprise
cbrt,False,cbrt
cdl_dark_cloud_cover,False,cdl_dark_cloud_cover
cdl_doji,False,cdl_doji
cdl_dragonfly_doji,False,cdl_dragonfly_doji
cdl_engulfing,False,cdl_engulfing
cdl_evening_star,False,cdl_evening_star
cdl_gravestone_doji,False,cdl_gravestone_doji
cdl_hammer,False,cdl_hammer
cdl_hanging_man,False,cdl_hanging_man
cdl_harami,False,cdl_harami
cdl_harami_cross,False,cdl_harami_cross
cdl_inside_bar,False,cdl_inside_bar
cdl_inverted_hammer,False,cdl_inverted_hammer
cdl_marubozu,False,cdl_marubozu
cdl_morning_star,False,cdl_morning_star
cdl_outside_bar,False,cdl_outside_bar
cdl_piercing,False,cdl_piercing
cdl_shooting_star,False,cdl_shooting_star
cdl_spinning_top,False,cdl_spinning_top
cdl_three_black_crows,False,cdl_three_black_crows
cdl_three_white_soldiers,False,cdl_three_white_soldiers
cdl_tweezer_bottom,False,cdl_tweezer_bottom
cdl_tweezer_top,False,cdl_tweezer_top
ceil,False,ceil
chikou_distance_pct,True,chikou_distance_pct
choppiness_index,False,choppiness_index
circulating_cap_ratio_change,False,circulating_cap_ratio_change
circulating_cap_unlock_proxy,False,circulating_cap_unlock_proxy
clip,True,clip
coalesce,False,coalesce
composition_aitchison_distance,False,composition_aitchison_distance
composition_clr_component,False,composition_clr_component
composition_entropy,False,composition_entropy
composition_ilr_balance,False,composition_ilr_balance
composition_js_divergence,False,composition_js_divergence
composition_normalized_entropy,False,composition_normalized_entropy
consolidation_pct,True,consolidation_pct
consolidation_range_pct,True,consolidation_range_pct
constant,False,constant
corwin_schultz_spread,False,corwin_schultz_spread
cos,False,cos
cos_phase,False,cos_phase
cosh,False,cosh
coskewness_to_market,False,coskewness_to_market
cot,False,cot
cross_event,False,cross_event
cs_actual_lof_score,False,cs_actual_lof_score
cs_autoencoder_reconstruction_error,True,cs_autoencoder_reconstruction_error
cs_bucket,False,cs_bucket
cs_bucket_fixed,False,cs_bucket_fixed
cs_bucket_historical,False,cs_bucket_historical
cs_count,False,cs_count
cs_coverage_ratio,False,cs_coverage_ratio
cs_demean,False,cs_demean
cs_empirical_bayes_shrinkage,False,cs_empirical_bayes_shrinkage
cs_factor_bucket_return,False,cs_factor_bucket_return
cs_fill_mean,False,cs_fill_mean
cs_fill_median,False,cs_fill_median
cs_hartigan_dip,True,cs_hartigan_dip
cs_huber_resid,False,cs_huber_resid
cs_impute_mean,True,cs_impute_mean
cs_impute_median,True,cs_impute_median
cs_isolation,False,cs_isolation
cs_isolation_forest_score,False,cs_isolation_forest_score
cs_isotonic_residual,False,cs_isotonic_residual
cs_isotonic_residual_lagged_direction,True,cs_isotonic_residual_lagged_direction
cs_knn_distance,False,cs_knn_distance
cs_knn_graph_dirichlet_energy,True,cs_knn_graph_dirichlet_energy
cs_knn_local_gradient_norm,True,cs_knn_local_gradient_norm
cs_knn_local_linear_residual,True,cs_knn_local_linear_residual
cs_knn_local_moran,False,cs_knn_local_moran
cs_knn_neighbor_retention,True,cs_knn_neighbor_retention
cs_knn_peer_mean_ex_self,True,cs_knn_peer_mean_ex_self
cs_knn_tangent_residual,True,cs_knn_tangent_residual
cs_lad_resid,False,cs_lad_resid
cs_local_curvature,False,cs_local_curvature
cs_local_density,False,cs_local_density
cs_local_density_score,False,cs_local_density_score
cs_mad,False,cs_mad
cs_mad_zscore,False,cs_mad_zscore
cs_mahalanobis_distance,False,cs_mahalanobis_distance
cs_mean,False,cs_mean
cs_multi_resid,False,cs_multi_resid
cs_multi_ridge_resid,True,cs_multi_ridge_resid
cs_neighbor_gap,False,cs_neighbor_gap
cs_neutralize,False,cs_neutralize
