file,line,pattern,hazard_class,context
cleaned_operators/_aliases.py,59,"ffill",STATE_HISTORY,"ratorRegistry.register_alias("FillForward", "ffill") OperatorRegistry.register_alias("fillna_forward", "f"
cleaned_operators/_aliases.py,60,"ffill",STATE_HISTORY,"orRegistry.register_alias("fillna_forward", "ffill") OperatorRegistry.register_alias("FillNA", "fillna") "
cleaned_operators/_causal.py,106,"astype(float)",UNKNOWN_TO_ZERO,"入截至当期的奇异值对角元素，其余为 NaN。 """     arr = x.values.astype(float)     t_rows, n_cols = arr.shape     out = np.f"
cleaned_operators/_causal.py,133,"astype(float)",UNKNOWN_TO_ZERO,"每行写入截至当期的特征值，列数对齐输入宽度。 """     arr = x.values.astype(float)     t_rows, n_cols = arr.shape     out = np.f"
cleaned_operators/_causal.py,357,"np.log",DOMAIN," 返回:     截至各时点的几何平均 panel。 """     log_abs = np.log(x.abs().replace(0, np.nan))     return np.exp(log_abs"
cleaned_operators/_causal.py,371,"astype(float)",UNKNOWN_TO_ZERO,"   count = x.expanding(min_periods=1).count().astype(float)     inv_sum = inv.expanding(min_periods=1).su"
cleaned_operators/_causal.py,397,"astype(float)",UNKNOWN_TO_ZERO," x.expanding(min_periods=min_periods).count().astype(float)     if stat == "std":         return x.expand"
cleaned_operators/_causal.py,450,"np.argmax",TIE_POLICY,"              continue             idx = int(np.argmax(valid) if which == "max" else np.argmin(valid))   "
cleaned_operators/_causal.py,450,"np.argmin",TIE_POLICY," int(np.argmax(valid) if which == "max" else np.argmin(valid))             out.iloc[i, out.columns.get_lo"
cleaned_operators/_dedupe.py,161,"ffill",STATE_HISTORY,""cum_std": "expanding_std",     "cum_last": "ffill",     "last": "ffill",     "last_not_null": "ffill",  "
cleaned_operators/_dedupe.py,162,"ffill",STATE_HISTORY,"_std",     "cum_last": "ffill",     "last": "ffill",     "last_not_null": "ffill",     "first": "first_no"
cleaned_operators/_dedupe.py,163,"ffill",STATE_HISTORY,",     "last": "ffill",     "last_not_null": "ffill",     "first": "first_not_null",     # --- 时序别名（已有） --"
cleaned_operators/_dedupe.py,202,"bfill",STATE_HISTORY,"mple operators.     "Lead",     "next",     "bfill",     "causal_bfill",     "fillna_interpolate",     "i"
cleaned_operators/_numpy_kernels.py,120,"np.argsort",TIE_POLICY,"thority——默认 ``average``（并列给平均 rank，     不再让``np.argsort(argsort)`` 的列顺序信号渗入）。只接受有限样本     （``np.isfinite``"
cleaned_operators/_numpy_kernels.py,200,"np.nanmean",MISSING_TOPOLOGY,".errstate(all="ignore"):             means = np.nanmean(xv, axis=1, keepdims=True)         return xv - me"
cleaned_operators/_numpy_kernels.py,219,"np.nanmean",MISSING_TOPOLOGY,"back == "global":                 mu = float(np.nanmean(row))                 out[i, finite] = row[finite"
cleaned_operators/_numpy_kernels.py,227,"np.nanmean",MISSING_TOPOLOGY,"     if not ok.any():             mu = float(np.nanmean(row[valid]))             out[i, valid] = row[vali"
cleaned_operators/_numpy_kernels.py,234,"astype(float)",UNKNOWN_TO_ZERO,", weights=vals)         cnts = np.bincount(c).astype(float)         means = sums / cnts         out[i, po"
cleaned_operators/_numpy_kernels.py,249,"np.log",DOMAIN,"shape, np.nan, dtype=float)     out[legal] = np.log(cv[legal])     return out   def size_resid_panel_(y: "
cleaned_operators/_numpy_kernels.py,681,"np.nansum",MISSING_TOPOLOGY,"(arr[i - 3:i + 1])):             result[i] = np.nansum(arr[max(0, i - 3):i + 1])         else:           "
cleaned_operators/_rolling_fast.py,392,"np.log",DOMAIN,"olling(w, min_periods=1).sum()     log_abs = np.log(clean.abs().where(clean.ne(0)))     with np.errstate("
cleaned_operators/activity_clock.py,261,"np.argmin",TIE_POLICY,"/ running_max - 1.0             trough = int(np.argmin(dd))             if dd[trough] >= -1e-12:         "
cleaned_operators/activity_clock.py,267,"np.argmax",TIE_POLICY," # R4-71: with a flat (equal) peak plateau ``np.argmax`` returns the             # FIRST maximum, which c"
cleaned_operators/activity_clock.py,272,"np.argmax",TIE_POLICY,"1]             peak = int(len(pre) - 1 - int(np.argmax(pre[::-1])))             seg_act = float(act[peak "
cleaned_operators/advanced_expectile.py,95,"astype(float)",UNKNOWN_TO_ZERO,"R_EXPECTILE):         w = np.abs(tt - (v < e).astype(float))         s = float(w.sum())         if s <= _"
cleaned_operators/advanced_expectile.py,195,"astype(float)",UNKNOWN_TO_ZERO," - A @ beta         w = np.abs(tt - (r < 0.0).astype(float))         sw = float(w.sum())         if sw <="
cleaned_operators/advanced_information.py,192,"np.log",DOMAIN,"         continue                 te += p * (np.log(p) + np.log(px[i]) - np.log(pxx[j, i]) - np.log(pxy[i"
cleaned_operators/advanced_information.py,192,"np.log",DOMAIN,"tinue                 te += p * (np.log(p) + np.log(px[i]) - np.log(pxx[j, i]) - np.log(pxy[i, k]))     r"
cleaned_operators/advanced_information.py,192,"np.log",DOMAIN,"      te += p * (np.log(p) + np.log(px[i]) - np.log(pxx[j, i]) - np.log(pxy[i, k]))     return float(max("
cleaned_operators/advanced_information.py,192,"np.log",DOMAIN,"log(p) + np.log(px[i]) - np.log(pxx[j, i]) - np.log(pxy[i, k]))     return float(max(te, 0.0))   def _tra"
cleaned_operators/advanced_information.py,484,"astype(float)",UNKNOWN_TO_ZERO,"ny():         return np.nan     tv = t[valid].astype(float)     sv = sc[valid].astype(float)     n = tv.s"
cleaned_operators/advanced_information.py,485,"astype(float)",UNKNOWN_TO_ZERO,"v = t[valid].astype(float)     sv = sc[valid].astype(float)     n = tv.size     if n == 0:         return"
cleaned_operators/advanced_information.py,492,"np.argsort",TIE_POLICY,"re the mean rank / equal weight.     order = np.argsort(-sv, kind="mergesort")     s_sorted = -sv[order] "
cleaned_operators/advanced_information.py,578,"np.log",DOMAIN,"here=bm > 0.0)     kl_pm = float(np.sum(pm * np.log(rp)))     kl_bm = float(np.sum(bm * np.log(rb)))     "
cleaned_operators/advanced_information.py,579,"np.log",DOMAIN,"* np.log(rp)))     kl_bm = float(np.sum(bm * np.log(rb)))     js = 0.5 * (kl_pm + kl_bm)     return float"
cleaned_operators/advanced_information.py,581,"np.log",DOMAIN,"_bm)     return float(np.sqrt(max(js, 0.0) / np.log(2.0)))   @register_operator(     name="report_benford"
cleaned_operators/advanced_intraday.py,74,"index.normalize",TIME_CLOCK,".      Day grouping must never run on ``index.normalize()`` of a tz-aware index:     for a market whose s"
cleaned_operators/advanced_intraday.py,338,"index.normalize",TIME_CLOCK,"          for day, group in c.groupby(c.index.normalize()):                 vals = np.asarray(group, dtyp"
cleaned_operators/advanced_intraday.py,404,"np.argmax",TIE_POLICY,"|loading| element positive.         ax = int(np.argmax(np.abs(vk)))         if vk[ax] < 0.0:             "
cleaned_operators/advanced_intraday.py,443,"index.normalize",TIME_CLOCK,"market session wall-clock (never bare ``index.normalize()`` on a     tz-aware index), so a US after-close"
cleaned_operators/advanced_intraday.py,450,"index.normalize",TIME_CLOCK,"  for day, group in panel.groupby(panel.index.normalize()):         day_list.append(day)         day_ret."
cleaned_operators/advanced_intraday.py,644,"np.log",DOMAIN,"(points) < 3:         return np.nan     xs = np.log(np.array([p[0] for p in points]))     ys = np.log(np."
cleaned_operators/advanced_intraday.py,645,"np.log",DOMAIN,"g(np.array([p[0] for p in points]))     ys = np.log(np.array([p[1] for p in points]))     denom = float(n"
cleaned_operators/advanced_quantile_dynamics.py,112,"astype(float)",UNKNOWN_TO_ZERO,"f side == "lower":         h = (chunk <= thr).astype(float)     else:         h = (chunk >= thr).astype(f"
cleaned_operators/advanced_quantile_dynamics.py,114,"astype(float)",UNKNOWN_TO_ZERO,"e(float)     else:         h = (chunk >= thr).astype(float)     h = np.where(np.isfinite(chunk), h, np.na"
cleaned_operators/advanced_quantile_dynamics.py,397,"np.nanmean",MISSING_TOPOLOGY,"at(np.sum(yy * xx)) / denom     base = float(np.nanmean(E))     return float(cond - base)   @register_ope"
cleaned_operators/advanced_quantile_dynamics.py,480,"np.nanmean",MISSING_TOPOLOGY,"at(np.sum(sp * tf)) / denom     base = float(np.nanmean(Et))     return float(cond - base)   @register_op"
cleaned_operators/advanced_quantile_dynamics.py,552,"np.nanmean",MISSING_TOPOLOGY," + 3:         return np.nan     base = float(np.nanmean(E))     hs: list[float] = []     es: list[float] "
cleaned_operators/advanced_quantile_dynamics.py,573,"np.log",DOMAIN,"append(float(h))             es.append(float(np.log(ex + _EPS)))     if len(hs) < 2:         return np.na"
cleaned_operators/advanced_structure.py,33,"np.log",DOMAIN,"ministic projection directions. _LN2 = float(np.log(2.0))   def _metadata(     name: str,     description"
cleaned_operators/advanced_structure.py,73,"sum(x^2) risk",NUMERIC_STABILITY,"n float(np.trace(a) + np.trace(b) - 2.0 * np.sum(np.sqrt(wm)))   def _corr_window(xv: np.ndarray, yv: np."
cleaned_operators/advanced_structure.py,287,"np.argsort",TIE_POLICY,"turn ranks, 0     sub = col[fin]     order = np.argsort(sub, kind="mergesort")     sorted_sub = sub[order"
cleaned_operators/advanced_structure.py,433,"np.log",DOMAIN," w = np.clip(w, 1e-10, None)     return (v * np.log(w)) @ v.T   def _group_spd_shift(     feats: np.ndarr"
cleaned_operators/advanced_structure.py,589,"np.log",DOMAIN,"=qm > 0.0)         kl_pm = float(np.sum(pm * np.log(rp)))         kl_qm = float(np.sum(qm * np.log(rq))) "
cleaned_operators/advanced_structure.py,590,"np.log",DOMAIN,".log(rp)))         kl_qm = float(np.sum(qm * np.log(rq)))     js = 0.5 * (kl_pm + kl_qm)     return float"
cleaned_operators/advanced_topology.py,394,"np.log",DOMAIN," w = np.clip(w, 1e-10, None)     return (v * np.log(w)) @ v.T   def _fisher_shift_series(vals_2d: np.ndar"
cleaned_operators/alpha_language_cross.py,71,"np.argsort",TIE_POLICY," - med))) if m >= 2 else 0.0         order = np.argsort(vals)         for rank, stock_pos in enumerate(or"
cleaned_operators/alpha_language_distribution.py,275,"searchsorted",NEEDS_MANUAL_REVIEW,"oncatenate([ra, oa]))             ecdf_a = np.searchsorted(ra, combined, side="right") / ra.size         "
cleaned_operators/alpha_language_distribution.py,276,"searchsorted",NEEDS_MANUAL_REVIEW,"de="right") / ra.size             ecdf_b = np.searchsorted(oa, combined, side="right") / oa.size         "
cleaned_operators/alpha_language_distribution.py,354,"np.log",DOMAIN,"      return np.nan             return float(np.log(mad_r / mad_o))          return frame_like(x, map_two"
cleaned_operators/alpha_language_events.py,260,"ffill",STATE_HISTORY,"report_rolling_mean,     "最近 K 个报告观测值的均值(非日频 ffill 的 ts_mean)。",     unit="same_as:x", ) _register_report"
cleaned_operators/alpha_language_shape.py,207,"np.diff",GAP_COMPRESSION,"               return np.nan             d = np.diff(v)             flips = 0             pairs = 0      "
cleaned_operators/alpha_language_shape.py,266,"np.diff",GAP_COMPRESSION,"               return np.nan             d = np.diff(v)             flips = 0             active_pairs = "
cleaned_operators/alpha_language_shape.py,315,"np.diff",GAP_COMPRESSION,"               return np.nan             d = np.diff(v)             if d.size < 2:                 return"
cleaned_operators/alpha_language_shape.py,371,"np.diff",GAP_COMPRESSION,"[0]))             path = float(np.sum(np.abs(np.diff(v))))             if path == 0.0:                 # "
cleaned_operators/alpha_language_shape.py,407,"np.diff",GAP_COMPRESSION,"               return np.nan             d = np.diff(v)             if d.size < 2:                 return"
cleaned_operators/alpha_language_shape.py,410,"np.diff",GAP_COMPRESSION,"              return np.nan             d2 = np.diff(d)             s2 = float(np.sum(d2 * d2))          "
cleaned_operators/alpha_language_shape.py,644,"astype(float)",UNKNOWN_TO_ZERO,"          return np.nan             v = chunk.astype(float)             if v.size < mp:                 r"
cleaned_operators/alpha_language_shape.py,687,"astype(float)",UNKNOWN_TO_ZERO,"          return np.nan             v = chunk.astype(float)             if v.size < mp:                 r"
cleaned_operators/alpha_language_shape.py,694,"np.diff",GAP_COMPRESSION," L)))             path = float(np.sum(np.abs(np.diff(v))))             return mce / (path + _EPS)        "
cleaned_operators/alpha_language_state.py,24,"deque",STATE_HISTORY," import annotations  from collections import deque from typing import Any  import numpy as np import pand"
cleaned_operators/alpha_language_state.py,101,"deque",STATE_HISTORY,"ate_integral`` (the     per-row contribution deque); the scalar ``state_integral`` is always the     unca"
cleaned_operators/alpha_language_state.py,124,"deque",STATE_HISTORY,"id_time = None         self._contributions = deque(maxlen=self.integral_cap)      @property     def contr"
cleaned_operators/alpha_language_state.py,127,"deque",STATE_HISTORY,"    @property     def contributions(self) -> deque:         """Per-row ``max(|z|-lower, 0)`` contribution"
cleaned_operators/alpha_language_state.py,240,"astype(float)",UNKNOWN_TO_ZERO,"hare the same panel shape")     return values.astype(float), state.astype(float)   @register_operator(   "
cleaned_operators/alpha_language_state.py,240,"astype(float)",UNKNOWN_TO_ZERO,"hape")     return values.astype(float), state.astype(float)   @register_operator(     name="ts_run_streng"
