canonical,model_like,execution_class,lane,legacy_local_predictive
ADX,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
ALMA,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
ATR_WILDER,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
CMF,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
CMO,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
ChaikinOscillator,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
CoppockCurve,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
DEMA,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
DMI_minus,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
DMI_plus,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
DX,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
EaseOfMovement,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
ElderRay,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
FisherTransform,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
ForceIndex,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
HMA,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
KAMA,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
KeltnerLower,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
KeltnerMid,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
KeltnerPosition,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
KeltnerUpper,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
MACD_hist,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
MACD_line,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
MACD_signal,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
MFI,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
NATR,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
PPO,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
PPO_hist,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
PPO_signal,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
PSAR,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
PVO,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
PVO_hist,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
PVO_signal,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
QQE,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
RSI_WILDER,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
RSX,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
Supertrend,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
SupertrendDirection,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
TEMA,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
TSI,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
TSI_signal,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
UltimateOscillator,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
VortexMinus,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
VortexPlus,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
a_share_cap_ratio,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
abnormal_turnover,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
abnormal_volume,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
abs,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
abs_return_volume_corr,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
acos,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
acos_bounded,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
add,False,local_rolling_estimator,DIAGNOSTIC_RESEARCH,False
