canonical,family,true_model_type,semantic_role,surface,lane,timing_kind,explicit_timing,feature_inputs,label_input,label_horizon,stateful,checkpointable,missing_policy,window_semantics,min_history,min_effective_obs,input_units,output_unit,parameter_domain_certified,oracle_required,oracle_pass,causality_pass,future_poison_pass,label_poison_pass,missing_gap_pass,unit_contract_pass,backend_parity_pass,batch_single_parity_pass,optimized_reference_parity_pass,performance_lane,default_searchable,final_direct_use_ready,failure_reasons,evidence_sha
arg,generic,statistical_estimator,,unsafe,DIAGNOSTIC_RESEARCH,self_fit_descriptive,False,,,,False,False,,,,,,,False,family_oracle,,,,,,,,,,,false,False,no_explicit_timing|not_production_lane|no_parameter_domain_point,6fd715953558da50d976951e9e7cc3c19f3dca36
cdl_harami,generic,statistical_estimator,,daily,DIAGNOSTIC_RESEARCH,self_fit_descriptive,False,,,,False,False,,,,,,,False,family_oracle,,,,,,,,,,,false,False,no_explicit_timing|not_production_lane|no_parameter_domain_point,6fd715953558da50d976951e9e7cc3c19f3dca36
cdl_harami_cross,generic,statistical_estimator,,daily,DIAGNOSTIC_RESEARCH,self_fit_descriptive,False,,,,False,False,,,,,,,False,family_oracle,,,,,,,,,,,false,False,no_explicit_timing|not_production_lane|no_parameter_domain_point,6fd715953558da50d976951e9e7cc3c19f3dca36
cs_autoencoder_reconstruction_error,generic,statistical_estimator,,extended,DIAGNOSTIC_RESEARCH,same_time_cross_sectional,False,,,,False,False,,,,,,,False,family_oracle,,,,,,,,,,,false,False,no_explicit_timing|not_production_lane|no_parameter_domain_point,6fd715953558da50d976951e9e7cc3c19f3dca36
cs_hartigan_dip,generic,statistical_estimator,,daily,DIAGNOSTIC_RESEARCH,same_time_cross_sectional,False,,,,False,False,,,,,,,False,family_oracle,,,,,,,,,,,false,False,no_explicit_timing|not_production_lane|no_parameter_domain_point,6fd715953558da50d976951e9e7cc3c19f3dca36
cs_huber_resid,regression,regression,,daily,DIAGNOSTIC_RESEARCH,same_time_cross_sectional,False,,,,False,False,,,,,,,False,family_oracle,,,,,,,,,,,false,False,no_explicit_timing|not_production_lane|no_parameter_domain_point,6fd715953558da50d976951e9e7cc3c19f3dca36
cs_knn_distance,kernel,kernel,,daily,DIAGNOSTIC_RESEARCH,same_time_cross_sectional,False,,,,False,False,,,,,,,False,family_oracle,,,,,,,,,,,false,False,no_explicit_timing|not_production_lane|no_parameter_domain_point,6fd715953558da50d976951e9e7cc3c19f3dca36
cs_knn_graph_dirichlet_energy,kernel,kernel,,daily,DIAGNOSTIC_RESEARCH,same_time_cross_sectional,False,,,,False,False,,,,,,,False,family_oracle,,,,,,,,,,,false,False,no_explicit_timing|not_production_lane|no_parameter_domain_point,6fd715953558da50d976951e9e7cc3c19f3dca36
cs_knn_local_gradient_norm,kernel,kernel,,extended,DIAGNOSTIC_RESEARCH,same_time_cross_sectional,False,,,,False,False,,,,,,,False,family_oracle,,,,,,,,,,,false,False,no_explicit_timing|not_production_lane|no_parameter_domain_point,6fd715953558da50d976951e9e7cc3c19f3dca36
cs_knn_local_linear_residual,kernel,kernel,,extended,DIAGNOSTIC_RESEARCH,same_time_cross_sectional,True,,,,False,False,,,,,,,False,family_oracle,,,,,,,,,,,false,False,not_production_lane|no_parameter_domain_point,6fd715953558da50d976951e9e7cc3c19f3dca36
