canonical,model_family,category,source_file,surface,descriptive_or_predictive,fit_cutoff_offset,feature_cutoff,score_time,forecast_horizon,label_horizon,label_used,label_maturity_enforced,purge,embargo,scaler_scope,pca_scope,hyperparam_scope,filter_or_smoother,timing_contract_source,in_sample_looks_predictive
calendar_day_diff,generic,event,cleaned_operators.relation.ops,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
cs_autoencoder_reconstruction_error,generic,panel_model,cleaned_operators.cross_section.panel_model,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
cs_hartigan_dip,generic,cross_sectional_state,cleaned_operators.gemini_v2_common,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
cs_huber_resid,regression,cross_sectional,cleaned_operators.group_ext,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
cs_knn_distance,kernel,cross_sectional,cleaned_operators.cross_section.robust_cs,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
cs_knn_graph_dirichlet_energy,kernel,cross_sectional,cleaned_operators.dynamic_knn,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
cs_knn_local_gradient_norm,kernel,cross_sectional,cleaned_operators.cross_section_local,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
cs_knn_local_linear_residual,kernel,cross_sectional,cleaned_operators.cross_section_local,extended,predictive,1,1,0,0,,False,False,0,0,full,full,full,none,explicit,False
cs_knn_local_moran,kernel,cross_sectional,cleaned_operators.cross_section_ext,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
cs_knn_neighbor_retention,kernel,cross_sectional,cleaned_operators.dynamic_knn,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
cs_knn_peer_mean_ex_self,kernel,cross_sectional,cleaned_operators.dynamic_knn,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
cs_knn_tangent_residual,kernel,cross_sectional,cleaned_operators.cross_section_local,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
cs_multi_resid,generic,cross_sectional_regression,cleaned_operators.overhaul.base,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
cs_multi_ridge_resid,regression,cross_sectional_regression,cleaned_operators.weighted_moment_ext,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
cs_neutralize,generic,cross_sectional_regression,cleaned_operators.overhaul.base,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
cs_physical_panel_coverage,generic,cross_sectional_state,cleaned_operators.gemini_v2_common,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
cs_quantile,regression,cross_sectional,cleaned_operators.common.cross_sectional,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
cs_quantile_resid,regression,cross_sectional,cleaned_operators.cross_section.robust_cs,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
cs_regression,regression,cross_sectional,cleaned_operators.common.cross_sectional,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
cs_ridge_resid,regression,cross_sectional,cleaned_operators.cross_section.robust_cs,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
cs_universe_coverage,generic,cross_sectional_state,cleaned_operators.gemini_v2_common,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
cs_wls_resid,generic,cross_sectional_regression,cleaned_operators.overhaul.base,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
directional_change_extent,generic,time_series_state,cleaned_operators.stateful.episode,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
directional_change_state,state,time_series_state,cleaned_operators.stateful.episode,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
dollar_volume,generic,price_volume_extension,cleaned_operators.price_volume.technical_extensions,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
dollar_volume_zscore,generic,price_volume_extension,cleaned_operators.price_volume.technical_extensions,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
fin_period_restated,state,fundamental_period,cleaned_operators.fundamental.ledger,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
fin_restated_flag,state,fundamental_period,cleaned_operators.fundamental.transforms_repairs_v2,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
fiscal_ar_resid_std,ar,fundamental_period,cleaned_operators.fiscal_event_ops,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
fiscal_asymmetric_elasticity,regression,fundamental_period,cleaned_operators.fiscal_event_ops,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
fiscal_regression_resid_std,regression,fundamental_period,cleaned_operators.fiscal_event_ops,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
group_ex_self_quantile,regression,group_neutralization,cleaned_operators.alpha_language_cross,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
group_quantile_spread,regression,cross_sectional,cleaned_operators.relation.distribution,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
group_wasserstein_barycenter_distance,generic,cross_sectional_state,cleaned_operators.gemini_v2_common,extended,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
industry_rolling_pca_loading,pca,panel_model,cleaned_operators.cross_section.panel_model,extended,predictive,1,1,0,0,,False,False,0,0,full,full,full,none,explicit,False
intra_bar_range_deviation,generic,intraday_microstructure,cleaned_operators.intraday.time_structure_v2,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
intra_bar_range_persistence,generic,intraday_microstructure,cleaned_operators.intraday.time_structure_v2,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
intra_extreme_bar_return,generic,intraday_microstructure,cleaned_operators.microstructure.intraday_agg,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
intra_market_model_r2,generic,intraday_microstructure,cleaned_operators.intraday.realized_beta,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
intra_market_model_r2_ex_self,generic,intraday_microstructure,cleaned_operators.intraday.realized_beta,daily,descriptive,0,0,0,0,,False,False,0,0,full,full,full,none,generated,False
intraday_profile_pca_residual,pca,intraday_session,cleaned_operators.intraday_session,daily,predictive,1,1,0,0,,False,False,0,0,full,full,full,none,explicit,False
intraday_quantile_curve_pca_residual,pca,intraday_microstructure,cleaned_operators.advanced_intraday,extended,predictive,1,1,0,0,,False,False,0,0,full,full,full,none,explicit,False
intraday_quantile_curve_pca_score,pca,intraday_microstructure,cleaned_operators.advanced_intraday,extended,predictive,1,1,0,0,,False,False,0,0,full,full,full,none,explicit,False
panel_mixture_of_experts_score,panel_model,panel_model,cleaned_operators.cross_section.panel_model,extended,predictive,1,1,0,1,1,True,True,0,0,train,train,train,none,explicit,False
panel_regime_conditioned_forecast,panel_model,panel_model,cleaned_operators.cross_section.panel_model,extended,predictive,1,1,0,1,1,True,True,0,0,train,train,train,filter,explicit,False
panel_rolling_elastic_net_forecast,panel_model,panel_model,cleaned_operators.cross_section.panel_model,extended,predictive,1,1,0,1,1,True,True,0,0,train,train,train,none,explicit,False
panel_rolling_pca_explained_ratio,panel_model,panel_model,cleaned_operators.cross_section.panel_model,extended,predictive,1,1,0,0,,False,False,0,0,full,full,full,none,explicit,False
panel_rolling_pca_loading,panel_model,panel_model,cleaned_operators.cross_section.panel_model,extended,predictive,1,1,0,0,,False,False,0,0,full,full,full,none,explicit,False
panel_rolling_pca_resid,panel_model,panel_model,cleaned_operators.cross_section.panel_model,extended,predictive,1,1,0,0,,False,False,0,0,full,full,full,none,explicit,False
panel_rolling_pca_resid_momentum,panel_model,panel_model,cleaned_operators.cross_section.panel_model,extended,predictive,1,1,0,0,,False,False,0,0,full,full,full,none,explicit,False
panel_rolling_pca_resid_vol,panel_model,panel_model,cleaned_operators.cross_section.panel_model,extended,predictive,1,1,0,0,,False,False,0,0,full,full,full,none,explicit,False
panel_rolling_pcr_forecast,panel_model,panel_model,cleaned_operators.cross_section.panel_model,extended,predictive,1,1,0,1,1,True,True,0,0,train,train,train,none,explicit,False
panel_rolling_pls_forecast,panel_model,panel_model,cleaned_operators.cross_section.panel_model,extended,predictive,1,1,0,1,1,True,True,0,0,train,train,train,none,explicit,False
