alias,canonical,tombstoned
ABS,abs,False
ADL,rolling_adl_flow,False
Beta,ts_beta,False
CAP_NEUTRALIZE,size_neutralize,False
CLIP,clip,False
COALESCE,coalesce,False
CS_DEMEAN,cs_demean,False
CS_RANK,rank,False
CS_ZSCORE,zscore,False
Corr,ts_corr,False
Cov,ts_cov,False
Covariance,ts_cov,False
DECAY_LINEAR,ts_decay_linear,False
DELAY,ts_delay,False
Delay,ts_delay,False
Delta,ts_delta,False
Diff,ts_delta,False
EMA,ts_ema,False
FP_BETA,rolling_beta_to_market,False
IIF,where,False
INDUSTRY_NEUTRAL,group_neutralize,False
INDUSTRY_NEUTRALIZE,group_neutralize,False
IND_NEUTRALIZE,group_neutralize,False
IS_INFINITE,is_infinite,False
IS_NAN,is_nan,False
IS_NOT_NULL,is_not_null,False
IS_NULL,is_null,False
Kurt,ts_kurt,False
LOG,log,False
MACD,MACD_line,False
MARKET_CAP_NEUTRALIZE,size_neutralize,False
Mad,ts_mean_abs_deviation,False
Max,ts_max,False
Mean,ts_mean,False
Median,ts_median,False
Min,ts_min,False
NEUTRALIZE,group_neutralize,False
POWER,power,False
Percentile,ts_quantile,False
RANK,rank,False
RANKCORR,rank_corr,False
RANK_CORR,rank_corr,False
ROLLING_BETA,ts_beta,False
ROLLING_BETA_TO_MARKET,rolling_beta_to_market,False
ROUND,round,False
Ref,ts_delay,False
SCALE,scale,False
SIGN,sign,False
SIZE_NEUTRALIZE,size_neutralize,False
SMA,ts_mean,False
SQRT,sqrt,False
Skew,ts_skew,False
Slope,ts_time_slope,False
Std,ts_std,False
Sum,ts_sum,False
TS_CORR,ts_corr,False
TS_COV,ts_cov,False
TS_DECAY_LINEAR,ts_decay_linear,False
TS_DELTA,ts_delta,False
TS_KURT,ts_kurt,False
TS_MAX,ts_max,False
TS_MEAN,ts_mean,False
TS_MIN,ts_min,False
TS_PCT,ts_pct,False
TS_QUANTILE,ts_quantile,False
TS_RANK,ts_rank,False
TS_REGRESSION_SLOPE,ts_regression_slope,False
TS_SKEW,ts_skew,False
TS_STD,ts_std,False
TS_SUM,ts_sum,False
TS_TIME_SLOPE,ts_time_slope,False
TS_TOPK_SUM,ts_topk_sum,False
Var,ts_var,False
WHERE,where,False
WINSORIZE,winsorize,False
WMA,ts_decay_linear,False
ZSCORE,zscore,False
activity_clock_lagged_value_prior,ts_activity_clock_lagged_value_prior,False
beta,ts_beta,False
