canonical,aliases,source,backends,surface,lifecycle,role,public_loaded,raw_registry_callable,pit_safe,production_certified,allow_in_production,state_model,chunking,legacy_seed_fallback,final_disposition
ADX,['ADX'],,"['pandas_numpy', 'polars']",daily,experimental,factor,True,True,True,False,False,recursive,checkpoint,False,KEEP_PRODUCTION_PENDING_EVIDENCE
ATR_WILDER,['ATR_WILDER'],,"['pandas_numpy', 'polars']",daily,experimental,factor,True,True,True,False,False,recursive,checkpoint,False,KEEP_PRODUCTION_PENDING_EVIDENCE
CMF,[],,"['pandas_numpy', 'polars']",daily,experimental,factor,True,True,True,False,False,stateless,independent,False,KEEP_PRODUCTION_PENDING_EVIDENCE
CMO,[],,"['pandas_numpy', 'polars', 'sql']",daily,experimental,factor,True,True,True,False,False,stateless,independent,False,KEEP_PRODUCTION_PENDING_EVIDENCE
ChaikinOscillator,[],,"['pandas_numpy', 'polars']",daily,experimental,factor,True,True,True,False,False,recursive,required_full_history,False,KEEP_PRODUCTION_PENDING_EVIDENCE
DEMA,[],,"['pandas_numpy', 'polars']",daily,experimental,factor,True,True,True,False,False,recursive,required_full_history,False,KEEP_PRODUCTION_PENDING_EVIDENCE
DMI_minus,[],,"['pandas_numpy', 'polars']",daily,experimental,factor,True,True,True,False,False,recursive,required_full_history,False,KEEP_PRODUCTION_PENDING_EVIDENCE
DMI_plus,[],,"['pandas_numpy', 'polars']",daily,experimental,factor,True,True,True,False,False,recursive,required_full_history,False,KEEP_PRODUCTION_PENDING_EVIDENCE
DX,[],,"['pandas_numpy', 'polars']",daily,experimental,factor,True,True,True,False,False,recursive,required_full_history,False,KEEP_PRODUCTION_PENDING_EVIDENCE
EaseOfMovement,[],,"['pandas_numpy', 'polars', 'sql']",daily,experimental,factor,True,True,True,False,False,stateless,independent,False,KEEP_PRODUCTION_PENDING_EVIDENCE
ForceIndex,[],,"['pandas_numpy', 'polars']",daily,experimental,factor,True,True,True,False,False,recursive,required_full_history,False,KEEP_PRODUCTION_PENDING_EVIDENCE
KAMA,[],,"['pandas_numpy', 'polars']",daily,experimental,factor,True,True,True,False,False,recursive,required_full_history,False,KEEP_PRODUCTION_PENDING_EVIDENCE
KeltnerLower,[],,"['pandas_numpy', 'polars']",daily,experimental,factor,True,True,True,False,False,recursive,required_full_history,False,KEEP_PRODUCTION_PENDING_EVIDENCE
KeltnerMid,[],,"['pandas_numpy', 'polars']",daily,experimental,factor,True,True,True,False,False,recursive,required_full_history,False,KEEP_PRODUCTION_PENDING_EVIDENCE
KeltnerPosition,[],,"['pandas_numpy', 'polars']",daily,experimental,factor,True,True,True,False,False,recursive,required_full_history,False,KEEP_PRODUCTION_PENDING_EVIDENCE
KeltnerUpper,[],,"['pandas_numpy', 'polars']",daily,experimental,factor,True,True,True,False,False,recursive,required_full_history,False,KEEP_PRODUCTION_PENDING_EVIDENCE
MACD_hist,[],,"['pandas_numpy', 'polars']",daily,experimental,factor,True,True,True,False,False,recursive,checkpoint,False,KEEP_PRODUCTION_PENDING_EVIDENCE
MACD_line,"['MACD_line', 'MACD_line']",,"['pandas_numpy', 'polars']",daily,experimental,factor,True,True,True,False,False,recursive,checkpoint,False,KEEP_PRODUCTION_PENDING_EVIDENCE
MACD_signal,[],,"['pandas_numpy', 'polars']",daily,experimental,factor,True,True,True,False,False,recursive,checkpoint,False,KEEP_PRODUCTION_PENDING_EVIDENCE
MFI,[],,"['pandas_numpy', 'polars', 'sql']",daily,experimental,factor,True,True,True,False,False,stateless,independent,False,KEEP_PRODUCTION_PENDING_EVIDENCE
NATR,[],,"['pandas_numpy', 'polars', 'sql']",daily,experimental,factor,True,True,True,False,False,recursive,required_full_history,False,KEEP_PRODUCTION_PENDING_EVIDENCE
PPO,[],,"['pandas_numpy', 'polars']",daily,experimental,factor,True,True,True,False,False,recursive,required_full_history,False,KEEP_PRODUCTION_PENDING_EVIDENCE
PPO_hist,[],,"['pandas_numpy', 'polars']",daily,experimental,factor,True,True,True,False,False,recursive,required_full_history,False,KEEP_PRODUCTION_PENDING_EVIDENCE
PPO_signal,[],,"['pandas_numpy', 'polars']",daily,experimental,factor,True,True,True,False,False,recursive,required_full_history,False,KEEP_PRODUCTION_PENDING_EVIDENCE
PSAR,[],,"['pandas_numpy', 'polars']",daily,experimental,factor,True,True,True,False,False,recursive,required_full_history,False,KEEP_PRODUCTION_PENDING_EVIDENCE
PVO,[],,"['pandas_numpy', 'polars']",daily,experimental,factor,True,True,True,False,False,recursive,required_full_history,False,KEEP_PRODUCTION_PENDING_EVIDENCE
PVO_hist,[],,"['pandas_numpy', 'polars']",daily,experimental,factor,True,True,True,False,False,recursive,required_full_history,False,KEEP_PRODUCTION_PENDING_EVIDENCE
PVO_signal,[],,"['pandas_numpy', 'polars']",daily,experimental,factor,True,True,True,False,False,recursive,required_full_history,False,KEEP_PRODUCTION_PENDING_EVIDENCE
RSI_WILDER,['RSI_WILDER'],,"['pandas_numpy', 'polars']",daily,experimental,factor,True,True,True,False,False,recursive,checkpoint,False,KEEP_PRODUCTION_PENDING_EVIDENCE
Supertrend,[],,"['pandas_numpy', 'polars']",daily,experimental,factor,True,True,True,False,False,recursive,required_full_history,False,KEEP_PRODUCTION_PENDING_EVIDENCE
SupertrendDirection,[],,"['pandas_numpy', 'polars']",daily,experimental,factor,True,True,True,False,False,recursive,required_full_history,False,KEEP_PRODUCTION_PENDING_EVIDENCE
TEMA,[],,"['pandas_numpy', 'polars']",daily,experimental,factor,True,True,True,False,False,recursive,required_full_history,False,KEEP_PRODUCTION_PENDING_EVIDENCE
TSI,[],,"['pandas_numpy', 'polars']",daily,experimental,factor,True,True,True,False,False,recursive,required_full_history,False,KEEP_PRODUCTION_PENDING_EVIDENCE
TSI_signal,[],,"['pandas_numpy', 'polars']",daily,experimental,factor,True,True,True,False,False,recursive,required_full_history,False,KEEP_PRODUCTION_PENDING_EVIDENCE
UltimateOscillator,[],,"['pandas_numpy', 'polars', 'sql']",daily,experimental,factor,True,True,True,False,False,stateless,independent,False,KEEP_PRODUCTION_PENDING_EVIDENCE
VortexMinus,[],,"['pandas_numpy', 'polars', 'sql']",daily,experimental,factor,True,True,True,False,False,stateless,independent,False,KEEP_PRODUCTION_PENDING_EVIDENCE
VortexPlus,[],,"['pandas_numpy', 'polars', 'sql']",daily,experimental,factor,True,True,True,False,False,stateless,independent,False,KEEP_PRODUCTION_PENDING_EVIDENCE
a_share_cap_ratio,[],,"['pandas_numpy', 'polars']",daily,experimental,factor,True,True,True,False,False,stateless,independent,False,KEEP_PRODUCTION_PENDING_EVIDENCE
abnormal_turnover,[],,"['pandas_numpy', 'polars', 'sql']",daily,experimental,factor,True,True,True,False,False,stateless,independent,False,KEEP_PRODUCTION_PENDING_EVIDENCE
abnormal_volume,[],,"['pandas_numpy', 'polars', 'sql']",daily,experimental,factor,True,True,True,False,False,stateless,independent,False,KEEP_PRODUCTION_PENDING_EVIDENCE
abs,['abs'],,"['pandas_numpy', 'polars', 'sql']",daily,experimental,factor,True,True,True,False,False,stateless,independent,False,KEEP_PRODUCTION_PENDING_EVIDENCE
abs_return_volume_corr,[],,"['pandas_numpy', 'polars', 'sql']",daily,experimental,factor,True,True,True,False,False,stateless,independent,False,KEEP_PRODUCTION_PENDING_EVIDENCE
acos,[],,"['pandas_numpy', 'polars', 'sql']",daily,experimental,factor,True,True,True,False,False,stateless,independent,False,KEEP_PRODUCTION_PENDING_EVIDENCE
acos_bounded,[],,"['pandas_numpy', 'polars']",extended,experimental,factor,True,True,True,False,False,stateless,independent,False,KEEP_PRODUCTION_PENDING_EVIDENCE
add,[],,"['pandas_numpy', 'polars', 'sql']",daily,experimental,factor,True,True,True,False,False,stateless,independent,False,KEEP_PRODUCTION_PENDING_EVIDENCE
adv,[],,"['pandas_numpy', 'polars', 'sql']",daily,experimental,factor,True,True,True,False,False,stateless,independent,False,KEEP_PRODUCTION_PENDING_EVIDENCE
altman_z_score,[],,"['pandas_numpy', 'polars']",daily,experimental,factor,True,True,True,False,False,stateless,independent,False,KEEP_PRODUCTION_PENDING_EVIDENCE
amihud_illiquidity,[],,"['pandas_numpy', 'polars', 'sql']",daily,experimental,factor,True,True,True,False,False,stateless,independent,False,KEEP_PRODUCTION_PENDING_EVIDENCE
