canonical,family,surface,pandas_impl,pandas_prod,polars_impl,polars_parity,polars_prod,polars_long_native,duckdb_emitter,duckdb_parity,duckdb_prod,clickhouse_parity,recommended_target,priority,benchmark_class
abs,core,daily,yes,yes,yes,n/a,no,no,yes,pass,yes,not-certified,duckdb_sql,tier-a,core
add,core,daily,yes,yes,yes,n/a,no,no,yes,pass,yes,not-certified,duckdb_sql,tier-a,core
and_,core,daily,yes,yes,yes,n/a,no,no,yes,pass,yes,not-certified,duckdb_sql,tier-a,core
clip,core,daily,yes,yes,yes,n/a,no,no,yes,no-ref,no,not-certified,pandas_numpy,tier-a,core
coalesce,core,daily,yes,yes,yes,n/a,no,no,yes,pass,yes,not-certified,duckdb_sql,tier-a,core
cs_count,core,daily,yes,yes,yes,n/a,no,no,yes,pass-value-mask,yes,not-certified,duckdb_sql,tier-a,core
cs_demean,core,daily,yes,yes,yes,n/a,no,no,yes,pass,yes,not-certified,duckdb_sql,tier-a,core
cs_mean,core,daily,yes,yes,yes,n/a,no,no,yes,pass,yes,not-certified,duckdb_sql,tier-a,core
cs_rank,core,daily,yes,yes,yes,n/a,no,no,yes,pass,yes,not-certified,duckdb_sql,tier-a,core
cs_std,core,daily,yes,yes,yes,n/a,no,no,yes,pass,yes,not-certified,duckdb_sql,tier-a,core
cs_sum,core,daily,yes,yes,yes,n/a,no,no,yes,pass,yes,not-certified,duckdb_sql,tier-a,core
cs_zscore,core,daily,yes,yes,yes,n/a,no,no,yes,pass,yes,not-certified,duckdb_sql,tier-a,core
divide,core,daily,yes,yes,yes,n/a,no,no,yes,pass,yes,not-certified,duckdb_sql,tier-a,core
eq,core,daily,yes,yes,yes,n/a,no,no,yes,pass,yes,not-certified,duckdb_sql,tier-a,core
exp,core,daily,yes,yes,yes,n/a,no,no,yes,pass,yes,not-certified,duckdb_sql,tier-a,core
fillna,core,daily,yes,yes,no,n/a,no,no,no,n/a,no,not-certified,pandas_numpy,tier-a,core
ge,core,daily,yes,yes,yes,n/a,no,no,yes,pass,yes,not-certified,duckdb_sql,tier-a,core
group_mean,core,daily,yes,yes,yes,n/a,no,no,yes,pass,yes,not-certified,duckdb_sql,tier-a,core
group_std,core,daily,yes,yes,yes,n/a,no,no,yes,pass,yes,not-certified,duckdb_sql,tier-a,core
gt,core,daily,yes,yes,yes,n/a,no,no,yes,pass,yes,not-certified,duckdb_sql,tier-a,core
is_finite,core,daily,yes,yes,yes,n/a,no,no,yes,pass,yes,not-certified,duckdb_sql,tier-a,core
is_nan,core,daily,yes,yes,yes,n/a,no,no,yes,pass,yes,not-certified,duckdb_sql,tier-a,core
le,core,daily,yes,yes,yes,n/a,no,no,yes,pass,yes,not-certified,duckdb_sql,tier-a,core
log,core,daily,yes,yes,yes,n/a,no,no,yes,pass,yes,not-certified,duckdb_sql,tier-a,core
log_returns,core,daily,yes,yes,yes,n/a,no,no,yes,no-ref,no,not-certified,pandas_numpy,tier-a,core
lt,core,daily,yes,yes,yes,n/a,no,no,yes,pass,yes,not-certified,duckdb_sql,tier-a,core
multiply,core,daily,yes,yes,yes,n/a,no,no,yes,pass,yes,not-certified,duckdb_sql,tier-a,core
ne,core,daily,yes,yes,yes,n/a,no,no,yes,pass,yes,not-certified,duckdb_sql,tier-a,core
not_,core,daily,yes,yes,yes,n/a,no,no,yes,pass,yes,not-certified,duckdb_sql,tier-a,core
or_,core,daily,yes,yes,yes,n/a,no,no,yes,pass,yes,not-certified,duckdb_sql,tier-a,core
power,core,daily,yes,yes,yes,n/a,no,no,yes,no-ref,no,not-certified,pandas_numpy,tier-a,core
rank,core,daily,yes,yes,yes,n/a,no,no,yes,pass,yes,not-certified,duckdb_sql,tier-a,core
sign,core,daily,yes,yes,yes,n/a,no,no,yes,pass-value-mask,yes,not-certified,duckdb_sql,tier-a,core
sqrt,core,daily,yes,yes,yes,n/a,no,no,yes,pass,yes,not-certified,duckdb_sql,tier-a,core
subtract,core,daily,yes,yes,yes,n/a,no,no,yes,pass,yes,not-certified,duckdb_sql,tier-a,core
ts_count,core,daily,yes,yes,no,n/a,no,no,no,n/a,no,not-certified,pandas_numpy,tier-a,core
ts_delay,core,daily,yes,yes,yes,n/a,no,no,yes,no-ref,no,not-certified,pandas_numpy,tier-a,core
ts_delta,core,daily,yes,yes,yes,n/a,no,no,yes,no-ref,no,not-certified,pandas_numpy,tier-a,core
ts_ema,core,daily,yes,yes,yes,n/a,no,no,yes,no-sql,no,not-certified,pandas_numpy,tier-a,core
ts_max,core,daily,yes,yes,yes,n/a,no,no,yes,pass,yes,not-certified,duckdb_sql,tier-a,core
ts_mean,core,daily,yes,yes,yes,n/a,no,no,yes,pass,yes,not-certified,duckdb_sql,tier-a,core
ts_median,core,daily,yes,yes,yes,n/a,no,no,yes,pass,yes,not-certified,duckdb_sql,tier-a,core
ts_min,core,daily,yes,yes,yes,n/a,no,no,yes,pass,yes,not-certified,duckdb_sql,tier-a,core
ts_pct,core,daily,yes,yes,yes,n/a,no,no,yes,no-ref,no,not-certified,pandas_numpy,tier-a,core
ts_rank,core,daily,yes,yes,yes,n/a,no,no,yes,pass,yes,not-certified,duckdb_sql,tier-a,core
ts_std,core,daily,yes,yes,yes,n/a,no,no,yes,pass,yes,not-certified,duckdb_sql,tier-a,core
ts_sum,core,daily,yes,yes,yes,n/a,no,no,yes,pass,yes,not-certified,duckdb_sql,tier-a,core
where,core,daily,yes,yes,yes,n/a,no,no,yes,pass,yes,not-certified,duckdb_sql,tier-a,core
