canonical,surface,role,typed_signature,typed_note,edge_declared,edge_verified,parameter_domain,param_note,stateful_class,backends,production_verdict
ADX,daily,daily,FAIL,no typed signature,FAIL,PENDING,PENDING,no independent oracle case run,segmented,"pandas_numpy,polars",NOT_CERTIFIED
ATR_WILDER,daily,daily,FAIL,no typed signature,FAIL,PENDING,PENDING,no independent oracle case run,segmented,"pandas_numpy,polars",NOT_CERTIFIED
CMF,daily,daily,FAIL,no typed signature,FAIL,PENDING,PENDING,no independent oracle case run,bounded,"pandas_numpy,polars",NOT_CERTIFIED
CMO,daily,daily,FAIL,no typed signature,FAIL,PENDING,PENDING,no independent oracle case run,bounded,"pandas_numpy,polars,sql",NOT_CERTIFIED
ChaikinOscillator,daily,daily,FAIL,no typed signature,FAIL,PENDING,PENDING,no independent oracle case run,full_replay,"pandas_numpy,polars",NOT_CERTIFIED
DEMA,daily,daily,FAIL,no typed signature,FAIL,PENDING,PENDING,no independent oracle case run,full_replay,"pandas_numpy,polars",NOT_CERTIFIED
DMI_minus,daily,daily,FAIL,no typed signature,FAIL,PENDING,PENDING,no independent oracle case run,full_replay,"pandas_numpy,polars",NOT_CERTIFIED
DMI_plus,daily,daily,FAIL,no typed signature,FAIL,PENDING,PENDING,no independent oracle case run,full_replay,"pandas_numpy,polars",NOT_CERTIFIED
DX,daily,daily,FAIL,no typed signature,FAIL,PENDING,PENDING,no independent oracle case run,full_replay,"pandas_numpy,polars",NOT_CERTIFIED
EaseOfMovement,daily,daily,FAIL,no typed signature,FAIL,PENDING,PENDING,no independent oracle case run,bounded,"pandas_numpy,polars,sql",NOT_CERTIFIED
ForceIndex,daily,daily,FAIL,no typed signature,FAIL,PENDING,PENDING,no independent oracle case run,full_replay,"pandas_numpy,polars",NOT_CERTIFIED
KAMA,daily,daily,FAIL,no typed signature,FAIL,PENDING,PENDING,no independent oracle case run,full_replay,"pandas_numpy,polars",NOT_CERTIFIED
KeltnerLower,daily,daily,FAIL,no typed signature,FAIL,PENDING,PENDING,no independent oracle case run,full_replay,"pandas_numpy,polars",NOT_CERTIFIED
