canonical,window,min_periods,ddof,pass,error
ts_mean,1,1,1,False,_rolling_mean_ref() takes 3 positional arguments but 4 were given
ts_mean,2,1,1,False,_rolling_mean_ref() takes 3 positional arguments but 4 were given
ts_mean,5,1,1,False,_rolling_mean_ref() takes 3 positional arguments but 4 were given
ts_mean,20,1,1,False,_rolling_mean_ref() takes 3 positional arguments but 4 were given
ts_mean,60,1,1,False,_rolling_mean_ref() takes 3 positional arguments but 4 were given
ts_mean,120,1,1,False,_rolling_mean_ref() takes 3 positional arguments but 4 were given
ts_mean,252,1,1,False,_rolling_mean_ref() takes 3 positional arguments but 4 were given
ts_std,1,1,1,True,
ts_std,2,1,1,True,
ts_std,5,1,1,True,
ts_std,20,1,1,True,
ts_std,60,1,1,True,
ts_std,120,1,1,True,
ts_std,252,1,1,True,
ts_var,1,1,1,True,
ts_var,2,1,1,True,
ts_var,5,1,1,True,
ts_var,20,1,1,True,
ts_var,60,1,1,True,
ts_var,120,1,1,True,
ts_var,252,1,1,True,
ts_sum,1,1,1,False,_sum_ref() takes 3 positional arguments but 4 were given
ts_sum,2,1,1,False,_sum_ref() takes 3 positional arguments but 4 were given
ts_sum,5,1,1,False,_sum_ref() takes 3 positional arguments but 4 were given
ts_sum,20,1,1,False,_sum_ref() takes 3 positional arguments but 4 were given
ts_sum,60,1,1,False,_sum_ref() takes 3 positional arguments but 4 were given
ts_sum,120,1,1,False,_sum_ref() takes 3 positional arguments but 4 were given
ts_sum,252,1,1,False,_sum_ref() takes 3 positional arguments but 4 were given
ts_max,1,1,1,True,
ts_max,2,1,1,True,
ts_max,5,1,1,True,
ts_max,20,1,1,True,
ts_max,60,1,1,True,
ts_max,120,1,1,True,
ts_max,252,1,1,True,
ts_min,1,1,1,True,
ts_min,2,1,1,True,
ts_min,5,1,1,True,
ts_min,20,1,1,True,
ts_min,60,1,1,True,
ts_min,120,1,1,True,
ts_min,252,1,1,True,
ts_zscore,1,1,1,True,
ts_zscore,2,1,1,False,
ts_zscore,5,1,1,False,
ts_zscore,20,1,1,False,
ts_zscore,60,1,1,False,
ts_zscore,120,1,1,False,
ts_zscore,252,1,1,False,
cs_demean,,,,True,
c_demean,,,,True,
rank,,,,False,
cs_pct_rank,,,,True,
