canonical,model_family,lane,explicit_timing,role,cost_class,stateful
calendar_day_diff,generic,DIAGNOSTIC_RESEARCH,False,,,False
cs_autoencoder_reconstruction_error,generic,DIAGNOSTIC_RESEARCH,False,,,False
cs_hartigan_dip,generic,DIAGNOSTIC_RESEARCH,False,,,False
cs_huber_resid,regression,DIAGNOSTIC_RESEARCH,False,,,False
cs_knn_distance,kernel,DIAGNOSTIC_RESEARCH,False,,,False
cs_knn_graph_dirichlet_energy,kernel,DIAGNOSTIC_RESEARCH,False,,,False
cs_knn_local_gradient_norm,kernel,DIAGNOSTIC_RESEARCH,False,,,False
cs_knn_local_linear_residual,knn,DIAGNOSTIC_RESEARCH,True,,,False
cs_knn_local_moran,kernel,DIAGNOSTIC_RESEARCH,False,,,False
cs_knn_neighbor_retention,kernel,DIAGNOSTIC_RESEARCH,False,,,False
cs_knn_peer_mean_ex_self,kernel,DIAGNOSTIC_RESEARCH,False,,,False
cs_knn_tangent_residual,kernel,DIAGNOSTIC_RESEARCH,False,,,False
cs_multi_resid,generic,DIAGNOSTIC_RESEARCH,False,,,False
cs_multi_ridge_resid,regression,DIAGNOSTIC_RESEARCH,False,,,False
cs_neutralize,generic,DIAGNOSTIC_RESEARCH,False,,,False
cs_physical_panel_coverage,generic,DIAGNOSTIC_RESEARCH,False,,,False
cs_quantile,regression,DIAGNOSTIC_RESEARCH,False,,,False
cs_quantile_resid,regression,DIAGNOSTIC_RESEARCH,False,,,False
cs_regression,regression,DIAGNOSTIC_RESEARCH,False,,,False
cs_ridge_resid,regression,DIAGNOSTIC_RESEARCH,False,,,False
cs_universe_coverage,generic,DIAGNOSTIC_RESEARCH,False,,,False
cs_wls_resid,generic,DIAGNOSTIC_RESEARCH,False,,,False
directional_change_extent,generic,DIAGNOSTIC_RESEARCH,False,,,False
directional_change_state,state,DIAGNOSTIC_RESEARCH,False,,,False
dollar_volume,generic,DIAGNOSTIC_RESEARCH,False,,,False
dollar_volume_zscore,generic,DIAGNOSTIC_RESEARCH,False,,,False
fin_period_restated,state,DIAGNOSTIC_RESEARCH,False,,,False
