canonical,semantic_version,surface,role,status,source_module,backends,parameter_domain_status,semantic_golden_status,pit_status,source_pit_status,backend_parity_status,batch_parity_status,chunk_status,incremental_status,checkpoint_status,optimizer_diff_status,numeric_stress_status,shape_status,null_inf_status,determinism_status,current_sha,evidence_hash,final_production_ready,reason
ADX,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,9575aea4926159cb,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
ATR_WILDER,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,b7ad77d3f596f581,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
CMF,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,2424e5d16d4a9aa1,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
CMO,,daily,daily,FAIL,,"pandas_numpy,polars,sql",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,7b69000b62faaf56,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
ChaikinOscillator,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,5ef593c368a2446d,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
DEMA,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,a616ad6f0429a930,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
DMI_minus,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,7563094dd2513df7,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
DMI_plus,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,7afc206314f99d2f,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
DX,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,768e837c1cfb5c89,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
EaseOfMovement,,daily,daily,FAIL,,"pandas_numpy,polars,sql",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,4a58de9ceb728103,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
ForceIndex,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,d1b46855c3ba1f8c,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
KAMA,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,a3800f86c3bb3f48,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
KeltnerLower,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,b00865e4ca297e17,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
KeltnerMid,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,86cddda38f422eeb,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
KeltnerPosition,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,ba2adad22b5d8bc0,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
KeltnerUpper,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,bf9e63395ae4bb19,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
MACD_hist,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,cfebe74b5000ab58,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
MACD_line,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,390467f8956c2f83,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
MACD_signal,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,1615d5f944e051f9,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
MFI,,daily,daily,FAIL,,"pandas_numpy,polars,sql",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,eb3c2f6d6170f2d9,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
NATR,,daily,daily,FAIL,,"pandas_numpy,polars,sql",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,9008ed07a8fd3f36,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
PPO,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,9b6bd9624ca55042,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
PPO_hist,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,01a57babc109d913,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
PPO_signal,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,9dff8a10e7d7f659,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
PSAR,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,3329ee43e83d2c2b,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
PVO,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,6c0f65d42828f85b,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
PVO_hist,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,7e04a339816f26b3,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
PVO_signal,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,99df4e8fe0565b2a,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
RSI_WILDER,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,91a49e9125fa7d32,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
Supertrend,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,03333472513b106f,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
SupertrendDirection,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,a726fe0f7a6b8ad0,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
TEMA,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,900624d0d5bc8a8d,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
TSI,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,79f2bfd17896c24a,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
TSI_signal,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,132e94f16d155e7e,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
UltimateOscillator,,daily,daily,FAIL,,"pandas_numpy,polars,sql",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,b96d58b115e00217,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
VortexMinus,,daily,daily,FAIL,,"pandas_numpy,polars,sql",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,db08ecdfd5d5d2cd,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
VortexPlus,,daily,daily,FAIL,,"pandas_numpy,polars,sql",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,7459b9b9b5867bca,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
a_share_cap_ratio,,daily,daily,FAIL,,"pandas_numpy,polars",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,039e1cea341d9ee1,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
abnormal_turnover,,daily,daily,FAIL,,"pandas_numpy,polars,sql",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,3be0a5ca90dbad82,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
abnormal_volume,,daily,daily,FAIL,,"pandas_numpy,polars,sql",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,bf22cbdeb4761180,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
abs,,daily,daily,FAIL,,"pandas_numpy,polars,sql",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,d0c877ac0177b1ac,False,e;m;p;t;y; ;p;a;r;a;m;s
abs_return_volume_corr,,daily,daily,FAIL,,"pandas_numpy,polars,sql",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,08a235d405a41f91,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
acos,,daily,daily,FAIL,,"pandas_numpy,polars,sql",PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PASS,PENDING,PASS,d34cc9f50df92a10ca5c84a6d64d4682d2cd9f23,518cdfb224c2fe86,False,n;o; ;t;y;p;e;d; ;s;i;g;n;a;t;u;r;e
