canonical,param,valid,pass,reason
c_demean,default,True,True,
cs_demean,default,True,True,
cs_pct_rank,default,True,True,
rank,default,True,True,
ts_delay,lag=1,True,True,
ts_delay,lag=2,True,True,
ts_delay,lag=5,True,True,
ts_delay,lag=10,True,True,
ts_delay,lag=0,False,True,
ts_delay,lag=-1,False,True,
ts_delta,lag=1,True,True,
ts_delta,lag=2,True,True,
ts_delta,lag=5,True,True,
ts_delta,lag=10,True,True,
ts_delta,lag=0,False,True,
ts_delta,lag=-1,False,True,
ts_log_return,lag=1,True,False,no impl/error
ts_log_return,lag=2,True,False,no impl/error
ts_log_return,lag=5,True,False,no impl/error
ts_log_return,lag=10,True,False,no impl/error
ts_log_return,lag=0,False,True,
ts_log_return,lag=-1,False,True,
ts_max,window=1,True,True,
ts_max,window=2,True,True,
ts_max,window=5,True,True,
ts_max,window=20,True,True,
ts_max,window=60,True,True,
ts_max,window=120,True,True,
ts_max,window=252,True,True,
ts_max,window=0,False,True,
ts_max,window=-5,False,True,
ts_max,window=500,False,False,invalid accepted
ts_mean,window=1,True,True,
ts_mean,window=2,True,True,
ts_mean,window=5,True,True,
ts_mean,window=20,True,True,
ts_mean,window=60,True,True,
ts_mean,window=120,True,True,
ts_mean,window=252,True,True,
ts_mean,window=0,False,True,
ts_mean,window=-5,False,True,
ts_mean,window=500,False,False,invalid accepted
ts_median,window=1,True,True,
ts_median,window=2,True,True,
ts_median,window=5,True,True,
ts_median,window=20,True,True,
ts_median,window=60,True,True,
ts_median,window=120,True,True,
ts_median,window=252,True,True,
ts_median,window=0,False,True,
ts_median,window=-5,False,True,
ts_median,window=500,False,False,invalid accepted
ts_min,window=1,True,True,
ts_min,window=2,True,True,
ts_min,window=5,True,True,
ts_min,window=20,True,True,
ts_min,window=60,True,True,
ts_min,window=120,True,True,
ts_min,window=252,True,True,
ts_min,window=0,False,True,
ts_min,window=-5,False,True,
ts_min,window=500,False,False,invalid accepted
ts_pct,lag=1,True,False,no impl/error
ts_pct,lag=2,True,False,no impl/error
ts_pct,lag=5,True,False,no impl/error
ts_pct,lag=10,True,False,no impl/error
ts_pct,lag=0,False,True,
ts_pct,lag=-1,False,True,
ts_rank,window=1,True,False,oracle mismatch
ts_rank,window=2,True,False,oracle mismatch
ts_rank,window=5,True,False,oracle mismatch
ts_rank,window=20,True,False,oracle mismatch
ts_rank,window=60,True,False,oracle mismatch
ts_rank,window=120,True,False,oracle mismatch
ts_rank,window=252,True,False,oracle mismatch
ts_rank,window=0,False,True,
ts_rank,window=-5,False,True,
ts_rank,window=500,False,False,invalid accepted
ts_std,window=1,True,True,
ts_std,window=2,True,True,
ts_std,window=5,True,True,
ts_std,window=20,True,True,
ts_std,window=60,True,True,
ts_std,window=120,True,True,
ts_std,window=252,True,True,
ts_std,window=0,False,True,
ts_std,window=-5,False,True,
ts_std,window=500,False,False,invalid accepted
ts_sum,window=1,True,True,
ts_sum,window=2,True,True,
ts_sum,window=5,True,True,
ts_sum,window=20,True,True,
ts_sum,window=60,True,True,
ts_sum,window=120,True,True,
ts_sum,window=252,True,True,
ts_sum,window=0,False,True,
ts_sum,window=-5,False,True,
ts_sum,window=500,False,False,invalid accepted
ts_var,window=1,True,True,
ts_var,window=2,True,True,
ts_var,window=5,True,True,
ts_var,window=20,True,True,
ts_var,window=60,True,True,
ts_var,window=120,True,True,
ts_var,window=252,True,True,
ts_var,window=0,False,True,
ts_var,window=-5,False,True,
ts_var,window=500,False,False,invalid accepted
ts_zscore,window=1,True,True,
ts_zscore,window=2,True,True,
ts_zscore,window=5,True,True,
ts_zscore,window=20,True,True,
ts_zscore,window=60,True,True,
ts_zscore,window=120,True,True,
ts_zscore,window=252,True,True,
ts_zscore,window=0,False,True,
ts_zscore,window=-5,False,True,
ts_zscore,window=500,False,False,invalid accepted
