name,formula,value_provenance,formula_known,family,screening,baseline_ic,ic_2026,delta,baseline_ir,ir_2026,n_baseline,n_2026,positive,comparable,stable,return_days_2026,ls_sharpe_2026,ls_mdd_2026
weekly_23629be243c54739,"neg(ts_mean(candle_direction(AdjOpen, AdjClose), 20))",current pipeline artifact,True,,passed,0.02026674244637545,0.024399715908803115,0.004132973462427664,0.21278127110848877,0.15837186090073432,1338,156,True,True,True,150,0.8776483970864059,0.10079579556942485
weekly_5a75b76dcd5d90e8,"neg(ts_sum(subtract(safe_div_null(AdjClose, AdjPreClose), 1.0), 20))",current pipeline artifact,True,,passed,0.036878968801337064,0.029430360519317703,-0.007448608282019362,0.27555810007151627,0.1591734992310416,1338,156,True,True,False,134,0.16448099970909702,0.16265421477407435
weekly_6f27ea3106cc03c0,"neg(ts_max(subtract(safe_div_null(AdjClose, AdjPreClose), 1.0), 20))",current pipeline artifact,True,,passed,0.054897367377512156,0.041665429184788924,-0.013231938192723232,0.46104034876170963,0.21052196573167636,1338,156,True,True,False,144,0.47583284608900833,0.1416826524488921
weekly_5c866fa073382822,"ts_min(subtract(safe_div_null(AdjClose, AdjPreClose), 1.0), 20)",current pipeline artifact,True,,passed,0.034586367978805765,0.028480831163025837,-0.006105536815779928,0.24285927993924708,0.12363290513274526,1338,156,True,True,True,130,-0.29051338725615594,0.1315542641625735
weekly_7632208952b859e5,"neg(ts_rank(subtract(safe_div_null(AdjClose, AdjPreClose), 1.0), 20))",current pipeline artifact,True,,below_gate,0.012539704350939507,-0.0031100105844661763,-0.015649714935405682,0.11891465398798498,-0.02039826885016362,1338,156,False,True,False,124,-1.5315841309833842,0.10131192377988474
weekly_ebbe6c0a0a98384e,"ts_mean(candle_body_ratio(AdjOpen, AdjHigh, AdjLow, AdjClose), 20)",current pipeline artifact,True,,below_gate,-0.003652397496187207,-0.008729963878329187,-0.00507756638214198,-0.05528662236663542,-0.11107205621704368,1338,156,False,False,False,145,-0.7663743733667879,0.050075523091619334
weekly_52e1e67ab375742b,"neg(ts_max(abs(subtract(safe_div_null(AdjClose, AdjPreClose), 1.0)), 20))",current pipeline artifact,True,,passed,0.05123512381535092,0.03846864259598593,-0.012766481219364988,0.3957437275363425,0.1746483621613077,1338,156,True,True,False,130,-1.2166710074625813,0.14646410118032296
weekly_cdbfeed48fe0404e,"neg(rank(power(subtract(safe_div_null(AdjClose, AdjPreClose), 1.0), 2.0)))",current pipeline artifact,True,,passed,0.032256159278467034,0.0345446686202958,0.0022885093418287678,0.3169830598980809,0.23966443396610732,1338,156,True,True,True,132,0.916985438589716,0.0710029247597594
weekly_2d672bb3f5f3fbd7,"neg(ts_decay_linear(subtract(safe_div_null(AdjClose, AdjPreClose), 1.0), 20))",current pipeline artifact,True,,passed,0.03868756904782955,0.01757051957099206,-0.021117049476837492,0.2838136817708725,0.09304069784474316,1338,156,True,True,False,138,-0.07423347443488613,0.14279892841211445
weekly_0476ab492f00a3ef,"ts_quantile(subtract(safe_div_null(AdjClose, AdjPreClose), 1.0), 20, 0.1)",current pipeline artifact,True,,passed,0.03728885018374799,0.027154193070711437,-0.01013465711303655,0.2383582619576423,0.11519827923773324,1338,156,True,True,False,133,-0.007185365318947823,0.14127223933454952
weekly_d56704f420745ef3,"neg(ts_mean(candle_upper_shadow_ratio(AdjOpen, AdjHigh, AdjLow, AdjClose), 20))",current pipeline artifact,True,,passed,0.012593113857355516,0.013843699518759793,0.001250585661404277,0.21510886687064276,0.15990719425538283,1338,156,True,True,True,145,-0.6153214022862147,0.06341332467793859
weekly_7c0bed01180bf79e,"neg(ts_mean(candle_lower_shadow_ratio(AdjOpen, AdjHigh, AdjLow, AdjClose), 20))",current pipeline artifact,True,,below_gate,-0.017032031400596566,-0.02468851962175964,-0.0076564882211630735,-0.2157048062573385,-0.22633442538787288,1338,156,False,False,False,148,-0.15689047622178978,0.08424194180508499
weekly_6f990091f45bfa34,"neg(safe_div(subtract(ts_max(AdjHigh, 20), ts_min(AdjLow, 20)), add(AdjClose, 1e-08)))",current pipeline artifact,True,,passed,0.04390525903740465,0.02481788694524376,-0.019087372092160892,0.2994216926388736,0.10651810621210898,1338,156,True,True,False,128,-1.013626949855235,0.1547103908864609
weekly_c83002810f9e5643,"neg(safe_div(abs(ts_sum(sign(subtract(safe_div_null(AdjClose, AdjPreClose), 1.0)), 20)), 20.0))",current pipeline artifact,True,,below_gate,-0.0005145506207934094,-0.00738515351223568,-0.006870602891442271,-0.00959742507644919,-0.09088503866102045,1338,156,False,False,False,16,,0.018713667098636755
weekly_8c704fa4fac86640,"neg(safe_div(ts_sum(subtract(AdjClose, AdjOpen), 20), add(ts_sum(subtract(AdjHigh, AdjLow), 20), 1e-08)))",current pipeline artifact,True,,passed,0.03542173191123065,0.03694511643284627,0.0015233845216156214,0.3029673105307054,0.20996172965175916,1338,156,True,True,True,144,0.9391244766719462,0.10493362354604244
weekly_39dfc2717803fb78,"safe_div(ts_sum(abs(subtract(AdjClose, AdjOpen)), 20), add(ts_sum(subtract(AdjHigh, AdjLow), 20), 1e-08))",current pipeline artifact,True,,below_gate,-0.005365888374639417,-0.012648277775067817,-0.0072823894004284,-0.07657059895548589,-0.1473698658516236,1338,156,False,False,False,135,-0.7964525786266623,0.06371118081907623
weekly_8a39386168c07abe,"subtract(ts_mean(candle_rejection_lower(AdjOpen, AdjHigh, AdjLow, AdjClose), 20), ts_mean(candle_rejection_upper(AdjOpen, AdjHigh, AdjLow, AdjClose), 20))",current pipeline artifact,True,,passed,0.018177019249045846,0.024919194059951504,0.006742174810905659,0.2565166757612217,0.22919685123367264,1338,156,True,True,True,148,-0.12428300756953738,0.10071623551352483
weekly_91200553548f8dd5,"subtract(ts_mean(candle_lower_shadow_ratio(AdjOpen, AdjHigh, AdjLow, AdjClose), 20), ts_mean(candle_upper_shadow_ratio(AdjOpen, AdjHigh, AdjLow, AdjClose), 20))",current pipeline artifact,True,,passed,0.018177019249045846,0.024919194059951504,0.006742174810905659,0.2565166757612217,0.22919685123367264,1338,156,True,True,True,148,-0.12428300756953738,0.10071623551352483
weekly_b58e10abc3bc445f,neg(rank(col('valuation.market_cap'))),current pipeline artifact,True,,below_gate,0.0127920176650357,0.02058710458685583,0.00779508692182013,0.09100194657714573,0.11612444836724421,1338,155,True,True,True,129,0.47177108994510886,0.11410523100775746
weekly_f05c4e9cbdb2f9c9,neg(rank(col('valuation.pe_ratio'))),current pipeline artifact,True,,below_gate,0.00899441459753419,0.0018526527322416505,-0.007141761865292539,0.10025713132389207,0.020854791359895767,1338,155,True,True,False,153,0.8593724759212547,0.036672312468369564
weekly_905b61a95a57b9c9,neg(rank(col('valuation.pb_ratio'))),current pipeline artifact,True,,passed,0.028286402916643805,0.025652116008539907,-0.002634286908103897,0.2006021275692309,0.12533242626890415,1338,155,True,True,True,136,-1.076935672434194,0.1419056184618613
weekly_f8d14e51d8525a54,neg(rank(col('valuation.turnover_ratio'))),current pipeline artifact,True,,passed,0.05826443384542684,0.04699033211507766,-0.011274101730349179,0.3923709520423581,0.22526738294272206,1338,155,True,True,True,132,0.6362692601945775,0.11907412673400505
weekly_95c0cf4e636d3129,"safe_div(1.0, col('valuation.pe_ratio'))",current pipeline artifact,True,,passed,0.019123840898582798,0.015994087311581088,-0.00312975358700171,0.18946822014920212,0.10796932882914922,1338,155,True,True,True,129,-0.26757818349742035,0.06339417914773463
weekly_4e908d0894c71075,"safe_div(1.0, col('valuation.pb_ratio'))",current pipeline artifact,True,,passed,0.02971500322285121,0.02563205096131325,-0.004082952261537959,0.21678034779591215,0.12701616243076233,1338,155,True,True,True,135,-1.22437292642616,0.13950927446330982
weekly_3b228c7aa6d8f44f,neg(rank(col('valuation.a_cap'))),current pipeline artifact,True,,below_gate,-0.005477080272341879,0.00493049016333979,0.01040757043568167,-0.039709451479977946,0.029685459897693934,1338,155,True,False,False,153,0.6875509283651359,0.10849214755104813
weekly_072f91d9a08abe49,neg(rank(col('valuation.free_cap'))),current pipeline artifact,True,,below_gate,-0.0065168487717297404,0.005231271214295531,0.011748119986025271,-0.05006068007518652,0.03627586441179562,1338,155,True,False,False,153,1.3125706780730697,0.06833873328464576
weekly_e477657aa3c989a1,neg(rank(col('valuation.a_market_cap'))),current pipeline artifact,True,,passed,0.012929141695453148,0.020748036523181294,0.007818894827728146,0.09199546123869604,0.11683004823490953,1338,155,True,True,True,129,0.4529757786481627,0.11520224377436178
weekly_44735edcd6cc5087,neg(rank(col('valuation.ps_ratio'))),current pipeline artifact,True,,passed,0.01943594193487788,0.016934394712152023,-0.0025015472227258584,0.1679767048327574,0.09695782189265044,1338,155,True,True,True,138,-1.2557241083220745,0.15226499097819604
weekly_9a2e9b394d270add,neg(neg(rank(col('valuation.pcf_ratio')))),current pipeline artifact,True,,below_gate,-0.0007639526261713399,0.0005044019596490649,0.0012683545858204047,-0.0237480021150106,0.023798267270737215,1338,155,True,False,False,153,0.5181183983778488,0.01406106988474305
weekly_b44eeaf89cb2e4e8,neg(rank(col('valuation.capitalization'))),current pipeline artifact,True,,below_gate,-0.005502555547034879,0.004765049088931515,0.010267604635966394,-0.0397096346687527,0.0285598067767399,1338,155,True,False,False,153,0.6844260535411623,0.10834853215913982
weekly_ad7f61f39db033ec,neg(rank(col('valuation.circulating_cap'))),current pipeline artifact,True,,below_gate,-0.00877565032344061,0.003809230323745732,0.012584880647186342,-0.061882192794096104,0.023005284713342677,1338,155,True,False,False,155,0.3347417628979683,0.11312388237537738
weekly_c4241b231ee554e4,neg(rank(col('valuation.free_market_cap'))),current pipeline artifact,True,,below_gate,0.00854040746496609,0.021219697425379623,0.012679289960413533,0.06549187746797334,0.12692386577533168,1338,155,True,True,True,129,0.552391201362238,0.1036358195544741
weekly_3d3f533553c3aecf,neg(rank(col('valuation.pe_ratio_lyr'))),current pipeline artifact,True,,below_gate,0.01122397833259636,0.0058454649029194405,-0.005378513429676919,0.12182918052243548,0.06760849423729079,1338,155,True,True,False,155,2.0651286906200355,0.029548720371929516
weekly_f5c73e4b629db015,"safe_div(1.0, col('valuation.ps_ratio'))",current pipeline artifact,True,,passed,0.019675692802181267,0.017023998492682966,-0.0026516943094983016,0.17056487513241644,0.09748769946001196,1338,155,True,True,True,138,-1.2633662184042964,0.15195019822643072
weekly_051dcc55b3919c26,"safe_div(1.0, col('valuation.pcf_ratio'))",current pipeline artifact,True,,below_gate,0.001753100547504174,0.0017050070307618708,-4.8093516742303164e-05,0.046855809973757157,0.05403905327438048,1338,155,True,False,False,130,0.5194820741427777,0.019639756418462995
weekly_e2dae784dd3a2673,"neg(safe_div(col('Volume'), col('valuation.free_cap')))",current pipeline artifact,True,,passed,0.06107521821172413,0.0516671318041933,-0.009408086407530832,0.4373991021626276,0.25388394811303305,1338,155,True,True,True,131,0.4152874500262775,0.11372026554360175
weekly_274fb1b034e411ae,rank(col('__fe_source_ref_v1__eyJkaWFsZWN0IjoibHF0cCIsImRpYWxlY3RfdmVyc2lvbiI6IjIwMjYtMDctMTkiLCJmaWVsZCI6IkVwcyIsInBhcmFtcyI6e30sInNjaGVtYV92ZXJzaW9uIjoiMSIsInRhYmxlIjoiU3RvY2tJbmRpY2F0b3IiLCJ0cmFuc2Zvcm0iOm51bGwsInRyYW5zZm9ybV9wYXJhbXMiOnt9fQ')),current pipeline artifact,True,,below_gate,0.00810407351067458,0.01071356112433341,0.0026094876136588292,0.07293498726673435,0.08976640983661655,1338,156,True,True,True,146,0.8890125042035298,0.044726303026191155
