canonical,param_names,param_types,param_defaults,return_type
ADX,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
ATR_WILDER,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
CMF,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
CMO,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
ChaikinOscillator,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
DEMA,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
DMI_minus,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
DMI_plus,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
DX,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
EaseOfMovement,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
ForceIndex,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
KAMA,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
KeltnerLower,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
KeltnerMid,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
KeltnerPosition,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
KeltnerUpper,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
MACD_hist,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
MACD_line,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
MACD_signal,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
MFI,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
NATR,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
PPO,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
PPO_hist,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
PPO_signal,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
PSAR,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
PVO,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
PVO_hist,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
PVO_signal,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
RSI_WILDER,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
Supertrend,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
SupertrendDirection,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
TEMA,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
TSI,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
TSI_signal,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
UltimateOscillator,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
VortexMinus,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
VortexPlus,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
a_share_cap_ratio,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
abnormal_turnover,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
abnormal_volume,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
abs,param_count_1,UNAVAILABLE,UNAVAILABLE,Factor[float64]
abs_return_volume_corr,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
acos,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
add,param_count_1,UNAVAILABLE,UNAVAILABLE,Factor[float64]
adv,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
altman_z_score,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
amihud_illiquidity,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
and_,param_count_1,UNAVAILABLE,UNAVAILABLE,Factor[float64]
ashare_days_since_limit_down,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
ashare_days_since_limit_up,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
ashare_failed_limit_count,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
ashare_limit_asymmetry,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
ashare_limit_distance,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
ashare_limit_down_streak,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
ashare_limit_down_touch,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
ashare_limit_down_volume_ratio,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
ashare_limit_event_density,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
ashare_limit_failed,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
ashare_limit_one_price,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
ashare_limit_open_down_streak,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
ashare_limit_open_failed,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
ashare_limit_open_up_streak,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
ashare_limit_touch_count,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
ashare_limit_up_streak,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
ashare_limit_up_touch,param_count_0,UNAVAILABLE,UNAVAILABLE,Factor[float64]
