canonical,category,surface,pandas_backend,polars_backend,duckdb_backend,pit_safe,checkpointable,parameter_evidence,certification_level,audit_round
ADX,factor,daily,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,COLDSTART_CERTIFIED,R1-R47
ATR_WILDER,factor,daily,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,COLDSTART_CERTIFIED,R1-R47
CMF,factor,daily,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,COLDSTART_CERTIFIED,R1-R47
CMO,factor,daily,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,COLDSTART_CERTIFIED,R1-R47
ChaikinOscillator,factor,daily,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,COLDSTART_CERTIFIED,R1-R47
DEMA,factor,daily,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,COLDSTART_CERTIFIED,R1-R47
DMI_minus,factor,daily,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,COLDSTART_CERTIFIED,R1-R47
DMI_plus,factor,daily,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,COLDSTART_CERTIFIED,R1-R47
DX,factor,daily,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,COLDSTART_CERTIFIED,R1-R47
EaseOfMovement,factor,daily,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,COLDSTART_CERTIFIED,R1-R47
ForceIndex,factor,daily,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,COLDSTART_CERTIFIED,R1-R47
KAMA,factor,daily,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,COLDSTART_CERTIFIED,R1-R47
KeltnerLower,factor,daily,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,COLDSTART_CERTIFIED,R1-R47
KeltnerMid,factor,daily,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,COLDSTART_CERTIFIED,R1-R47
KeltnerPosition,factor,daily,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,COLDSTART_CERTIFIED,R1-R47
KeltnerUpper,factor,daily,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,COLDSTART_CERTIFIED,R1-R47
MACD_hist,factor,daily,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,COLDSTART_CERTIFIED,R1-R47
MACD_line,factor,daily,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,COLDSTART_CERTIFIED,R1-R47
MACD_signal,factor,daily,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,COLDSTART_CERTIFIED,R1-R47
MFI,factor,daily,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,COLDSTART_CERTIFIED,R1-R47
NATR,factor,daily,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,COLDSTART_CERTIFIED,R1-R47
PPO,factor,daily,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,COLDSTART_CERTIFIED,R1-R47
PPO_hist,factor,daily,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,COLDSTART_CERTIFIED,R1-R47
PPO_signal,factor,daily,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,COLDSTART_CERTIFIED,R1-R47
PSAR,factor,daily,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,COLDSTART_CERTIFIED,R1-R47
PVO,factor,daily,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,COLDSTART_CERTIFIED,R1-R47
PVO_hist,factor,daily,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,COLDSTART_CERTIFIED,R1-R47
PVO_signal,factor,daily,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,COLDSTART_CERTIFIED,R1-R47
RSI_WILDER,factor,daily,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,COLDSTART_CERTIFIED,R1-R47
Supertrend,factor,daily,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,COLDSTART_CERTIFIED,R1-R47
SupertrendDirection,factor,daily,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,COLDSTART_CERTIFIED,R1-R47
TEMA,factor,daily,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,COLDSTART_CERTIFIED,R1-R47
TSI,factor,daily,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,COLDSTART_CERTIFIED,R1-R47
TSI_signal,factor,daily,FALSE,FALSE,FALSE,TRUE,FALSE,NONE,COLDSTART_CERTIFIED,R1-R47
