# Operator Master List Gap Analysis - HEAD: 854bdc2278678e3db03c894c059cd5fdbb7dac1b
# Generated: 2026-08-12
# Total candidates: 245
# ARCHITECTURE_SUPERSEDED: 1
# BLOCKED_DATA_CONTRACT: 2
# EXISTING_ALIAS: 6
# EXISTING_EQUIVALENT: 1
# EXISTING_EXACT: 6
# PROD_RECERTIFY: 22
# RESEARCH_ONLY: 34
# TRUE_GAP_IMPLEMENT: 173

candidate,source_round,current_exact,current_alias,semantic_equivalent,composable,replacement,current_surface,pandas_backend,polars_backend,duckdb_backend,field_legal,pit_legal,stateful,checkpointable,parameter_evidence,disposition,reason
ALMA,R41,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
CoppockCurve,R41,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
ElderRay,R41,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
FisherTransform,R41,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
HMA,R41,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
KAMA,R41,KAMA,,,,,extended,,,,,,,,,EXISTING_EXACT,Found in extended surface
QQE,R41,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
RSX,R41,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
WMA,R41,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
accounting_comparability_score,FISCAL_RELATION,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
cash_flow_lifecycle_stage,FISCAL_RELATION,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
cn_sma,R41,,ts_sma_cn,,,,extended,,,,,,,,,EXISTING_ALIAS,Alias for ts_sma_cn (extended)
cs_empirical_bayes_shrinkage,FILTER_STATE,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
cs_factor_bucket_return,R41,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
cs_isolation_forest_score,R41,,,,,,,,,,,,,,,RESEARCH_ONLY,"Complex ML/topological method, research surface first"
cs_peer_graph_smooth,FILTER_STATE,,,,,,,,,,,,,,,RESEARCH_ONLY,"Complex ML/topological method, research surface first"
cs_predictability_mosaic_score,R47,,,,,,,,,,,,,,,RESEARCH_ONLY,"Complex ML/topological method, research surface first"
cs_robust_mahalanobis_score,PRIMITIVES,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
cs_shrink_to_group_mean,FILTER_STATE,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
cs_shrink_to_market_mean,FILTER_STATE,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
cs_topological_anomaly_score,R42,,,,,,,,,,,,,,,RESEARCH_ONLY,"Complex ML/topological method, research surface first"
date_diff_days,FISCAL_RELATION,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
event_window_return_asof,R41,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
fin_schema_gate,R47,,,,,,,,,,,,,,,BLOCKED_DATA_CONTRACT,Missing schema validation infrastructure
fin_seasonal_percentile,FISCAL_RELATION,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
fin_seasonal_zscore,FISCAL_RELATION,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
financial_snapshot_lag,R41,,fin_lag,,,,extended,,,,,,,,,EXISTING_ALIAS,Alias for fin_lag (extended)
fiscal_acceleration,R41,,,fin_growth_acceleration,,,extended,,,,,,,,,EXISTING_EQUIVALENT,Semantic equivalent: fin_growth_acceleration (extended)
fiscal_accrual_quality,FISCAL_RELATION,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
fiscal_ar_resid_std,FISCAL_RELATION,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
fiscal_asymmetric_elasticity,FISCAL_RELATION,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
fiscal_asymmetric_timeliness,FISCAL_RELATION,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
fiscal_autocorr,FISCAL_RELATION,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
fiscal_capital_stock,R41,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
fiscal_cost_stickiness_score,R44,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
fiscal_delta,R41,,fin_diff,,,,extended,,,,,,,,,EXISTING_ALIAS,Alias for fin_diff (extended)
fiscal_direction_consistency,FISCAL_RELATION,,,,,,,,,,,,,,,TRUE_GAP_IMPLEMENT,"Not found in current implementation, needs development"
fiscal_lag,R41,,fin_lag,,,,extended,,,,,,,,,EXISTING_ALIAS,Alias for fin_lag (extended)
