canonical,surface,pandas_available,polars_available,duckdb_available,pandas_certified,polars_certified,duckdb_certified
ADX,daily,False,False,False,False,False,False
ALMA,extended,False,False,False,False,False,False
ATR_WILDER,daily,False,False,False,False,False,False
CMF,daily,False,False,False,False,False,False
CMO,daily,False,False,False,False,False,False
ChaikinOscillator,daily,False,False,False,False,False,False
CoppockCurve,extended,False,False,False,False,False,False
DEMA,daily,False,False,False,False,False,False
DMI_minus,daily,False,False,False,False,False,False
DMI_plus,daily,False,False,False,False,False,False
DX,daily,False,False,False,False,False,False
EaseOfMovement,daily,False,False,False,False,False,False
ElderRay,extended,False,False,False,False,False,False
FisherTransform,extended,False,False,False,False,False,False
ForceIndex,daily,False,False,False,False,False,False
HMA,extended,False,False,False,False,False,False
KAMA,daily,False,False,False,False,False,False
KeltnerLower,daily,False,False,False,False,False,False
KeltnerMid,daily,False,False,False,False,False,False
KeltnerPosition,daily,False,False,False,False,False,False
KeltnerUpper,daily,False,False,False,False,False,False
MACD_hist,daily,False,False,False,False,False,False
MACD_line,daily,False,False,False,False,False,False
MACD_signal,daily,False,False,False,False,False,False
MFI,daily,False,False,False,False,False,False
NATR,daily,False,False,False,False,False,False
PPO,daily,False,False,False,False,False,False
PPO_hist,daily,False,False,False,False,False,False
PPO_signal,daily,False,False,False,False,False,False
PSAR,daily,False,False,False,False,False,False
PVO,daily,False,False,False,False,False,False
PVO_hist,daily,False,False,False,False,False,False
PVO_signal,daily,False,False,False,False,False,False
QQE,extended,False,False,False,False,False,False
RSI_WILDER,daily,False,False,False,False,False,False
RSX,extended,False,False,False,False,False,False
Supertrend,daily,False,False,False,False,False,False
SupertrendDirection,daily,False,False,False,False,False,False
TEMA,daily,False,False,False,False,False,False
TSI,daily,False,False,False,False,False,False
TSI_signal,daily,False,False,False,False,False,False
UltimateOscillator,daily,False,False,False,False,False,False
VortexMinus,daily,False,False,False,False,False,False
VortexPlus,daily,False,False,False,False,False,False
WMA,extended,False,False,False,False,False,False
a_share_cap_ratio,daily,False,False,False,False,False,False
abnormal_turnover,daily,False,False,False,False,False,False
abnormal_volume,daily,False,False,False,False,False,False
abs,daily,True,True,True,True,True,True
abs_return_volume_corr,daily,False,False,False,False,False,False
accounting_comparability_score,extended,False,False,False,False,False,False
acos,daily,False,False,False,False,False,False
acos_bounded,extended,False,False,False,False,False,False
add,daily,True,True,True,True,True,True
adv,daily,False,False,False,False,False,False
altman_z_score,daily,False,False,False,False,False,False
amihud_illiquidity,daily,False,False,False,False,False,False
and_,daily,True,True,True,True,True,True
arg,unsafe,False,False,False,False,False,False
ashare_days_since_limit_down,daily,False,False,False,False,False,False
ashare_days_since_limit_up,daily,False,False,False,False,False,False
ashare_failed_limit_count,daily,False,False,False,False,False,False
ashare_limit_asymmetry,daily,False,False,False,False,False,False
ashare_limit_distance,daily,False,False,False,False,False,False
ashare_limit_down_streak,daily,False,False,False,False,False,False
ashare_limit_down_touch,daily,False,False,False,False,False,False
ashare_limit_down_volume_ratio,daily,False,False,False,False,False,False
ashare_limit_event_density,daily,False,False,False,False,False,False
ashare_limit_failed,daily,False,False,False,False,False,False
ashare_limit_one_price,daily,False,False,False,False,False,False
ashare_limit_open_down_streak,daily,False,False,False,False,False,False
ashare_limit_open_failed,daily,False,False,False,False,False,False
ashare_limit_open_up_streak,daily,False,False,False,False,False,False
ashare_limit_touch_count,daily,False,False,False,False,False,False
ashare_limit_up_streak,daily,False,False,False,False,False,False
ashare_limit_up_touch,daily,False,False,False,False,False,False
ashare_limit_up_volume_ratio,daily,False,False,False,False,False,False
ashare_one_price_limit_streak,daily,False,False,False,False,False,False
ashare_open_at_upper_limit,daily,False,False,False,False,False,False
ashare_suspension_episode_length,daily,False,False,False,False,False,False
asin,daily,False,False,False,False,False,False
asin_bounded,extended,False,False,False,False,False,False
atan,daily,False,False,False,False,False,False
atan2,daily,False,False,False,False,False,False
average_turnover,daily,False,False,False,False,False,False
benchmark_excess_return,daily,False,False,False,False,False,False
benchmark_relative_price,daily,False,False,False,False,False,False
bollinger_pct_b,daily,False,False,False,False,False,False
bollinger_width,daily,False,False,False,False,False,False
book_to_price,daily,False,False,False,False,False,False
bounded_nvi,daily,False,False,False,False,False,False
