canonical,surface,has_evidence
ADX,daily,True
ALMA,extended,False
ATR_WILDER,daily,True
CMF,daily,True
CMO,daily,True
ChaikinOscillator,daily,True
CoppockCurve,extended,False
DEMA,daily,True
DMI_minus,daily,True
DMI_plus,daily,True
DX,daily,True
EaseOfMovement,daily,True
ElderRay,extended,False
FisherTransform,extended,False
ForceIndex,daily,True
HMA,extended,False
KAMA,daily,True
KeltnerLower,daily,True
KeltnerMid,daily,True
KeltnerPosition,daily,True
KeltnerUpper,daily,True
MACD_hist,daily,True
MACD_line,daily,True
MACD_signal,daily,True
MFI,daily,True
NATR,daily,True
PPO,daily,True
PPO_hist,daily,True
PPO_signal,daily,True
PSAR,daily,True
PVO,daily,True
PVO_hist,daily,True
PVO_signal,daily,True
QQE,extended,False
RSI_WILDER,daily,True
RSX,extended,False
Supertrend,daily,True
SupertrendDirection,daily,True
TEMA,daily,True
TSI,daily,True
TSI_signal,daily,True
UltimateOscillator,daily,True
VortexMinus,daily,True
VortexPlus,daily,True
WMA,extended,False
a_share_cap_ratio,daily,True
abnormal_turnover,daily,True
abnormal_volume,daily,True
abs,daily,True
abs_return_volume_corr,daily,True
accounting_comparability_score,extended,False
acos,daily,True
acos_bounded,extended,True
add,daily,True
adv,daily,True
altman_z_score,daily,True
amihud_illiquidity,daily,True
and_,daily,True
arg,unsafe,False
ashare_days_since_limit_down,daily,True
ashare_days_since_limit_up,daily,True
ashare_failed_limit_count,daily,True
ashare_limit_asymmetry,daily,True
ashare_limit_distance,daily,True
ashare_limit_down_streak,daily,True
ashare_limit_down_touch,daily,True
ashare_limit_down_volume_ratio,daily,True
ashare_limit_event_density,daily,True
ashare_limit_failed,daily,True
ashare_limit_one_price,daily,True
ashare_limit_open_down_streak,daily,True
ashare_limit_open_failed,daily,True
ashare_limit_open_up_streak,daily,True
ashare_limit_touch_count,daily,True
ashare_limit_up_streak,daily,True
ashare_limit_up_touch,daily,True
ashare_limit_up_volume_ratio,daily,True
ashare_one_price_limit_streak,daily,True
ashare_open_at_upper_limit,daily,True
ashare_suspension_episode_length,daily,True
asin,daily,True
asin_bounded,extended,True
atan,daily,True
atan2,daily,True
average_turnover,daily,True
benchmark_excess_return,daily,True
benchmark_relative_price,daily,True
bollinger_pct_b,daily,True
bollinger_width,daily,True
book_to_price,daily,True
bounded_nvi,daily,True
bounded_pvi,daily,True
calendar_day_diff,daily,True
candle_abs_body,daily,True
candle_body,daily,True
candle_body_percentile,daily,True
candle_body_position,daily,True
candle_body_ratio,daily,True
candle_body_zscore,daily,True
candle_close_location,daily,True
candle_close_strength,daily,True
candle_direction,daily,True
candle_gap,daily,True
candle_gap_atr,daily,True
candle_gap_pct,daily,True
candle_inside_ratio,daily,True
candle_lower_shadow,daily,True
candle_lower_shadow_ratio,daily,True
candle_lower_shadow_zscore,daily,True
candle_overlap_ratio,daily,True
candle_range,daily,True
candle_range_atr,daily,True
candle_range_percentile,daily,True
candle_range_zscore,daily,True
candle_rejection_lower,daily,True
candle_rejection_upper,daily,True
candle_upper_shadow,daily,True
candle_upper_shadow_ratio,daily,True
candle_upper_shadow_zscore,daily,True
candlestick_pattern,daily,True
capital_change_age,daily,True
capital_change_magnitude,daily,True
cash_flow_lifecycle_stage,daily,True
cbrt,daily,True
cdl_dark_cloud_cover,daily,True
cdl_doji,daily,True
cdl_dragonfly_doji,daily,True
cdl_engulfing,daily,True
cdl_evening_star,daily,True
cdl_gravestone_doji,daily,True
