factor_id,name,sign,rank_ic_vwap_2024_2026,abs_rank_ic_vwap_2024_2026,formula,zoo_instance,zoo_hash,admitted_at,formula_ok
alpha_20260702_0430ef8f,Basic_VWAP_Deviation,long,0.3797704589684442,0.3797704589684442,(close - vwap) / (vwap + 0.001),evoalpha_ashare_v1,0430ef8f297c1864,2026-07-01T19:54:35.228100+00:00,True
alpha_20260701_ef61652c,Alpha158_KSFT,long,0.3604250078161817,0.3604250078161817,(2 * close - high - low) / (open + 0.001),evoalpha_ashare_v2,ef61652cfe04c67d,2026-07-01T15:45:31.716827+00:00,True
alpha_20260702_f2894764,GTJA191_M001,short,-0.32049218380267575,0.32049218380267575,"(0 - 1) * ts_delta(((close - low) - (high - close)) / (high - low + 0.001), 1)",evoalpha_ashare_v1,f289476438519760,2026-07-01T23:47:34.807394+00:00,True
alpha_20260701_a7140261,Basic_Close_High_Ratio,long,0.30208035277069545,0.30208035277069545,close / (high + 0.001),evoalpha_ashare_v1,a71402619c437c18,2026-07-01T14:01:20.937969+00:00,True
alpha_20260702_8208451c,Alpha158_HIGH0,short,-0.301538197488944,0.301538197488944,high / (close + 0.001),evoalpha_ashare_v4,8208451c89662862,2026-07-02T06:32:25.525727+00:00,True
alpha_20260702_404fdf07,Alpha101_042_mut,short,-0.29910382175950306,0.29910382175950306,"rank(ts_delta(vwap, 5)) / (rank(ts_delta(close, 5)) + 0.001)",evoalpha_ashare_v1,404fdf07e6d67197,2026-07-01T22:09:40.821304+00:00,True
alpha_20260702_ce911093,Alpha101_083,short,-0.27579092811914013,0.27579092811914013,"((rank(delay(((high - low) / (ts_sum(close, 5) / 5)), 2)) * rank(rank(volume))) / (((high -low) / (ts_sum(close, 5) / 5)) / (vwap - close)))",evoalpha_ashare_v2,ce9110935e3d980a,2026-07-02T10:56:36.119430+00:00,True
alpha_20260702_153d5b20,Alpha101_033,short,-0.26663269457478417,0.26663269457478417,rank((0 - 1) + open / (close + 0.001)),evoalpha_ashare_v3,153d5b201a0670a8,2026-07-02T01:59:55.444571+00:00,True
alpha_20260702_2e48ae98,Basic_Intraday_Return,long,0.2666002874498402,0.2666002874498402,(close - open) / (open + 0.001),evoalpha_ashare_v1,2e48ae98a82b735e,2026-07-01T17:40:01.383914+00:00,True
alpha_20260702_970118c9,Alpha101_101,long,0.24072022947953614,0.24072022947953614,(close - open) / ((high - low) + 0.001),evoalpha_ashare_v2,970118c9b33acb45,2026-07-01T19:57:08.724746+00:00,True
alpha_20260701_61d3d4de,Alpha158_LOW0,short,-0.2335275027690186,0.2335275027690186,low / (close + 0.001),evoalpha_ashare_v2,61d3d4de5a2d591b,2026-07-01T14:03:14.243014+00:00,True
alpha_20260701_33dd6c39,Volatility_Close_Low_Reversal,short,-0.2333916680590396,0.2333916680590396,"rank((0 - 1) * ts_delta(close / (low + 0.001), 5))",evoalpha_ashare_v2,33dd6c397ba37bf2,2026-07-01T14:07:25.461967+00:00,True
alpha_20260703_c6169b2e,Basic_Close_Low_Ratio,long,0.23339166771830339,0.23339166771830339,close / (low + 0.001),evoalpha_ashare_v1,c6169b2e0ec53d49,2026-07-02T21:30:09.982219+00:00,True
alpha_20260701_1be3b8c3,Alpha101_005,short,-0.21691150913207408,0.21691150913207408,"(rank((open - (ts_sum(vwap, 10) / 10))) * ((0 - 1) * abs(rank((close - vwap)))))",evoalpha_ashare_v1,1be3b8c3ba7807ae,2026-07-01T15:42:40.109226+00:00,True
alpha_20260702_2ecf7333,Alpha101_005,short,-0.20514184782291708,0.20514184782291708,"rank(open - ts_mean(vwap, 10)) * ((0 - 1) * abs(rank(close - vwap)))",evoalpha_ashare_v3,2ecf73330a3fc7f8,2026-07-02T01:59:19.231848+00:00,True
alpha_20260702_103250fe,Alpha101_042,short,-0.19060640774173082,0.19060640774173082,rank(vwap - close) / (rank(vwap + close) + 0.001),evoalpha_ashare_v1,103250fe7ff0a529,2026-07-01T21:53:45.261524+00:00,True
alpha_20260702_98dfa36c,Alpha101_042,short,-0.19023684022246928,0.19023684022246928,rank((vwap - close)) / rank((vwap + close)),evoalpha_ashare_v4,98dfa36c0f56874e,2026-07-01T17:41:31.499626+00:00,True
alpha_20260702_581774bc,Alpha158_LOW1,short,-0.18837692330501593,0.18837692330501593,"delay(low, 1) / (close + 0.001)",evoalpha_ashare_v3,581774bcbd2049f1,2026-07-01T22:14:21.924019+00:00,True
alpha_20260702_5208ebef,Alpha101_047,short,-0.17888862262274333,0.17888862262274333,"((((rank((1 / close)) * volume) / ts_mean(volume, 20)) * ((high * rank((high - close))) / (ts_mean(high, 5) /5))) - rank((vwap - delay(vwap, 5))))",evoalpha_ashare_v1,5208ebef622dfc80,2026-07-02T09:00:04.857512+00:00,True
alpha_20260702_45d2ecdb,Alpha101_002_mut,long,0.1747762683464782,0.1747762683464782,"rank(ts_delta(log(volume), 2)) * rank(ts_delta((close - open) / (open + 0.001), 6))",evoalpha_ashare_v2,45d2ecdbe17b17b4,2026-07-01T18:14:45.407437+00:00,True
alpha_20260701_673406ba,Alpha101_018,short,-0.17425043236854496,0.17425043236854496,"(0 - 1) * (rank((ts_std(abs((close - open)), 5) + (close - open)) + df))",evoalpha_ashare_v3,673406ba48353acc,2026-07-01T14:06:02.122388+00:00,True
alpha_20260701_8d5eed0f,Alpha101_035,short,-0.1727494191281669,0.1727494191281669,"(ts_rank(volume, 32) * (1 - ts_rank(((close + high) - low), 16))) * (1 - ts_rank(returns, 32))",evoalpha_ashare_v1,8d5eed0fa1ab87b7,2026-07-01T14:01:19.505895+00:00,True
alpha_20260702_2cf514b1,Alpha101_035,short,-0.1727494191281669,0.1727494191281669,"((ts_rank(volume, 32) * (1 - ts_rank(close + high - low, 16))) * (1 - ts_rank(returns, 32)))",evoalpha_ashare_v1,2cf514b169574a2a,2026-07-01T23:49:24.445826+00:00,True
alpha_20260703_454725cc,Alpha158_OPEN1,short,-0.16924017030847846,0.16924017030847846,"delay(open, 1) / (close + 0.001)",evoalpha_ashare_v1,454725ccd0584c7d,2026-07-03T01:04:27.773811+00:00,True
alpha_20260702_1f8103b7,Alpha101_018,short,-0.16470148133708065,0.16470148133708065,"(0 - 1) * rank(((ts_std(abs((close - open)), 5) + (close - open)) + ts_corr(close, open, 10)))",evoalpha_ashare_v1,1f8103b7507b3e9e,2026-07-01T21:54:36.865704+00:00,True
alpha_20260702_f50c69da,Alpha101_018,short,-0.16470148133708065,0.16470148133708065,"(0 - 1) * rank(ts_std(abs(close - open), 5) + (close - open) + ts_corr(close, open, 10))",evoalpha_ashare_v2,f50c69dae079e7c9,2026-07-02T01:58:12.863649+00:00,True
alpha_20260702_f5ec2528,Alpha158_LOW0_v2,short,-0.15600054069125113,0.15600054069125113,"ts_rank(ts_delta(low, 5), 10) / (ts_rank(ts_delta(close, 5), 10) + 0.001)",evoalpha_ashare_v4,f5ec2528f5d4ec2c,2026-07-01T17:52:05.933583+00:00,True
alpha_20260702_21fb502a,GTJA191_M003,long,0.14921601530619974,0.14921601530619974,"(close - ts_mean(close, 6)) / (ts_mean(close, 6) + 0.001)",evoalpha_ashare_v2,21fb502abf4a7e5b,2026-07-01T17:47:31.175748+00:00,True
