date,strategy_nav,benchmark_nav,excess_nav,strategy_ret,benchmark_ret,excess_ret
2020-01-23,1.00000000,0.99007297,1.01002656,,,
2020-02-03,0.90415278,0.89471746,1.01054558,-0.09584722,-0.09631160,0.00046437
2020-02-04,0.92164593,0.90328345,1.02032858,0.01934756,0.00957396,0.00977360
2020-02-05,0.95305636,0.93296625,1.02153358,0.03408080,0.03286100,0.00121980
2020-02-06,0.95380969,0.94378042,1.01062670,0.00079044,0.01159117,-0.01080072
2020-02-07,0.96129570,0.95646169,1.00505405,0.00784853,0.01343667,-0.00558815
2020-02-10,0.97402446,0.96936814,1.00480346,0.01324126,0.01349396,-0.00025270
2020-02-11,0.99361265,0.97991062,1.01398293,0.02011057,0.01087562,0.00923495
2020-02-12,1.00523628,0.99058154,1.01479408,0.01169835,0.01088968,0.00080867
2020-02-13,1.02046890,1.00216661,1.01826272,0.01515327,0.01169522,0.00345805
2020-02-14,1.01344264,1.00523730,1.00816259,-0.00688532,0.00306405,-0.00994937
2020-02-17,1.02832227,1.02337174,1.00483747,0.01468226,0.01803996,-0.00335770
2020-02-18,1.04933407,1.03938061,1.00957633,0.02043309,0.01564326,0.00478982
2020-02-19,1.06243168,1.04403409,1.01762164,0.01248183,0.00447717,0.00800467
2020-02-20,1.06785520,1.04735989,1.01956855,0.00510482,0.00318552,0.00191930
2020-02-21,1.08725175,1.06933079,1.01675904,0.01816402,0.02097741,-0.00281339
2020-02-24,1.09639742,1.07567276,1.01926670,0.00841174,0.00593079,0.00248095
2020-02-25,1.09203753,1.07267616,1.01804959,-0.00397656,-0.00278579,-0.00119077
2020-02-26,1.08679057,1.07251554,1.01330986,-0.00480474,-0.00014974,-0.00465500
2020-02-27,1.08379778,1.06003565,1.02241635,-0.00275379,-0.01163610,0.00888231
2020-02-28,1.04414368,1.01879938,1.02487663,-0.03658810,-0.03890083,0.00231273
2020-03-02,1.04783182,1.03074164,1.01658047,0.00353222,0.01172189,-0.00818968
2020-03-03,1.07588684,1.05807742,1.01683187,0.02677435,0.02652050,0.00025385
2020-03-04,1.05043669,1.04221719,1.00788655,-0.02365504,-0.01498967,-0.00866538
2020-03-05,1.05083757,1.05893339,0.99235474,0.00038164,0.01603907,-0.01565744
2020-03-06,1.04527653,1.05357801,0.99212068,-0.00529201,-0.00505734,-0.00023467
2020-03-09,0.99541504,1.01633665,0.97941468,-0.04770173,-0.03534751,-0.01235422
2020-03-10,0.98524695,1.01365511,0.97197453,-0.01021492,-0.00263843,-0.00757649
2020-03-11,1.00513567,1.02940473,0.97642418,0.02018653,0.01553745,0.00464908
2020-03-12,0.96380257,0.99537455,0.96828131,-0.04112191,-0.03305811,-0.00806379
2020-03-13,0.93445404,0.97145888,0.96190797,-0.03045077,-0.02402680,-0.00642397
2020-03-16,0.92469851,0.96480878,0.95842672,-0.01043982,-0.00684548,-0.00359434
2020-03-17,0.89305768,0.93377885,0.95639099,-0.03421745,-0.03216173,-0.00205572
2020-03-18,0.91350896,0.94566889,0.96599241,0.02290029,0.01273324,0.01016705
2020-03-19,0.88939049,0.91716149,0.96972071,-0.02640201,-0.03014522,0.00374321
2020-03-20,0.90446216,0.93027571,0.97225172,0.01694606,0.01429870,0.00264736
2020-03-23,0.86793626,0.89951277,0.96489599,-0.04038411,-0.03306863,-0.00731548
2020-03-24,0.86556531,0.90195647,0.95965309,-0.00273171,0.00271670,-0.00544840
2020-03-25,0.90383631,0.93337285,0.96835505,0.04421503,0.03483137,0.00938366
2020-03-26,0.90035612,0.92896645,0.96920198,-0.00385046,-0.00472094,0.00087048
2020-03-27,0.89764107,0.92886233,0.96638763,-0.00301553,-0.00011208,-0.00290345
2020-03-30,0.85963066,0.89974223,0.95541881,-0.04234477,-0.03135028,-0.01099449
2020-03-31,0.87223579,0.90888130,0.95968065,0.01466343,0.01015743,0.00450600
2020-04-01,0.88002234,0.91295392,0.96392853,0.00892711,0.00448092,0.00444619
2020-04-02,0.89178214,0.91647908,0.97305237,0.01336308,0.00386126,0.00950182
2020-04-03,0.90314239,0.92549866,0.97584408,0.01273881,0.00984156,0.00289725
2020-04-07,0.92395102,0.94497218,0.97775473,0.02304026,0.02104111,0.00199915
2020-04-08,0.92322300,0.94784550,0.97402266,-0.00078795,0.00304064,-0.00382859
2020-04-09,0.92101723,0.95243086,0.96701742,-0.00238920,0.00483767,-0.00722686
2020-04-10,0.90247680,0.94141399,0.95863968,-0.02013038,-0.01156711,-0.00856327
2020-04-13,0.87121766,0.92320718,0.94368597,-0.03463706,-0.01933986,-0.01529721
2020-04-14,0.89241687,0.93903219,0.95035812,0.02433285,0.01714135,0.00719151
2020-04-15,0.91492980,0.94941130,0.96368118,0.02522692,0.01105298,0.01417394
