date,strategy_nav,benchmark_nav,excess_nav,strategy_ret,benchmark_ret,excess_ret
2020-01-09,1.00000000,1.00630794,0.99373160,,,
2020-01-10,1.01919734,1.00902905,1.01007730,0.01919734,0.00270405,0.01649328
2020-01-13,1.03241425,1.01558538,1.01657061,0.01296796,0.00649767,0.00647029
2020-01-14,1.03978388,1.02811876,1.01134609,0.00713825,0.01234104,-0.00520278
2020-01-15,1.04375586,1.01723456,1.02607196,0.00382000,-0.01058651,0.01440652
2020-01-16,1.05357076,1.02077685,1.03212642,0.00940344,0.00348227,0.00592117
2020-01-17,1.05401327,1.02102287,1.03231112,0.00042001,0.00024101,0.00017900
2020-01-20,1.06910327,1.02708900,1.04090617,0.01431671,0.00594122,0.00837549
2020-01-21,1.07749159,1.02485450,1.05136055,0.00784612,-0.00217556,0.01002168
2020-01-22,1.08584065,1.02349695,1.06091245,0.00774861,-0.00132463,0.00907324
2020-01-23,1.08331362,1.01333666,1.06905598,-0.00232725,-0.00992703,0.00759978
2020-02-03,0.99885931,0.91574059,1.09076666,-0.07795925,-0.09631160,0.01835235
2020-02-04,1.02811785,0.92450786,1.11207043,0.02929196,0.00957396,0.01971799
2020-02-05,1.07531567,0.95488811,1.12611693,0.04590701,0.03286100,0.01304601
2020-02-06,1.09588820,0.96595638,1.13451106,0.01913162,0.01159117,0.00754045
2020-02-07,1.12111687,0.97893562,1.14524066,0.02302121,0.01343667,0.00958454
2020-02-10,1.12856815,0.99214534,1.13750286,0.00664630,0.01349396,-0.00684766
2020-02-11,1.13273631,1.00293553,1.12942086,0.00369331,0.01087562,-0.00718231
2020-02-12,1.15073541,1.01385718,1.13500740,0.01588993,0.01088968,0.00500024
2020-02-13,1.16066976,1.02571447,1.13157199,0.00863305,0.01169522,-0.00306217
2020-02-14,1.15953611,1.02885731,1.12701353,-0.00097672,0.00306405,-0.00404077
2020-02-17,1.17996082,1.04741785,1.12654260,0.01761456,0.01803996,-0.00042540
2020-02-18,1.19620413,1.06380288,1.12446032,0.01376597,0.01564326,-0.00187729
2020-02-19,1.19642318,1.06856571,1.11965336,0.00018312,0.00447717,-0.00429404
2020-02-20,1.19204183,1.07196965,1.11201080,-0.00366205,0.00318552,-0.00684757
2020-02-21,1.20935510,1.09445680,1.10498204,0.01452405,0.02097741,-0.00645336
2020-02-24,1.21033149,1.10094779,1.09935412,0.00080736,0.00593079,-0.00512343
