date,strategy_nav,benchmark_nav,excess_nav,strategy_ret,benchmark_ret
2020-01-09,1.0,1.00630794,0.9937316,0.0,0.00630794
2020-01-10,0.99757541,1.00902905,0.98864885,-0.00242459,0.00270405
2020-01-13,1.00711709,1.01558538,0.99166166,0.00956487,0.00649767
2020-01-14,1.01937693,1.02811876,0.99149726,0.0121732,0.01234104
2020-01-15,1.01418348,1.01723456,0.99700061,-0.00509473,-0.01058651
2020-01-16,1.02348209,1.02077685,1.00265018,0.00916858,0.00348227
2020-01-17,1.01841877,1.02102287,0.99744952,-0.00494715,0.00024101
2020-01-20,1.02629517,1.027089,0.99922711,0.00773395,0.00594122
2020-01-21,1.02228698,1.0248545,0.99749474,-0.00390549,-0.00217556
2020-01-22,1.0249064,1.02349695,1.00137709,0.00256231,-0.00132463
2020-01-23,1.01652165,1.01333666,1.00314307,-0.00818098,-0.00992703
2020-02-03,0.92615708,0.91574059,1.01137493,-0.08889587,-0.0963116
2020-02-04,0.95791271,0.92450786,1.03613258,0.03428752,0.00957396
2020-02-05,0.99014671,0.95488811,1.03692433,0.03365025,0.032861
2020-02-06,1.0034285,0.96595638,1.03879277,0.01341396,0.01159117
2020-02-07,1.02496845,0.97893562,1.04702335,0.02146634,0.01343667
2020-02-10,1.04323903,0.99214534,1.05149819,0.01782551,0.01349396
2020-02-11,1.04813797,1.00293553,1.04507013,0.00469589,0.01087562
2020-02-12,1.06226116,1.01385718,1.0477424,0.01347456,0.01088968
2020-02-13,1.07121943,1.02571447,1.04436416,0.00843321,0.01169522
2020-02-14,1.07344583,1.02885731,1.0433379,0.00207838,0.00306405
2020-02-17,1.09235522,1.04741785,1.042903,0.0176156,0.01803996
2020-02-18,1.10726351,1.06380288,1.04085402,0.01364784,0.01564326
2020-02-19,1.10450215,1.06856571,1.03363054,-0.00249386,0.00447717
2020-02-20,1.10178013,1.07196965,1.02780908,-0.00246447,0.00318552
2020-02-21,1.12330944,1.0944568,1.02636252,0.01954047,0.02097741
2020-02-24,1.12782434,1.10094779,1.02441219,0.00401929,0.00593079
2020-02-25,1.12179741,1.09788078,1.02178436,-0.00534385,-0.00278579
2020-02-26,1.11911974,1.09771638,1.01949807,-0.00238695,-0.00014974
2020-02-27,1.10520209,1.08494325,1.01867272,-0.01243624,-0.0116361
2020-02-28,1.06474065,1.04273806,1.02110078,-0.03661,-0.03890083
2020-03-02,1.07567296,1.05496092,1.019633,0.01026759,0.01172189
2020-03-03,1.10520098,1.08293901,1.02055699,0.02745073,0.0265205
2020-03-04,1.09034437,1.06670612,1.02216004,-0.01344245,-0.01498967
2020-03-05,1.10853652,1.08381509,1.02280963,0.01668478,0.01603907
2020-03-06,1.10993062,1.07833387,1.02930145,0.0012576,-0.00505734
2020-03-09,1.06883197,1.04021746,1.0275082,-0.03702813,-0.03534751
2020-03-10,1.05861788,1.03747292,1.02038122,-0.0095563,-0.00263843
2020-03-11,1.07576777,1.05359259,1.0210472,0.01620026,0.01553745
2020-03-12,1.03663272,1.01876281,1.01754079,-0.03637872,-0.03305811
2020-03-13,1.0106233,0.9942852,1.01643201,-0.02509029,-0.0240268
2020-03-16,1.00697329,0.98747884,1.01974164,-0.00361165,-0.00684548
2020-03-17,0.96716108,0.95571981,1.01197136,-0.03953651,-0.03216173
2020-03-18,0.98656792,0.96788922,1.01929838,0.02006578,0.01273324
2020-03-19,0.9552091,0.93871199,1.0175742,-0.03178576,-0.03014522
2020-03-20,0.97000192,0.95213435,1.01876581,0.01548647,0.0142987
2020-03-23,0.92589148,0.92064857,1.0056948,-0.04547459,-0.03306863
2020-03-24,0.92530057,0.92314969,1.00232994,-0.0006382,0.0027167
2020-03-25,0.96526208,0.95530426,1.01042372,0.0431876,0.03483137
2020-03-26,0.95784887,0.95079432,1.00741964,-0.00768,-0.00472094
2020-03-27,0.95149784,0.95068776,1.0008521,-0.00663052,-0.00011208
2020-03-30,0.91471766,0.92088343,0.99330451,-0.03865503,-0.03135028
2020-03-31,0.92661902,0.93023723,0.99611044,0.01301097,0.01015743
2020-04-01,0.94174747,0.93440555,1.00785731,0.01632649,0.00448092
2020-04-02,0.94786834,0.93801354,1.01050603,0.00649949,0.00386126
2020-04-03,0.96441178,0.94724506,1.0181228,0.01745331,0.00984156
2020-04-07,0.98364575,0.96717614,1.01702855,0.01994373,0.02104111
2020-04-08,0.99150613,0.97011698,1.02204801,0.00799106,0.00304064
2020-04-09,0.99775135,0.97481008,1.0235341,0.00629873,0.00483767
2020-04-10,0.97808691,0.96353434,1.01510331,-0.01970877,-0.01156711
2020-04-13,0.945407,0.94489973,1.00053685,-0.03341207,-0.01933986
2020-04-14,0.96391132,0.96109658,1.00292868,0.01957287,0.01714135
2020-04-15,0.98001375,0.97171956,1.00853558,0.0167053,0.01105298
2020-04-16,0.98059061,0.9671213,1.01392722,0.00058863,-0.00473209
2020-04-17,1.00184398,0.98348638,1.01866584,0.02167404,0.01692143
2020-04-20,1.00113701,0.98178095,1.01971525,-0.00070567,-0.00173406
2020-04-21,0.99244103,0.97272329,1.02027066,-0.0086861,-0.00922575
2020-04-22,0.99622662,0.97591214,1.02081589,0.00381442,0.00327827
2020-04-23,1.00608077,0.97886345,1.02780502,0.00989148,0.00302416
2020-04-24,0.99273822,0.96786986,1.02569391,-0.01326191,-0.01123098
2020-04-27,0.99177336,0.96399761,1.0288131,-0.00097191,-0.0040008
2020-04-28,1.00199677,0.95954472,1.04424187,0.01030821,-0.00461918
2020-04-29,1.0045495,0.96784215,1.037927,0.00254764,0.00864726
2020-04-30,0.99850546,0.99041605,1.00816768,-0.00601667,0.02332395
2020-05-06,1.00866237,1.0025321,1.00611479,0.01017212,0.01223329
2020-05-07,1.02286268,1.01108454,1.01164901,0.01407835,0.00853084
2020-05-08,1.02926167,1.0201495,1.00893219,0.00625596,0.00896557
2020-05-11,1.01896862,1.02228409,0.9967568,-0.01000042,0.00209243
2020-05-12,1.02106397,1.01623169,1.0047551,0.00205634,-0.00592047
2020-05-13,1.03531053,1.02033912,1.01467298,0.01395267,0.00404183
2020-05-14,1.03481372,1.01835351,1.01616355,-0.00047987,-0.00194603
2020-05-15,1.03667629,1.01937695,1.0169705,0.0017999,0.00100499
2020-05-18,1.03758055,1.01822496,1.01900915,0.00087227,-0.00113009
2020-05-19,1.04547378,1.02541606,1.01956056,0.00760734,0.0070624
2020-05-20,1.04754686,1.02607594,1.02092528,0.00198292,0.00064352
2020-05-21,1.04218174,1.01477292,1.0270098,-0.00512161,-0.01101577
2020-05-22,1.01808863,0.99435884,1.02386441,-0.02311796,-0.02011689
2020-05-25,1.0225031,0.98387727,1.03925879,0.00433604,-0.01054104
2020-05-26,1.04377414,0.99765573,1.04622677,0.02080291,0.01400425
2020-05-27,1.03508039,0.9974656,1.03771037,-0.00832914,-0.00019058
2020-05-28,1.01577182,0.99288494,1.02305089,-0.01865418,-0.0045923
2020-05-29,1.04042617,1.00021091,1.04020678,0.02427155,0.00737847
2020-06-01,1.06022991,1.02621186,1.03314915,0.01903425,0.02599546
2020-06-02,1.05854819,1.03560058,1.02215875,-0.00158618,0.00914891
2020-06-03,1.06525454,1.04078067,1.02351491,0.00633542,0.00500202
2020-06-04,1.07742219,1.03831046,1.03766863,0.01142229,-0.00237342
2020-06-05,1.08820485,1.03816467,1.04820062,0.01000784,-0.00014041
2020-06-08,1.07901939,1.04829862,1.02930536,-0.00844093,0.00976141
2020-06-09,1.08178134,1.04843687,1.03180398,0.00255968,0.00013188
2020-06-10,1.09361779,1.04720388,1.04432175,0.01094163,-0.00117603
2020-06-11,1.10308481,1.05140654,1.04915155,0.0086566,0.00401322
2020-06-12,1.11335937,1.03850388,1.07208013,0.00931439,-0.01227181
2020-06-15,1.1252273,1.04112938,1.08077567,0.01065957,0.00252816
2020-06-16,1.12583534,1.05012225,1.07209932,0.00054038,0.00863761
2020-06-17,1.13500742,1.05358738,1.07727887,0.00814691,0.00329975
2020-06-18,1.12547886,1.06235499,1.05941881,-0.00839516,0.00832167
2020-06-19,1.13972598,1.07572427,1.05949639,0.01265872,0.01258457
2020-06-22,1.15042545,1.08889745,1.05650486,0.00938776,0.01224588
2020-06-23,1.16602799,1.09003572,1.06971539,0.0135624,0.00104534
2020-06-24,1.17551254,1.10009344,1.06855699,0.00813407,0.00922696
2020-06-29,1.17385067,1.09512264,1.07188969,-0.00141374,-0.00451852
2020-06-30,1.19197527,1.10899051,1.0748291,0.01544029,0.0126633
2020-07-01,1.19241413,1.12282924,1.06197282,0.00036818,0.01247868
2020-07-02,1.19241021,1.14249198,1.04369241,-3.29e-06,0.01751178
2020-07-03,1.19971516,1.16223002,1.03225278,0.00612621,0.01727631
2020-07-06,1.23260677,1.21316742,1.01602363,0.02741618,0.0438273
2020-07-07,1.26919473,1.259817,1.00744372,0.02968339,0.03845271
2020-07-08,1.28578922,1.26357777,1.01757822,0.01307482,0.00298517
2020-07-09,1.32185417,1.29947206,1.017224,0.02804888,0.02840687
2020-07-10,1.34037197,1.30271402,1.0289073,0.01400896,0.00249482
2020-07-13,1.38388954,1.31983133,1.04853515,0.03246679,0.01313973
2020-07-14,1.40280072,1.31916609,1.06339962,0.01366524,-0.00050403
2020-07-15,1.41174019,1.30261507,1.08377388,0.00637259,-0.01254657
2020-07-16,1.36896746,1.26257189,1.08426893,-0.03029787,-0.03074061
2020-07-17,1.3381771,1.22778156,1.08991464,-0.02249167,-0.02755512
2020-07-20,1.35057983,1.2525586,1.0782568,0.00926837,0.02018033
2020-07-21,1.37585053,1.27384828,1.0800741,0.018711,0.01699696
2020-07-22,1.40081959,1.2878822,1.08769233,0.01814809,0.01101695
2020-07-23,1.39272055,1.27222604,1.09471155,-0.00578165,-0.01215652
2020-07-24,1.3537406,1.24754593,1.08512285,-0.02798835,-0.01939916
2020-07-27,1.3211035,1.22814595,1.07568933,-0.02410883,-0.01555051
2020-07-28,1.33609649,1.23979834,1.07767243,0.01134884,0.00948778
2020-07-29,1.37190776,1.25751785,1.09096484,0.02680291,0.01429225
2020-07-30,1.40173395,1.27152936,1.10239999,0.02174067,0.0111422
2020-07-31,1.41754205,1.27807987,1.10911851,0.01127753,0.00515168
2020-08-03,1.44943476,1.30126966,1.11386195,0.0224986,0.01814424
2020-08-04,1.45926464,1.30925171,1.11457913,0.00678187,0.00613405
2020-08-05,1.47206804,1.30966895,1.12400011,0.00877387,0.00031868
2020-08-06,1.48126239,1.31211232,1.12891432,0.00624587,0.00186564
2020-08-07,1.46237474,1.29974811,1.12512165,-0.01275105,-0.00942313
2020-08-10,1.44171258,1.2953287,1.11300907,-0.01412918,-0.00340021
2020-08-11,1.46020018,1.30092394,1.12243317,0.01282336,0.00431955
2020-08-12,1.39762394,1.25997767,1.10924501,-0.04285456,-0.03147476
2020-08-13,1.40268689,1.27224662,1.1025275,0.00362254,0.00973743
2020-08-14,1.40465491,1.27690674,1.10004502,0.00140303,0.00366291
2020-08-17,1.44112962,1.30804311,1.10174474,0.02596702,0.02438422
2020-08-18,1.45133274,1.31970581,1.0997396,0.00707995,0.00891614
2020-08-19,1.43403804,1.30781041,1.09651829,-0.01191643,-0.00901368
2020-08-20,1.40920763,1.28319166,1.0982051,-0.01731502,-0.0188244
2020-08-21,1.42597543,1.28969892,1.10566537,0.01189874,0.00507115
2020-08-24,1.43253185,1.29633319,1.10506455,0.00459784,0.00514404
2020-08-25,1.46134128,1.30201102,1.12237244,0.02011085,0.00437992
2020-08-26,1.43693513,1.28376843,1.11931023,-0.0167012,-0.01401109
2020-08-27,1.43854259,1.27940212,1.12438659,0.00111867,-0.00340117
2020-08-28,1.47305519,1.29726067,1.1355121,0.02399137,0.01395852
2020-08-31,1.49399331,1.31838604,1.13319868,0.01421407,0.01628459
2020-09-01,1.49628263,1.30688289,1.14492479,0.00153235,-0.00872517
2020-09-02,1.51638988,1.31215223,1.15565088,0.01343814,0.00403199
2020-09-03,1.51600054,1.30899459,1.15814118,-0.00025676,-0.00240646
2020-09-04,1.48316215,1.29078091,1.14904252,-0.0216612,-0.01391425
2020-09-07,1.47466333,1.29124902,1.14204411,-0.0057302,0.00036266
2020-09-08,1.47390718,1.27188476,1.15883705,-0.00051276,-0.01499653
2020-09-09,1.46180552,1.24853938,1.17081251,-0.0082106,-0.01835495
2020-09-10,1.44914795,1.24169628,1.16707119,-0.00865886,-0.00548089
2020-09-11,1.44659705,1.23138938,1.17476817,-0.00176028,-0.00830065
2020-09-14,1.48411733,1.25407889,1.18343219,0.02593693,0.01842594
2020-09-15,1.48942226,1.26042614,1.18168151,0.00357446,0.00506128
2020-09-16,1.50343389,1.26252024,1.19081964,0.00940743,0.00166142
2020-09-17,1.49773125,1.25881628,1.18979336,-0.00379308,-0.00293378
2020-09-18,1.50696098,1.2750447,1.18188874,0.00616247,0.01289181
2020-09-21,1.50783552,1.28813318,1.17055871,0.00058033,0.01026512
2020-09-22,1.48417461,1.26875997,1.1697836,-0.01569197,-0.01503976
2020-09-23,1.47952734,1.26429334,1.17024056,-0.00313121,-0.00352047
2020-09-24,1.45915413,1.24633994,1.17075132,-0.01377008,-0.01420034
2020-09-25,1.44793004,1.23872367,1.16888865,-0.00769219,-0.00611091
2020-09-28,1.45427075,1.23697011,1.1756717,0.00437915,-0.00141562
2020-09-29,1.45819834,1.24511757,1.17113305,0.00270073,0.00658663
2020-09-30,1.45405174,1.24352571,1.16929769,-0.00284365,-0.00127849
2020-10-09,1.49624527,1.27398683,1.17445897,0.0290179,0.02449578
2020-10-12,1.52403347,1.3045563,1.16823894,0.01857195,0.02399512
2020-10-13,1.55027778,1.31533195,1.17862094,0.0172203,0.00826002
2020-10-14,1.56166363,1.31239943,1.18993013,0.00734439,-0.0022295
2020-10-15,1.57268479,1.31109214,1.1995227,0.00705732,-0.00099611
2020-10-16,1.56989208,1.30169337,1.20603832,-0.00177576,-0.00716866
2020-10-19,1.56248817,1.3002575,1.20167595,-0.00471619,-0.00110308
2020-10-20,1.56665427,1.29128353,1.21325351,0.00266633,-0.00690169
2020-10-21,1.57390506,1.29093055,1.21920197,0.0046282,-0.00027335
2020-10-22,1.5563627,1.28252764,1.21351202,-0.01114575,-0.00650919
2020-10-23,1.54646265,1.27876422,1.20934151,-0.00636102,-0.00293438
2020-10-26,1.51956354,1.26040942,1.20561106,-0.01739396,-0.01435354
2020-10-27,1.52782413,1.26668559,1.20615893,0.00543616,0.00497947
2020-10-28,1.55157893,1.27473063,1.21718181,0.01554813,0.00635126
2020-10-29,1.56129887,1.27815335,1.22152703,0.00626454,0.00268505
2020-10-30,1.56077125,1.27775759,1.22149244,-0.00033794,-0.00030963
2020-11-02,1.55183529,1.26835601,1.22350135,-0.00572535,-0.00735788
2020-11-03,1.56998683,1.29002721,1.21701838,0.01169682,0.01708606
2020-11-04,1.5893911,1.29725091,1.22519945,0.01235951,0.00559965
2020-11-05,1.62496953,1.31915509,1.23182599,0.02238494,0.01688507
2020-11-06,1.62319144,1.32422703,1.22576522,-0.00109423,0.00384484
2020-11-09,1.65219865,1.35275715,1.22135643,0.01787048,0.02154473
2020-11-10,1.64884742,1.35426708,1.21752012,-0.00202834,0.00111619
2020-11-11,1.63631229,1.34056153,1.22061707,-0.00760236,-0.01012027
2020-11-12,1.62383566,1.33057178,1.22040441,-0.00762484,-0.00745192
2020-11-13,1.63500712,1.32618563,1.23286445,0.00687967,-0.00329644
2020-11-16,1.65234234,1.33703685,1.23582409,0.01060254,0.00818228
2020-11-17,1.6584891,1.33400936,1.24323648,0.00372002,-0.00226433
2020-11-18,1.64444999,1.33607074,1.23081057,-0.008465,0.00154525
2020-11-19,1.64685948,1.33762401,1.23118265,0.00146522,0.00116256
2020-11-20,1.66598003,1.34906214,1.2349172,0.01161031,0.00855108
2020-11-23,1.69549232,1.36733791,1.23999511,0.01771467,0.01354702
2020-11-24,1.71114301,1.37365064,1.24569011,0.00923077,0.00461681
2020-11-25,1.72931597,1.36807748,1.26404827,0.01062036,-0.00405719
2020-11-26,1.70133566,1.34660271,1.26342807,-0.01617998,-0.01569705
2020-11-27,1.7006905,1.35189423,1.25800559,-0.00037921,0.00392954
2020-11-30,1.71936071,1.36971498,1.25526897,0.01097801,0.01318206
