new,max_abs_rho,best_corr,best_existing,redundant,rank_ic_fwd10,n_ic_days
tail_asymmetry_volume_confirmed,0.6561,0.6561,lqtp:wzr_price_volume_337,False,0.034,607
alphasage_zscore_ts_cov_sqrt_vol_ret,0.407,0.407,optfac:range_asymmetry_longer,False,0.0452,2573
overnight_gap_fragility,0.6163,-0.6163,fm247:Tak_Sent_038_v1_nodef,False,0.0394,607
intraday_conviction_volume_gate,0.797,0.797,lqtp:cand_vol_surge_regime_gated,False,0.0162,607
downside_upside_tail_imbalance_volume_,0.5644,0.5644,lqtp:SW39_TSI_DoubleSmoothImpulse_25_V05_TAIL_GUARD,False,0.0286,607
ovni_stable_curvature,0.7344,0.7344,lqtp:factor_herding_ema_mf_over_ema_vol,False,0.0317,607
alphasage_power_ts_pct_log_amt_vwap,0.4809,0.4809,lqtp:ext_c2ef363a,False,0.0263,2514
ovni_vol_align,0.5262,0.5262,fm247:overnight_intraday_decomp_v1_nodef,False,0.0296,605
adaptive_vol_asym_v2,0.6697,0.6697,lqtp:ext_e66f9da6,False,0.0008,607
intraday_overnight_gap_smoothed,0.5343,0.5343,lqtp:cand_vol_surge_regime_gated,False,0.0259,607
vol_range_conviction_smooth,0.7695,0.7695,fm247:alpha_20260702_393d28b7,False,0.0365,607
relative_volume_return_coherence_regime,0.7531,0.7531,lqtp:factor_vol_price_log_range_gate_clipped_10day_mut_003,False,0.0444,606
alphasage_log_cs_resid_ts_delta_rank_winsor,0.6533,-0.6533,lqtp:OAP_VERIFIED_UNIFIED_DolVol,False,-0.0049,2564
intraday_persistence_share_ewma,0.5408,0.5408,lqtp:factor_asym_intraday_sma,False,0.0241,606
vol_momentum_divergence_stable,0.8313,0.8313,lqtp:cand_tanh_thrust_dynamic_smooth,False,0.0635,602
exhaustion_local_norm,0.8871,0.8871,lqtp:JQTA_SG_SMX_V01_BASE,False,0.012,605
pv_dir_alignment,0.8226,0.8226,lqtp:ext_abe447a6,False,0.0194,607
vol_trend_stability,0.8102,0.8102,lqtp:cand_tanh_thrust_dynamic_smooth,False,0.0541,604
alphasage_rank_amount,0.9502,0.9502,lqtp:wzr_price_volume_039,True,0.0249,2574
intraday_phase_share_ewma_volume_quality,0.6741,0.6741,lqtp:factor_herding_ema_mf_over_ema_vol,False,0.0299,607
overnight_gap_fragility_log,0.8152,0.8152,fm247:wzr_price_volume_063_v1_nodef,False,0.0505,607
signed_vol_ret_alignment,0.6892,0.6892,lqtp:factor_vol_price_log_range_gate_clipped_boost_5day_mut_001,False,0.0452,606
crash_gap_overnight_fragility,0.5271,0.5271,lqtp:JQTA_PCNT_V08_STD20,False,0.0403,607
range_amplitude_volatility,0.8454,0.8454,lqtp:alpha_20260701_e885c4b1,False,0.0404,606
intraday_downside_variance_share_logit,0.4812,0.4812,cogfull:factor_volume_beta_ewm__f5cf9250d77b8ce5_v1,False,0.0195,606
crash_gap_fragility_signed_sqrt,0.8291,0.8291,lqtp:alpha_20260701_5d58bc15,False,0.0562,607
amount_weighted_impact,0.787,0.787,delivery:alpha_20260702_55152d82,False,0.0623,242
high_volume_amount_weighted_impact,0.6396,0.6396,delivery:alpha_20260702_55152d82,False,0.0416,242
high_volume_amount_weighted_squared_impact,0.4013,0.4013,delivery:alpha_20260702_55152d82,False,0.0402,242
high_volume_squared_return_weighted_impact,0.3628,0.3628,factmat:vwap_adjusted_range_tanh_smooth_flipped,False,0.0402,242
high_volume_volume_weighted_squared_impact,0.446,0.446,lqtp:EXT_LIB3_ROGERS_SATCHELL_VOL_V09_VOLUME_CONFIRM,False,0.0402,242
skew_weighted_volume_event_intensity,0.3826,0.3826,delivery:alpha_20260701_149b529b,False,0.0186,242
skew_weighted_volume_event_intensity_close,0.4029,0.4029,delivery:alpha_20260701_149b529b,False,0.0186,242
vwap_deviation_intensity_squared_amount_weighted,0.7694,0.7694,lqtp:week2_log_range_gate_z10,False,0.0745,242
vwap_squared_deviation_intensity,0.7311,0.7311,factmat:volume_adjusted_price_range,False,0.0745,242
