name,pool,rank_ic,n_dates,drop,flipped,rank_ic_orig
fm247:5de2f47bc5cd6c66,fm247,0.1190607790495256,562,False,True,-0.1190607790495256
fm247:wzr_price_volume_035_v1_nodef,fm247,0.0994009168432017,113,False,False,0.0994009168432017
fm247:Tak_Sent_358_v1_nodef,fm247,0.0767471164032511,152,False,True,-0.0767471164032511
fm247:WQ_ALPHA_116_v1_nodef,fm247,0.076559031177119,59,False,True,-0.076559031177119
new026:vwap_squared_deviation_intensity,new026,0.0745029521883945,242,False,False,0.0745029521883945
new026:vwap_deviation_intensity_squared_amount_weighted,new026,0.0744796623947296,242,False,False,0.0744796623947296
fm247:Tak_Flow_001_v1_nodef,fm247,0.0656280792114248,129,False,True,-0.0656280792114248
new026:vol_momentum_divergence_stable,new026,0.0635075832374404,602,False,False,0.0635075832374404
new026:amount_weighted_impact,new026,0.0623302060310778,242,False,False,0.0623302060310778
fm247:wzr_price_volume_172_v1_nodef,fm247,0.0615295144864136,152,False,False,0.0615295144864136
lqtp:wzr_price_volume_035,lqtp,0.0608239796559186,2572,False,False,0.0608239796559186
fm247:alpha_20260701_66ea5325,fm247,0.0587326233137297,81,False,True,-0.0587326233137297
fm247:OAP_IdioVolAHT_v1_nodef,fm247,0.0576250345032149,129,False,False,0.0576250345032149
new026:crash_gap_fragility_signed_sqrt,new026,0.0561907944321883,607,False,False,0.0561907944321883
fm247:WQ_ALPHA_114_v1_nodef,fm247,0.0545108585024994,113,False,True,-0.0545108585024994
new026:vol_trend_stability,new026,0.0541316797934692,604,False,False,0.0541316797934692
lqtp:Tak_EWM_004,lqtp,0.0532085795242654,2573,False,True,-0.0532085795242654
fm247:alpha_20260702_873469e0,fm247,0.0532051859605464,152,False,False,0.0532051859605464
lqtp:Tak_EWM_001,lqtp,0.0510429982945861,2573,False,True,-0.0510429982945861
fm247:PriceConvergenceFactor_v1_nodef,fm247,0.0507478441189892,151,False,False,0.0507478441189892
lqtp:Tak_EWM_011,lqtp,0.0506973014405726,2573,False,True,-0.0506973014405726
lqtp:Tak_EWM_012,lqtp,0.0506973014405726,2573,False,True,-0.0506973014405726
fm247:rc_vo_ret_60_v1_nodef,fm247,0.0506633066987322,119,False,True,-0.0506633066987322
new026:overnight_gap_fragility_log,new026,0.0505010364380107,607,False,False,0.0505010364380107
lqtp:Tak_EWM_002,lqtp,0.0502785229804784,2573,False,True,-0.0502785229804784
lqtp:Tak_EWM_009,lqtp,0.0495316078636529,2573,False,True,-0.0495316078636529
fm247:T1_rc_vol_price_v1_nodef,fm247,0.0478995158831768,56,False,True,-0.0478995158831768
lqtp:wzr_price_volume_003,lqtp,0.0476384190833309,2573,False,False,0.0476384190833309
lqtp:wzr_price_volume_167,lqtp,0.0476384190833309,2573,False,False,0.0476384190833309
lqtp:JQTA_PUCU_V01_BASE,lqtp,0.0468773227242029,2574,False,True,-0.0468773227242029
fm247:wzr_price_volume_063_v1_nodef,fm247,0.0461329399927014,152,False,False,0.0461329399927014
fm247:JQ_ALPHA_056_v1_nodef,fm247,0.0456317815938927,129,False,True,-0.0456317815938927
fm247:WQ_ALPHA_107_v1_nodef,fm247,0.0455475944978648,152,False,False,0.0455475944978648
new026:vol_ret_covariance_zscore,new026,0.0452053131324644,2573,False,False,0.0452053131324644
