metric_id,metric_version,tier,artifact_kind,declared,kernel,public_cpu,public_gpu,adapter,profile,admission,update,publication,gpu_declaration,gpu_parity_declaration,run_evidence_refs,required_inputs,dependencies
adaptive_quantile_count,3.0.0,extended,scalar,DONE,DECLARED,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_DECLARED,NOT_DECLARED,,factor,factor_batch
autocorrelation_ic,1.0.0,extended,series,DONE,UNSUPPORTED,UNSUPPORTED,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_DECLARED,NOT_DECLARED,,"factor,forward_returns",
benjamini_hochberg_correction,3.0.0,research,scalar,DONE,DECLARED,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_DECLARED,NOT_DECLARED,,p_values,p_values
beta_exposure,4.0.0,extended,scalar,DONE,DONE,DONE,DONE,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_DECLARED,NOT_DECLARED,"cpu:25ac3204-b168-4905-9b4f-d4aad4194ebe@evidence/v6/x01_public_cpu_bundle.json@synthetic_qr_20260908,gpu:dc73bb95-81c4-4c4a-994d-cd316e67c3ce@evidence/v6/x01_public_cuda_strict_bundle.json@synthetic_qr_20260908","exposure_panel,factor_values","factor_values,exposure_panel"
block_bootstrap_ci,2.0.0,research,scalar,DONE,DECLARED,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_DECLARED,NOT_DECLARED,,,ICSeriesArtifact
bonferroni_correction,3.0.0,research,scalar,DONE,DECLARED,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_DECLARED,NOT_DECLARED,,p_values,p_values
bottom_quantile_cliff,1.0.0,extended,scalar,DONE,DECLARED,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_DECLARED,NOT_DECLARED,,quantile_returns,QuantileReturnArtifact
bottom_quantile_cliff_robust,1.0.0,extended,scalar,DONE,DECLARED,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_DECLARED,NOT_DECLARED,,quantile_returns,QuantileReturnArtifact
bottom_tail_slope,1.0.0,extended,scalar,DONE,DECLARED,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_DECLARED,NOT_DECLARED,,quantile_returns,QuantileReturnArtifact
calmar_ratio,2.0.0,extended,scalar,DONE,DECLARED,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_DECLARED,NOT_DECLARED,,"factor,forward_returns",
change_point_score,3.0.0,extended,scalar,DONE,DECLARED,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_RUN,NOT_DECLARED,NOT_DECLARED,,ic_series,ICSeriesArtifact
