metric,kernel,registry,artifact,test,report,prod_status
autocorrelation_ic,YES,NO,YES,YES,NO,GAP
calmar_ratio,YES,NO,YES,YES,YES,GAP
coverage_stability,YES,NO,NO,NO,NO,GAP
cvar_95,YES,NO,NO,YES,NO,GAP
cvar_99,YES,NO,NO,YES,NO,GAP
drawdown_duration,YES,NO,YES,YES,YES,GAP
factor_coverage,YES,NO,YES,YES,NO,GAP
hhi_concentration,YES,NO,NO,YES,NO,GAP
hhi_effective_n,YES,NO,NO,YES,NO,GAP
ic_decay,YES,NO,YES,YES,YES,GAP
ic_stability,YES,NO,YES,YES,YES,GAP
ic_summary,YES,NO,YES,YES,NO,GAP
joint_coverage,YES,NO,YES,YES,NO,GAP
kurtosis,YES,NO,YES,YES,YES,GAP
max_drawdown,YES,NO,YES,YES,YES,GAP
pearson_ic,YES,YES,YES,YES,NO,GAP
quantile_returns,YES,NO,YES,YES,YES,GAP
quantile_spread,YES,YES,YES,YES,YES,READY
quantile_stability,YES,NO,NO,NO,NO,GAP
rank_ic,YES,YES,YES,YES,YES,READY
rank_ic_cross_section,YES,NO,YES,YES,NO,GAP
rank_ic_time_series,YES,NO,YES,YES,YES,GAP
return_coverage,YES,NO,YES,YES,NO,GAP
rolling_ic,YES,NO,YES,YES,YES,GAP
skewness,YES,NO,YES,YES,YES,GAP
spearman_ic,YES,NO,YES,YES,NO,GAP
turnover_adjusted_ic,YES,NO,NO,NO,NO,GAP
turnover_cost,YES,NO,NO,YES,NO,GAP
turnover_rate,YES,NO,YES,YES,NO,GAP
turnover_stability,YES,NO,YES,YES,NO,GAP
var_95,YES,NO,NO,YES,NO,GAP
var_99,YES,NO,NO,YES,NO,GAP
