metric_id,implementation,artifact,report_panel,registered,tested,production_ready,institutional_domain
autocorrelation_ic,quant_evaluator.metrics.temporal.compute_ic_autocorrelation,series,ic_hac_confidence_band,yes,no,no,HORIZON
calmar_ratio,quant_evaluator.metrics.portfolio_stats.compute_calmar_ratio,scalar,top_bottom_drawdown,yes,no,no,PROBE_PORTFOLIO
coverage_stability,quant_evaluator.metrics.quality.compute_per_time_coverage,scalar,data_quality_missingness,yes,no,no,STABILITY_ROBUSTNESS
cvar_95,quant_evaluator.metrics.risk.var_cvar.compute_cvar,scalar,tail_asymmetry,yes,no,no,PROBE_PORTFOLIO
cvar_99,quant_evaluator.metrics.risk.var_cvar.compute_cvar,scalar,tail_asymmetry,yes,no,no,PROBE_PORTFOLIO
drawdown_duration,quant_evaluator.metrics.risk.drawdown_analysis.compute_drawdown_duration,scalar,top_bottom_drawdown,yes,no,no,PROBE_PORTFOLIO
factor_coverage,quant_evaluator.metrics.quality.compute_coverage,scalar,data_quality_missingness,yes,yes,yes,DATA_QUALITY
hhi_concentration,quant_evaluator.metrics.exposure.compute_concentration_hhi,scalar,industry_style_exposure,yes,yes,yes,EXPOSURE
hhi_effective_n,quant_evaluator.metrics.exposure.compute_concentration_hhi,scalar,industry_style_exposure,yes,yes,yes,EXPOSURE
ic_decay,quant_evaluator.metrics.ic_summary.compute_ic_decay,series,ic_horizon_surface,yes,no,no,HORIZON
ic_stability,quant_evaluator.metrics.ic_summary.compute_ic_stability,scalar,spec_robustness_cube,yes,no,no,STABILITY_ROBUSTNESS
ic_summary,quant_evaluator.metrics.ic_summary.compute_rolling_ic_stats,distribution,ic_distribution,yes,yes,yes,PREDICTIVE
joint_coverage,quant_evaluator.metrics.quality.compute_coverage_per_factor,scalar,data_quality_missingness,yes,no,no,DATA_QUALITY
kurtosis,quant_evaluator.metrics.distribution.compute_kurtosis,scalar,tail_asymmetry,yes,no,no,PROBE_PORTFOLIO
max_drawdown,quant_evaluator.metrics.portfolio_stats.compute_maximum_drawdown,scalar,top_bottom_drawdown,yes,no,no,PROBE_PORTFOLIO
pearson_ic,quant_evaluator.metrics.ic.compute_daily_ic,scalar,ic_time_series,yes,yes,yes,PREDICTIVE
quantile_returns,quant_evaluator.metrics.quantile.compute_quantile_returns,series,cumulative_quantile_return,yes,yes,yes,SHAPE_QUANTILE
quantile_spread,quant_evaluator.metrics.quantile.compute_top_bottom_spread,scalar,cumulative_top_bottom_spread,yes,no,no,SHAPE_QUANTILE
quantile_stability,quant_evaluator.metrics.ic_summary.compute_ic_stability,series,quantile_monotonicity,yes,no,no,SHAPE_QUANTILE
rank_ic,quant_evaluator.metrics.ic.compute_daily_ic,scalar,rolling_rank_ic,yes,yes,yes,PREDICTIVE
rank_ic_cross_section,quant_evaluator.metrics.ic.compute_daily_ic,series,rolling_rank_ic,yes,yes,yes,PREDICTIVE
rank_ic_time_series,quant_evaluator.metrics.ic.compute_daily_ic,series,rolling_rank_ic,yes,yes,yes,PREDICTIVE
return_coverage,quant_evaluator.metrics.quality.compute_coverage,scalar,data_quality_missingness,yes,yes,yes,DATA_QUALITY
rolling_ic,quant_evaluator.metrics.ic_summary.compute_rolling_ic_stats,series,rolling_rank_ic,yes,yes,yes,HORIZON
skewness,quant_evaluator.metrics.distribution.compute_skewness,scalar,tail_asymmetry,yes,no,no,PROBE_PORTFOLIO
spearman_ic,quant_evaluator.metrics.ic.compute_daily_ic,scalar,ic_time_series,yes,yes,yes,PREDICTIVE
turnover_adjusted_ic,quant_evaluator.metrics.turnover.compute_turnover_contribution,scalar,cost_sensitivity_curve,yes,no,no,TRADABILITY_CAPACITY
turnover_cost,quant_evaluator.metrics.turnover.compute_weighted_turnover,scalar,cost_sensitivity_curve,yes,no,no,TRADABILITY_CAPACITY
turnover_rate,quant_evaluator.metrics.turnover.compute_turnover,scalar,cost_sensitivity_curve,yes,yes,yes,TRADABILITY_CAPACITY
turnover_stability,quant_evaluator.metrics.turnover.compute_turnover,scalar,cost_sensitivity_curve,yes,yes,yes,STABILITY_ROBUSTNESS
var_95,quant_evaluator.metrics.risk.var_cvar.compute_var,scalar,tail_asymmetry,yes,no,no,PROBE_PORTFOLIO
var_99,quant_evaluator.metrics.risk.var_cvar.compute_var,scalar,tail_asymmetry,yes,no,no,PROBE_PORTFOLIO
sector_exposure,NOT_IMPLEMENTED,NOT_IMPLEMENTED,industry_style_exposure,no,no,no,EXPOSURE
style_exposure,NOT_IMPLEMENTED,NOT_IMPLEMENTED,industry_style_exposure,no,no,no,EXPOSURE
factor_loadings,NOT_IMPLEMENTED,NOT_IMPLEMENTED,raw_vs_neutralized_ic,no,no,no,EXPOSURE
neutralized_ic,NOT_IMPLEMENTED,NOT_IMPLEMENTED,raw_vs_neutralized_ic,no,no,no,EXPOSURE
exposure_drift,NOT_IMPLEMENTED,NOT_IMPLEMENTED,exposure_drift,no,no,no,EXPOSURE
long_short_returns,NOT_IMPLEMENTED,NOT_IMPLEMENTED,cumulative_top_bottom_spread,no,no,no,PROBE_PORTFOLIO
sharpe_ratio,NOT_IMPLEMENTED,NOT_IMPLEMENTED,cumulative_top_bottom_spread,no,no,no,PROBE_PORTFOLIO
sortino_ratio,NOT_IMPLEMENTED,NOT_IMPLEMENTED,cumulative_top_bottom_spread,no,no,no,PROBE_PORTFOLIO
win_rate,NOT_IMPLEMENTED,NOT_IMPLEMENTED,cumulative_top_bottom_spread,no,no,no,PROBE_PORTFOLIO
portfolio_concentration,NOT_IMPLEMENTED,NOT_IMPLEMENTED,size_liquidity_heatmap,no,no,no,PROBE_PORTFOLIO
pairwise_correlation,NOT_IMPLEMENTED,NOT_IMPLEMENTED,raw_vs_neutralized_ic,no,no,no,NOVELTY_INTERACTION
conditional_ic,NOT_IMPLEMENTED,NOT_IMPLEMENTED,raw_vs_neutralized_ic,no,no,no,NOVELTY_INTERACTION
incremental_ic,NOT_IMPLEMENTED,NOT_IMPLEMENTED,raw_vs_neutralized_ic,no,no,no,NOVELTY_INTERACTION
partial_ic,NOT_IMPLEMENTED,NOT_IMPLEMENTED,raw_vs_neutralized_ic,no,no,no,NOVELTY_INTERACTION
substitution_effect,NOT_IMPLEMENTED,NOT_IMPLEMENTED,raw_vs_neutralized_ic,no,no,no,NOVELTY_INTERACTION
complementarity_score,NOT_IMPLEMENTED,NOT_IMPLEMENTED,raw_vs_neutralized_ic,no,no,no,NOVELTY_INTERACTION
bonferroni_correction,NOT_IMPLEMENTED,NOT_IMPLEMENTED,ic_hac_confidence_band,no,no,no,RESEARCH_INTEGRITY
benjamini_hochberg_correction,NOT_IMPLEMENTED,NOT_IMPLEMENTED,ic_hac_confidence_band,no,no,no,RESEARCH_INTEGRITY
fdr,NOT_IMPLEMENTED,NOT_IMPLEMENTED,ic_hac_confidence_band,no,no,no,RESEARCH_INTEGRITY
outlier_ratio,NOT_IMPLEMENTED,NOT_IMPLEMENTED,data_quality_missingness,no,no,no,DATA_QUALITY
missingness_timeline,NOT_IMPLEMENTED,NOT_IMPLEMENTED,missing_staleness_timeline,no,no,no,DATA_QUALITY
staleness,NOT_IMPLEMENTED,NOT_IMPLEMENTED,missing_staleness_timeline,no,no,no,DATA_QUALITY
half_life,NOT_IMPLEMENTED,NOT_IMPLEMENTED,ic_horizon_surface,no,no,no,HORIZON
subsample_stability,NOT_IMPLEMENTED,NOT_IMPLEMENTED,spec_robustness_cube,no,no,no,STABILITY_ROBUSTNESS
block_bootstrap_ci,NOT_IMPLEMENTED,NOT_IMPLEMENTED,ic_hac_confidence_band,no,no,no,STABILITY_ROBUSTNESS
rank_stability,NOT_IMPLEMENTED,NOT_IMPLEMENTED,spec_robustness_cube,no,no,no,STABILITY_ROBUSTNESS
capacity,NOT_IMPLEMENTED,NOT_IMPLEMENTED,size_liquidity_heatmap,no,no,no,TRADABILITY_CAPACITY
liquidity,NOT_IMPLEMENTED,NOT_IMPLEMENTED,size_liquidity_heatmap,no,no,no,TRADABILITY_CAPACITY
