,group
Start,2017-01-13 00:00:00
End,2026-06-26 00:00:00
Period,3185 days 00:00:00
Start Value,10000000.0
End Value,2705941.8438767837
Total Return [%],-72.94058156123216
Benchmark Return [%],70.27831715531386
Max Gross Exposure [%],100.00000000000055
Total Fees Paid,3809835.328391313
Max Drawdown [%],79.96710158440138
Max Drawdown Duration,3143 days 00:00:00
Total Trades,19239
Total Closed Trades,19189
Total Open Trades,50
Open Trade PnL,-29533.44741861122
Win Rate [%],47.57413101255928
Best Trade [%],94.46506550218344
Worst Trade [%],-52.82770896371836
Avg Winning Trade [%],4.402001674363546
Avg Losing Trade [%],-4.407666809138305
Avg Winning Trade Duration,7 days 19:01:42.924745
Avg Losing Trade Duration,9 days 09:32:51.053677
Profit Factor,0.8413191896245042
Expectancy,-378.57755530274585
Sharpe Ratio,-0.509886912224868
Calmar Ratio,-0.17396843093606423
Omega Ratio,0.825943200199815
Sortino Ratio,-0.6726344436147903
